id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2508968137,29,1,1,1,24,c33jm806py6adse5wv9wx6ch1,1,32.7,44.8,2023-02-18T08:48:02.657Z,2023-02-18T08:48:05Z,4038834399,141,68.1,4038834397,140,35.0,4038834403,213,1.4,4038834401,212,16.0,4038834395,56,Back,,,,,,,,,,bdo2grdx1mgm63gii3zar50id,T. Lam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968157,30,1,1,1,27,c33jm806py6adse5wv9wx6ch1,1,35.9,72,2023-02-18T08:48:05.681Z,2023-02-18T08:48:12Z,4038834449,212,27.0,4038834447,141,32.9,4038834451,213,4.9,4038834443,56,Back,4038834445,140,40.1,,,,,,,,,,ze75933qynqbr4gupkz6xzo5,Nuno Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968163,31,1,1,1,33,c33jm806py6adse5wv9wx6ch1,1,40.1,32.9,2023-02-18T08:48:12.033Z,2023-02-18T08:48:14Z,4038834463,56,Back,4038834465,140,35.0,4038834469,212,12.6,4038834471,213,2.0,4038834467,141,49.7,,,,,,,,,,aeberiw2itt147h2mpjvd5rai,C. Talbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968169,32,1,1,1,36,c33jm806py6adse5wv9wx6ch1,1,35.6,51.6,2023-02-18T08:48:14.417Z,2023-02-18T08:48:17Z,4038834493,213,1.3,4038834485,56,Back,4038834491,212,18.1,4038834489,141,77.1,4038834487,140,40.4,,,,,,,,,,bdo2grdx1mgm63gii3zar50id,T. Lam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968171,33,1,1,1,39,c33jm806py6adse5wv9wx6ch1,1,40.4,76.2,2023-02-18T08:48:17.329Z,2023-02-18T08:48:19Z,4038834497,56,Back,4038834499,140,35.5,4038834501,141,54.9,4038834503,212,15.4,4038834505,213,4.4,,,,,,,,,,ze75933qynqbr4gupkz6xzo5,Nuno Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968179,34,1,1,1,41,c33jm806py6adse5wv9wx6ch1,1,34.7,49.6,2023-02-18T08:48:19.825Z,2023-02-18T08:48:22Z,4038834525,56,Back,4038834531,212,15.8,4038834527,140,34.9,4038834529,141,26.3,4038834533,213,4.7,,,,,,,,,,bdo2grdx1mgm63gii3zar50id,T. Lam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968181,35,1,1,1,44,c33jm806py6adse5wv9wx6ch1,1,34.2,24.1,2023-02-18T08:48:22.801Z,2023-02-18T08:48:25Z,4038834537,56,Back,4038834539,140,47.4,4038834543,212,18.2,4038834545,213,5.6,4038834541,141,6.7,,,,,,,,,,aeberiw2itt147h2mpjvd5rai,C. Talbot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968187,36,1,1,1,47,c33jm806py6adse5wv9wx6ch1,0,47.3,11.6,2023-02-18T08:48:25.745Z,2023-02-18T11:35:13Z,4038834555,140,77.2,4038834557,141,18.5,4038834553,56,Right,4038834559,212,31.7,4038834561,213,0.1,,,,,,,,,,c00r3yls3lf245nbo93m9d6cq,M. Tilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968183,5,49,1,1,50,9xmhnv6im8h7c9e17oqvcx8gl,1,23.3,92.6,2023-02-18T08:48:28.706Z,2023-02-18T08:48:28Z,,,,,,,,,,,,,,,,,,,,,,,,,yhkueqgsvvd5fzdffg9nky51,Roderick Miranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968195,6,1,1,1,50,9xmhnv6im8h7c9e17oqvcx8gl,1,23.3,92.6,2023-02-18T08:48:28.834Z,2023-02-18T08:48:32Z,4038834581,212,25.6,4038834575,56,Back,4038834583,213,3.8,4038834577,140,4.4,4038834579,141,68.9,,,,,,,,,,yhkueqgsvvd5fzdffg9nky51,Roderick Miranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968205,7,1,1,1,54,9xmhnv6im8h7c9e17oqvcx8gl,1,7.2,60.2,2023-02-18T08:48:32.594Z,2023-02-18T08:48:35Z,4038834615,1,,4038834609,141,6.5,4038834613,213,5.5,4038834607,140,39.4,4038834611,212,49.8,4038834603,155,,4038834605,56,Back,,,,dmxzug2enscx331w5vmdzn2s5,P. Izzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968213,8,1,1,1,57,9xmhnv6im8h7c9e17oqvcx8gl,1,39.6,6.4,2023-02-18T08:48:35.697Z,2023-02-18T08:48:38Z,4038834637,212,11.8,4038834635,141,17.3,4038834631,56,Back,4038834633,140,48.3,4038834639,213,0.7,4038834629,3,,,,,,,,91lwbi9gd4crrnmt30yld307p,C. Ikonomidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968219,9,61,1,1,58,9xmhnv6im8h7c9e17oqvcx8gl,0,48.1,17.3,2023-02-18T08:48:36.610Z,2023-02-18T11:36:51Z,4038834651,56,Back,,,,,,,,,,,,,,,,,,,,,,njzhdtpegev8seam0oe0zpp1,B. Fornaroli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968211,37,43,1,2,0,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-02-18T08:48:38.402Z,2023-02-18T08:48:53Z,4038834627,56,Left,4038834825,144,8,,,,,,,,,,,,,,,,,,,bwxn7o8ved1xo5bmfkfgzekiy,J. Bos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968223,38,49,1,2,0,c33jm806py6adse5wv9wx6ch1,1,63.3,86.6,2023-02-18T08:48:39.041Z,2023-02-18T08:48:39Z,,,,,,,,,,,,,,,,,,,,,,,,,bwxn7o8ved1xo5bmfkfgzekiy,J. Bos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968229,10,45,1,2,1,9xmhnv6im8h7c9e17oqvcx8gl,0,30.6,18.5,2023-02-18T08:48:39.617Z,2023-02-18T12:17:33Z,4038834681,285,,4038834691,233,39,4038834679,56,Back,,,,,,,,,,,,,,,,95sml1vx1fwwhq8p32p60e11x,J. Geria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968227,39,3,1,2,1,c33jm806py6adse5wv9wx6ch1,1,69.4,81.5,2023-02-18T08:48:39.617Z,2023-02-18T11:37:05Z,4038834671,56,Left,4038834673,286,,4038939867,465,,4038834683,233,10,,,,,,,,,,,,,bwxn7o8ved1xo5bmfkfgzekiy,J. Bos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968295,17,43,1,2,2,9xmhnv6im8h7c9e17oqvcx8gl,1,0,0,2023-02-18T08:48:40.769Z,2023-02-18T11:37:18Z,4038940019,144,45,4038834863,56,Back,4038834865,285,0,,,,,,,,,,,,,,,,w8u1a5hrtitytfof3jk0zbh1,J. Brillante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968233,40,43,1,2,2,c33jm806py6adse5wv9wx6ch1,1,0,0,2023-02-18T08:48:40.769Z,2023-02-18T11:37:16Z,4038939987,144,3,4038834891,233,17,4038834697,286,0,4038834695,56,Left,,,,,,,,,,,,,bwxn7o8ved1xo5bmfkfgzekiy,J. Bos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968235,41,1,1,2,4,c33jm806py6adse5wv9wx6ch1,0,80.4,81.3,2023-02-18T08:48:42.946Z,2023-02-18T08:48:43Z,4038834699,56,Center,4038834703,141,63.8,4038834707,213,4.9,4038834701,140,82.2,4038834705,212,12.0,,,,,,,,,,bwxn7o8ved1xo5bmfkfgzekiy,J. Bos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968239,11,49,1,2,6,9xmhnv6im8h7c9e17oqvcx8gl,1,16.6,44.3,2023-02-18T08:48:44.913Z,2023-02-18T08:48:45Z,,,,,,,,,,,,,,,,,,,,,,,,,yhkueqgsvvd5fzdffg9nky51,Roderick Miranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968243,12,1,1,2,6,9xmhnv6im8h7c9e17oqvcx8gl,0,16.6,44.3,2023-02-18T08:48:44.968Z,2023-02-18T08:48:46Z,4038834737,233,42,4038834725,141,43.1,4038834723,140,17.1,4038834735,236,,4038834741,286,,4038834727,212,1.0,4038834721,56,Back,4038834729,213,5.3,yhkueqgsvvd5fzdffg9nky51,Roderick Miranda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508968245,42,74,1,2,6,c33jm806py6adse5wv9wx6ch1,1,80.2,66.3,2023-02-18T08:48:44.969Z,2023-02-18T08:50:56Z,4038834749,233,12,4038834731,56,Center,4038834733,285,,,,,,,,,,,,,,,,,7cdvlgpi8g3e8ttspzvr1k251,M. Leckie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
