id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/17/value,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2481548761,6,1,1,2,7,c4ygb6mnh53kpl2mpxe52l8jw,1,73.4,5.6,2022-11-05T08:48:06.941Z,2022-11-05T08:48:09Z,3894585203,152,,3894585211,212,15.8,3894585205,56,Center,3894585213,213,1.7,3894585207,140,72.0,3894585201,5,,3894585209,141,28.8,,,,36gq011by1cjkem274ahdfg89,Marco Túlio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548767,7,1,1,2,9,c4ygb6mnh53kpl2mpxe52l8jw,0,72,28.8,2022-11-05T08:48:09.131Z,2022-11-06T09:23:42Z,3898395885,72,,3894585243,140,87.7,3894585247,212,24.7,3894585249,213,0.8,3894585241,56,Center,3894585245,141,55.8,3894585237,2,,3898395883,223,,e5ycwhcy49624czidh67ihiad,B. Nkololo,3894585239,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548777,15,12,1,2,11,6h553bwfqkoxayuv80uikkn42,1,14.5,42.7,2022-11-05T08:48:10.987Z,2022-11-05T08:48:57Z,3894585291,15,,3894585277,141,44.5,3894585271,56,Back,3894585273,140,29.6,3894585283,212,15.9,3894585287,213,0.1,,,,,,,dreyp9vpkgl8t38erpkrfwsbu,C. Nieuwenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548801,8,1,1,2,14,c4ygb6mnh53kpl2mpxe52l8jw,1,65.5,57.9,2022-11-05T08:48:14.027Z,2022-11-05T08:49:07Z,3894585397,56,Right,3894585399,140,74.4,3894585403,212,36.8,3894585405,213,5.0,3894585407,1,,3894585401,141,5.5,,,,,,,b64xe0hw5h2k79a52awusbkve,T. Aquilina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548813,9,1,1,2,17,c4ygb6mnh53kpl2mpxe52l8jw,1,72.1,9.1,2022-11-05T08:48:17.754Z,2022-11-05T08:48:20Z,3894585453,140,69.9,3894585451,56,Center,3894585457,212,10.7,3894585455,141,24.4,3894585461,213,1.8,,,,,,,,,,e5ycwhcy49624czidh67ihiad,B. Nkololo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548819,10,1,1,2,20,c4ygb6mnh53kpl2mpxe52l8jw,1,69.9,24.4,2022-11-05T08:48:20.444Z,2022-11-05T08:48:21Z,3894585479,56,Right,3894585481,140,63.1,3894585487,213,4.0,3894585485,212,10.8,3894585483,141,12.5,,,,,,,,,,7qwmlcxsxlxmq01g7dkt7v14a,M. Balard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548827,11,1,1,2,21,c4ygb6mnh53kpl2mpxe52l8jw,1,63.1,12.5,2022-11-05T08:48:21.211Z,2022-11-05T08:48:23Z,3894585525,141,30.6,3894585521,56,Back,3894585529,213,2.6,3894585527,212,22.2,3894585523,140,45.5,,,,,,,,,,b64xe0hw5h2k79a52awusbkve,T. Aquilina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548841,12,1,1,2,23,c4ygb6mnh53kpl2mpxe52l8jw,1,45.5,30.6,2022-11-05T08:48:23.707Z,2022-11-05T08:48:26Z,3894585571,141,65.5,3894585575,213,1.7,3894585569,140,43.5,3894585567,56,Back,3894585573,212,23.8,,,,,,,,,,6iohupgr9c0l4xy19b02kgsx6,N. Triantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548857,13,1,1,2,26,c4ygb6mnh53kpl2mpxe52l8jw,1,42.8,69.4,2022-11-05T08:48:26.411Z,2022-11-05T08:48:31Z,3894585675,212,27.7,3894585671,140,63.2,3894585677,213,0.7,3894585673,141,95.3,3894585669,56,Left,,,,,,,,,,5l9ozhnxtdp4w8dawcskpx5ud,B. Kaltak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481548873,14,1,1,2,33,c4ygb6mnh53kpl2mpxe52l8jw,1,64.3,93.8,2022-11-05T08:48:33.019Z,2022-11-06T09:25:32Z,3894585927,210,13,3894585733,212,46.6,3894585729,140,87.8,3894585929,154,,3894585727,56,Center,3894585725,155,,3894585735,213,5.3,3894585731,141,35.7,b8ptjj6m4jh83ixhtny9o2v4k,J. Farrell,3894585737,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
