id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2530092027,5,1,1,0,11,chu9blh367xs3yumct5tqto2q,1,12.5,9.7,2023-04-08T07:00:29.832Z,2023-04-08T07:00:32Z,4171520775,56,Back,4171520781,212,10.9,4171520777,140,22.2,4171520779,141,4.0,4171520783,213,5.9,,,,,,,,,,a9a2obtq50arrgfe7m0cd0qtx,C. Jenkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092035,6,1,1,0,13,chu9blh367xs3yumct5tqto2q,0,22.1,2.3,2023-04-08T07:00:31.895Z,2023-04-08T07:04:56Z,4171520799,56,Back,4171520801,140,23.6,4171520805,212,1.6,4171520815,286,,4171520807,213,0,4171520811,233,7,4171520809,236,,4171520803,141,2.3,b64xe0hw5h2k79a52awusbkve,T. Aquilina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092029,7,74,1,0,13,v046no35g7ebk8lytdjmfb43,1,79.8,96.8,2023-04-08T07:00:31.896Z,2023-04-08T07:00:34Z,4171520787,56,Left,4171520823,233,6,4171520789,285,,,,,,,,,,,,,,,,,11kqna4zthfmc592eudehj3oq,J. Lofthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092047,7,5,1,0,14,chu9blh367xs3yumct5tqto2q,1,21.3,-1.8,2023-04-08T07:00:32.652Z,2023-04-08T07:03:34Z,4171520855,347,,4171520853,56,Back,4171520857,233,8,,,,,,,,,,,,,,,,b64xe0hw5h2k79a52awusbkve,T. Aquilina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092033,8,5,1,0,14,v046no35g7ebk8lytdjmfb43,0,78.7,101.8,2023-04-08T07:00:32.652Z,2023-04-08T07:00:35Z,4171520797,347,,4171520795,56,Left,4171520867,233,7,,,,,,,,,,,,,,,,11kqna4zthfmc592eudehj3oq,J. Lofthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092051,8,1,1,0,18,chu9blh367xs3yumct5tqto2q,1,26,0,2023-04-08T07:00:36.535Z,2023-04-08T07:00:38Z,4171520891,140,26.1,4171520895,212,7.9,4171520889,56,Back,4171520897,213,1.6,4171520887,107,,4171520893,141,9.7,,,,,,,b64xe0hw5h2k79a52awusbkve,T. Aquilina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092053,9,1,1,0,19,chu9blh367xs3yumct5tqto2q,0,26.1,9.7,2023-04-08T07:00:37.711Z,2023-04-09T16:25:54Z,4171524035,155,,4171520917,212,21.9,4171520913,140,47.0,4171520911,56,Back,4171520919,213,6.3,4171520915,141,9.2,,,,,,,37ymn40mii3xfovk1iyg6mthx,B. O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092055,9,1,1,0,21,v046no35g7ebk8lytdjmfb43,0,56,85.7,2023-04-08T07:00:39.332Z,2023-04-09T16:25:52Z,4171520939,141,74.4,4171520933,3,,4171520941,212,31.2,4171520943,213,6.0,4171520935,56,Center,4171520937,140,84.8,,,,,,,7nhzkoa6bywrlkj9nc3f5ylii,T. Gomulka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092059,10,44,1,0,22,chu9blh367xs3yumct5tqto2q,1,17.1,26.2,2023-04-08T07:00:40.344Z,2023-04-09T16:25:48Z,4171520953,285,,4171523413,233,46,4171520951,56,Back,,,,,,,,,,,,,,,,a9a2obtq50arrgfe7m0cd0qtx,C. Jenkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092519,46,44,1,0,22,v046no35g7ebk8lytdjmfb43,0,82.9,73.8,2023-04-08T07:00:40.345Z,2023-04-09T16:25:51Z,4171523399,286,,4171523397,56,Center,4171523417,233,10,,,,,,,,,,,,,,,,2h9me0kgogb1ke6327y78hk9h,S. Šćepović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092067,11,1,1,0,23,chu9blh367xs3yumct5tqto2q,0,13.1,27.9,2023-04-08T07:00:41.984Z,2023-04-09T16:25:57Z,4171520989,213,6.2,4171520983,140,30.3,4171520979,3,,4171520985,141,25.8,4171520981,56,Back,4171520987,212,18.1,,,,,,,a9a2obtq50arrgfe7m0cd0qtx,C. Jenkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092061,10,8,1,0,24,v046no35g7ebk8lytdjmfb43,1,75.7,73.6,2023-04-08T07:00:43.053Z,2023-04-09T16:26:00Z,4171520957,56,Center,4171525709,15,,4177222471,384,,,,,,,,,,,,,,,,,1hcnrw2udxcdff6bre73sv1pm,H. Hore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092071,12,1,1,0,26,chu9blh367xs3yumct5tqto2q,0,30.3,25.8,2023-04-08T07:00:44.392Z,2023-04-08T07:05:51Z,4171521007,212,7.3,4171520999,3,,4171521001,56,Back,4171521005,141,15.5,4171521003,140,32.3,4171521009,213,5.0,,,,,,,9lh56gt4nxb29rm416rb6lv1m,A. Thurgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092069,11,49,1,0,27,v046no35g7ebk8lytdjmfb43,1,72.7,74.8,2023-04-08T07:00:46.045Z,2023-04-08T07:00:46Z,,,,,,,,,,,,,,,,,,,,,,,,,abfwfqsv8o9xsnkor896869cl,J. O'Shea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092075,12,1,1,0,28,v046no35g7ebk8lytdjmfb43,1,72.7,75.6,2023-04-08T07:00:46.317Z,2023-04-08T07:08:23Z,4171521031,140,72.0,4171521035,212,13.6,4171521029,56,Left,4171521037,213,1.6,4171521033,141,95.6,,,,,,,,,,abfwfqsv8o9xsnkor896869cl,J. O'Shea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092073,13,43,1,0,28,chu9blh367xs3yumct5tqto2q,1,0,0,2023-04-08T07:00:46.696Z,2023-04-08T07:09:43Z,4171521015,56,Back,4171521017,140,36.4,4171521021,212,3.8,4171527203,144,1,4171521023,213,6.1,4171521019,141,17.4,4171521013,3,0,,,,9lh56gt4nxb29rm416rb6lv1m,A. Thurgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092083,13,1,1,0,29,v046no35g7ebk8lytdjmfb43,1,72,95.6,2023-04-08T07:00:47.837Z,2023-04-09T16:26:53Z,4171521073,212,20.4,4171521067,56,Center,4171521211,210,13,4171521071,141,76.1,4171521069,140,86.8,4171521075,213,5.6,,,,,,,cap22dno3uid8jyckne737tyi,N. Smith,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092085,14,13,1,0,32,v046no35g7ebk8lytdjmfb43,1,87.5,69.5,2023-04-08T07:00:50.549Z,2023-04-09T16:26:53Z,4171521221,102,37.8,4171521085,56,Center,4171528005,120,,4171521213,75,,4171528007,215,,4171521223,103,9.7,4171521225,230,97.8,4171521217,55,13,1hcnrw2udxcdff6bre73sv1pm,H. Hore,,4171521215,29,4171521227,231,54.7,4171521081,22,4171521083,64,4171521161,20,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092103,14,5,1,0,36,chu9blh367xs3yumct5tqto2q,1,-0.8,58.4,2023-04-08T07:00:54.444Z,2023-04-08T07:03:34Z,4171521145,56,Back,4171521147,346,,4171521153,233,15,,,,,,,,,,,,,,,,4epapct9t0a0skf8522jyerjd,M. Weier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092087,15,5,1,0,36,v046no35g7ebk8lytdjmfb43,0,100.8,41.6,2023-04-08T07:00:54.444Z,2023-04-08T07:00:59Z,4171521101,56,Center,4171521103,346,,4171521157,233,14,,,,,,,,,,,,,,,,1hcnrw2udxcdff6bre73sv1pm,H. Hore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092129,15,1,1,0,54,chu9blh367xs3yumct5tqto2q,1,4.1,52.4,2023-04-08T07:01:13.016Z,2023-04-08T07:01:14Z,4171521275,1,,4171521269,141,92.7,4171521267,140,55.1,4171521265,56,Left,4171521279,74,,4171521263,155,,4171521285,189,,4171521271,212,60.2,4epapct9t0a0skf8522jyerjd,M. Weier,,4171521273,213,4171521261,124,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
2530092137,16,1,1,0,55,chu9blh367xs3yumct5tqto2q,1,55.3,92.7,2023-04-08T07:01:13.601Z,2023-04-08T07:52:52Z,4171521307,141,68.7,4171521311,213,5.0,4171521305,140,60.0,4171521303,56,Center,4171521309,212,17.0,,,,,,,,,,ukb790rcuwjsylvtyu822prd,R. Piscopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092139,17,1,1,0,56,chu9blh367xs3yumct5tqto2q,1,60,68.7,2023-04-08T07:01:14.103Z,2023-04-08T07:52:54Z,4171521321,141,70.0,4171521325,213,0.1,4171521317,56,Center,4171521319,140,69.7,4171521323,212,10.2,,,,,,,,,,9lh56gt4nxb29rm416rb6lv1m,A. Thurgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530099899,422,45,1,0,57,v046no35g7ebk8lytdjmfb43,0,28.5,36.5,2023-04-08T07:01:15.055Z,2023-04-08T07:52:50Z,4171561141,285,,4171561139,56,Back,4171561227,233,500,,,,,,,,,,,,,,,,11kqna4zthfmc592eudehj3oq,J. Lofthouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530099915,500,3,1,0,57,chu9blh367xs3yumct5tqto2q,1,71.5,63.5,2023-04-08T07:01:15.055Z,2023-04-09T16:27:41Z,4171561219,233,422,4171561207,56,Center,4177225029,464,,4171561209,286,,,,,,,,,,,,,,dmk1iij050mf8g3sdc3cvhazt,D. Ingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092141,18,1,1,0,59,chu9blh367xs3yumct5tqto2q,1,69.7,70,2023-04-08T07:01:17.223Z,2023-04-08T07:01:18Z,4171521343,213,3.7,4171521339,141,59.6,4171521335,56,Center,4171521337,140,59.2,4171521341,212,13.1,,,,,,,,,,dmk1iij050mf8g3sdc3cvhazt,D. Ingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092153,19,1,1,1,0,chu9blh367xs3yumct5tqto2q,1,59.2,59.6,2023-04-08T07:01:18.744Z,2023-04-08T07:01:23Z,4171521387,56,Center,4171521395,213,5.3,4171521391,141,38.0,4171521393,212,17.8,4171521389,140,68.7,,,,,,,,,,9lh56gt4nxb29rm416rb6lv1m,A. Thurgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092157,20,1,1,1,3,chu9blh367xs3yumct5tqto2q,1,71.2,36.6,2023-04-08T07:01:21.575Z,2023-04-09T16:29:03Z,4171521407,141,17.3,4171521411,213,5.6,4171521405,140,87.8,4171521403,56,Right,4171521409,212,21.8,,,,,,,,,,b64xe0hw5h2k79a52awusbkve,T. Aquilina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092161,21,1,1,1,4,chu9blh367xs3yumct5tqto2q,0,86.9,21.9,2023-04-08T07:01:22.184Z,2023-04-09T16:29:11Z,4171521439,233,16,4171521423,56,Center,4177227657,20,,4171521437,236,,4177227655,224,,4171521427,141,25.8,4171521425,140,89.2,4171521431,213,0.8,6lu5jfgq3rxunqnbbxpu8ztyi,K. Grozos,,4171521443,286,4171521419,2,,4171521429,212,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,
2530092155,16,12,1,1,4,v046no35g7ebk8lytdjmfb43,1,12.2,76,2023-04-08T07:01:22.284Z,2023-04-09T17:07:22Z,4171521399,185,,4171521451,233,21,4171521401,56,Back,,,,,,,,,,,,,,,,cap22dno3uid8jyckne737tyi,N. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092175,22,1,1,1,10,chu9blh367xs3yumct5tqto2q,1,82.4,3.5,2023-04-08T07:01:28.232Z,2023-04-08T07:01:31Z,4171521475,212,9.8,4171521469,56,Right,4171521471,140,77.6,4171521477,213,2.1,4171521473,141,15.9,,,,,,,,,,6lu5jfgq3rxunqnbbxpu8ztyi,K. Grozos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092179,23,1,1,1,13,chu9blh367xs3yumct5tqto2q,1,78.6,12.5,2023-04-08T07:01:31.288Z,2023-04-08T07:01:33Z,4171521485,56,Right,4171521493,213,4.2,4171521489,141,4.3,4171521487,140,75.6,4171521491,212,6.4,,,,,,,,,,9lh56gt4nxb29rm416rb6lv1m,A. Thurgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092187,24,1,1,1,15,chu9blh367xs3yumct5tqto2q,1,74.6,4,2023-04-08T07:01:33.464Z,2023-04-08T07:01:36Z,4171521519,212,20.9,4171521515,140,57.0,4171521521,213,2.7,4171521513,56,Right,4171521517,141,18.2,,,,,,,,,,6lu5jfgq3rxunqnbbxpu8ztyi,K. Grozos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092197,25,1,1,1,18,chu9blh367xs3yumct5tqto2q,1,56.6,18.3,2023-04-08T07:01:36.711Z,2023-04-08T07:01:40Z,4171521553,141,34.2,4171521557,213,1.3,4171521555,212,11.2,4171521551,140,59.3,4171521549,56,Center,,,,,,,,,,a9a2obtq50arrgfe7m0cd0qtx,C. Jenkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092205,26,1,1,1,22,chu9blh367xs3yumct5tqto2q,1,69.1,26.6,2023-04-08T07:01:40.760Z,2023-04-09T16:29:48Z,4171521589,213,5.7,4171521581,56,Right,4171521585,141,15.9,4171521587,212,13.7,4171521583,140,80.2,,,,,,,,,,ukb790rcuwjsylvtyu822prd,R. Piscopo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092209,27,1,1,1,24,chu9blh367xs3yumct5tqto2q,0,86.6,14.9,2023-04-08T07:01:42.280Z,2023-04-09T16:30:05Z,4171521603,140,96.0,4177229153,386,,4171521597,2,,4171521609,213,1.2,4171521607,212,24.5,4177229155,20,,4177229151,225,,4171521605,141,47.8,b64xe0hw5h2k79a52awusbkve,T. Aquilina,,4171521601,56,,,,,,,,,,Center,,,,,,,,,,,,,,,,,,,,,,,,,
2530092213,17,52,1,1,25,v046no35g7ebk8lytdjmfb43,1,3.9,50.4,2023-04-08T07:01:43.997Z,2023-04-09T16:30:09Z,4177229287,376,,,,,,,,,,,,,,,,,,,,,,,cb0y1hi0ozn1rx00vx6a1xr6x,J. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092229,18,1,1,1,35,v046no35g7ebk8lytdjmfb43,1,14.8,44.5,2023-04-08T07:01:53.548Z,2023-04-09T16:30:31Z,4171521717,212,18.2,4171521711,56,Back,4171521715,141,17.7,4171521713,140,15.5,4171521709,123,,4177230237,189,,4171521719,213,4.8,,,,cb0y1hi0ozn1rx00vx6a1xr6x,J. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092231,19,1,1,1,41,v046no35g7ebk8lytdjmfb43,1,15.8,18,2023-04-08T07:01:59.517Z,2023-04-08T07:02:02Z,4171521735,212,53.4,4171521731,140,64.6,4171521737,213,0.3,4171521729,56,Center,4171521727,155,,4171521739,1,,4171521733,141,40.1,,,,7mgwfxva7w88k90jhjd1wx3o5,S. Neville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092237,20,1,1,1,43,v046no35g7ebk8lytdjmfb43,1,62,40.7,2023-04-08T07:02:01.935Z,2023-04-08T07:13:04Z,4171521761,140,46.4,4171521765,212,17.5,4171521759,56,Back,4171521767,213,3.5,4171521763,141,31.5,,,,,,,,,,2h9me0kgogb1ke6327y78hk9h,S. Šćepović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092241,21,1,1,1,47,v046no35g7ebk8lytdjmfb43,1,56,34.9,2023-04-08T07:02:05.468Z,2023-04-08T07:14:25Z,4171521791,213,1.7,4171521783,56,Left,4171521789,212,36.1,4171521787,141,87.5,4171521793,1,,4171521785,140,51.3,,,,,,,7nhzkoa6bywrlkj9nc3f5ylii,T. Gomulka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092247,22,1,1,1,52,v046no35g7ebk8lytdjmfb43,1,53.7,83,2023-04-08T07:02:10.173Z,2023-04-08T07:02:13Z,4171521819,141,50.4,4171521823,213,4.5,4171521815,56,Back,4171521821,212,22.6,4171521817,140,49.3,,,,,,,,,,cap22dno3uid8jyckne737tyi,N. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092255,23,1,1,1,55,v046no35g7ebk8lytdjmfb43,1,50.5,46.7,2023-04-08T07:02:13.485Z,2023-04-08T07:02:17Z,4171521853,56,Right,4171521861,213,5.5,4171521859,212,41.5,4171521857,141,3.4,4171521855,140,78.4,4171521863,1,,4171521851,155,,,,,7nhzkoa6bywrlkj9nc3f5ylii,T. Gomulka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092263,24,1,1,1,59,v046no35g7ebk8lytdjmfb43,0,91.9,7.9,2023-04-08T07:02:17.660Z,2023-04-09T16:31:35Z,4177232977,20,,4171521893,140,94.5,4171521899,213,1.5,4177232975,224,,4171521887,2,,4171521889,155,,4171521897,212,26.7,4171521891,56,Center,4gn22fnshsmgxyayuj2p77v85,J. Hingert,,4171521895,141,,,,,,,,,,46.9,,,,,,,,,,,,,,,,,,,,,,,,,
2530092277,28,12,1,2,2,chu9blh367xs3yumct5tqto2q,1,8.3,55.8,2023-04-08T07:02:20.520Z,2023-04-08T07:02:22Z,4171521945,140,14.2,4171521965,15,,4171521947,141,63.9,4171521951,213,0.7,4171521949,212,8.3,4171521943,56,Back,,,,,,,bpm5mr9bgqdsnc5cesnf2ga1h,M. Jurman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530092275,25,44,1,2,2,v046no35g7ebk8lytdjmfb43,1,86.9,34.7,2023-04-08T07:02:20.797Z,2023-04-08T07:02:23Z,4171521981,233,29,4171521941,286,,4171521939,56,Center,,,,,,,,,,,,,,,,1hcnrw2udxcdff6bre73sv1pm,H. Hore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
