id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/16/value
2517740761,5,8,1,0,14,cuj4qahgk4idsme4dg8clk6gw,1,18,82.7,2023-03-10T11:00:24.754Z,2023-03-11T08:13:30Z,4085196105,56,Back,4087267773,383,,,,,,,,,,,,,,,,,,,,5ik9yg42hblwa27q4p29awyj9,A. McEneff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740771,6,49,1,0,16,cuj4qahgk4idsme4dg8clk6gw,1,13.2,88.6,2023-03-10T11:00:26.179Z,2023-03-10T11:00:26Z,,,,,,,,,,,,,,,,,,,,,,,,,5ik9yg42hblwa27q4p29awyj9,A. McEneff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740785,7,1,1,0,17,cuj4qahgk4idsme4dg8clk6gw,0,12,96,2023-03-10T11:00:27.588Z,2023-03-11T08:14:29Z,4085196209,213,0.2,4085196201,56,Back,4085196203,140,27.1,4087267995,157,,4087267997,1,,4085196207,212,16.3,4085196205,141,100.0,,,,5ik9yg42hblwa27q4p29awyj9,A. McEneff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740797,7,43,1,0,21,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-03-10T11:00:31.217Z,2023-03-10T11:01:20Z,4085196269,212,7.1,4085196271,213,5.7,4085196261,3,0,4085196267,141,0.0,4085196265,140,67.5,4085196263,56,Right,4085197211,144,1,,,,9iebtrpherpydugn7m9hrcl3p,T. Mrčela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740801,8,5,1,0,21,6h553bwfqkoxayuv80uikkn42,1,69.8,-1.8,2023-03-10T11:00:31.683Z,2023-03-10T11:01:04Z,4085196277,56,Right,4085196279,347,,4085196929,233,8,,,,,,,,,,,,,,,,9iebtrpherpydugn7m9hrcl3p,T. Mrčela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740825,8,5,1,0,21,cuj4qahgk4idsme4dg8clk6gw,0,30.2,101.8,2023-03-10T11:00:31.683Z,2023-03-10T11:11:35Z,4085196379,347,,4085196377,56,Back,4085196933,233,8,,,,,,,,,,,,,,,,5ik9yg42hblwa27q4p29awyj9,A. McEneff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740849,9,1,1,0,33,6h553bwfqkoxayuv80uikkn42,1,70.1,0,2023-03-10T11:00:43.344Z,2023-03-10T11:00:44Z,4085196487,213,1.1,4085196477,107,,4085196485,212,6.0,4085196483,141,6.4,4085196481,140,72.7,4085196479,56,Right,,,,,,,9xqw0h9piwsalgt47y5m6fr2t,R. Amalfitano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740853,10,1,1,0,34,6h553bwfqkoxayuv80uikkn42,1,73.8,6.5,2023-03-10T11:00:44.400Z,2023-03-10T11:00:45Z,4085196513,156,,4085196501,141,2.3,4085196505,213,3.8,4085196495,56,Right,4085196497,140,70.2,4085196503,212,4.7,,,,,,,dreyp9vpkgl8t38erpkrfwsbu,C. Nieuwenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740871,11,1,1,0,36,6h553bwfqkoxayuv80uikkn42,1,72.4,1.9,2023-03-10T11:00:46.831Z,2023-03-11T08:14:56Z,4085196591,212,1.9,4085196587,141,1.9,4085196593,213,0,4085196585,140,74.2,4085196583,56,Right,,,,,,,,,,9xqw0h9piwsalgt47y5m6fr2t,R. Amalfitano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740879,12,1,1,0,38,6h553bwfqkoxayuv80uikkn42,1,74.8,1.9,2023-03-10T11:00:48.272Z,2023-03-10T11:00:50Z,4085196621,141,3.8,4085196617,56,Right,4085196623,212,5.8,4085196619,140,69.4,4085196625,213,2.9,,,,,,,,,,dreyp9vpkgl8t38erpkrfwsbu,C. Nieuwenhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740903,13,1,1,0,40,6h553bwfqkoxayuv80uikkn42,1,69.3,4.1,2023-03-10T11:00:50.111Z,2023-03-10T11:00:54Z,4085196709,140,74.4,4085196715,213,6.0,4085196707,56,Right,4085196713,212,5.6,4085196711,141,1.7,,,,,,,,,,e8iey6bpyyfd0u8lovucrc2xh,M. Ninković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740905,14,1,1,0,43,6h553bwfqkoxayuv80uikkn42,0,74.4,1.7,2023-03-10T11:00:53.176Z,2023-03-10T11:01:42Z,4085196741,236,,4085196721,140,74.8,4085196727,213,1.1,4085196743,233,9,4085196719,56,Right,4085196725,212,0.9,4085196747,286,,4085196723,141,2.8,dmj5oe18blqnxozkfd8q5myfp,A. Layouni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740899,9,74,1,0,43,cuj4qahgk4idsme4dg8clk6gw,1,21.8,95.1,2023-03-10T11:00:53.177Z,2023-03-10T11:11:31Z,4085196695,285,,4085196753,233,14,4085196693,56,Back,,,,,,,,,,,,,,,,8gzsegmgy3fjcluzdci515j2t,J. Clisby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740909,10,5,1,0,44,cuj4qahgk4idsme4dg8clk6gw,0,28.4,101.6,2023-03-10T11:00:54.722Z,2023-03-10T11:00:57Z,4085196785,233,15,4085196751,347,,4085196749,56,Back,,,,,,,,,,,,,,,,8gzsegmgy3fjcluzdci515j2t,J. Clisby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740915,15,5,1,0,44,6h553bwfqkoxayuv80uikkn42,1,71.6,-1.6,2023-03-10T11:00:54.722Z,2023-03-10T11:11:35Z,4085196769,347,,4085196781,233,10,4085196767,56,Right,,,,,,,,,,,,,,,,dmj5oe18blqnxozkfd8q5myfp,A. Layouni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740919,16,1,1,0,47,6h553bwfqkoxayuv80uikkn42,1,67.4,0,2023-03-10T11:00:57.023Z,2023-03-10T11:00:59Z,4085196795,56,Center,4085196803,213,1.9,4085196797,140,59.4,4085196805,1,,4085196793,107,,4085196801,212,25.7,4085196799,141,34.1,,,,9xqw0h9piwsalgt47y5m6fr2t,R. Amalfitano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740925,17,1,1,0,49,6h553bwfqkoxayuv80uikkn42,1,58.9,35.3,2023-03-10T11:00:59.311Z,2023-03-10T11:01:01Z,4085196829,212,20.4,4085196831,213,1.8,4085196823,56,Center,4085196825,140,53.8,4085196827,141,64.2,,,,,,,,,,dxb1r4gqgxkngb0pzvfby9iol,M. Schneiderlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740931,18,1,1,0,51,6h553bwfqkoxayuv80uikkn42,1,53.5,65.4,2023-03-10T11:01:01.535Z,2023-03-10T11:01:02Z,4085196865,212,10.5,4085196859,56,Center,4085196867,213,5.9,4085196861,140,62.6,4085196863,141,59.1,,,,,,,,,,4rv3p2e0scrkce2l3budvzqol,A. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740945,19,1,1,0,52,6h553bwfqkoxayuv80uikkn42,1,62.7,59.1,2023-03-10T11:01:02.464Z,2023-03-10T11:01:04Z,4085196943,56,Center,4085196951,213,2.6,4085196949,212,12.3,4085196947,141,68.4,4085196945,140,52.7,,,,,,,,,,1yqlkot5sh85ot3eemo67djv9,Y. N'Gbakoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740963,20,1,1,0,54,6h553bwfqkoxayuv80uikkn42,1,52.7,68.4,2023-03-10T11:01:04.080Z,2023-03-10T11:01:08Z,4085197023,213,0.9,4085197019,141,87.9,4085197015,56,Left,4085197021,212,16.9,4085197017,140,62.7,,,,,,,,,,4rv3p2e0scrkce2l3budvzqol,A. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740967,21,4,1,0,58,6h553bwfqkoxayuv80uikkn42,1,63.3,90.2,2023-03-10T11:01:07.951Z,2023-03-10T11:01:12Z,4085197101,233,11,4085197039,13,,4085197049,265,,4085197041,56,Left,4085197045,152,,4085197051,286,,,,,,,,1yqlkot5sh85ot3eemo67djv9,Y. N'Gbakoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517740979,11,4,1,0,58,cuj4qahgk4idsme4dg8clk6gw,0,36.7,9.8,2023-03-10T11:01:07.952Z,2023-03-10T11:01:12Z,4085197109,233,21,4085197083,265,,4085197079,56,Back,4085197085,285,,4085197081,152,,4085197077,13,,,,,,,,4hudkn0jcog2v9q8qv1vngij9,J. Elsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741287,12,17,1,1,40,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-03-10T11:01:49.985Z,2023-03-10T11:02:38Z,4085198397,33,,4085198399,245,,,,,,,,,,,,,,,,,,,,4hudkn0jcog2v9q8qv1vngij9,J. Elsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517743987,127,40,1,1,45,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-03-10T11:01:55.223Z,2023-03-10T11:51:11Z,4085212311,30,"1vr7xk50jy6ytnogke8h6ciga, 5pjrdhytzrteyqxxcvxxhjqax, 8gzsegmgy3fjcluzdci515j2t, 9sczcrp79182vio8prnrw5kdm, adhfs6658xx5hpxur1496kv6d, 68mqljqiwgzgextvvyncb3avp, 4wk0sw7u4c17v2owhx5bhmusq, 5ik9yg42hblwa27q4p29awyj9, 2tveu4wl8zdno0v950r0r34k5, cufgsqfkltgeb7ak2uan2dqdx, 5c8v9xugyq3jm2kik1eeoptnu, 61rdelnm1qf1rh24z6omazu1h, 869lv47g5aohwwzeyzx9xmt7u, 1smjjhc426d9s9ly2g41cqvl6, dq73n90z7dgfp2bhh7y3d8161, bnpu23zlwzn5gtr4t8j8qtnh0, d1vlidmmd1z2oc6h24i2v5fro",4085212319,131,"1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 0, 0, 0, 0, 0, 0, 0",4085212315,59,"13, 2, 14, 4, 29, 5, 16, 6, 22, 7, 3, 18, 19, 28, 30, 37, 43",4085212321,194,68mqljqiwgzgextvvyncb3avp,4085212317,130,9,4085212313,44,"1, 2, 2, 3, 2, 2, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741311,13,27,1,2,0,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-03-10T11:02:10.273Z,2023-03-10T11:11:37Z,4085208089,233,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741273,22,27,1,2,0,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-03-10T11:02:10.273Z,2023-03-10T11:11:37Z,4085198331,41,Injury,4085198337,53,1yqlkot5sh85ot3eemo67djv9,4085208105,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741323,14,28,1,2,31,cuj4qahgk4idsme4dg8clk6gw,1,0,0,2023-03-10T11:02:41.615Z,2023-03-10T11:02:51Z,4085198611,233,23,4085198517,55,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741295,23,28,1,2,31,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-03-10T11:02:41.615Z,2023-03-10T11:02:52Z,4085198423,55,22,4085198621,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741329,24,1,1,2,35,6h553bwfqkoxayuv80uikkn42,1,53.1,87.3,2023-03-10T11:02:45.710Z,2023-03-10T11:02:48Z,4085198539,152,,4085198549,141,71.1,4085198553,213,3.6,4085198545,140,33.1,4085198543,56,Back,4085198551,212,23.7,4085198537,5,,,,,dxb1r4gqgxkngb0pzvfby9iol,M. Schneiderlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741339,25,1,1,2,38,6h553bwfqkoxayuv80uikkn42,1,33.1,71.1,2023-03-10T11:02:48.207Z,2023-03-10T11:02:50Z,4085198589,141,35.8,4085198591,212,24.1,4085198585,56,Back,4085198593,213,4.8,4085198587,140,35.1,,,,,,,,,,3ivpa9dqlbrg7dc71nsmaw1d5,T. Beadling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741367,26,1,1,2,40,6h553bwfqkoxayuv80uikkn42,1,35.4,35.2,2023-03-10T11:02:50.654Z,2023-03-10T11:02:57Z,4085198727,140,46.8,4085198725,56,Back,4085198733,213,1.1,4085198731,212,26.9,4085198729,141,70.7,,,,,,,,,,9iebtrpherpydugn7m9hrcl3p,T. Mrčela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741375,27,1,1,2,46,6h553bwfqkoxayuv80uikkn42,1,73.3,80.9,2023-03-10T11:02:56.839Z,2023-03-10T11:03:24Z,4085198779,212,13.7,4085198781,213,0.6,4085198773,56,Left,4085198775,140,84.1,4085198777,141,92.3,,,,,,,,,,dxb1r4gqgxkngb0pzvfby9iol,M. Schneiderlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741381,28,1,1,2,48,6h553bwfqkoxayuv80uikkn42,0,84.1,92.6,2023-03-10T11:02:57.950Z,2023-03-11T08:18:55Z,4085198809,141,71.4,4085198805,56,Center,4085198811,212,14.5,4085198813,213,4.8,4085198807,140,85.1,,,,,,,,,,4rv3p2e0scrkce2l3budvzqol,A. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741393,29,43,1,2,50,6h553bwfqkoxayuv80uikkn42,1,0,0,2023-03-10T11:03:00.182Z,2023-03-11T08:18:53Z,4085198845,140,79.3,4085198847,141,69.3,4087269049,144,1,4085198849,212,5.7,4085198851,213,3.4,4085198843,56,Center,,,,,,,pc2pewu255axe28t955qjcnp,B. Borello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518128633,672,61,1,2,50,cuj4qahgk4idsme4dg8clk6gw,1,12.3,27.1,2023-03-10T11:03:00.346Z,2023-03-11T08:18:41Z,4087269005,56,Back,,,,,,,,,,,,,,,,,,,,,,9sczcrp79182vio8prnrw5kdm,L. Bodnar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741389,15,49,1,2,52,cuj4qahgk4idsme4dg8clk6gw,1,21.3,31.9,2023-03-10T11:03:02.002Z,2023-03-10T11:14:29Z,,,,,,,,,,,,,,,,,,,,,,,,,4wk0sw7u4c17v2owhx5bhmusq,K. Jelacic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741415,16,1,1,2,52,cuj4qahgk4idsme4dg8clk6gw,1,22.2,27.7,2023-03-10T11:03:02.385Z,2023-03-10T11:14:28Z,4085198939,141,4.6,4085198941,212,16.6,4085198937,140,27.3,4085198935,56,Back,4085198943,213,5.0,,,,,,,,,,4wk0sw7u4c17v2owhx5bhmusq,K. Jelacic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518128751,673,3,1,2,55,cuj4qahgk4idsme4dg8clk6gw,0,37.4,3.8,2023-03-10T11:03:05.731Z,2023-03-11T08:20:17Z,4087269407,286,,4087269405,56,Back,4087269411,467,4rv3p2e0scrkce2l3budvzqol,4087269409,465,,,,,,,,,,,,,,2tveu4wl8zdno0v950r0r34k5,A. Taggart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741423,17,4,1,2,57,cuj4qahgk4idsme4dg8clk6gw,1,35.6,5.6,2023-03-10T11:03:07.585Z,2023-03-10T11:03:09Z,4085198961,13,,4085198971,233,30,4085198965,152,,4085198967,265,,4085198975,286,,4085198963,56,Back,,,,,,,2tveu4wl8zdno0v950r0r34k5,A. Taggart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741411,30,4,1,2,57,6h553bwfqkoxayuv80uikkn42,0,64.4,94.4,2023-03-10T11:03:07.586Z,2023-03-10T11:03:09Z,4085198911,13,,4085198919,285,,4085198913,56,Left,4085198979,233,17,4085198915,152,,4085198917,265,,,,,,,,4rv3p2e0scrkce2l3budvzqol,A. Traoré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741477,18,1,1,3,11,cuj4qahgk4idsme4dg8clk6gw,1,36.3,4.1,2023-03-10T11:03:20.945Z,2023-03-10T11:03:23Z,4085199225,213,2.3,4085199219,140,28.4,4085199223,212,13.0,4085199213,5,,4085199217,56,Back,4085199221,141,18.8,4085199215,152,,,,,5pjrdhytzrteyqxxcvxxhjqax,J. Koutroumbis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741497,19,1,1,3,13,cuj4qahgk4idsme4dg8clk6gw,1,29.2,23.3,2023-03-10T11:03:23.425Z,2023-03-10T11:03:27Z,4085199333,212,29.7,4085199331,141,66.7,4085199329,140,26.2,4085199327,56,Back,4085199335,213,1.7,,,,,,,,,,adhfs6658xx5hpxur1496kv6d,D. Lachman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741511,20,1,1,3,17,cuj4qahgk4idsme4dg8clk6gw,1,28.3,64.6,2023-03-10T11:03:27.072Z,2023-03-10T11:03:30Z,4085199399,56,Back,4085199407,213,4.4,4085199405,212,16.2,4085199403,141,42.1,4085199401,140,23.2,,,,,,,,,,68mqljqiwgzgextvvyncb3avp,M. Beevers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741543,21,1,1,3,21,cuj4qahgk4idsme4dg8clk6gw,1,22.6,39.5,2023-03-10T11:03:30.865Z,2023-03-10T11:03:37Z,4085199527,56,Back,4085199535,213,1.3,4085199533,212,21.9,4085199529,140,28.7,4085199531,141,70.3,,,,,,,,,,adhfs6658xx5hpxur1496kv6d,D. Lachman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741555,22,1,1,3,27,cuj4qahgk4idsme4dg8clk6gw,1,36.8,88.9,2023-03-10T11:03:37.009Z,2023-03-12T07:24:40Z,4085199583,140,34.7,4085199585,141,94.7,4085199587,212,4.5,4085199581,56,Back,4085199589,213,2.1,,,,,,,,,,68mqljqiwgzgextvvyncb3avp,M. Beevers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741563,23,1,1,3,29,cuj4qahgk4idsme4dg8clk6gw,1,29.3,93.8,2023-03-10T11:03:39.345Z,2023-03-12T07:24:42Z,4085199649,141,66.1,4085199653,213,4.2,4085199651,212,21.6,4085199647,140,19.3,4085199645,56,Back,,,,,,,,,,8gzsegmgy3fjcluzdci515j2t,J. Clisby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517741587,24,1,1,3,33,cuj4qahgk4idsme4dg8clk6gw,1,13.6,59.9,2023-03-10T11:03:43.153Z,2023-03-12T07:24:44Z,4085199753,56,Back,4085199759,212,17.3,4085199755,140,10.8,4085199757,141,34.9,4085199763,213,4.5,,,,,,,,,,adhfs6658xx5hpxur1496kv6d,D. Lachman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
