id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/10/value,qualifier/12/value,qualifier/15/value,qualifier/11/value,qualifier/16/value
2504245049,927,1,1,0,24,go76xxm0xyfgqt1h6tcrtimm,0,18.3,10.4,2023-02-04T17:31:46.933Z,2023-02-05T09:29:58Z,4014003001,141,26.8,4014003007,1,,4014003003,212,31.5,4014252931,178,,4014002997,56,Back,4014002999,140,46.4,4014003005,213,0.4,4014002995,157,,1mkbxdrj3myvt6jm4tx8sywgl,C. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007209,11,49,1,0,27,cz4a6wmzx2obyisadhgaccx7b,1,53.7,74.2,2023-02-04T17:31:49.921Z,2023-02-05T09:30:05Z,,,,,,,,,,,,,,,,,,,,,,,,,bm5w5xsbbflm26pdhmejwgvs9,M. Jenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007235,12,1,1,0,27,cz4a6wmzx2obyisadhgaccx7b,0,53.8,74.8,2023-02-04T17:31:49.955Z,2023-02-05T09:30:08Z,4012706043,140,85.0,4012706041,56,Left,4012706049,213,0.5,4012706047,212,37.4,4012706051,1,,4012706039,155,,4014253061,178,,4012706045,141,100.0,bm5w5xsbbflm26pdhmejwgvs9,M. Jenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007309,10,5,1,0,31,go76xxm0xyfgqt1h6tcrtimm,1,17.7,-1,2023-02-04T17:31:53.553Z,2023-02-05T09:30:11Z,4012706475,233,13,4012706437,347,,4012706435,56,Back,,,,,,,,,,,,,,,,43eq31reskwn9veb3vickralm,J. Scally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007243,13,5,1,0,31,cz4a6wmzx2obyisadhgaccx7b,0,82.3,101,2023-02-04T17:31:53.553Z,2023-02-05T09:30:11Z,4012706495,233,10,4012706093,347,,4012706091,56,Left,,,,,,,,,,,,,,,,bm5w5xsbbflm26pdhmejwgvs9,M. Jenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007795,11,1,1,1,18,go76xxm0xyfgqt1h6tcrtimm,1,31.1,0,2023-02-04T17:32:40.419Z,2023-02-05T09:30:18Z,4012708915,212,9.5,4012708911,140,34.5,4012708917,213,1.2,4012708913,141,10.9,4012708907,107,,4012708909,56,Back,,,,,,,43eq31reskwn9veb3vickralm,J. Scally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007815,12,1,1,1,19,go76xxm0xyfgqt1h6tcrtimm,1,33.7,10.7,2023-02-04T17:32:41.444Z,2023-02-05T09:30:24Z,4012709001,213,3.7,4012708999,212,8.2,4012708997,141,4.4,4012708993,56,Back,4014253361,388,,4012708995,140,27.0,,,,,,,9bdxi3mvkftmqts59jptqq76d,L. Stindl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007843,13,1,1,1,19,go76xxm0xyfgqt1h6tcrtimm,1,26.6,4.3,2023-02-04T17:32:42.275Z,2023-02-05T09:30:26Z,4012709183,212,35.1,4012709179,140,31.1,4012709177,56,Back,4012709181,141,55.5,4012709187,1,,4014253395,178,,4012709175,155,,4012709185,213,1.4,43eq31reskwn9veb3vickralm,J. Scally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007883,14,1,1,1,23,go76xxm0xyfgqt1h6tcrtimm,1,31.1,55.5,2023-02-04T17:32:46.125Z,2023-02-05T09:30:31Z,4014253439,178,,4012709355,212,16.9,4012709347,3,,4012709349,56,Back,4012709351,140,45.0,4012709357,213,5.8,4012709353,141,43.0,,,,dqrzogrwznyks6whhfhq748ut,R. Bensebaïni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504308439,1003,83,1,1,26,cz4a6wmzx2obyisadhgaccx7b,1,55.5,56.7,2023-02-04T17:32:48.571Z,2023-02-05T10:13:48Z,4014301831,399,205880,,,,,,,,,,,,,,,,,,,,,,4fvtwbl1hrxgs9lg957rxladx,M. Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
