id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2461942275,13,61,1,0,20,a8l3w3n0j99qjlsxj3jnmgkz1,0,61.5,72.4,2022-09-18T13:30:37.163Z,2022-09-18T21:25:18Z,3790524187,56,Center,3792529869,178,,,,,,,,,,,,,,,,,,,,3es8fg7y59lckypu11i68q6s5,L. Waldschmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942279,8,49,1,0,21,a8d2gb2nag8fy0itbuxmcibh2,1,39.8,33.4,2022-09-18T13:30:38.546Z,2022-09-18T21:25:30Z,,,,,,,,,,,,,,,,,,,,,,,,,24vavcwn4hco5je9kdu9ciwgl,J. Haberer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942307,9,1,1,0,21,a8d2gb2nag8fy0itbuxmcibh2,1,39.9,33.4,2022-09-18T13:30:38.651Z,2022-09-18T21:25:36Z,3790524319,213,3.2,3790524315,141,32.7,3790524311,56,Back,3792531875,178,,3790524313,140,31.4,3790524317,212,8.9,,,,,,,24vavcwn4hco5je9kdu9ciwgl,J. Haberer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942347,10,1,1,0,22,a8d2gb2nag8fy0itbuxmcibh2,1,31.1,33.3,2022-09-18T13:30:39.401Z,2022-09-18T21:25:46Z,3790524543,213,1.4,3790524539,141,68.1,3790524535,56,Back,3790524541,212,23.8,3790524537,140,33.9,3792532069,178,,,,,,,,cab22ojcuhdzdwmbtl20n8i51,R. Knoche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942389,11,1,1,0,27,a8d2gb2nag8fy0itbuxmcibh2,1,39.7,76.6,2022-09-18T13:30:44.359Z,2022-09-18T21:25:57Z,3792532437,178,,3790524677,213,3.8,3790524673,141,67.9,3790524671,140,32.0,3790524675,212,10.0,3790524669,56,Back,,,,,,,emtrl7rrhp3ybsibf1f89kyj9,N. Gießelmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942421,12,1,1,0,30,a8d2gb2nag8fy0itbuxmcibh2,1,37.3,59.1,2022-09-18T13:30:47.760Z,2022-09-18T21:26:04Z,3790524859,212,29.1,3792532909,178,,3790524851,56,Back,3790524855,141,16.8,3790524861,213,4.6,3790524853,140,33.0,,,,,,,3g9riero16s160evc28u3q3u1,Diogo Leite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942509,13,1,1,0,32,a8d2gb2nag8fy0itbuxmcibh2,1,33,16.8,2022-09-18T13:30:49.611Z,2022-09-18T21:26:11Z,3790525293,141,3.5,3790525297,213,5.7,3790525289,56,Back,3792533203,178,,3790525295,212,15.9,3790525291,140,45.4,,,,,,,d3xe46be1ajvxzxzboiaoy385,T. Baumgartl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942573,14,1,1,0,37,a8d2gb2nag8fy0itbuxmcibh2,1,69.6,7.6,2022-09-18T13:30:54.474Z,2022-09-18T21:26:33Z,3790525581,212,48.5,3790525585,1,,3790528783,210,15,3790525579,141,70.9,3790525573,155,,3790525577,140,90.8,3792533557,178,,3790525575,56,Center,52t6t7cdsr0fjs9ukmwo9y7rp,C. Trimmel,1,3790525571,2,3791822611,20,3790528785,154,3791822609,224,3790525583,213,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942579,15,15,1,0,40,a8d2gb2nag8fy0itbuxmcibh2,1,89.7,65.3,2022-09-18T13:30:57.362Z,2022-09-18T21:26:34Z,3790528817,55,14,3790528813,154,,3790573653,108,,3790525609,64,,3790528827,103,11.4,3790528835,146,98.8,3790528837,147,53.8,3790528825,102,53.6,24vavcwn4hco5je9kdu9ciwgl,J. Haberer,,3790528477,233,3792534045,178,3790528805,76,3790528401,72,3790528829,328,,14,3790525607,22,3790525611,56,Center,3790528809,29,,,,,,,,,,,,,,,,,,,,,
2461942593,14,10,1,0,40,a8l3w3n0j99qjlsxj3jnmgkz1,1,1.2,46.6,2022-09-18T13:30:57.780Z,2022-09-18T21:26:44Z,3790527271,174,,3790525665,182,,3790528569,233,15,3791823473,376,,3790527273,179,,3790525667,56,Back,,,,,,,bfpax581lm91ebz4xgz40a191,K. Casteels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462183661,867,49,1,0,42,a8l3w3n0j99qjlsxj3jnmgkz1,1,10.8,35.2,2022-09-18T13:30:59.821Z,2022-09-18T21:26:57Z,,,,,,,,,,,,,,,,,,,,,,,,,4sd2zs6d5cd4d9n3oo54lglat,M. Svanberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
