id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/12/value,assist,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value
2498920663,4,1,1,0,10,apoawtpvac4zqlancmvw4nk4o,0,29,52.4,2023-01-20T19:32:43.252Z,2023-01-21T03:29:55Z,3986092787,141,63.7,3986092781,157,,3986092791,213,0.2,3986548223,178,,3986092785,140,63.4,3986092793,1,,3986092783,56,Center,3986092789,212,36.9,x4qyxhfr2vi007sazoqe5vit,D. Upamecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920691,8,1,1,0,12,9gefq4dz9b2hl8rqrxwrlrzmp,0,34.4,31,2023-01-20T19:32:45.980Z,2023-01-21T03:30:02Z,3986092899,3,,3986092903,140,43.6,3986092909,213,6.3,3986092901,56,Back,3986092907,212,9.7,3986548341,388,,3986092905,141,30.7,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920677,5,1,1,0,13,apoawtpvac4zqlancmvw4nk4o,0,54.7,62.9,2023-01-20T19:32:46.961Z,2023-01-21T03:30:05Z,3986092825,56,Center,3986092833,213,4.8,3986092827,140,56.5,3986092829,141,41.8,3986092823,3,,3986548389,388,,3986092831,212,14.5,,,,4ysxvym6ww4f9d3hflkqsbf11,S. Gnabry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920723,9,1,1,0,15,9gefq4dz9b2hl8rqrxwrlrzmp,1,42.3,50.5,2023-01-20T19:32:48.068Z,2023-01-21T03:30:30Z,3986093089,213,0.3,3986093083,140,48.1,3986093079,3,,3986093085,141,52.8,3986548715,388,,3986093081,56,Back,3986093087,212,6.3,,,,1s1v1tweyx8wxc9hj2jrnaggl,X. Schlager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920737,10,1,1,0,15,9gefq4dz9b2hl8rqrxwrlrzmp,1,47.7,52.6,2023-01-20T19:32:49.034Z,2023-01-21T03:30:33Z,3986093167,56,Back,3986093171,141,61.6,3986548785,388,,3986093165,3,,3986093175,213,2.5,3986093169,140,39.9,3986093173,212,10.2,,,,ckox9w95duwhmt72xxk7lt2vp,E. Forsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920741,11,49,1,0,18,9gefq4dz9b2hl8rqrxwrlrzmp,1,39.6,73.3,2023-01-20T19:32:51.359Z,2023-01-21T03:30:36Z,,,,,,,,,,,,,,,,,,,,,,,,,4qkv71pjmzw66crfaktr6tihh,M. Halstenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920763,12,1,1,0,19,9gefq4dz9b2hl8rqrxwrlrzmp,1,39.3,73.2,2023-01-20T19:32:52.497Z,2023-01-21T03:30:39Z,3986548829,178,,3986093313,56,Back,3986093319,212,11.6,3986093321,213,3.5,3986093315,140,29.0,3986093317,141,67.2,,,,,,,4qkv71pjmzw66crfaktr6tihh,M. Halstenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920825,13,1,1,0,23,9gefq4dz9b2hl8rqrxwrlrzmp,1,32,76.3,2023-01-20T19:32:56.100Z,2023-01-21T03:30:46Z,3986093623,212,27.1,3986093617,56,Left,3986093625,213,0.4,3986093619,140,55.3,3986093621,141,93.4,3986548921,178,,,,,,,,9prtaifv6stlujgywgq4wd08a,J. Gvardiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920829,14,1,1,0,28,9gefq4dz9b2hl8rqrxwrlrzmp,0,64.3,88.6,2023-01-20T19:33:01.525Z,2023-01-21T03:30:51Z,3986093633,141,82.7,3986093637,213,5.0,3986549059,178,,3986093631,140,65.3,3986093629,56,Left,3986093635,212,4.1,,,,,,,4qkv71pjmzw66crfaktr6tihh,M. Halstenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920841,6,49,1,0,29,apoawtpvac4zqlancmvw4nk4o,1,28.5,23.4,2023-01-20T19:33:02.055Z,2023-01-21T03:30:55Z,,,,,,,,,,,,,,,,,,,,,,,,,97nv3y9z2ajz6b4ynoo0jn3kl,J. Kimmich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920869,7,1,1,0,29,apoawtpvac4zqlancmvw4nk4o,0,28.5,23.4,2023-01-20T19:33:02.553Z,2023-01-21T03:30:59Z,3986093849,141,28.3,3986093845,56,Back,3986093851,212,11.9,3986093853,213,0.3,3986549187,178,,3986093847,140,39.4,,,,,,,97nv3y9z2ajz6b4ynoo0jn3kl,J. Kimmich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499017601,886,67,1,0,30,9gefq4dz9b2hl8rqrxwrlrzmp,1,64.1,81.2,2023-01-20T19:33:03.335Z,2023-01-21T05:50:11Z,3986596883,233,1066,,,,,,,,,,,,,,,,,,,,,,1s1v1tweyx8wxc9hj2jrnaggl,X. Schlager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499017599,1066,67,1,0,30,apoawtpvac4zqlancmvw4nk4o,0,35.9,18.8,2023-01-20T19:33:03.336Z,2023-01-21T04:27:51Z,3986596887,233,886,,,,,,,,,,,,,,,,,,,,,,bhsdzppop8jwjsxwftizot1t6,J. Musiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920879,15,8,1,0,30,9gefq4dz9b2hl8rqrxwrlrzmp,1,61.2,82.1,2023-01-20T19:33:03.366Z,2023-01-21T05:50:12Z,3986549237,178,,3986093895,56,Left,3986453771,383,,,,,,,,,,,,,,,,,1s1v1tweyx8wxc9hj2jrnaggl,X. Schlager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920889,16,49,1,0,31,9gefq4dz9b2hl8rqrxwrlrzmp,1,72.2,91.4,2023-01-20T19:33:04.212Z,2023-01-21T03:31:08Z,,,,,,,,,,,,,,,,,,,,,,,,,1s1v1tweyx8wxc9hj2jrnaggl,X. Schlager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920871,8,43,1,0,32,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-01-20T19:33:05.916Z,2023-01-20T19:33:18Z,3986093863,56,Back,3986094339,144,61,,,,,,,,,,,,,,,,,,,bhsdzppop8jwjsxwftizot1t6,J. Musiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920903,17,1,1,0,34,9gefq4dz9b2hl8rqrxwrlrzmp,1,72.4,89.9,2023-01-20T19:33:07.271Z,2023-01-21T03:31:11Z,3986094025,141,59.0,3986094021,56,Center,3986094027,212,21.2,3986094023,140,75.0,3986094029,213,4.8,3986549363,178,,,,,,,,1s1v1tweyx8wxc9hj2jrnaggl,X. Schlager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920911,18,1,1,0,36,9gefq4dz9b2hl8rqrxwrlrzmp,0,76.5,57.2,2023-01-20T19:33:09.767Z,2023-01-21T03:31:17Z,3986094057,56,Center,3986549477,178,,3986094063,212,21.6,3986094061,141,59.4,3986453891,4,,3986094065,213,0.1,3986094059,140,97.0,,,,avh60ensgiwz1qalvn1bbqkfd,D. Szoboszlai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920915,9,52,1,0,38,apoawtpvac4zqlancmvw4nk4o,1,2,41,2023-01-20T19:33:11.704Z,2023-01-21T03:31:20Z,3986549527,178,,3986453943,376,,,,,,,,,,,,,,,,,,,,bagn0ce4xunsiz3mezrtqx1p1,Y. Sommer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920997,10,1,1,0,44,apoawtpvac4zqlancmvw4nk4o,1,7.2,45.1,2023-01-20T19:33:17.855Z,2023-01-21T03:31:28Z,3986549685,178,,3986094473,141,75.0,3986094469,56,Back,3986094467,123,,3986094471,140,13.8,3986094477,213,1.2,3986094475,212,21.5,,,,bagn0ce4xunsiz3mezrtqx1p1,Y. Sommer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921011,11,1,1,0,47,apoawtpvac4zqlancmvw4nk4o,1,13.4,75.3,2023-01-20T19:33:20.199Z,2023-01-21T03:31:40Z,3986094573,140,19.6,3986094579,213,1.1,3986549819,178,,3986094575,141,95.6,3986094577,212,15.3,3986094571,56,Back,,,,,,,10zt8rbgbmyqxr1m13wm5gfs9,M. de Ligt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921037,12,3,1,0,49,apoawtpvac4zqlancmvw4nk4o,1,26.8,91.8,2023-01-20T19:33:22.111Z,2023-01-21T03:31:43Z,3986454025,464,,3986549873,178,,3986094747,56,Back,3986094751,285,,3986094865,233,19,,,,,,,,,,582uvj0i3dvm0zwbou9q68pgp,A. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921051,19,45,1,0,49,9gefq4dz9b2hl8rqrxwrlrzmp,0,73.2,8.2,2023-01-20T19:33:22.111Z,2023-01-21T03:31:44Z,3986094887,286,,3986094821,56,Right,3986094883,233,12,,,,,,,,,,,,,,,,avh60ensgiwz1qalvn1bbqkfd,D. Szoboszlai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921091,13,1,1,0,53,apoawtpvac4zqlancmvw4nk4o,1,32,75.3,2023-01-20T19:33:26.174Z,2023-01-21T03:31:47Z,3986095051,140,43.2,3986095049,56,Back,3986095057,213,5.2,3986095055,212,23.4,3986549931,178,,3986095053,141,45.5,,,,,,,582uvj0i3dvm0zwbou9q68pgp,A. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921095,14,50,1,0,56,apoawtpvac4zqlancmvw4nk4o,1,52.4,29.2,2023-01-20T19:33:29.829Z,2023-01-21T03:31:55Z,3986095071,56,Center,3986095169,233,20,3986095073,286,,,,,,,,,,,,,,,,,bhsdzppop8jwjsxwftizot1t6,J. Musiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921099,20,7,1,0,57,9gefq4dz9b2hl8rqrxwrlrzmp,1,47.6,70.8,2023-01-20T19:33:30.152Z,2023-01-21T03:31:59Z,3986095103,233,14,3986095081,56,Back,3986550139,178,,3986454085,383,,3986095083,285,,,,,,,,,,,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921103,21,49,1,0,57,9gefq4dz9b2hl8rqrxwrlrzmp,1,45.1,66.4,2023-01-20T19:33:30.946Z,2023-01-21T03:33:34Z,,,,,,,,,,,,,,,,,,,,,,,,,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499018249,1076,83,1,0,59,apoawtpvac4zqlancmvw4nk4o,1,55.8,34.9,2023-01-20T19:33:32.831Z,2023-01-21T04:30:56Z,3986600837,399,179370,,,,,,,,,,,,,,,,,,,,,,bhsdzppop8jwjsxwftizot1t6,J. Musiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921145,22,1,1,0,59,9gefq4dz9b2hl8rqrxwrlrzmp,1,43.7,63.3,2023-01-20T19:33:32.842Z,2023-01-21T03:33:37Z,3986095341,56,Back,3986095347,212,12.4,3986095345,141,63.9,3986551809,178,,3986095349,213,3.1,3986095343,140,31.9,,,,,,,4gq1u1mqg0qzekh1u5djleeax,Dani Olmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921175,23,1,1,1,5,9gefq4dz9b2hl8rqrxwrlrzmp,1,24,63.1,2023-01-20T19:33:38.246Z,2023-01-21T03:33:41Z,3986095499,56,Back,3986095503,141,47.9,3986095507,213,3.9,3986095501,140,13.3,3986551867,178,,3986095505,212,15.3,,,,,,,9prtaifv6stlujgywgq4wd08a,J. Gvardiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921229,24,1,1,1,8,9gefq4dz9b2hl8rqrxwrlrzmp,1,13.8,47.8,2023-01-20T19:33:41.253Z,2023-01-21T03:33:46Z,3986095757,140,19.8,3986551965,178,,3986095755,56,Back,3986095763,213,5.1,3986095761,212,17.3,3986095759,141,24.1,,,,,,,axcrcuv22693vn0a887samsph,J. Blaswich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921269,25,1,1,1,13,9gefq4dz9b2hl8rqrxwrlrzmp,1,24,21.2,2023-01-20T19:33:46.778Z,2023-01-21T03:33:52Z,3986095983,212,16.2,3986095977,56,Back,3986095985,213,5.4,3986095979,140,33.6,3986552037,178,,3986095981,141,2.6,,,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921307,26,1,1,1,17,9gefq4dz9b2hl8rqrxwrlrzmp,0,46.3,2.2,2023-01-20T19:33:50.491Z,2023-01-21T03:33:56Z,3986096153,141,8.6,3986096155,212,11.3,3986552069,178,,3986096149,56,Right,3986096151,140,56.2,3986096157,213,0.4,,,,,,,95gjm3yk75rmwyneb350zoktm,M. Simakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921315,15,8,1,1,17,apoawtpvac4zqlancmvw4nk4o,1,45.4,80.6,2023-01-20T19:33:50.756Z,2023-01-21T03:34:01Z,3986552129,178,,3986096175,56,Back,3986454123,385,,,,,,,,,,,,,,,,,4w4ldzomkj7fhrc51iimz8no5,L. Goretzka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921331,16,5,1,1,19,apoawtpvac4zqlancmvw4nk4o,0,39.5,101,2023-01-20T19:33:52.692Z,2023-01-21T03:34:04Z,3986096245,56,Back,3986096889,233,27,3986096247,347,,,,,,,,,,,,,,,,,582uvj0i3dvm0zwbou9q68pgp,A. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921451,27,5,1,1,19,9gefq4dz9b2hl8rqrxwrlrzmp,1,60.5,-1,2023-01-20T19:33:52.692Z,2023-01-21T03:34:03Z,3986096869,347,,3986096867,56,Right,3986096881,233,16,,,,,,,,,,,,,,,,95gjm3yk75rmwyneb350zoktm,M. Simakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921469,28,1,1,1,34,9gefq4dz9b2hl8rqrxwrlrzmp,1,57.9,0,2023-01-20T19:34:07.121Z,2023-01-21T03:34:59Z,3986096957,141,3.5,3986096951,107,,3986096955,140,63.5,3986096961,213,0.5,3986096959,212,6.7,3986096953,56,Right,,,,,,,95gjm3yk75rmwyneb350zoktm,M. Simakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921475,29,1,1,1,35,9gefq4dz9b2hl8rqrxwrlrzmp,0,63.5,3.5,2023-01-20T19:34:08.732Z,2023-01-21T03:36:37Z,3986096999,141,2.5,3986554317,178,,3986097003,213,3.5,3986096995,56,Right,3986097001,212,2.0,3986098847,233,18,3986096997,140,61.7,,,,dhhmffih4gl51nlu92hfctqs5,André Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921477,17,61,1,1,35,apoawtpvac4zqlancmvw4nk4o,1,31.4,96.3,2023-01-20T19:34:08.943Z,2023-01-21T03:36:41Z,3986554359,178,,3986097005,56,Back,,,,,,,,,,,,,,,,,,,4ysxvym6ww4f9d3hflkqsbf11,S. Gnabry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921573,30,1,1,1,37,9gefq4dz9b2hl8rqrxwrlrzmp,1,63.4,2.1,2023-01-20T19:34:10.250Z,2023-01-21T03:36:49Z,3986554445,178,,3986097435,56,Right,3986097443,213,3.1,3986097437,140,57.8,3986097441,212,5.9,3986097439,141,2.1,,,,,,,95gjm3yk75rmwyneb350zoktm,M. Simakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498946909,391,3,1,1,38,9gefq4dz9b2hl8rqrxwrlrzmp,1,57.3,3.8,2023-01-20T19:34:11.756Z,2023-01-21T03:38:22Z,3986222923,286,,3986222929,233,539,3986555379,178,,3986456591,465,,3986222921,56,Right,,,,,,,,,,avh60ensgiwz1qalvn1bbqkfd,D. Szoboszlai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498946897,539,45,1,1,38,apoawtpvac4zqlancmvw4nk4o,0,42.7,96.2,2023-01-20T19:34:11.756Z,2023-01-21T03:38:23Z,3986222943,233,391,3986222861,285,,3986222859,56,Back,,,,,,,,,,,,,,,,bhsdzppop8jwjsxwftizot1t6,J. Musiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921577,31,1,1,1,39,9gefq4dz9b2hl8rqrxwrlrzmp,0,59.8,2.7,2023-01-20T19:34:12.550Z,2023-01-21T03:38:28Z,3986106823,213,0.3,3986107035,286,,3986106817,140,61.4,3986107031,236,,3986106819,141,3.6,3986106821,212,1.8,3986097447,56,Right,3986555443,178,,avh60ensgiwz1qalvn1bbqkfd,D. Szoboszlai,3986107077,233,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921535,18,74,1,1,39,apoawtpvac4zqlancmvw4nk4o,1,37.8,95,2023-01-20T19:34:12.646Z,2023-01-21T03:38:30Z,3986555463,178,,3986098947,233,31,3986098823,285,,3986097263,56,Back,,,,,,,,,,,,,4ysxvym6ww4f9d3hflkqsbf11,S. Gnabry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921547,19,5,1,1,41,apoawtpvac4zqlancmvw4nk4o,0,38.1,101.8,2023-01-20T19:34:14.460Z,2023-01-21T03:38:32Z,3986097509,233,32,3986097297,56,Back,3986097301,347,,,,,,,,,,,,,,,,,4ysxvym6ww4f9d3hflkqsbf11,S. Gnabry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498921587,32,5,1,1,41,9gefq4dz9b2hl8rqrxwrlrzmp,1,61.9,-1.8,2023-01-20T19:34:14.460Z,2023-01-21T03:38:32Z,3986097487,56,Right,3986097505,233,19,3986097489,347,,,,,,,,,,,,,,,,,avh60ensgiwz1qalvn1bbqkfd,D. Szoboszlai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
