id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/15/value,qualifier/17/value
2448385469,3,49,1,0,9,6k5zscdm9ufw0tguvzyjlp5hq,1,30.8,59.4,2022-08-20T13:33:44.528Z,2022-08-21T04:30:37Z,,,,,,,,,,,,,,,,,,,,,,,,,f5ln82l8q7gvouj3zhsp5t4gl,M. Eggestein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385487,4,1,1,0,9,6k5zscdm9ufw0tguvzyjlp5hq,1,31.8,61.4,2022-08-20T13:33:44.588Z,2022-08-21T04:30:39Z,3718437263,141,57.5,3718437267,213,6.1,3718437257,155,,3718437265,212,17.6,3718437259,56,Back,3718437261,140,48.4,3722092279,178,,,,,f5ln82l8q7gvouj3zhsp5t4gl,M. Eggestein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385497,5,1,1,0,10,6k5zscdm9ufw0tguvzyjlp5hq,0,48.9,57.5,2022-08-20T13:33:45.481Z,2022-08-21T04:30:46Z,3718437341,56,Center,3718437349,213,0.3,3718437345,141,72.3,3722092381,388,,3718437351,1,,3718437337,3,,3718437343,140,79.6,3718437347,212,33.8,7c6034wb3zsuq9nhxxiahiuol,M. Gregoritsch,3718437339,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385521,7,49,1,0,15,3dwlvz6cl4lcavvrg0y2dycrt,1,19.3,29,2022-08-20T13:33:50.255Z,2022-08-21T04:30:50Z,,,,,,,,,,,,,,,,,,,,,,,,,5bzowvtg5vhntcx1w3roriehh,F. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385549,8,1,1,0,15,3dwlvz6cl4lcavvrg0y2dycrt,1,19.3,29,2022-08-20T13:33:51.005Z,2022-08-21T04:30:56Z,3718437635,56,Back,3718437639,141,19.1,3722092589,178,,3718437643,213,5.7,3718437637,140,28.1,3718437641,212,11.4,,,,,,,5bzowvtg5vhntcx1w3roriehh,F. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385577,9,1,1,0,17,3dwlvz6cl4lcavvrg0y2dycrt,1,28.1,19.3,2022-08-20T13:33:52.331Z,2022-08-21T04:30:59Z,3718437791,141,35.0,3718437795,213,2.1,3718437789,140,21.6,3722092675,178,,3718437793,212,12.7,3718437787,56,Back,,,,,,,5l8wtw156meo2vrtrgasif6jt,K. Mavropanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385645,10,1,1,0,19,3dwlvz6cl4lcavvrg0y2dycrt,0,21.4,30.1,2022-08-20T13:33:55.055Z,2022-08-21T04:31:07Z,3718438091,56,Right,3718438099,213,6.0,3718438095,141,7.3,3722092867,178,,3718438101,1,,3718438089,155,,3718438093,140,80.6,3718438097,212,64.1,3uqn1adw8rarez1gpen9vng7p,W. Anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385651,11,43,1,0,23,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2022-08-20T13:33:58.814Z,2022-08-20T13:43:01Z,3718438121,56,Right,3718468377,144,61,,,,,,,,,,,,,,,,,,,3havaatbnk8p6gc9srgajc25l,C. Führich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385687,6,49,1,0,25,6k5zscdm9ufw0tguvzyjlp5hq,1,18.7,92.9,2022-08-20T13:34:00.871Z,2022-08-21T04:31:16Z,,,,,,,,,,,,,,,,,,,,,,,,,ejnh215cji6xou661kiwcc91x,N. Höfler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385739,7,1,1,0,26,6k5zscdm9ufw0tguvzyjlp5hq,1,12.4,87.4,2022-08-20T13:34:01.455Z,2022-08-21T04:31:23Z,3718438463,213,4.2,3718438457,140,3.3,3718438459,141,59.4,3718438461,212,21.3,3718438455,56,Back,3722093169,178,,,,,,,,ejnh215cji6xou661kiwcc91x,N. Höfler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385817,8,1,1,0,29,6k5zscdm9ufw0tguvzyjlp5hq,0,7.4,50.3,2022-08-20T13:34:05.176Z,2022-08-21T04:31:28Z,3722093287,178,,3718438825,212,81.8,3718438817,157,,3718438829,1,,3718438821,140,79.5,3718438827,213,5.9,3718438823,141,4.7,3718438819,56,Right,920yurg08gqayxwc80q9f8ixh,M. Flekken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385803,12,49,1,0,35,3dwlvz6cl4lcavvrg0y2dycrt,1,19.9,96.4,2022-08-20T13:34:11.198Z,2022-08-21T04:31:37Z,,,,,,,,,,,,,,,,,,,,,,,,,8p2yagsx6ujdbmeonkd3u4c89,H. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385881,13,1,1,0,36,3dwlvz6cl4lcavvrg0y2dycrt,1,20.1,96,2022-08-20T13:34:11.248Z,2022-08-21T04:31:43Z,3718439137,56,Back,3718439141,141,60.4,3718439145,213,4.1,3718439139,140,4.6,3722093563,178,,3718439143,212,29.2,,,,,,,8p2yagsx6ujdbmeonkd3u4c89,H. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385903,14,1,1,0,40,3dwlvz6cl4lcavvrg0y2dycrt,1,9,64.5,2022-08-20T13:34:15.935Z,2022-08-21T04:31:53Z,3718439259,141,70.1,3718439261,212,12.3,3722093715,178,,3718439255,56,Back,3718439263,213,0.3,3718439257,140,20.1,,,,,,,5bzowvtg5vhntcx1w3roriehh,F. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385925,15,1,1,0,44,3dwlvz6cl4lcavvrg0y2dycrt,1,20.2,73,2022-08-20T13:34:19.680Z,2022-08-21T04:31:58Z,3718439383,141,90.9,3718439387,213,1.5,3718439385,212,12.2,3722093791,178,,3718439381,140,21.4,3718439379,56,Back,,,,,,,9dnne0ny6o6d5c6w3ayoo4vvu,N. Ahamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385961,16,1,1,0,46,3dwlvz6cl4lcavvrg0y2dycrt,1,19.9,89.4,2022-08-20T13:34:21.596Z,2022-08-21T04:32:01Z,3718439527,56,Back,3718439533,212,27.4,3718439529,140,4.6,3718439535,213,4.1,3722093885,178,,3718439531,141,56.7,,,,,,,8p2yagsx6ujdbmeonkd3u4c89,H. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385997,17,1,1,0,49,3dwlvz6cl4lcavvrg0y2dycrt,1,10.2,55.5,2022-08-20T13:34:25.087Z,2022-08-21T04:32:06Z,3718439759,213,4.8,3718439751,56,Back,3718439755,141,28.6,3718439753,140,12.5,3718439757,212,18.5,3722094029,178,,,,,,,,5bzowvtg5vhntcx1w3roriehh,F. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386051,18,1,1,0,53,3dwlvz6cl4lcavvrg0y2dycrt,0,14.9,18.2,2022-08-20T13:34:28.878Z,2022-08-21T04:32:10Z,3718440029,1,,3718440021,140,82.1,3718440025,212,71.8,3722094117,178,,3718440017,155,,3718440019,56,Right,3718440027,213,6.1,3718440023,141,0.0,3uqn1adw8rarez1gpen9vng7p,W. Anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386229,9,5,1,0,59,6k5zscdm9ufw0tguvzyjlp5hq,1,18.9,101.2,2022-08-20T13:34:34.594Z,2022-08-21T04:32:19Z,3718440843,56,Back,3718440845,347,,3718440883,233,19,,,,,,,,,,,,,,,,b7ve7k983eaewnupejiow3jdh,C. Günter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386053,19,5,1,0,59,3dwlvz6cl4lcavvrg0y2dycrt,0,81.1,-1.2,2022-08-20T13:34:34.594Z,2022-08-21T04:32:19Z,3718440909,233,9,3718440031,56,Right,3718440033,347,,,,,,,,,,,,,,,,,3uqn1adw8rarez1gpen9vng7p,W. Anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386303,10,1,1,1,12,6k5zscdm9ufw0tguvzyjlp5hq,1,26.6,100,2022-08-20T13:34:47.566Z,2022-08-21T04:32:29Z,3718441191,56,Back,3718441199,213,6.0,3718441195,141,96.9,3718441189,107,,3718441197,212,12.7,3718441193,140,38.3,,,,,,,b7ve7k983eaewnupejiow3jdh,C. Günter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386311,11,61,1,1,13,6k5zscdm9ufw0tguvzyjlp5hq,1,38.2,97.1,2022-08-20T13:34:48.829Z,2022-08-21T04:32:56Z,3718441233,56,Back,3722094663,178,,,,,,,,,,,,,,,,,,,,7o11dzx2cccrslutrjl16ik89,R. Dōan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386349,12,1,1,1,14,6k5zscdm9ufw0tguvzyjlp5hq,0,45.6,94.4,2022-08-20T13:34:50.126Z,2022-08-21T04:33:24Z,3720977643,212,2.3,3720977639,140,44.4,3720977645,213,2.1,3720977641,141,97.3,3718441421,56,Back,3722095661,178,,,,,,,,7c6034wb3zsuq9nhxxiahiuol,M. Gregoritsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449069159,1220,43,1,1,14,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2022-08-20T13:34:50.177Z,2022-08-21T05:06:15Z,3722126695,178,0,3722126797,144,82,,,,,,,,,,,,,,,,,,,5l8wtw156meo2vrtrgasif6jt,K. Mavropanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386325,20,1,1,1,15,3dwlvz6cl4lcavvrg0y2dycrt,0,55.4,2.5,2022-08-20T13:34:50.634Z,2022-08-21T04:33:30Z,3722095783,178,,3718441313,140,64.5,3718441317,212,9.7,3718441379,233,11,3718441315,141,4.6,3718441311,56,Right,3718441319,213,0.1,,,,5l8wtw156meo2vrtrgasif6jt,K. Mavropanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386351,13,43,1,1,16,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2022-08-20T13:34:51.962Z,2022-08-20T21:58:55Z,3720978067,144,49,,,,,,,,,,,,,,,,,,,,,,b7ve7k983eaewnupejiow3jdh,C. Günter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386367,14,1,1,1,17,6k5zscdm9ufw0tguvzyjlp5hq,1,35,94.8,2022-08-20T13:34:52.506Z,2022-08-21T04:33:36Z,3718441493,213,5.2,3722095905,178,,3718441487,140,40.3,3718441491,212,12.4,3718441489,141,78.5,3718441485,56,Back,,,,,,,b7ve7k983eaewnupejiow3jdh,C. Günter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386473,15,1,1,1,18,6k5zscdm9ufw0tguvzyjlp5hq,1,41.2,78.3,2022-08-20T13:34:53.345Z,2022-08-21T04:33:40Z,3722095947,178,,3718441971,56,Back,3718441979,213,3.1,3718441977,212,8.0,3718441975,141,79.1,3718441973,140,33.6,,,,,,,2az0f39bhz2kvxhopalzi0h5h,V. Grifo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448459125,406,1,1,1,21,6k5zscdm9ufw0tguvzyjlp5hq,1,34.6,62.9,2022-08-20T13:34:57.069Z,2022-08-21T04:33:47Z,3722096063,178,,3718813385,213,4.8,3718813381,141,34.9,3718813379,140,36.2,3718813383,212,19.1,3718813377,56,Back,,,,,,,ejnh215cji6xou661kiwcc91x,N. Höfler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386559,16,1,1,1,24,6k5zscdm9ufw0tguvzyjlp5hq,1,41.1,23,2022-08-20T13:34:59.729Z,2022-08-21T04:33:54Z,3722096259,178,,3718442379,56,Right,3718442391,1,,3718442389,213,5.8,3718442385,141,1.7,3718442383,140,70.9,3718442387,212,34.5,,,,d36na8jr6xcc8eronhy8mcz1m,K. Sildillia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386565,21,4,1,1,28,3dwlvz6cl4lcavvrg0y2dycrt,1,28.2,98.4,2022-08-20T13:35:03.892Z,2022-08-21T04:34:02Z,3718442423,294,,3718442425,56,Back,3718442427,152,,3718442449,233,17,3718442429,285,,3718442421,13,,,,,,,,8p2yagsx6ujdbmeonkd3u4c89,H. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386561,17,4,1,1,28,6k5zscdm9ufw0tguvzyjlp5hq,0,71.8,1.6,2022-08-20T13:35:03.893Z,2022-08-21T04:34:02Z,3718442401,152,,3718442457,233,21,3722096391,178,,3718442397,294,,3718442403,286,,3718442399,56,Right,3718442395,13,,,,,dglkt5h4m18p1qcj2uhqymvv9,R. Sallai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386587,18,79,1,1,35,6k5zscdm9ufw0tguvzyjlp5hq,0,0,0,2022-08-20T13:35:10.381Z,2022-08-21T04:34:11Z,3718442545,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386711,19,79,1,1,47,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2022-08-20T13:35:22.845Z,2022-08-21T04:34:16Z,3718443183,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386767,22,1,1,1,50,3dwlvz6cl4lcavvrg0y2dycrt,0,32.9,94.8,2022-08-20T13:35:25.490Z,2022-08-21T04:34:25Z,3718443431,212,46.1,3718443429,141,56.1,3718443425,56,Center,3718443433,213,5.7,3722096859,178,,3718443435,1,,3718443421,155,,3718443419,5,,8p2yagsx6ujdbmeonkd3u4c89,H. Ito,3718443427,140,68.9,3718443423,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386795,20,1,1,1,53,6k5zscdm9ufw0tguvzyjlp5hq,0,30.3,45.8,2022-08-20T13:35:29.003Z,2022-08-21T04:34:32Z,3722096967,388,,3718443561,140,47.0,3718443557,56,Back,3718443555,3,,3718443567,213,6.2,3718443563,141,43.9,3718443565,212,17.6,,,,ejnh215cji6xou661kiwcc91x,N. Höfler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386821,23,1,1,1,55,3dwlvz6cl4lcavvrg0y2dycrt,0,54.3,55.3,2022-08-20T13:35:30.804Z,2022-08-21T04:34:35Z,3718443649,212,15.5,3718443641,56,Center,3718443647,141,77.3,3718443645,140,58.1,3722096991,388,,3718443637,3,,3718443651,213,1.3,,,,3kti58d195gmtzwrjh5nprx05,W. Endo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386863,21,49,1,1,57,6k5zscdm9ufw0tguvzyjlp5hq,1,40.7,22.3,2022-08-20T13:35:32.741Z,2022-08-21T04:34:43Z,,,,,,,,,,,,,,,,,,,,,,,,,dglkt5h4m18p1qcj2uhqymvv9,R. Sallai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448386903,22,1,1,2,0,6k5zscdm9ufw0tguvzyjlp5hq,1,30.5,4.9,2022-08-20T13:35:35.259Z,2022-08-21T04:34:54Z,3718443995,140,21.9,3718444001,213,2.5,3718443999,212,11.7,3722097221,178,,3718443993,56,Back,3718443997,141,15.8,,,,,,,dglkt5h4m18p1qcj2uhqymvv9,R. Sallai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448387049,23,1,1,2,2,6k5zscdm9ufw0tguvzyjlp5hq,1,14.9,17.7,2022-08-20T13:35:38.142Z,2022-08-21T04:35:00Z,3718444679,212,21.0,3718444675,140,3.5,3718444681,213,2.2,3718444673,56,Back,3718444677,141,43.0,3722097451,178,,,,,,,,84mp3eqt1ckw107hwxpby9cd1,M. Ginter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448387083,24,1,1,2,16,6k5zscdm9ufw0tguvzyjlp5hq,0,13.5,49.9,2022-08-20T13:35:52.229Z,2022-08-21T04:35:05Z,3718444879,1,,3718444871,140,55.1,3718444875,212,56.1,3718444867,157,,3718444869,56,Right,3718444873,141,0.0,3718444877,213,5.6,3722097577,178,,920yurg08gqayxwc80q9f8ixh,M. Flekken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448387145,24,5,1,2,19,3dwlvz6cl4lcavvrg0y2dycrt,1,45.3,101.2,2022-08-20T13:35:55.018Z,2022-08-21T04:35:09Z,3718445121,347,,3718445119,56,Back,3718445133,233,25,,,,,,,,,,,,,,,,e9u7cmvaem5p7x9px3yq9f179,B. Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448387087,25,5,1,2,19,6k5zscdm9ufw0tguvzyjlp5hq,0,54.7,-1.2,2022-08-20T13:35:55.018Z,2022-08-21T04:35:09Z,3718444889,56,Right,3718445159,233,24,3718444891,347,,,,,,,,,,,,,,,,,920yurg08gqayxwc80q9f8ixh,M. Flekken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448387171,25,1,1,2,22,3dwlvz6cl4lcavvrg0y2dycrt,1,46.5,100,2022-08-20T13:35:57.738Z,2022-08-21T04:35:12Z,3718445237,140,34.6,3718445233,107,,3718445241,212,15.4,3718445235,56,Back,3718445239,141,87.9,3718445243,213,3.8,,,,,,,e9u7cmvaem5p7x9px3yq9f179,B. Sosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448387213,26,1,1,2,25,3dwlvz6cl4lcavvrg0y2dycrt,1,34.2,88.1,2022-08-20T13:36:00.498Z,2022-08-21T04:35:17Z,3718445415,140,29.5,3718445419,212,26.6,3722097727,178,,3718445417,141,49.6,3718445413,56,Back,3718445421,213,4.5,,,,,,,8p2yagsx6ujdbmeonkd3u4c89,H. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448387241,27,1,1,2,28,3dwlvz6cl4lcavvrg0y2dycrt,1,26.2,42.7,2022-08-20T13:36:04.139Z,2022-08-21T04:35:22Z,3718445521,213,4.7,3718445513,56,Back,3718445517,141,21.7,3718445519,212,14.3,3718445515,140,26.2,3722097795,178,,,,,,,,3uqn1adw8rarez1gpen9vng7p,W. Anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
