id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/8/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,assist
2461006101,15,43,1,0,48,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-09-17T13:30:59.768Z,2022-09-17T13:31:01Z,3785577785,56,Left,3785577787,347,0,3785577899,144,5,,,,,,,,,,,,,,,,5ndmhtdu5jfgvzuddd7fu2fh1,M. Ducksch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006203,17,1,1,0,52,cu0eztmjcsbydyp53aleznorw,1,33.3,61.1,2022-09-17T13:31:04.333Z,2022-09-18T01:45:10Z,3785578303,140,37.6,3788838883,178,,3785578309,213,4.9,3785578301,56,Back,3785578305,141,29.1,3785578307,212,22.2,,,,,,,6kge6vcoa9ocnh6tb8qznfzkl,M. Veljković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006227,18,1,1,0,55,cu0eztmjcsbydyp53aleznorw,1,36.7,28,2022-09-17T13:31:06.733Z,2022-09-18T01:45:15Z,3785578441,141,40.9,3785578439,140,29.7,3785578443,212,11.4,3788839091,178,,3785578437,56,Back,3785578445,213,2.3,,,,,,,1psr9ra8k9j4r94p1xixagzbp,A. Pieper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006243,19,1,1,0,56,cu0eztmjcsbydyp53aleznorw,1,29.7,40.9,2022-09-17T13:31:08.357Z,2022-09-18T01:45:27Z,3788839453,178,,3785578505,213,4.3,3785578499,140,25.4,3785578503,212,12.4,3785578501,141,23.9,3785578497,56,Back,,,,,,,6kge6vcoa9ocnh6tb8qznfzkl,M. Veljković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006271,20,1,1,0,58,cu0eztmjcsbydyp53aleznorw,1,25.3,23.9,2022-09-17T13:31:10.302Z,2022-09-18T01:45:33Z,3788839955,178,,3785578681,212,21.4,3785578679,141,38.2,3785578683,213,2.7,3785578677,140,7.1,3785578675,56,Back,,,,,,,1psr9ra8k9j4r94p1xixagzbp,A. Pieper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006333,21,1,1,1,0,cu0eztmjcsbydyp53aleznorw,0,7,38.2,2022-09-17T13:31:12.062Z,2022-09-18T01:45:40Z,3785578987,1,,3785578979,140,55.1,3785578977,56,Center,3785578981,141,28.8,3785578985,213,6.2,3785578975,157,,3785578983,212,50.9,3788840245,178,,expxslws50h0iw0logr02gs7p,J. Pavlenka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006323,12,44,1,1,4,7ad69ngbpjuyzv96drf8d9sn2,1,45.8,72.3,2022-09-17T13:31:16.155Z,2022-09-18T06:25:37Z,3785579011,233,22,3785578941,285,,3785578939,56,Back,,,,,,,,,,,,,,,,4foax2b7unlkev1eq6py86lii,P. Hincapié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006337,22,44,1,1,4,cu0eztmjcsbydyp53aleznorw,0,54.2,27.7,2022-09-17T13:31:16.156Z,2022-09-18T01:45:47Z,3785579009,286,,3785579041,233,12,3785579007,56,Center,,,,,,,,,,,,,,,,cjq9g6zgcxk1ceo2xzpe1qnyt,N. Füllkrug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006329,13,61,1,1,4,7ad69ngbpjuyzv96drf8d9sn2,1,46.6,73.2,2022-09-17T13:31:16.157Z,2022-09-18T06:25:37Z,3785578959,56,Back,3788841339,388,,3788841337,21,,,,,,,,,,,,,,,,,4foax2b7unlkev1eq6py86lii,P. Hincapié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006349,14,49,1,1,6,7ad69ngbpjuyzv96drf8d9sn2,1,27.8,77.2,2022-09-17T13:31:18.401Z,2022-09-18T01:46:16Z,,,,,,,,,,,,,,,,,,,,,,,,,djha3ac2mfhyb7oia64hq2nd,E. Tapsoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006395,15,1,1,1,8,7ad69ngbpjuyzv96drf8d9sn2,1,27.4,77.2,2022-09-17T13:31:20.223Z,2022-09-18T01:46:34Z,3785579269,141,55.5,3785579271,212,23.6,3785579267,140,9.8,3788842231,178,,3785579275,213,3.8,3785579265,56,Back,,,,,,,djha3ac2mfhyb7oia64hq2nd,E. Tapsoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006445,16,1,1,1,12,7ad69ngbpjuyzv96drf8d9sn2,1,12.2,55.5,2022-09-17T13:31:24.203Z,2022-09-18T01:46:24Z,3785579519,213,1.0,3785579511,56,Back,3788841911,178,,3785579513,140,21.9,3785579517,212,17.7,3785579515,141,76.7,,,,,,,cg6h7oq0b5zpx1g4brhzyk1xx,L. Hrádecký,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006533,17,1,1,1,15,7ad69ngbpjuyzv96drf8d9sn2,1,22,76.7,2022-09-17T13:31:27.106Z,2022-09-18T01:46:49Z,3785579957,56,Back,3788843117,178,,3785579965,213,0.5,3785579963,212,28.0,3785579959,140,45.2,3785579961,141,97.1,,,,,,,djha3ac2mfhyb7oia64hq2nd,E. Tapsoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006539,18,3,1,1,21,7ad69ngbpjuyzv96drf8d9sn2,0,67.4,94.6,2022-09-17T13:31:33.521Z,2022-09-18T01:47:28Z,3785580057,233,23,3785579989,286,,3788844563,178,,3785579987,56,Left,3787468137,465,,,,,,,,,,,9ydkbbygq6uocors9kcdnzbop,M. Diaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006551,23,7,1,1,22,cu0eztmjcsbydyp53aleznorw,0,32.6,5.4,2022-09-17T13:31:33.660Z,2022-09-18T01:47:42Z,3785580037,56,Back,3785580051,233,18,3787467997,385,,3788844985,178,,3785580039,285,,,,,,,,,,,1psr9ra8k9j4r94p1xixagzbp,A. Pieper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006591,19,1,1,1,24,7ad69ngbpjuyzv96drf8d9sn2,1,66.6,75.7,2022-09-17T13:31:35.983Z,2022-09-18T01:48:02Z,3785580261,141,71.0,3785580863,210,13,3785580263,212,28.0,3785580259,140,93.1,3785580865,154,,3785580257,56,Center,3788844757,178,,3785580265,213,6.2,9ydkbbygq6uocors9kcdnzbop,M. Diaby,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006593,20,13,1,1,27,7ad69ngbpjuyzv96drf8d9sn2,1,93.1,71,2022-09-17T13:31:38.933Z,2022-09-18T01:48:03Z,3785580897,102,58.0,3785580275,56,Center,3785580887,83,,3785580903,230,99.4,3785580893,55,19,3785580273,64,,3788845831,178,,3785580889,29,,c0ewvrtk657uw4t5rlv87mq51,P. Schick,,3785580611,72,3785580905,231,3785580899,103,3787469079,113,,3785580901,328,3785580271,22,,3785580891,154,52.7,25,,,,,,,,,,,,,,,
2461006601,21,5,1,1,27,7ad69ngbpjuyzv96drf8d9sn2,0,101,57.8,2022-09-17T13:31:39.279Z,2022-09-18T01:48:14Z,3785580305,56,Center,3785580373,233,24,3785580307,346,,,,,,,,,,,,,,,,,c0ewvrtk657uw4t5rlv87mq51,P. Schick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
