id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value
2503742571,7,61,1,0,14,f0w62l8zql3tukxsy8fqwp72x,1,63.2,39.4,2023-02-04T14:32:02.132Z,2023-02-05T03:55:52Z,4011326623,56,Center,4013915781,21,,4013915783,178,,,,,,,,,,,,,,,,,9j1fd0mz39tl1h5che3f357md,S. Serdar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503776223,231,61,1,0,14,f0w62l8zql3tukxsy8fqwp72x,1,65.4,43.3,2023-02-04T14:32:02.361Z,2023-02-05T03:55:59Z,4013915911,178,,4011489061,56,Center,,,,,,,,,,,,,,,,,,,b2oa5dzw40auj5cgxfrp4b4r9,J. Boëtius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742585,5,49,1,0,16,c5hderjlkcoaze51e5wgvptk,1,38.3,56,2023-02-04T14:32:04Z,2023-02-05T03:56:17Z,,,,,,,,,,,,,,,,,,,,,,,,,az15xx7m923srf9gdbwmiyga1,D. Kamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742649,6,1,1,0,16,c5hderjlkcoaze51e5wgvptk,1,36.2,50.6,2023-02-04T14:32:04.422Z,2023-02-05T03:56:23Z,4013916281,178,,4011327015,212,12.2,4011327013,141,39.3,4011327019,213,3.8,4011327011,140,27.2,4011327009,56,Back,,,,,,,az15xx7m923srf9gdbwmiyga1,D. Kamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742751,7,1,1,0,18,c5hderjlkcoaze51e5wgvptk,1,27.5,39.2,2023-02-04T14:32:05.955Z,2023-02-05T03:56:26Z,4011327445,56,Back,4011327451,212,21.4,4011327453,213,1.7,4011327447,140,25.2,4011327449,141,70.4,4013916325,178,,,,,,,,bd4p670s36cp1dh4fadv84qcq,Tuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742789,8,1,1,0,21,c5hderjlkcoaze51e5wgvptk,1,25.3,73.3,2023-02-04T14:32:09.289Z,2023-02-05T03:56:31Z,4013916375,178,,4011327585,141,92.4,4011327589,213,1.4,4011327587,212,13.2,4011327581,56,Back,4011327583,140,27.6,,,,,,,8kqmsuo668wpuzoyyxf4o2vo5,M. Hasebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742825,9,1,1,0,23,c5hderjlkcoaze51e5wgvptk,1,28,92.4,2023-02-04T14:32:11.218Z,2023-02-05T03:56:33Z,4011327755,213,0.4,4013916401,178,,4011327751,212,8.8,4011327741,56,Back,4011327747,141,97.8,4011327743,140,35.6,,,,,,,efzokrggje7s9wc6hg75yc6ax,E. Ndicka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742867,10,1,1,0,25,c5hderjlkcoaze51e5wgvptk,1,35.7,97.2,2023-02-04T14:32:12.776Z,2023-02-05T03:56:35Z,4011328003,140,36.2,4011328007,212,5.5,4011328001,56,Back,4011328013,213,4.8,4013916443,178,,4011328005,141,89.2,,,,,,,5mbkc1nqmirbtfml9aklqr5xx,P. Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742911,11,1,1,0,25,c5hderjlkcoaze51e5wgvptk,1,36.2,89.2,2023-02-04T14:32:13.482Z,2023-02-05T03:56:45Z,4011328215,213,2.9,4013916587,178,,4011328211,141,92.1,4011328213,212,9.3,4011328207,140,27.5,4011328203,56,Back,,,,,,,eqtsanns36za56h4pfqhbnh05,M. Götze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742921,12,1,1,0,27,c5hderjlkcoaze51e5wgvptk,0,27.5,92.4,2023-02-04T14:32:15.280Z,2023-02-05T03:56:49Z,4011328279,141,95.8,4011328283,213,0.2,4011328277,140,36.7,4011328281,212,9.9,4013916633,178,,4011328275,56,Back,,,,,,,efzokrggje7s9wc6hg75yc6ax,E. Ndicka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742963,8,8,1,0,28,f0w62l8zql3tukxsy8fqwp72x,1,63.8,10,2023-02-04T14:32:16.335Z,2023-02-05T03:56:56Z,4011328469,56,Right,4013107793,385,,4013916709,178,,,,,,,,,,,,,,,,,drv9wksjusdgp1np315rokzit,J. Kenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742965,13,61,1,0,28,c5hderjlkcoaze51e5wgvptk,1,34.4,94.9,2023-02-04T14:32:16.430Z,2023-02-05T03:57:01Z,4013916773,178,,4011328473,56,Back,,,,,,,,,,,,,,,,,,,eqtsanns36za56h4pfqhbnh05,M. Götze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503829797,377,61,1,0,28,f0w62l8zql3tukxsy8fqwp72x,1,66.8,4,2023-02-04T14:32:16.569Z,2023-02-05T03:57:09Z,4011769507,56,Right,4013916877,178,,,,,,,,,,,,,,,,,,,,drv9wksjusdgp1np315rokzit,J. Kenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743019,14,1,1,0,30,c5hderjlkcoaze51e5wgvptk,1,30.2,92.1,2023-02-04T14:32:17.688Z,2023-02-05T03:57:18Z,4011328763,213,0.4,4011328751,56,Back,4011328759,212,7.7,4011328753,140,36.9,4013916997,178,,4011328755,141,96.6,,,,,,,efzokrggje7s9wc6hg75yc6ax,E. Ndicka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743041,15,1,1,0,30,c5hderjlkcoaze51e5wgvptk,1,37.4,96.1,2023-02-04T14:32:18.588Z,2023-02-05T03:57:26Z,4011328903,212,8.7,4011328901,141,84.1,4011328895,56,Back,4011328905,213,4.4,4013917073,178,,4011328899,140,34.6,,,,,,,5mbkc1nqmirbtfml9aklqr5xx,P. Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743285,16,1,1,0,32,c5hderjlkcoaze51e5wgvptk,1,37.7,82.3,2023-02-04T14:32:20.433Z,2023-02-05T03:57:32Z,4011330115,212,34.5,4013917135,178,,4011330107,56,Left,4011330111,140,69.9,4011330117,213,0.2,4011330119,1,,4011330113,141,92.5,,,,eqtsanns36za56h4pfqhbnh05,M. Götze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743301,17,1,1,0,37,c5hderjlkcoaze51e5wgvptk,1,88.6,90.7,2023-02-04T14:32:25.583Z,2023-02-05T03:57:42Z,4011330197,213,5.3,4011330191,140,94.8,4011330193,141,76.2,4011330189,56,Center,4013917263,178,,4011330195,212,11.8,,,,,,,g3fgd752o63acmmuahdvppm1,R. Kolo Muani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743311,18,1,1,0,40,c5hderjlkcoaze51e5wgvptk,0,98.9,73.4,2023-02-04T14:32:28.008Z,2023-02-05T03:57:48Z,4011330243,212,15.5,4011330241,141,51.5,4011333873,195,,4011330245,213,4.4,4013917375,178,,4011330239,140,94.7,4011330237,56,Center,,,,5mbkc1nqmirbtfml9aklqr5xx,P. Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743379,9,12,1,0,41,f0w62l8zql3tukxsy8fqwp72x,1,3.7,51,2023-02-04T14:32:28.905Z,2023-02-05T03:57:57Z,4011330623,56,Back,4011330629,212,18.6,4011330627,141,26.7,4011330631,213,5.2,4013917515,178,,4011330625,140,11.8,,,,,,,2ebiw2w6d76sttjh8n8871kgl,M. Plattenhardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743407,10,1,1,0,43,f0w62l8zql3tukxsy8fqwp72x,0,11.8,26.7,2023-02-04T14:32:30.944Z,2023-02-05T03:58:02Z,4013917607,388,,4011330803,212,22.9,4011330799,140,30.3,4011330797,56,Back,4011330801,141,44.6,4011330795,3,,4011330805,213,0.6,,,,drv9wksjusdgp1np315rokzit,J. Kenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743457,19,1,1,0,46,c5hderjlkcoaze51e5wgvptk,1,72.2,49.8,2023-02-04T14:32:34.477Z,2023-02-05T03:58:13Z,4013917723,178,,4011331021,141,13.8,4011331023,212,25.1,4011331019,140,77.5,4011331017,56,Right,4011331025,213,4.9,,,,,,,7cdiijsvnfc7tafy0zkf4uz9,D. Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743467,20,1,1,0,49,c5hderjlkcoaze51e5wgvptk,0,76.5,15.6,2023-02-04T14:32:37.426Z,2023-02-05T03:58:19Z,4011331303,286,,4011331297,236,,4011331299,233,11,4011331075,56,Right,4011331081,212,1.5,4011331077,140,75.6,4011331083,213,2.2,4011331079,141,17.4,e91s5lp3fvfaav8w8xi7wdx3p,Aurélio Buta,4013917819,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743497,11,74,1,0,49,f0w62l8zql3tukxsy8fqwp72x,1,28.1,83.3,2023-02-04T14:32:37.613Z,2023-02-05T03:58:27Z,4011331213,56,Back,4011331323,233,20,4013917929,178,,4011331215,285,,,,,,,,,,,,,,5cw4n6kdaa7imeyaiuo2pnq39,D. Lukébakio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743509,12,49,1,0,51,f0w62l8zql3tukxsy8fqwp72x,1,26.8,76,2023-02-04T14:32:38.841Z,2023-02-05T03:58:41Z,,,,,,,,,,,,,,,,,,,,,,,,,5cw4n6kdaa7imeyaiuo2pnq39,D. Lukébakio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743531,13,1,1,0,53,f0w62l8zql3tukxsy8fqwp72x,0,26.9,77.9,2023-02-04T14:32:40.765Z,2023-02-05T03:58:52Z,4011338475,141,75.4,4011338473,140,30.5,4011338477,212,4.1,4011338479,213,5.9,4011338531,236,,4011338537,286,,4011338533,233,21,4013918225,178,,5cw4n6kdaa7imeyaiuo2pnq39,D. Lukébakio,4011331371,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743549,21,74,1,0,53,c5hderjlkcoaze51e5wgvptk,1,70.1,25.2,2023-02-04T14:32:40.844Z,2023-02-05T03:58:58Z,4011338573,233,13,4011331477,56,Center,4011331479,285,,4013918323,178,,,,,,,,,,,,,,az15xx7m923srf9gdbwmiyga1,D. Kamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743815,14,1,1,0,56,f0w62l8zql3tukxsy8fqwp72x,1,24.4,90,2023-02-04T14:32:43.850Z,2023-02-05T04:01:59Z,4013920311,178,,4011335355,210,13,4011332989,140,78.7,4011332987,56,Center,4011332995,213,6.1,4011332985,155,,4011332999,1,,4011332991,141,76.1,2ebiw2w6d76sttjh8n8871kgl,M. Plattenhardt,4011332993,212,57.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743819,15,13,1,1,1,f0w62l8zql3tukxsy8fqwp72x,1,78.7,76.1,2023-02-04T14:32:48.936Z,2023-02-05T04:02:00Z,4013920405,178,,4011334785,72,,4011733923,328,,4011733921,23,,4011335399,230,98.5,4011335397,215,,4011335393,102,33.9,4011333017,56,Center,48xfkorlx0hu677np4669wbth,F. Niederlechner,4011335385,75,,,4011335395,103,4.2,4011335401,231,52.2,4011333015,18,4011335387,29,4011335389,55,14,,,,,,,,,,,,,,,,,,,,,,,,
2503743841,16,5,1,1,3,f0w62l8zql3tukxsy8fqwp72x,0,101.2,35.8,2023-02-04T14:32:51.013Z,2023-02-05T04:02:07Z,4011333145,56,Center,4011333147,346,,4011333211,233,22,,,,,,,,,,,,,,,,djggrnjp9s4p2mlbzhx6arbh1,M. Richter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503743843,22,5,1,1,3,c5hderjlkcoaze51e5wgvptk,1,-1.2,64.2,2023-02-04T14:32:51.013Z,2023-02-05T04:02:07Z,4011333159,346,,4011333157,56,Back,4011333183,233,16,,,,,,,,,,,,,,,,az15xx7m923srf9gdbwmiyga1,D. Kamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744041,23,1,1,1,14,c5hderjlkcoaze51e5wgvptk,1,5,50.1,2023-02-04T14:33:02.576Z,2023-02-05T04:02:08Z,4011334221,213,4.9,4011334215,140,8.4,4011336203,189,,4011334225,237,,4011334217,141,15.9,4011334211,124,,4011334219,212,23.5,4011334213,56,Back,7obuhegyo1qcoikt23egcsr85,K. Trapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744075,24,1,1,1,18,c5hderjlkcoaze51e5wgvptk,1,18.3,20.2,2023-02-04T14:33:06.207Z,2023-02-05T04:02:11Z,4011334369,56,Back,4013920583,178,,4011334375,212,12.2,4011334373,141,38.1,4011334371,140,17.5,4011334377,213,1.6,,,,,,,bd4p670s36cp1dh4fadv84qcq,Tuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744117,25,1,1,1,23,c5hderjlkcoaze51e5wgvptk,1,20.4,50.6,2023-02-04T14:33:10.830Z,2023-02-05T04:02:17Z,4011334555,213,4.9,4013920663,178,,4011334549,140,23.5,4011334547,56,Back,4011334553,212,18.0,4011334551,141,24.5,,,,,,,8kqmsuo668wpuzoyyxf4o2vo5,M. Hasebe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744259,26,1,1,1,28,c5hderjlkcoaze51e5wgvptk,1,30.2,31.5,2023-02-04T14:33:15.855Z,2023-02-05T04:02:20Z,4011335329,56,Back,4011335335,212,23.4,4011335331,140,28.0,4011335337,213,1.7,4011335333,141,65.8,4013920737,178,,,,,,,,bd4p670s36cp1dh4fadv84qcq,Tuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744363,27,1,1,1,32,c5hderjlkcoaze51e5wgvptk,0,36.5,73.4,2023-02-04T14:33:20.584Z,2023-02-05T04:02:24Z,4013920807,178,,4011335913,212,58.4,4011335917,1,,4011335911,141,30.8,4011335907,56,Center,4011335909,140,84.8,4011335905,155,,4011335915,213,5.8,efzokrggje7s9wc6hg75yc6ax,E. Ndicka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744381,17,52,1,1,38,f0w62l8zql3tukxsy8fqwp72x,1,14.4,68.2,2023-02-04T14:33:25.939Z,2023-02-05T04:02:28Z,4013920855,178,,4013133685,377,,,,,,,,,,,,,,,,,,,,1sjt0nj0232gu88x50c3d16nd,O. Christensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744513,18,1,1,1,41,f0w62l8zql3tukxsy8fqwp72x,1,14.2,55.5,2023-02-04T14:33:29.345Z,2023-02-05T04:02:32Z,4011336631,213,5.1,4011336625,140,23.9,4013920941,178,,4011336653,287,,4011336629,212,30.6,4011336627,141,13.1,4011336621,123,,4011336623,56,Back,1sjt0nj0232gu88x50c3d16nd,O. Christensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744617,19,1,1,1,45,f0w62l8zql3tukxsy8fqwp72x,1,26.1,7.7,2023-02-04T14:33:32.825Z,2023-02-05T04:02:37Z,4011337101,141,9.4,4011337103,212,14.7,4013921033,178,,4011337099,140,40.1,4011337097,56,Back,4011337105,213,0.1,,,,,,,drv9wksjusdgp1np315rokzit,J. Kenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744629,20,3,1,1,47,f0w62l8zql3tukxsy8fqwp72x,0,37.4,11.6,2023-02-04T14:33:35.217Z,2023-02-05T04:02:42Z,4011337137,286,,4013136663,464,,4013921107,178,,4011337363,233,28,4011337135,56,Back,,,,,,,,,,djggrnjp9s4p2mlbzhx6arbh1,M. Richter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744667,28,7,1,1,47,c5hderjlkcoaze51e5wgvptk,1,62.6,88.4,2023-02-04T14:33:35.272Z,2023-02-05T04:02:50Z,4011337325,285,,4013137159,384,,4013921271,178,,4011337323,56,Left,4011337327,233,20,,,,,,,,,,5mbkc1nqmirbtfml9aklqr5xx,P. Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744669,29,49,1,1,48,c5hderjlkcoaze51e5wgvptk,1,65.5,89.8,2023-02-04T14:33:36.118Z,2023-02-05T04:02:54Z,,,,,,,,,,,,,,,,,,,,,,,,,eqtsanns36za56h4pfqhbnh05,M. Götze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744733,30,1,1,1,49,c5hderjlkcoaze51e5wgvptk,1,65.5,89.8,2023-02-04T14:33:36.757Z,2023-02-05T04:03:01Z,4011337585,141,72.1,4013921455,178,,4011337581,56,Center,4011337589,213,5.0,4011337587,212,12.6,4011337583,140,68.9,,,,,,,eqtsanns36za56h4pfqhbnh05,M. Götze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744777,31,1,1,1,52,c5hderjlkcoaze51e5wgvptk,1,72.6,61.6,2023-02-04T14:33:40.060Z,2023-02-05T04:03:07Z,4013921543,178,,4011337793,140,86.3,4011337799,213,0.3,4011337791,56,Center,4011337797,212,14.9,4011337795,141,67.4,,,,,,,g3fgd752o63acmmuahdvppm1,R. Kolo Muani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503744787,32,61,1,1,54,c5hderjlkcoaze51e5wgvptk,0,87.5,67.6,2023-02-04T14:33:41.722Z,2023-02-05T04:03:12Z,4011337837,56,Center,4013921633,178,,,,,,,,,,,,,,,,,,,,5ph2ln91ycq1qlq03cnqqs9re,J. Lindstrøm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
