id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/13/value
2543967851,11,1,1,0,58,1c7qokc1j5z50cjj4tcu32haa,0,18,44.8,2023-05-05T18:31:15.813Z,2023-05-06T01:19:31Z,4253039657,178,,4252285601,141,60.0,4252285753,1,,4252285595,155,,4252285605,213,0.2,4252285603,212,57.7,4252285597,56,Center,4252285599,140,72.1,ci1nu5z8aiiikco8af0zk1lud,R. Zentner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967897,11,1,1,1,2,cz4a6wmzx2obyisadhgaccx7b,1,27.3,31.4,2023-05-05T18:31:19.506Z,2023-05-06T01:19:39Z,4252285899,56,Back,4252285897,3,,4252285901,140,44.4,4252285907,213,0.7,4252285903,141,55.0,4252285905,212,24.1,4253039905,178,,,,,58ixsja4yf7pskmshzo7ohwfe,S. van den Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967925,12,1,1,1,5,cz4a6wmzx2obyisadhgaccx7b,1,43,57.9,2023-05-05T18:31:22.233Z,2023-05-06T01:19:45Z,4252286033,212,5.4,4252286027,140,48.0,4252286029,141,56.3,4252286023,3,,4252286025,56,Back,4252286037,213,6.1,4253040027,388,,,,,6b7p3ncup75mpop91n0u1mw2d,M. Bülter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967935,13,49,1,1,6,cz4a6wmzx2obyisadhgaccx7b,1,48.8,56.4,2023-05-05T18:31:23.184Z,2023-05-06T01:19:48Z,,,,,,,,,,,,,,,,,,,,,,,,,9xl238e13utd2ondzqi51ka1h,S. Terodde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967967,14,1,1,1,6,cz4a6wmzx2obyisadhgaccx7b,1,48.9,58.3,2023-05-05T18:31:23.232Z,2023-05-06T01:19:51Z,4252286197,212,11.2,4252286191,56,Back,4252286199,213,4.6,4253040251,178,,4252286193,140,47.7,4252286195,141,41.9,,,,,,,9xl238e13utd2ondzqi51ka1h,S. Terodde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967973,15,1,1,1,8,cz4a6wmzx2obyisadhgaccx7b,0,59.1,30.1,2023-05-05T18:31:25.715Z,2023-05-06T01:20:10Z,4252302607,233,12,4252302379,213,5.1,4252302611,286,,4253040397,178,,4252302375,141,26.0,4252302377,212,3.0,4252286229,56,Center,4252302373,140,60.1,dgysidzshgxqm3jegaihwi5wq,T. Krauß,4252302605,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967983,12,74,1,1,8,1c7qokc1j5z50cjj4tcu32haa,1,39.6,68.6,2023-05-05T18:31:25.750Z,2023-05-06T01:20:07Z,4253040715,178,,4252286287,285,,4252302619,233,15,4252286283,56,Back,,,,,,,,,,,,,eh9sh9aa10zrp80l6e4l0c7h1,Aarón Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967991,13,49,1,1,10,1c7qokc1j5z50cjj4tcu32haa,1,44.8,65.3,2023-05-05T18:31:27.885Z,2023-05-06T01:20:20Z,,,,,,,,,,,,,,,,,,,,,,,,,l469vtpe0jbgg5sq1v2e67e1,L. Barreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543968035,14,4,1,1,13,1c7qokc1j5z50cjj4tcu32haa,1,58.7,68.6,2023-05-05T18:31:30.082Z,2023-05-06T01:20:30Z,4252286553,286,,4252286829,233,16,4252286545,13,,4252286547,56,Center,4252286549,152,,4252286551,265,,,,,,,,l469vtpe0jbgg5sq1v2e67e1,L. Barreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543968083,16,4,1,1,13,cz4a6wmzx2obyisadhgaccx7b,0,41.3,31.4,2023-05-05T18:31:30.083Z,2023-05-06T01:20:30Z,4252286793,265,,4252286795,285,,4252286791,152,,4253041337,178,,4252286787,13,,4252286789,56,Back,4252286849,233,14,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543969355,29,1,1,1,35,1c7qokc1j5z50cjj4tcu32haa,1,54,74.4,2023-05-05T18:31:52.493Z,2023-05-06T01:20:33Z,4252293253,141,85.8,4252293255,212,14.3,4252293681,5,,4252293487,189,,4253041389,178,,4252293683,152,,4252293249,56,Back,4252293251,140,42.6,d608s0948uh3owqee7t0en7px,D. Kohr,4252293257,213,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543968341,15,1,1,1,35,1c7qokc1j5z50cjj4tcu32haa,1,53.4,71.4,2023-05-05T18:31:52.777Z,2023-05-06T01:20:38Z,4252288033,141,93.2,4252288035,212,14.8,4252288029,140,52.8,4253041517,178,,4252288025,56,Left,4252288037,213,1.6,,,,,,,6uurhe88nry4hyelll8ifzd91,E. Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543968351,16,1,1,1,37,1c7qokc1j5z50cjj4tcu32haa,0,52.8,93.2,2023-05-05T18:31:54.145Z,2023-05-06T01:20:41Z,4252288099,212,22.4,4252288097,141,87.4,4252288093,56,Left,4253041573,178,,4252288101,213,6.1,4252288095,140,73.8,,,,,,,eh9sh9aa10zrp80l6e4l0c7h1,Aarón Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543968365,17,12,1,1,38,cz4a6wmzx2obyisadhgaccx7b,1,25.2,11.7,2023-05-05T18:31:55.810Z,2023-05-06T01:20:45Z,4252288175,140,50.9,4252288189,213,6.0,4253041685,178,,4252288205,167,,4252288183,212,28.4,4252288179,141,0.0,4252288171,56,Right,,,,58ixsja4yf7pskmshzo7ohwfe,S. van den Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543968399,17,5,1,1,41,1c7qokc1j5z50cjj4tcu32haa,1,47.8,101.7,2023-05-05T18:31:58.176Z,2023-05-06T01:20:52Z,4252288343,56,Back,4252288345,347,,4252288389,233,18,,,,,,,,,,,,,,,,eh9sh9aa10zrp80l6e4l0c7h1,Aarón Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543968367,18,5,1,1,41,cz4a6wmzx2obyisadhgaccx7b,0,52.2,-1.7,2023-05-05T18:31:58.176Z,2023-05-06T01:20:53Z,4252288199,56,Right,4252288397,233,17,4252288203,347,,,,,,,,,,,,,,,,,58ixsja4yf7pskmshzo7ohwfe,S. van den Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543968495,18,1,1,1,47,1c7qokc1j5z50cjj4tcu32haa,1,55.3,100,2023-05-05T18:32:03.965Z,2023-05-06T01:20:59Z,4252288911,212,7.0,4252289921,189,,4252288907,140,60.1,4252288909,141,94.2,4252288903,107,,4252288905,56,Left,4252288913,213,5.5,,,,eh9sh9aa10zrp80l6e4l0c7h1,Aarón Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
