id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/18/value
2458079153,4,1,1,0,23,cz4a6wmzx2obyisadhgaccx7b,0,17.9,100,2022-09-10T16:31:14.783Z,2022-09-11T04:18:02Z,3769995295,107,,3769995297,56,Back,3769995299,140,29.3,3769995303,212,12.6,3769995301,141,96.2,3769995305,213,6.0,,,,,,,5qc0owkwmgk74qy13ft3kpg5,T. Mohr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079597,20,49,1,0,25,eq1oq6y61xnzq88zu0cnw131z,1,61.3,4.6,2022-09-10T16:31:16.436Z,2022-09-11T04:18:10Z,,,,,,,,,,,,,,,,,,,,,,,,,2earc7j2kp3tveehpnxtv1exh,C. Gamboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079175,8,1,1,0,25,eq1oq6y61xnzq88zu0cnw131z,0,60.5,7.6,2022-09-10T16:31:16.617Z,2022-09-11T04:18:20Z,3772160379,178,,3769995461,213,0.6,3769995457,141,23.1,3769995453,56,Center,3769995459,212,18.4,3769995451,155,,3769995455,140,74.9,,,,2earc7j2kp3tveehpnxtv1exh,C. Gamboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079205,5,1,1,0,27,cz4a6wmzx2obyisadhgaccx7b,1,22.9,77.3,2022-09-10T16:31:18.172Z,2022-09-11T04:18:36Z,3772160611,388,,3769995639,56,Back,3769995645,212,14.6,3769995641,140,35.7,3769995647,213,0.4,3769995643,141,85.6,3769995637,3,,,,,58ixsja4yf7pskmshzo7ohwfe,S. van den Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079651,12,49,1,0,27,cz4a6wmzx2obyisadhgaccx7b,1,37,92.9,2022-09-10T16:31:18.990Z,2022-09-11T04:19:09Z,,,,,,,,,,,,,,,,,,,,,,,,,7lohomjw8xbl5eymcqhrtytw5,D. Drexler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079691,13,1,1,0,28,cz4a6wmzx2obyisadhgaccx7b,0,37.1,93.8,2022-09-10T16:31:19.210Z,2022-09-11T04:19:25Z,3769998231,141,73.0,3769998227,56,Back,3769998235,213,5.1,3769998233,212,15.5,3769998229,140,43.2,3772161641,178,,,,,,,,7lohomjw8xbl5eymcqhrtytw5,D. Drexler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079213,9,1,1,0,30,eq1oq6y61xnzq88zu0cnw131z,0,64.3,24.8,2022-09-10T16:31:21.084Z,2022-09-11T04:19:33Z,3769995685,213,2.9,3769995681,141,26.3,3769995683,212,3.8,3769995679,140,60.8,3772162359,178,,3769995677,56,Center,,,,,,,98e7uohj6lcvf59sfssff2y8l,P. Förster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079907,14,61,1,0,30,cz4a6wmzx2obyisadhgaccx7b,1,45.7,71.8,2022-09-10T16:31:21.168Z,2022-09-11T04:19:47Z,3769999337,56,Back,3772163459,178,,3772245185,21,,,,,,,,,,,,,,,,,9xl238e13utd2ondzqi51ka1h,S. Terodde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079241,6,1,1,0,31,cz4a6wmzx2obyisadhgaccx7b,0,44.5,71.7,2022-09-10T16:31:22.155Z,2022-09-11T04:19:53Z,3769995835,141,86.5,3769995839,213,0.7,3769995831,56,Left,3769995837,212,15.8,3769995833,140,56.1,3770000209,155,,3772177225,178,,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079249,10,1,1,0,32,eq1oq6y61xnzq88zu0cnw131z,0,45.4,18.5,2022-09-10T16:31:23.737Z,2022-09-11T04:20:03Z,3769995869,3,,3769995879,212,20.1,3769995875,140,63.2,3769995877,141,29.5,3769995873,56,Center,3769995881,213,0.4,3772245583,178,,,,,2earc7j2kp3tveehpnxtv1exh,C. Gamboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079261,7,44,1,0,34,cz4a6wmzx2obyisadhgaccx7b,1,40.4,71.7,2022-09-10T16:31:25.981Z,2022-09-11T07:44:56Z,3769995933,285,,3769995931,56,Back,3769995951,233,11,,,,,,,,,,,,,,,,58jjd14yvf4d6tvqcz4xo3a7e,F. Flick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079257,11,44,1,0,34,eq1oq6y61xnzq88zu0cnw131z,0,59.6,28.3,2022-09-10T16:31:25.982Z,2022-09-11T04:20:11Z,3769995911,286,,3769995989,233,7,3769995909,56,Center,,,,,,,,,,,,,,,,f2o5hj0e2k3kw0fj1xzom0cet,K. Stöger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079269,8,1,1,0,35,cz4a6wmzx2obyisadhgaccx7b,0,42,73,2022-09-10T16:31:26.141Z,2022-09-11T07:44:57Z,3769995993,3,,3772175421,388,,3769995997,140,38.2,3769995995,56,Back,3769995999,141,64.9,3769996003,213,4.1,3769996001,212,6.8,,,,58jjd14yvf4d6tvqcz4xo3a7e,F. Flick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079293,12,1,1,0,36,eq1oq6y61xnzq88zu0cnw131z,0,67.1,45.6,2022-09-10T16:31:27.372Z,2022-09-11T04:20:24Z,3769996119,56,Center,3769996121,140,69.0,3769996125,212,8.1,3769996123,141,57.2,3769996127,213,1.3,3772174131,178,,,,,,,,d2pco79bmi3f9x3zahtf9q2mt,P. Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079297,9,1,1,0,37,cz4a6wmzx2obyisadhgaccx7b,0,31.2,51.9,2022-09-10T16:31:28.270Z,2022-09-11T04:20:41Z,3772172945,178,,3769996149,141,52.8,3769996153,213,0.2,3769996151,212,2.9,3769998825,236,,3769996145,56,Back,3769998831,286,,3769996147,140,33.9,w2jovd0ta6to004lvlri5gtm,H. Matriciani,3769998827,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079307,13,74,1,0,37,eq1oq6y61xnzq88zu0cnw131z,1,69,57.2,2022-09-10T16:31:28.368Z,2022-09-11T04:20:45Z,3769996197,56,Center,3772173743,178,,3769998845,233,9,3769998753,285,,,,,,,,,,,,,,2bzdn7cqqonejqmlq85w8z6qd,T. Asano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079337,10,1,1,0,39,cz4a6wmzx2obyisadhgaccx7b,0,33.3,70.8,2022-09-10T16:31:30.424Z,2022-09-11T04:20:56Z,3772171701,178,,3769996337,3,,3769996345,212,6.5,3769996341,140,39.5,3769996343,141,71.5,3769996347,213,0.1,3769996339,56,Back,,,,58jjd14yvf4d6tvqcz4xo3a7e,F. Flick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079319,14,44,1,0,40,eq1oq6y61xnzq88zu0cnw131z,1,60,28.4,2022-09-10T16:31:31.537Z,2022-09-11T07:44:57Z,3769996409,233,11,3769996255,286,,3769996253,56,Center,,,,,,,,,,,,,,,,82r0liyptyapc8rfuo32qcqtx,A. Losilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079347,11,44,1,0,40,cz4a6wmzx2obyisadhgaccx7b,0,40,71.6,2022-09-10T16:31:31.538Z,2022-09-11T04:21:04Z,3769996387,56,Back,3769996389,285,,3769996443,233,14,,,,,,,,,,,,,,,,7lohomjw8xbl5eymcqhrtytw5,D. Drexler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079339,15,1,1,0,40,eq1oq6y61xnzq88zu0cnw131z,1,58.2,28.3,2022-09-10T16:31:31.759Z,2022-09-11T07:44:58Z,3769996355,140,61.8,3769996357,141,18.9,3769996351,3,,3772172313,388,,3769996353,56,Right,3769996361,213,5.2,3769996359,212,7.4,,,,82r0liyptyapc8rfuo32qcqtx,A. Losilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079351,16,49,1,0,41,eq1oq6y61xnzq88zu0cnw131z,1,61.8,18.9,2022-09-10T16:31:32.707Z,2022-09-11T04:21:13Z,,,,,,,,,,,,,,,,,,,,,,,,,9xftmtdsxbuu2itzhi3v1xbdh,S. Zoller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079393,17,1,1,0,41,eq1oq6y61xnzq88zu0cnw131z,1,61.8,18.9,2022-09-10T16:31:33.002Z,2022-09-11T04:21:19Z,3769996637,56,Back,3769996643,212,22.9,3769996645,213,3.1,3769996641,141,20.0,3772170765,178,,3769996639,140,40.0,,,,,,,9xftmtdsxbuu2itzhi3v1xbdh,S. Zoller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458491891,1002,43,1,0,45,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-09-10T16:31:36.148Z,2022-09-11T04:48:08Z,3772288595,144,82,3772288413,178,0,,,,,,,,,,,,,,,,,,,8ksi5s9he1uxai3lfcq46grf9,E. Mašović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079399,18,43,1,0,48,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-09-10T16:31:39.683Z,2022-09-10T16:32:29Z,3769996669,56,Back,3769999551,144,61,3769996687,238,0,,,,,,,,,,,,,,,,2earc7j2kp3tveehpnxtv1exh,C. Gamboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079409,19,43,1,0,49,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-09-10T16:31:40.851Z,2022-09-10T16:32:30Z,3769996715,56,Back,3769996717,347,0,3769999565,144,5,,,,,,,,,,,,,,,,2earc7j2kp3tveehpnxtv1exh,C. Gamboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079979,21,68,1,1,39,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-09-10T16:32:30.841Z,2022-09-11T04:21:23Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458079973,15,68,1,1,40,cz4a6wmzx2obyisadhgaccx7b,0,0,0,2022-09-10T16:32:31.160Z,2022-09-11T04:21:34Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080103,22,1,1,1,41,eq1oq6y61xnzq88zu0cnw131z,1,35.4,19.7,2022-09-10T16:32:33.040Z,2022-09-11T04:21:39Z,3770000329,140,10.6,3772179365,178,,3770000333,212,30.2,3770000331,141,42.1,3770000327,56,Back,3770000335,213,2.6,,,,,,,8ksi5s9he1uxai3lfcq46grf9,E. Mašović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080163,23,1,1,1,49,eq1oq6y61xnzq88zu0cnw131z,1,10.6,42.1,2022-09-10T16:32:40.085Z,2022-09-11T04:21:43Z,3772179725,178,,3770000603,213,5.7,3770000599,141,5.1,3770000601,212,44.5,3770000605,1,,3770000595,56,Back,3770000593,155,,3770000597,140,45.6,clmq1s26z0i3lqr1jqnd5wzit,M. Riemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080183,24,1,1,1,51,eq1oq6y61xnzq88zu0cnw131z,0,45.6,5.1,2022-09-10T16:32:42.826Z,2022-09-11T04:21:49Z,3770000693,3,,3770000697,140,53.1,3770000695,56,Center,3770000703,213,1.2,3770000701,212,20.2,3770000699,141,32.5,3772180081,388,,,,,2earc7j2kp3tveehpnxtv1exh,C. Gamboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080195,16,1,1,1,54,cz4a6wmzx2obyisadhgaccx7b,0,46.5,69.4,2022-09-10T16:32:45.160Z,2022-09-11T04:21:56Z,3772248571,178,,3770000777,3,,3770000783,141,95.1,3770000787,213,0.9,3770000785,212,23.0,3770000781,140,60.8,3770000779,56,Left,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080213,25,1,1,1,56,eq1oq6y61xnzq88zu0cnw131z,0,39.5,4.4,2022-09-10T16:32:47.358Z,2022-09-11T04:22:03Z,3770000897,3,,3772248837,178,,3770000899,56,Back,3770000905,212,8.4,3770000901,140,44.7,3770000907,213,0.9,3770000903,141,13.7,,,,2earc7j2kp3tveehpnxtv1exh,C. Gamboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080227,17,1,1,1,58,cz4a6wmzx2obyisadhgaccx7b,0,49.8,78.8,2022-09-10T16:32:49.465Z,2022-09-11T04:22:09Z,3770000979,141,77.9,3770000985,212,3.7,3772249013,178,,3770000971,140,53.3,3770000965,56,Center,3770000961,3,,3770000991,213,6.1,,,,58jjd14yvf4d6tvqcz4xo3a7e,F. Flick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080233,26,61,1,1,58,eq1oq6y61xnzq88zu0cnw131z,1,45.6,19.8,2022-09-10T16:32:49.554Z,2022-09-11T04:22:17Z,3772181609,178,,3770001005,56,Back,3772249225,15,,,,,,,,,,,,,,,,,f2o5hj0e2k3kw0fj1xzom0cet,K. Stöger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080263,18,50,1,2,0,cz4a6wmzx2obyisadhgaccx7b,1,55,77.1,2022-09-10T16:32:51.129Z,2022-09-11T04:22:39Z,3770001179,56,Center,3770003241,233,27,3770001181,286,,,,,,,,,,,,,,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080269,27,7,1,2,0,eq1oq6y61xnzq88zu0cnw131z,0,45,22.9,2022-09-10T16:32:51.225Z,2022-09-11T04:22:44Z,3772182723,178,,3770001275,233,18,3770001199,56,Back,3770861003,383,,3770001201,285,,,,,,,,,,,f2o5hj0e2k3kw0fj1xzom0cet,K. Stöger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080327,19,1,1,2,1,cz4a6wmzx2obyisadhgaccx7b,1,55.7,87.7,2022-09-10T16:32:52.451Z,2022-09-11T04:22:51Z,3770001469,212,5.8,3770001471,213,1.2,3770001465,140,57.7,3770001463,56,Left,3770001467,141,95.7,3772182927,178,,,,,,,,58jjd14yvf4d6tvqcz4xo3a7e,F. Flick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080335,20,49,1,2,1,cz4a6wmzx2obyisadhgaccx7b,1,60.7,93.2,2022-09-10T16:32:52.942Z,2022-09-11T04:22:55Z,,,,,,,,,,,,,,,,,,,,,,,,,6b7p3ncup75mpop91n0u1mw2d,M. Bülter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080355,21,1,1,2,4,cz4a6wmzx2obyisadhgaccx7b,1,65,90.8,2022-09-10T16:32:55.824Z,2022-09-11T04:23:01Z,3770001601,141,58.5,3770001605,213,5.2,3770001599,140,76.1,3770001603,212,24.9,3772183415,178,,3770001597,56,Center,,,,,,,6b7p3ncup75mpop91n0u1mw2d,M. Bülter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080367,22,1,1,2,6,cz4a6wmzx2obyisadhgaccx7b,0,77.6,58.7,2022-09-10T16:32:57.100Z,2022-09-11T04:23:11Z,3772183719,178,,3770001675,213,0.4,3770001669,140,85.9,3770001671,141,64.2,3770001667,56,Center,3770001673,212,9.5,,,,,,,9xl238e13utd2ondzqi51ka1h,S. Terodde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080383,28,49,1,2,7,eq1oq6y61xnzq88zu0cnw131z,1,14.5,35,2022-09-10T16:32:58.274Z,2022-09-11T04:23:14Z,,,,,,,,,,,,,,,,,,,,,,,,,8ksi5s9he1uxai3lfcq46grf9,E. Mašović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080401,29,1,1,2,7,eq1oq6y61xnzq88zu0cnw131z,1,14.5,35,2022-09-10T16:32:58.778Z,2022-09-11T04:23:19Z,3770001869,140,27.4,3772184239,178,,3770001867,56,Back,3770001877,1,,3770001873,212,15.7,3770001875,213,0.5,3770001865,157,,3770001871,141,46.8,8ksi5s9he1uxai3lfcq46grf9,E. Mašović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080415,30,1,1,2,9,eq1oq6y61xnzq88zu0cnw131z,0,27.4,46.8,2022-09-10T16:33:00.699Z,2022-09-11T04:23:26Z,3770001951,56,Back,3772184639,178,,3770001955,141,57.1,3770001957,212,20.3,3770001953,140,45.5,3770001959,213,0.4,,,,,,,98e7uohj6lcvf59sfssff2y8l,P. Förster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080419,23,49,1,2,11,cz4a6wmzx2obyisadhgaccx7b,1,53,44.3,2022-09-10T16:33:02.562Z,2022-09-11T04:23:32Z,,,,,,,,,,,,,,,,,,,,,,,,,58ixsja4yf7pskmshzo7ohwfe,S. van den Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080435,24,1,1,2,11,cz4a6wmzx2obyisadhgaccx7b,1,53,44.3,2022-09-10T16:33:02.804Z,2022-09-11T04:23:38Z,3770002083,213,5.8,3770002081,212,16.9,3770002079,141,31.9,3772184979,178,,3770002077,140,67.0,3770002075,56,Center,,,,,,,58ixsja4yf7pskmshzo7ohwfe,S. van den Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458080437,25,61,1,2,12,cz4a6wmzx2obyisadhgaccx7b,0,67.1,31.8,2022-09-10T16:33:04.014Z,2022-09-11T04:23:44Z,3772185541,178,,3770002087,56,Center,,,,,,,,,,,,,,,,,,,aahyom322jdc6f21960ycuzth,J. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
