id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2475665867,17,1,1,0,31,go76xxm0xyfgqt1h6tcrtimm,0,19.7,3.5,2022-10-22T16:31:51.418Z,2022-10-23T05:53:50Z,3865366199,178,,3863454369,56,Back,3863454371,140,21.5,3863454497,236,,3863454503,286,,3863454377,213,6.2,3863454373,141,3.3,3863454499,233,3,5i8dbjuewybsfgyym63clfw0l,J. Weigl,3863454375,212,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665889,3,74,1,0,31,c5hderjlkcoaze51e5wgvptk,1,75.5,95.9,2022-10-22T16:31:51.438Z,2022-10-23T05:53:54Z,3865366267,178,,3863454505,233,17,3863454483,56,Left,3863454485,285,,,,,,,,,,,,,,eqtsanns36za56h4pfqhbnh05,M. Götze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665911,4,5,1,0,31,c5hderjlkcoaze51e5wgvptk,0,78.4,101,2022-10-22T16:31:52.170Z,2022-10-23T05:54:00Z,3863454595,56,Left,3863454597,347,,3863454651,233,18,,,,,,,,,,,,,,,,eqtsanns36za56h4pfqhbnh05,M. Götze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475665899,18,5,1,0,31,go76xxm0xyfgqt1h6tcrtimm,1,21.6,-1,2022-10-22T16:31:52.170Z,2022-10-23T05:54:00Z,3863454543,56,Back,3863454545,347,,3863454621,233,4,,,,,,,,,,,,,,,,5i8dbjuewybsfgyym63clfw0l,J. Weigl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475666103,19,1,1,0,43,go76xxm0xyfgqt1h6tcrtimm,1,19,0,2022-10-22T16:32:03.924Z,2022-10-23T05:54:08Z,3863455501,107,,3863455509,212,7.5,3863455511,213,1.1,3863455507,141,9.3,3863455503,56,Back,3863455505,140,22.2,,,,,,,43eq31reskwn9veb3vickralm,J. Scally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475666123,20,1,1,0,45,go76xxm0xyfgqt1h6tcrtimm,1,22.7,9.1,2022-10-22T16:32:05.424Z,2022-10-23T05:54:17Z,3863455635,140,25.4,3863455633,56,Back,3865366717,178,,3863455637,141,3.8,3863455641,213,5.4,3863455639,212,4.6,,,,,,,au5tbnn48ve4kqnuu3dhmk296,K. Koné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475666129,21,1,1,0,46,go76xxm0xyfgqt1h6tcrtimm,0,25.4,3.8,2022-10-22T16:32:06.586Z,2022-10-23T05:54:23Z,3863455669,140,34.1,3865366817,178,,3863455671,141,5.7,3863455667,56,Back,3863455675,213,0.1,3863455673,212,9.2,,,,,,,43eq31reskwn9veb3vickralm,J. Scally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475922789,790,3,1,0,47,c5hderjlkcoaze51e5wgvptk,1,72.1,93.1,2022-10-22T16:32:07.336Z,2022-10-23T05:54:27Z,3864852115,286,,3864852171,465,,3865366863,178,,3864852113,56,Left,3865235553,233,985,,,,,,,,,,3qy1qlzezgfkxeom5n1r9h13p,C. Lenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475922791,985,45,1,0,47,go76xxm0xyfgqt1h6tcrtimm,0,27.9,6.9,2022-10-22T16:32:07.336Z,2022-10-23T05:54:27Z,3864852117,56,Back,3864852119,285,,3865235561,233,790,,,,,,,,,,,,,,,,au5tbnn48ve4kqnuu3dhmk296,K. Koné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475666141,5,49,1,0,47,c5hderjlkcoaze51e5wgvptk,1,65.2,94.4,2022-10-22T16:32:08.172Z,2022-10-23T05:54:34Z,,,,,,,,,,,,,,,,,,,,,,,,,3qy1qlzezgfkxeom5n1r9h13p,C. Lenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
