id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/11/value,qualifier/14/value,qualifier/17/value,qualifier/18/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2500336695,7,49,1,0,44,3dwlvz6cl4lcavvrg0y2dycrt,1,4.4,10.1,2023-01-24T19:31:01.465Z,2023-01-25T09:30:58Z,,,,,,,,,,,,,,,,,,,,,,,,,3uqn1adw8rarez1gpen9vng7p,W. Anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336705,8,1,1,0,45,3dwlvz6cl4lcavvrg0y2dycrt,0,1.4,8.8,2023-01-24T19:31:02.408Z,2023-01-25T09:31:00Z,3993519363,213,6.0,3993519359,141,8.0,3993519361,212,1.8,3993519355,56,Back,3993519353,157,,3994199659,178,,3993519467,286,,3993519365,1,,3uqn1adw8rarez1gpen9vng7p,W. Anton,3993519461,236,3993519357,140,3.0,3993519463,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336725,14,74,1,0,45,4l9mrqzmajz5crzlz50mtbt6x,1,97.4,94.4,2023-01-24T19:31:02.445Z,2023-01-25T09:31:05Z,3993519443,285,,3993519441,56,Left,3993519469,233,8,3994199761,178,,,,,,,,,,,,,,bkbmygo5f1glcs6xssawl26z9,I. Bebou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336717,9,61,1,0,45,3dwlvz6cl4lcavvrg0y2dycrt,1,3,8,2023-01-24T19:31:02.482Z,2023-01-25T09:31:16Z,3993519403,56,Back,3994199889,178,,,,,,,,,,,,,,,,,,,,3uqn1adw8rarez1gpen9vng7p,W. Anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336723,10,6,1,0,46,3dwlvz6cl4lcavvrg0y2dycrt,0,2.8,6.8,2023-01-24T19:31:03.841Z,2023-01-25T09:31:23Z,3993519429,56,Back,3993519529,233,15,3993519431,73,,,,,,,,,,,,,,,,,3uqn1adw8rarez1gpen9vng7p,W. Anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336737,15,6,1,0,46,4l9mrqzmajz5crzlz50mtbt6x,1,97.2,93.2,2023-01-24T19:31:03.841Z,2023-01-25T09:31:22Z,3993519509,56,Left,3993519513,233,10,3993519511,73,,,,,,,,,,,,,,,,,bkbmygo5f1glcs6xssawl26z9,I. Bebou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336855,16,1,1,1,7,4l9mrqzmajz5crzlz50mtbt6x,1,99.5,99.5,2023-01-24T19:31:25.156Z,2023-01-25T09:31:28Z,3993520079,212,28.8,3993520075,140,73.0,3993520081,213,3.4,3993520077,141,88.3,3993520073,56,Left,3994200101,178,,3993520071,6,,,,,3rj7x05qx17n925xfpcrl0jpx,S. Rudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336923,17,1,1,1,10,4l9mrqzmajz5crzlz50mtbt6x,1,73,88.3,2023-01-24T19:31:28.036Z,2023-01-25T09:31:40Z,3993520309,141,75.7,3993520313,212,8.6,3993520305,140,72.1,3994200149,178,,3993522659,210,13,3993520315,213,4.6,3993520301,56,Center,,,,9uthj64y9f77y63tq7did539x,Angeliño,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336925,18,13,1,1,13,4l9mrqzmajz5crzlz50mtbt6x,1,76.2,69.5,2023-01-24T19:31:31.092Z,2023-01-25T09:31:40Z,3993522683,102,60.3,3993522679,55,17,3993522675,77,,3993522673,25,,3994200303,178,,3993522689,230,98.1,3993521983,72,,3993522685,103,62.5,arwidogdfccsjv8fxa1veezf9,R. Skov,3993522677,29,3993522691,231,51.1,3993520333,56,Center,,3993520331,18,3993522687,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500336883,11,5,1,1,14,3dwlvz6cl4lcavvrg0y2dycrt,1,-1.6,40,2023-01-24T19:31:32.117Z,2023-01-25T09:31:43Z,3993529735,233,19,3993520149,56,Back,3993520151,346,,,,,,,,,,,,,,,,,9ic8hvnkzj9p0ikh6bwaeoqju,Tiago Tomás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
