id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/9/value,qualifier/16/value
2443872073,8,44,1,0,43,6lzy9iiqoysvtdsgx719fng9n,1,30.6,77.6,2022-08-08T18:02:51.397Z,2022-08-08T18:02:53Z,3694435119,56,Back,3694435167,233,9,3694435121,285,,,,,,,,,,,,,,,,,4gso82x236c4xe0eovfr50sfd,K. Pierie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872081,9,44,1,0,43,zjawy6qdzk3y69v5pa3zl2cb,0,69.4,22.4,2022-08-08T18:02:51.398Z,2022-08-08T18:22:52Z,3694435163,56,Center,3694435171,233,8,3694435165,286,,,,,,,,,,,,,,,,,c78t1bgro2lh7gvw8rwi6p239,G. Plet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872077,9,1,1,0,44,6lzy9iiqoysvtdsgx719fng9n,0,31.6,82.7,2022-08-08T18:02:51.782Z,2022-08-08T18:02:52Z,3694435137,56,Back,3694435141,141,72.7,3694435135,3,,3694435139,140,42.9,3694435143,212,13.7,3694435145,213,5.8,,,,,,,4gso82x236c4xe0eovfr50sfd,K. Pierie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872119,10,1,1,0,47,zjawy6qdzk3y69v5pa3zl2cb,0,68.1,29.1,2022-08-08T18:02:55.155Z,2022-08-08T18:49:14Z,3694435403,140,66.3,3694435409,213,4.6,3694435401,56,Right,3694435407,212,13.1,3694435405,141,10.1,,,,,,,,,,a49duk4f5m5zmyvwht0ikal05,T. Overtoom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872091,10,61,1,0,48,6lzy9iiqoysvtdsgx719fng9n,1,38.3,80.9,2022-08-08T18:02:56.124Z,2022-08-08T18:49:15Z,3694435237,56,Back,,,,,,,,,,,,,,,,,,,,,,b8ixf31bdyfqqcwoy4ulai73e,K. Fitz-Jim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443887423,328,1,1,0,49,zjawy6qdzk3y69v5pa3zl2cb,0,55.5,3,2022-08-08T18:02:56.679Z,2022-08-08T18:49:40Z,3694524111,141,4.7,3694524107,56,Right,3694524113,212,4.8,3694524115,213,0.2,3694524109,140,59.9,,,,,,,,,,c78t1bgro2lh7gvw8rwi6p239,G. Plet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872105,11,61,1,0,50,6lzy9iiqoysvtdsgx719fng9n,1,34,97.4,2022-08-08T18:02:57.893Z,2022-08-08T18:49:30Z,3694435337,56,Back,,,,,,,,,,,,,,,,,,,,,,4gso82x236c4xe0eovfr50sfd,K. Pierie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872125,11,61,1,0,50,zjawy6qdzk3y69v5pa3zl2cb,1,66.2,2.7,2022-08-08T18:02:58.245Z,2022-08-08T18:49:49Z,3694435429,56,Right,,,,,,,,,,,,,,,,,,,,,,c78t1bgro2lh7gvw8rwi6p239,G. Plet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872129,12,5,1,0,50,6lzy9iiqoysvtdsgx719fng9n,1,36.3,101.4,2022-08-08T18:02:58.644Z,2022-08-08T18:03:56Z,3694436917,233,12,3694435461,56,Back,3694435463,347,,,,,,,,,,,,,,,,,4gso82x236c4xe0eovfr50sfd,K. Pierie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872143,12,5,1,0,50,zjawy6qdzk3y69v5pa3zl2cb,0,63.7,-1.4,2022-08-08T18:02:58.644Z,2022-08-08T19:59:53Z,3694436937,233,12,3694435559,56,Right,3694435561,347,,,,,,,,,,,,,,,,,m10ml783dkbr4i0fpb06cm3t,A. Najah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872149,13,1,1,0,58,6lzy9iiqoysvtdsgx719fng9n,1,33.2,100,2022-08-08T18:03:05.908Z,2022-08-08T18:03:08Z,3694435591,140,24.1,3694435587,107,,3694435589,56,Back,3694435593,141,67.6,3694435599,1,,3694435595,212,25.2,3694435597,213,4.3,,,,47l204bkq2qqjhtazusr0019m,Y. Baas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872165,14,1,1,1,0,6lzy9iiqoysvtdsgx719fng9n,1,20.3,43.4,2022-08-08T18:03:08.005Z,2022-08-08T18:03:09Z,3694435635,56,Back,3694435641,212,23.5,3694435637,140,37.4,3694435639,141,21.2,3694435643,213,5.6,,,,,,,,,,3z9bdfblis9tl3e1uo7e72h62,D. Warmerdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872183,15,1,1,1,1,6lzy9iiqoysvtdsgx719fng9n,1,37.4,21.2,2022-08-08T18:03:09.621Z,2022-08-08T18:03:12Z,3694435699,141,36.4,3694435701,212,10.6,3694435697,140,39.5,3694435703,213,1.4,3694435695,56,Back,,,,,,,,,,1x6fhuy49w4rpnyavwotbf504,T. Gooijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872195,16,1,1,1,4,6lzy9iiqoysvtdsgx719fng9n,1,39.5,36.4,2022-08-08T18:03:11.925Z,2022-08-08T18:03:15Z,3694435769,56,Back,3694435773,141,37.0,3694435775,212,10.9,3694435777,213,3.1,3694435771,140,29.1,,,,,,,,,,2zkaf848fjcdhuii8783pkm7e,Y. Regeer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872209,17,1,1,1,7,6lzy9iiqoysvtdsgx719fng9n,1,35.7,40.9,2022-08-08T18:03:15.668Z,2022-08-08T18:03:19Z,3694435853,212,24.3,3694435851,141,75.3,3694435847,56,Back,3694435855,213,1.3,3694435849,140,42.0,,,,,,,,,,3z9bdfblis9tl3e1uo7e72h62,D. Warmerdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872215,18,1,1,1,11,6lzy9iiqoysvtdsgx719fng9n,1,58.2,81.2,2022-08-08T18:03:19.540Z,2022-08-08T18:03:22Z,3694435897,141,88.7,3694435901,213,0.3,3694435895,140,74.7,3694435893,56,Left,3694435899,212,18.1,,,,,,,,,,4gso82x236c4xe0eovfr50sfd,K. Pierie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872221,19,1,1,1,14,6lzy9iiqoysvtdsgx719fng9n,0,73,92.3,2022-08-08T18:03:22.260Z,2022-08-08T18:03:23Z,3694435937,213,4.2,3694435935,212,7.9,3694435933,141,82.1,3694435929,56,Left,3694435931,140,69.4,,,,,,,,,,47l204bkq2qqjhtazusr0019m,Y. Baas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872225,13,49,1,1,16,zjawy6qdzk3y69v5pa3zl2cb,1,29.9,21.3,2022-08-08T18:03:24.242Z,2022-08-08T18:51:03Z,,,,,,,,,,,,,,,,,,,,,,,,,9tmi00hx820vuwghg30jhzidx,M. Ainsalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872259,14,1,1,1,17,zjawy6qdzk3y69v5pa3zl2cb,1,30,21.1,2022-08-08T18:03:24.819Z,2022-08-08T18:51:05Z,3694436131,56,Back,3694436139,213,5.3,3694436133,140,38.4,3694436135,141,3.4,3694436137,212,14.9,,,,,,,,,,9tmi00hx820vuwghg30jhzidx,M. Ainsalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872273,15,1,1,1,20,zjawy6qdzk3y69v5pa3zl2cb,0,38.4,4.2,2022-08-08T18:03:28.308Z,2022-08-08T18:51:02Z,3694436227,212,8.4,3694436225,141,3.5,3694436229,213,6.2,3694436223,140,46.4,3694436221,56,Back,,,,,,,,,,blu3rrhzier5ivp5p9u78448a,K. Blommestijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872261,20,8,1,1,20,6lzy9iiqoysvtdsgx719fng9n,1,54.3,93.8,2022-08-08T18:03:28.453Z,2022-08-08T18:03:28Z,3694436147,56,Left,,,,,,,,,,,,,,,,,,,,,,4gso82x236c4xe0eovfr50sfd,K. Pierie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872323,16,5,1,1,21,zjawy6qdzk3y69v5pa3zl2cb,1,38.8,-1.3,2022-08-08T18:03:29.109Z,2022-08-08T19:59:53Z,3694436525,233,21,3694436487,347,,3694436485,56,Back,,,,,,,,,,,,,,,,blu3rrhzier5ivp5p9u78448a,K. Blommestijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872265,21,5,1,1,21,6lzy9iiqoysvtdsgx719fng9n,0,61.2,101.3,2022-08-08T18:03:29.109Z,2022-08-08T18:03:38Z,3694436167,56,Left,3694436541,233,16,3694436169,347,,,,,,,,,,,,,,,,,4gso82x236c4xe0eovfr50sfd,K. Pierie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872341,17,1,1,1,30,zjawy6qdzk3y69v5pa3zl2cb,0,47.8,0,2022-08-08T18:03:38.130Z,2022-08-08T18:51:11Z,3694436595,141,3.9,3694436597,212,29.4,3694436603,1,,3694436593,140,75.6,3694436599,213,0.1,3694436589,107,,3694436591,56,Right,,,,88vryegnhss2q5xz8aoj2phey,J. Kruiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872349,22,8,1,1,34,6lzy9iiqoysvtdsgx719fng9n,1,26.1,96.2,2022-08-08T18:03:41.925Z,2022-08-08T18:03:42Z,3694436633,56,Back,,,,,,,,,,,,,,,,,,,,,,47l204bkq2qqjhtazusr0019m,Y. Baas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872377,18,6,1,1,39,zjawy6qdzk3y69v5pa3zl2cb,1,88.2,14.4,2022-08-08T18:03:46.691Z,2022-08-08T18:03:49Z,3694436807,233,23,3694436803,75,,3694436801,56,Right,,,,,,,,,,,,,,,,da3d2iu2j4yb7q1ag063mu44q,J. Mulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872371,23,6,1,1,39,6lzy9iiqoysvtdsgx719fng9n,0,11.8,85.6,2022-08-08T18:03:46.691Z,2022-08-08T19:58:54Z,3694436771,56,Back,3694436775,73,,3694436811,233,18,,,,,,,,,,,,,,,,47l204bkq2qqjhtazusr0019m,Y. Baas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872609,19,1,1,2,11,zjawy6qdzk3y69v5pa3zl2cb,1,99.5,0.5,2022-08-08T18:04:19.083Z,2022-08-08T20:15:35Z,3694438035,1,,3694444533,154,,3694438025,56,Center,3694444531,210,16,3694438027,140,95.5,3694444535,25,,3694438023,223,,3694438029,141,47.8,da3d2iu2j4yb7q1ag063mu44q,J. Mulder,1,3694438033,213,1.7,3694438019,6,3694438031,212,32.4,3694438017,2,3694438021,155,,,,,,,,,,,,,,,,,,,
2443911473,653,44,1,2,12,zjawy6qdzk3y69v5pa3zl2cb,1,93.2,50,2022-08-08T18:04:19.679Z,2022-08-08T20:15:35Z,3694657275,233,24,3694657267,56,Center,3694657269,286,,,,,,,,,,,,,,,,,blu3rrhzier5ivp5p9u78448a,K. Blommestijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872583,24,44,1,2,12,6lzy9iiqoysvtdsgx719fng9n,0,6.8,50,2022-08-08T18:04:19.680Z,2022-08-08T20:15:35Z,3694657285,233,653,3694437861,285,,3694437859,56,Back,,,,,,,,,,,,,,,,47l204bkq2qqjhtazusr0019m,Y. Baas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872615,20,16,1,2,13,zjawy6qdzk3y69v5pa3zl2cb,1,93.2,50.7,2022-08-08T18:04:21.162Z,2022-08-08T18:52:02Z,3694444549,55,19,3694444547,154,,3694439565,231,49.6,3694439559,103,35.4,3694438465,25,,3694439557,102,50.3,3694439563,230,98.9,3694439569,275,,blu3rrhzier5ivp5p9u78448a,K. Blommestijn,,3694438071,17,,3694439567,138,3694438471,328,,3694444545,29,3694444553,214,3694438467,15,3694438073,56,Center,3694438477,375,02:13.054,3694439555,79,3694438473,374,2022-08-08 19:04:20.733,,,,,,
2443872807,25,1,1,3,10,6lzy9iiqoysvtdsgx719fng9n,1,49.9,50,2022-08-08T18:05:18.037Z,2022-08-08T18:05:19Z,3694439127,212,29.8,3694439125,141,72.1,3694439123,140,25.4,3694439129,213,2.6,3694439131,279,G,3694439121,56,Back,,,,,,,80i3boeh7f1ghu4ka7r66izje,C. Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872813,26,1,1,3,11,6lzy9iiqoysvtdsgx719fng9n,1,25.3,72.3,2022-08-08T18:05:19.620Z,2022-08-08T18:05:20Z,3694439173,212,12.8,3694439171,141,60.5,3694439169,140,34.8,3694439175,213,5.6,3694439167,56,Back,,,,,,,,,,4gso82x236c4xe0eovfr50sfd,K. Pierie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872831,27,1,1,3,12,6lzy9iiqoysvtdsgx719fng9n,1,34.8,60.5,2022-08-08T18:05:20.435Z,2022-08-08T18:05:23Z,3694439283,140,20.5,3694439289,212,21.8,3694439291,213,4.0,3694439279,56,Back,3694439287,141,37.3,,,,,,,,,,b8ixf31bdyfqqcwoy4ulai73e,K. Fitz-Jim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872855,28,1,1,3,15,6lzy9iiqoysvtdsgx719fng9n,1,21.6,31.9,2022-08-08T18:05:23.380Z,2022-08-08T18:05:27Z,3694439391,141,11.1,3694439387,56,Back,3694439393,212,19.2,3694439395,213,5.5,3694439389,140,34.0,,,,,,,,,,3z9bdfblis9tl3e1uo7e72h62,D. Warmerdam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872865,29,1,1,3,19,6lzy9iiqoysvtdsgx719fng9n,1,42.3,10.9,2022-08-08T18:05:27.252Z,2022-08-08T18:05:29Z,3694439449,141,4.0,3694439445,56,Right,3694439453,213,6.0,3694439447,140,57.8,3694439451,212,16.9,,,,,,,,,,1x6fhuy49w4rpnyavwotbf504,T. Gooijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872877,30,1,1,3,21,6lzy9iiqoysvtdsgx719fng9n,1,55.3,5.6,2022-08-08T18:05:29.268Z,2022-08-08T18:05:31Z,3694439523,212,21.3,3694439525,213,2.2,3694439517,56,Back,3694439521,141,31.8,3694439519,140,44.1,,,,,,,,,,2x44f29a52v8kpkkjsuiiywdm,Francisco Conceição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872887,31,1,1,3,23,6lzy9iiqoysvtdsgx719fng9n,1,43.8,33.1,2022-08-08T18:05:31.556Z,2022-08-08T18:05:34Z,3694439605,213,1.5,3694439597,56,Back,3694439603,212,17.7,3694439601,141,59.1,3694439599,140,45.0,,,,,,,,,,b8ixf31bdyfqqcwoy4ulai73e,K. Fitz-Jim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872905,32,1,1,3,26,6lzy9iiqoysvtdsgx719fng9n,1,47.2,65.1,2022-08-08T18:05:34.372Z,2022-08-08T20:09:59Z,3694439753,212,23.7,3694439747,56,Left,3694439751,141,86.0,3694439749,140,65.3,3694439755,213,0.6,,,,,,,,,,4gso82x236c4xe0eovfr50sfd,K. Pierie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872913,33,1,1,3,30,6lzy9iiqoysvtdsgx719fng9n,1,62.8,86.5,2022-08-08T18:05:38.260Z,2022-08-08T18:05:58Z,3694439789,212,19.7,3694439783,56,Center,3694439785,140,71.9,3694439791,213,5.2,3694439787,141,61.2,,,,,,,,,,alfx6xxo38q6hmydbcr0rw67e,S. Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872923,34,1,1,3,32,6lzy9iiqoysvtdsgx719fng9n,0,71.9,61.2,2022-08-08T18:05:39.828Z,2022-08-08T20:10:02Z,3694439861,140,87.5,3694439859,56,Center,3694439863,141,53.0,3694439865,212,17.3,3694439867,213,6.0,,,,,,,,,,80i3boeh7f1ghu4ka7r66izje,C. Rasmussen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443872925,21,52,1,3,34,zjawy6qdzk3y69v5pa3zl2cb,1,13.8,49.1,2022-08-08T18:05:41.970Z,2022-08-08T18:05:42Z,,,,,,,,,,,,,,,,,,,,,,,,,8l31bne12p5cp51o46h92zjrp,R. Koeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
