id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2536668169,14,1,1,0,45,6g9qrm72224jrk6tkxxxi8a9n,0,84.5,89,2023-04-21T18:00:53.941Z,2023-04-24T14:12:12Z,4206421111,213,4.9,4209266501,224,,4206421103,56,Right,4206421113,1,,4217600923,178,,4206421101,155,,4209266503,72,,4206421107,141,0.0,3kbhgmnf6bhfgut0jxf4m2sfe,G. Oristanio,4206421099,2,,4206421105,140,95.7,4206421109,212,62.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668193,9,5,1,0,49,ears40cp6opsgvhsy0dgyszpd,1,5.1,101.4,2023-04-21T18:00:57.685Z,2023-04-24T14:12:14Z,4206421259,233,15,4206421233,56,Back,4206421235,347,,,,,,,,,,,,,,,,,4736oz9r0evpmkd3qumivl239,C. Mac-Intosch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668173,15,5,1,0,49,6g9qrm72224jrk6tkxxxi8a9n,0,94.9,-1.4,2023-04-21T18:00:57.685Z,2023-04-24T14:12:15Z,4206421133,347,,4206421265,233,9,4206421131,56,Right,,,,,,,,,,,,,,,,3kbhgmnf6bhfgut0jxf4m2sfe,G. Oristanio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668395,10,1,1,1,9,ears40cp6opsgvhsy0dgyszpd,1,11.1,100,2023-04-21T18:01:17.697Z,2023-04-24T14:12:24Z,4206422307,56,Back,4206422309,140,27.5,4206422663,189,,4206422317,1,,4206422315,213,5.6,4206422311,141,82.2,4206422313,212,21.9,4206422305,107,,eyx1wga1fue6lb5a0ak5f32i2,S. Sylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668399,11,61,1,1,9,ears40cp6opsgvhsy0dgyszpd,1,27.6,82.2,2023-04-21T18:01:17.729Z,2023-04-24T14:12:42Z,4206422357,189,,4206422339,56,Back,4217601273,178,,,,,,,,,,,,,,,,,lfp411vh3vtjbvd6xra4jpp1,B. Johnsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668393,16,49,1,1,9,6g9qrm72224jrk6tkxxxi8a9n,1,47.3,19.5,2023-04-21T18:01:17.756Z,2023-04-24T14:12:28Z,4206422551,189,,,,,,,,,,,,,,,,,,,,,,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668429,17,1,1,1,10,6g9qrm72224jrk6tkxxxi8a9n,0,47.3,19.5,2023-04-21T18:01:18.540Z,2023-04-24T14:12:50Z,4206422463,140,100.0,4217602551,178,,4206422461,56,Right,4206422465,141,12.3,4206422459,155,,4206422467,212,56.1,4206422469,213,6.2,4206422471,1,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668419,12,5,1,1,16,ears40cp6opsgvhsy0dgyszpd,1,-0.6,86.6,2023-04-21T18:01:24.399Z,2023-04-24T14:13:01Z,4206422403,346,,4206422515,233,18,4206422401,56,Back,,,,,,,,,,,,,,,,lfp411vh3vtjbvd6xra4jpp1,B. Johnsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668435,18,5,1,1,16,6g9qrm72224jrk6tkxxxi8a9n,0,100.6,13.4,2023-04-21T18:01:24.399Z,2023-04-24T14:13:00Z,4206422533,233,12,4206422481,56,Right,4206422483,346,,,,,,,,,,,,,,,,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536668739,13,1,1,1,39,ears40cp6opsgvhsy0dgyszpd,0,3.8,50.2,2023-04-21T18:01:47.450Z,2023-04-24T14:13:10Z,4206423883,1,,4206423877,141,17.9,4206423879,212,60.6,4206423881,213,5.9,4206423887,74,,4206423873,56,Right,4206423869,124,,4206423875,140,57.6,ail0unvzd0b9ur7j0l8hk0y51,R. Ruiter,4206423871,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
