id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/15/value,qualifier/17/value
2504324679,17,1,1,1,32,d0zdg647gvgc95xdtk1vpbkys,1,37.7,37.6,2023-02-05T11:17:47.796Z,2023-02-07T08:16:11Z,4014381655,141,86.9,4014381653,140,41.2,4014381657,212,33.7,4014381661,1,,4014381659,213,1.5,4018425995,178,,4014381649,56,Back,,,,aqlakf0mo95rlktf6xdbaegh5,J. Timber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324715,18,1,1,1,35,d0zdg647gvgc95xdtk1vpbkys,1,41.1,86,2023-02-05T11:17:50.306Z,2023-02-07T08:16:19Z,4018426061,178,,4014381817,141,68.8,4014381813,56,Back,4014381815,140,46.0,4014381821,213,5.1,4014381819,212,12.8,,,,,,,dafbvyorudvujxw7zswicykmh,O. Wijndal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324753,19,1,1,1,38,d0zdg647gvgc95xdtk1vpbkys,1,46.3,60.9,2023-02-05T11:17:53.505Z,2023-02-07T08:16:23Z,4014381997,212,15.2,4014381995,141,38.6,4014381991,56,Back,4014381993,140,46.2,4014381999,213,4.7,4018426093,178,,,,,,,,35qg0rrwtl00pycx468s62m3u,K. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324789,20,1,1,1,42,d0zdg647gvgc95xdtk1vpbkys,1,54.2,35.8,2023-02-05T11:17:57.764Z,2023-02-07T08:16:28Z,4014382187,155,,4014382199,1,,4018426149,178,,4014382197,213,1.0,4014382191,140,78.8,4014382193,141,92.9,4014382195,212,46.6,4014382189,56,Left,bp3apdb2ahzacq45k4mzj5jhl,E. Álvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324817,21,1,1,1,45,d0zdg647gvgc95xdtk1vpbkys,1,78.8,92.9,2023-02-05T11:18:01.056Z,2023-02-07T08:16:42Z,4014382323,56,Left,4014382325,140,71.3,4014382331,213,3.7,4014382327,141,85.3,4018426255,178,,4014382329,212,9.4,,,,,,,6hrp4zuxh40i3tccmk5s0j5xx,S. Bergwijn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324825,22,1,1,1,48,d0zdg647gvgc95xdtk1vpbkys,1,71.6,84.7,2023-02-05T11:18:03.453Z,2023-02-07T08:16:58Z,4014382379,213,4.3,4018426421,178,,4014382377,212,9.1,4014382373,140,67.8,4014382371,56,Center,4014382375,141,72.7,,,,,,,dafbvyorudvujxw7zswicykmh,O. Wijndal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324847,23,1,1,1,50,d0zdg647gvgc95xdtk1vpbkys,1,68.8,71.1,2023-02-05T11:18:05.635Z,2023-02-07T08:17:02Z,4014382465,155,,4014382467,56,Center,4018426449,178,,4014382477,1,,4014382469,140,92.2,4014382471,141,34.9,4014382473,212,34.8,4014382475,213,5.5,35qg0rrwtl00pycx468s62m3u,K. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324875,24,1,1,1,52,d0zdg647gvgc95xdtk1vpbkys,1,92.4,34.8,2023-02-05T11:18:07.765Z,2023-02-07T08:17:28Z,4014382597,213,2.6,4014382595,212,4.3,4014382589,56,Center,4014382591,140,88.9,4014382593,141,38.2,4018426703,21,,4018426701,178,,,,,7joybllup4h9oe6zfhcepjy6t,S. Berghuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324885,25,1,1,1,57,d0zdg647gvgc95xdtk1vpbkys,1,94.3,33.3,2023-02-05T11:18:12.265Z,2023-02-07T08:17:36Z,4014382649,213,4.3,4018426743,178,,4014382639,56,Center,4014382647,212,6.9,4014382643,140,91.5,4014382645,141,24.1,,,,,,,p7vw4thx5wzo49h6hfabcq5m,M. Kudus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504324889,26,1,1,1,58,d0zdg647gvgc95xdtk1vpbkys,0,92.1,25,2023-02-05T11:18:13.235Z,2023-02-07T08:17:41Z,4014382667,155,,4014904775,2,,4014382669,56,Center,4014905057,72,,4014382677,213,1.5,4018426781,178,,4014382671,140,92.5,4014382673,141,46.0,7joybllup4h9oe6zfhcepjy6t,S. Berghuis,4014905055,224,,4014382675,212,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
