id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/16/value,qualifier/13/value
2455743309,10,1,1,0,34,4vd2t5schmvvufrfib7f2vjdf,1,64.9,8.6,2022-09-04T12:33:17.993Z,2022-09-07T06:30:32Z,3757572445,212,23.8,3757572441,140,43.6,3757572439,56,Back,3757572447,213,2.8,3763588035,178,,3757572443,141,20.7,,,,,,,9hvw1v4douz0kst032a9l853p,S. van Beek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743341,11,1,1,0,37,4vd2t5schmvvufrfib7f2vjdf,1,43.6,20.7,2022-09-04T12:33:21.363Z,2022-09-07T06:30:43Z,3757572691,212,13.5,3757572689,141,26.2,3763588135,178,,3757572687,140,56.0,3757572693,213,0.3,3757572685,56,Center,,,,,,,1tj9gmnm02s8f12zwzvuwnoph,P. Bochniewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743383,12,1,1,0,41,4vd2t5schmvvufrfib7f2vjdf,1,56.1,26.6,2022-09-04T12:33:25.448Z,2022-09-07T06:30:48Z,3757572937,213,2.7,3763588173,178,,3757572925,140,38.0,3757572921,56,Back,3757572933,212,20.6,3757572929,141,38.4,,,,,,,7jtag81mvpom3bfgezx8txbdh,T. Haye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743429,13,1,1,0,46,4vd2t5schmvvufrfib7f2vjdf,1,43.9,42.8,2022-09-04T12:33:30.683Z,2022-09-07T06:30:51Z,3757573211,141,77.0,3757573207,56,Center,3757573215,213,1.0,3763588225,178,,3757573213,212,28.0,3757573209,140,58.7,,,,,,,1tj9gmnm02s8f12zwzvuwnoph,P. Bochniewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743449,14,1,1,0,50,4vd2t5schmvvufrfib7f2vjdf,1,59.4,78.4,2022-09-04T12:33:33.817Z,2022-09-07T06:31:07Z,3757573307,56,Left,3757573317,212,13.3,3763588371,178,,3757573309,140,54.2,3757573323,213,2.0,3757573313,141,96.2,,,,,,,aie09n600h7ozeg6zl6anithx,T. Halilović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743471,15,1,1,0,52,4vd2t5schmvvufrfib7f2vjdf,1,54.2,96.2,2022-09-04T12:33:36.657Z,2022-09-07T06:31:13Z,3757573435,56,Back,3757573443,213,3.6,3757573437,140,33.5,3757573439,141,78.8,3763588447,178,,3757573441,212,24.7,,,,,,,8wb6zb0imo0295asm428cur55,M. Köhlert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743531,16,1,1,0,55,4vd2t5schmvvufrfib7f2vjdf,1,33.5,78.8,2022-09-04T12:33:38.986Z,2022-09-07T06:31:25Z,3757573757,212,19.7,3763588557,178,,3757573751,56,Back,3757573755,141,50.0,3757573753,140,31.7,3757573759,213,4.6,,,,,,,axgbibg0wdlir6tsrru6rpwph,J. van Aken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743597,17,1,1,1,0,4vd2t5schmvvufrfib7f2vjdf,1,44.3,45.5,2022-09-04T12:33:44.219Z,2022-09-07T06:31:29Z,3757574087,212,30.1,3757574085,141,7.3,3757574081,56,Right,3763588597,178,,3757574083,140,58.7,3757574089,213,5.2,,,,,,,1tj9gmnm02s8f12zwzvuwnoph,P. Bochniewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743681,18,1,1,1,4,4vd2t5schmvvufrfib7f2vjdf,1,57.4,7.4,2022-09-04T12:33:48.193Z,2022-09-07T06:31:33Z,3763588635,178,,3757574481,212,23.9,3757574477,140,36.5,3757574475,56,Back,3757574479,141,21.3,3757574483,213,2.7,,,,,,,etzj9ltadjsvkmahib7hor90q,M. van Ewijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743723,19,1,1,1,9,4vd2t5schmvvufrfib7f2vjdf,1,36.5,21.3,2022-09-04T12:33:53.739Z,2022-09-07T06:31:43Z,3757574679,213,6.3,3763588727,178,,3757574673,140,58.1,3757574671,56,Right,3757574675,141,20.9,3757574677,212,22.7,,,,,,,9hvw1v4douz0kst032a9l853p,S. van Beek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743761,20,1,1,1,11,4vd2t5schmvvufrfib7f2vjdf,1,57.7,20.6,2022-09-04T12:33:55.408Z,2022-09-07T06:31:51Z,3757574893,212,22.7,3757574887,56,Right,3763588805,178,,3757574889,140,78.0,3757574895,213,5.9,3757574891,141,9.2,,,,,,,7jtag81mvpom3bfgezx8txbdh,T. Haye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743769,21,3,1,1,13,4vd2t5schmvvufrfib7f2vjdf,0,81.4,11.3,2022-09-04T12:33:57.569Z,2022-09-07T06:32:02Z,3757575133,233,11,3757574929,286,,3757574927,56,Right,3763588897,178,,3760490413,465,,,,,,,,,,,etzj9ltadjsvkmahib7hor90q,M. van Ewijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743799,11,7,1,1,15,8iawijq7s9s6d85mjz8wdslki,1,18.6,88.7,2022-09-04T12:33:58.801Z,2022-09-07T06:32:15Z,3757575053,56,Back,3757575111,233,21,3760490433,384,,3763589011,178,,3757575055,285,,,,,,,,,,,6dd248q0adq6su677bw2kk2c5,C. Verdonk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456902301,1758,43,1,1,17,8iawijq7s9s6d85mjz8wdslki,1,0,0,2022-09-04T12:34:00.985Z,2022-09-07T10:05:25Z,3763779477,178,0,3763779497,144,82,,,,,,,,,,,,,,,,,,,9p6nlczeycd0ai4dahjxnf8ph,L. Schöne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743805,12,49,1,1,17,8iawijq7s9s6d85mjz8wdslki,1,20.8,93.8,2022-09-04T12:34:01.248Z,2022-09-07T06:32:50Z,,,,,,,,,,,,,,,,,,,,,,,,,9p6nlczeycd0ai4dahjxnf8ph,L. Schöne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743817,13,1,1,1,17,8iawijq7s9s6d85mjz8wdslki,0,20.8,93.8,2022-09-04T12:34:01.321Z,2022-09-07T06:32:55Z,3757575139,140,23.7,3757575143,212,5.1,3763589421,178,,3757575145,213,5.4,3757575137,56,Back,3757575141,141,87.8,,,,,,,9p6nlczeycd0ai4dahjxnf8ph,L. Schöne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743839,22,49,1,1,18,4vd2t5schmvvufrfib7f2vjdf,1,70.5,8.3,2022-09-04T12:34:02.215Z,2022-09-07T06:33:18Z,,,,,,,,,,,,,,,,,,,,,,,,,7jtag81mvpom3bfgezx8txbdh,T. Haye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743881,23,1,1,1,18,4vd2t5schmvvufrfib7f2vjdf,1,70.5,8.3,2022-09-04T12:34:02.314Z,2022-09-07T06:33:24Z,3757575519,141,14.4,3763589765,178,,3757575523,213,0.5,3757575515,56,Right,3757575521,212,8.3,3757575517,140,77.4,,,,,,,7jtag81mvpom3bfgezx8txbdh,T. Haye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743925,24,50,1,1,19,4vd2t5schmvvufrfib7f2vjdf,1,79.1,15.6,2022-09-04T12:34:03.220Z,2022-09-07T10:05:38Z,3757791801,233,450,3757787745,286,,3757575701,56,Right,,,,,,,,,,,,,,,,etzj9ltadjsvkmahib7hor90q,M. van Ewijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455785839,450,7,1,1,19,8iawijq7s9s6d85mjz8wdslki,0,20.9,84.4,2022-09-04T12:34:03.321Z,2022-09-07T10:05:42Z,3757791777,56,Back,3757791793,233,24,3763590079,178,,3757791779,285,,3760491535,385,,,,,,,,,,,6dd248q0adq6su677bw2kk2c5,C. Verdonk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455743949,25,1,1,1,22,4vd2t5schmvvufrfib7f2vjdf,1,53.3,21.9,2022-09-04T12:34:06.705Z,2022-09-07T06:34:12Z,3757575843,213,2.1,3757575835,56,Back,3763590253,178,,3757575837,140,43.9,3757575839,141,48.0,3757575841,212,20.3,,,,,,,1tj9gmnm02s8f12zwzvuwnoph,P. Bochniewicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455744031,26,1,1,1,26,4vd2t5schmvvufrfib7f2vjdf,1,45.5,58.1,2022-09-04T12:34:10.644Z,2022-09-07T06:34:17Z,3757576223,141,91.8,3757576211,56,Back,3757576225,212,22.9,3757576227,213,1.6,3757576217,140,45.9,3763590301,178,,,,,,,,axgbibg0wdlir6tsrru6rpwph,J. van Aken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455744089,27,1,1,1,31,4vd2t5schmvvufrfib7f2vjdf,1,47.4,92,2022-09-04T12:34:15.234Z,2022-09-07T06:34:25Z,3757576505,212,17.2,3757576501,140,33.5,3757576507,213,3.7,3757576499,56,Back,3763590393,178,,3757576503,141,78.7,,,,,,,8wb6zb0imo0295asm428cur55,M. Köhlert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455744135,28,1,1,1,35,4vd2t5schmvvufrfib7f2vjdf,1,36.7,70,2022-09-04T12:34:19.173Z,2022-09-07T06:34:30Z,3757576719,213,5.3,3757576713,140,48.0,3757576711,56,Back,3757576715,141,45.5,3757576717,212,20.5,3763590437,178,,,,,,,,axgbibg0wdlir6tsrru6rpwph,J. van Aken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
