id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId
2530404995,4,1,1,0,22,b79uipsy57y1jqpy07h4i5ovk,1,29.6,61.6,2023-04-08T16:47:07.666Z,2023-04-08T23:12:02Z,4173099375,140,29.8,4173099381,213,1.5,4173099371,241,,4173099377,141,69.3,4173099369,5,,4173099379,212,5.2,4173099373,56,Back,,,,7nfr8xuo637qma7ovxx4r9fmy,J. Idzes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405031,5,1,1,0,27,b79uipsy57y1jqpy07h4i5ovk,1,30.5,60.3,2023-04-08T16:47:12.304Z,2023-04-08T16:47:14Z,4173099573,140,25.1,4173099575,141,40.3,4173099579,213,4.3,4173099571,56,Back,4173099577,212,14.7,,,,,,,,,,dtglxu78mwbkvog0jnusmdc5x,P. Rommens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405069,6,1,1,0,29,b79uipsy57y1jqpy07h4i5ovk,1,28.1,38.9,2023-04-08T16:47:14.560Z,2023-04-08T16:47:17Z,4173099775,212,21.2,4173099773,141,8.8,4173099777,213,5.0,4173099769,56,Back,4173099771,140,33.4,,,,,,,,,,90vny1388bdhx8103lp9njac4,J. Amofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405077,7,1,1,0,31,b79uipsy57y1jqpy07h4i5ovk,0,33.4,8.8,2023-04-08T16:47:17.008Z,2023-04-08T17:42:46Z,4173099839,141,11.9,4173100089,233,8,4173099841,212,2.8,4173099835,56,Back,4173099843,213,0.9,4173099837,140,35.1,,,,,,,ciguyr553yqapqfudim9af46h,M. Deijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405117,8,61,1,0,32,6hsriqr3ybvyg94w2k19oal50,1,69.2,90.5,2023-04-08T16:47:18.009Z,2023-04-08T23:13:25Z,4173100033,56,Left,,,,,,,,,,,,,,,,,,,,,,5gyjq8tsjxk396qt4hqlwn3dh,M. Wittek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405155,9,49,1,0,33,6hsriqr3ybvyg94w2k19oal50,1,41.2,86,2023-04-08T16:47:19.108Z,2023-04-08T17:43:13Z,,,,,,,,,,,,,,,,,,,,,,,,,cb8pu5lenbczaooavhaxnzp3p,N. Isimat-Mirin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405247,10,1,1,0,34,6hsriqr3ybvyg94w2k19oal50,1,41.2,86.2,2023-04-08T16:47:19.333Z,2023-04-08T17:43:17Z,4173100667,212,19.9,4173100661,56,Left,4173100665,141,96.9,4173100663,140,58.8,4173100669,213,0.4,,,,,,,,,,cb8pu5lenbczaooavhaxnzp3p,N. Isimat-Mirin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405257,11,61,1,0,35,6hsriqr3ybvyg94w2k19oal50,0,59.5,96.9,2023-04-08T16:47:20.199Z,2023-04-08T17:43:16Z,4173100679,56,Left,,,,,,,,,,,,,,,,,,,,,,5gyjq8tsjxk396qt4hqlwn3dh,M. Wittek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405361,8,5,1,0,36,b79uipsy57y1jqpy07h4i5ovk,1,36.2,-1.6,2023-04-08T16:47:22.144Z,2023-04-08T17:01:57Z,4173101163,56,Back,4173150107,233,12,4173101165,347,,,,,,,,,,,,,,,,,ciguyr553yqapqfudim9af46h,M. Deijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405271,12,5,1,0,36,6hsriqr3ybvyg94w2k19oal50,0,63.8,101.6,2023-04-08T16:47:22.144Z,2023-04-08T17:01:58Z,4173100739,347,,4173150129,233,8,4173100737,56,Left,,,,,,,,,,,,,,,,5gyjq8tsjxk396qt4hqlwn3dh,M. Wittek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405407,9,1,1,0,50,b79uipsy57y1jqpy07h4i5ovk,1,41.2,0,2023-04-08T16:47:35.248Z,2023-04-08T16:47:38Z,4173101399,213,0.4,4173101393,140,54.0,4173101389,107,,4173101391,56,Right,4173101397,212,14.5,4173101395,141,6.8,,,,,,,ciguyr553yqapqfudim9af46h,M. Deijl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405415,10,1,1,0,53,b79uipsy57y1jqpy07h4i5ovk,1,53.9,6.8,2023-04-08T16:47:38.240Z,2023-04-08T16:47:39Z,4173101441,212,2.1,4173101439,141,6.1,4173101459,156,,4173101435,56,Right,4173101437,140,52.0,4173101443,213,3.4,,,,,,,hxqybxg5578sgx0gx5qb834l,I. Lidberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405457,11,1,1,0,55,b79uipsy57y1jqpy07h4i5ovk,0,57.7,7.7,2023-04-08T16:47:40.224Z,2023-04-08T16:47:42Z,4173101659,140,75.7,4173101663,212,30.7,4173101655,155,,4173101665,213,0.9,4173101657,56,Center,4173101661,141,43.3,,,,,,,7lpwkpwfw656re3pymntslv55,B. Adekanye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405453,13,49,1,0,56,6hsriqr3ybvyg94w2k19oal50,1,19.4,52.5,2023-04-08T16:47:41.794Z,2023-04-08T16:47:42Z,,,,,,,,,,,,,,,,,,,,,,,,,d3qx3gwypipcl2azrj9ing9ud,C. Arcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405505,14,1,1,0,57,6hsriqr3ybvyg94w2k19oal50,0,19.4,52.5,2023-04-08T16:47:42.345Z,2023-04-08T16:47:46Z,4173101921,212,40.4,4173101917,140,55.4,4173101915,56,Center,4173101925,1,,4173101913,157,,4173101919,141,31.6,4173101923,213,5.9,,,,d3qx3gwypipcl2azrj9ing9ud,C. Arcus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405529,12,1,1,1,0,b79uipsy57y1jqpy07h4i5ovk,1,42.4,73.2,2023-04-08T16:47:45.312Z,2023-04-08T16:47:47Z,4173102059,56,Center,4173102065,212,12.0,4173102063,141,63.6,4173102061,140,52.0,4173102067,213,5.7,4173102057,3,,,,,,,,32pfghvfogjnpbgsj5mk2jhpm,José Fontán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405531,13,49,1,1,1,b79uipsy57y1jqpy07h4i5ovk,1,52,63.6,2023-04-08T16:47:47.119Z,2023-04-08T16:47:47Z,,,,,,,,,,,,,,,,,,,,,,,,,dtglxu78mwbkvog0jnusmdc5x,P. Rommens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405545,14,1,1,1,2,b79uipsy57y1jqpy07h4i5ovk,0,52,63.6,2023-04-08T16:47:47.712Z,2023-04-08T23:37:59Z,4173102143,140,58.6,4173102145,141,62.6,4173102149,213,6.2,4173102141,56,Center,4173102147,212,7.0,,,,,,,,,,dtglxu78mwbkvog0jnusmdc5x,P. Rommens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405595,15,50,1,1,5,6hsriqr3ybvyg94w2k19oal50,1,43.3,28.9,2023-04-08T16:47:50.527Z,2023-04-08T16:47:53Z,4173102407,286,,4173102405,56,Back,4173102479,233,15,,,,,,,,,,,,,,,,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405579,15,7,1,1,5,b79uipsy57y1jqpy07h4i5ovk,0,56.7,71.1,2023-04-08T16:47:50.528Z,2023-04-08T23:38:09Z,4173102347,285,,4173102447,233,15,4174362621,385,,4173102345,56,Center,,,,,,,,,,,,,5dbx86ca2t7dae8b3t69atii1,W. Willumsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405617,16,49,1,1,8,6hsriqr3ybvyg94w2k19oal50,1,39.7,3.8,2023-04-08T16:47:53.731Z,2023-04-08T16:47:53Z,,,,,,,,,,,,,,,,,,,,,,,,,czh4r9efdbw4fvdux0enl127e,M. Manhoef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405637,17,1,1,1,8,6hsriqr3ybvyg94w2k19oal50,1,39.7,4,2023-04-08T16:47:54.004Z,2023-04-08T16:47:55Z,4173102669,141,25.5,4173102671,212,37.2,4173102675,1,,4173102665,56,Back,4173102673,213,2.7,4173102667,140,7.1,,,,,,,czh4r9efdbw4fvdux0enl127e,M. Manhoef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405659,18,1,1,1,10,6hsriqr3ybvyg94w2k19oal50,0,7.1,25.6,2023-04-08T16:47:55.564Z,2023-04-08T16:47:59Z,4173102821,213,0.3,4173102817,212,42.5,4173102823,1,,4173102813,141,42.4,4173102805,56,Back,4173102809,140,46.1,,,,,,,84yhv0iilunn0vllz1r5fe7l5,K. Scherpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405685,19,61,1,1,12,6hsriqr3ybvyg94w2k19oal50,1,43.9,43.9,2023-04-08T16:47:57.675Z,2023-04-08T23:40:14Z,4173102939,56,Back,,,,,,,,,,,,,,,,,,,,,,98fjpfhrww2qdifsi8viybaol,M. van Ginkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405691,16,8,1,1,12,b79uipsy57y1jqpy07h4i5ovk,1,53.8,55.5,2023-04-08T16:47:57.799Z,2023-04-08T23:40:29Z,4173102959,56,Center,4174370393,383,,,,,,,,,,,,,,,,,,,,5n65xhwbd6dm3uynl4h7k920a,E. Llansana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405739,21,61,1,1,15,6hsriqr3ybvyg94w2k19oal50,0,45.6,62.5,2023-04-08T16:48:00.443Z,2023-04-08T17:44:57Z,4173103221,56,Back,,,,,,,,,,,,,,,,,,,,,,dvof4p3jx1gi6i9uelbmudl62,K. Kozłowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405735,20,1,1,1,16,6hsriqr3ybvyg94w2k19oal50,1,36.3,62.6,2023-04-08T16:48:01.733Z,2023-04-08T17:45:09Z,4173103195,56,Back,4173103209,1,,4173103197,140,45.3,4173103193,157,,4173103199,141,60.6,4173103201,212,9.5,4173103205,213,6.1,,,,5gyjq8tsjxk396qt4hqlwn3dh,M. Wittek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530451593,414,61,1,1,17,6hsriqr3ybvyg94w2k19oal50,1,44,59.4,2023-04-08T16:48:02.177Z,2023-04-08T17:45:10Z,4173352071,56,Back,,,,,,,,,,,,,,,,,,,,,,dvof4p3jx1gi6i9uelbmudl62,K. Kozłowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405719,17,49,1,1,18,b79uipsy57y1jqpy07h4i5ovk,1,62.8,71.5,2023-04-08T16:48:04.048Z,2023-04-08T16:48:04Z,,,,,,,,,,,,,,,,,,,,,,,,,7sa0cx70w7dc0ahu5sm0ziz11,R. Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405783,18,1,1,1,22,b79uipsy57y1jqpy07h4i5ovk,1,71.7,74.7,2023-04-08T16:48:07.376Z,2023-04-08T16:48:10Z,4173103465,213,0.7,4173103463,212,9.4,4173103459,140,78.5,4173103457,56,Left,4173103461,141,83.8,,,,,,,,,,7sa0cx70w7dc0ahu5sm0ziz11,R. Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405793,19,1,1,1,25,b79uipsy57y1jqpy07h4i5ovk,1,78.6,83.3,2023-04-08T16:48:10.271Z,2023-04-08T23:41:14Z,4173103481,56,Center,4173103487,212,8.9,4173103485,141,75.0,4173103483,140,85.2,4173103489,213,5.6,,,,,,,,,,hxqybxg5578sgx0gx5qb834l,I. Lidberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405835,20,1,1,1,25,b79uipsy57y1jqpy07h4i5ovk,1,81.1,79.6,2023-04-08T16:48:11.087Z,2023-04-08T16:48:13Z,4173103621,140,85.6,4173103627,213,1.1,4173103625,212,10.8,4173103623,141,93.8,4173103619,56,Left,,,,,,,,,,7sa0cx70w7dc0ahu5sm0ziz11,R. Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405865,21,1,1,1,27,b79uipsy57y1jqpy07h4i5ovk,1,85.6,93.8,2023-04-08T16:48:12.911Z,2023-04-08T16:48:15Z,4173103761,140,81.8,4173103765,141,89.1,4173103759,56,Left,4173103769,212,5.1,4173103771,213,3.8,,,,,,,,,,32pfghvfogjnpbgsj5mk2jhpm,José Fontán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405911,22,1,1,1,29,b79uipsy57y1jqpy07h4i5ovk,1,80,89.7,2023-04-08T16:48:15.088Z,2023-04-08T16:48:18Z,4173104025,213,3.3,4173104023,212,17.1,4173104019,140,63.9,4173104021,141,86.0,4173104017,56,Left,,,,,,,,,,7sa0cx70w7dc0ahu5sm0ziz11,R. Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405947,23,1,1,1,33,b79uipsy57y1jqpy07h4i5ovk,1,63.9,86,2023-04-08T16:48:18.831Z,2023-04-08T16:48:22Z,4173104237,141,68.8,4173104235,140,60.9,4173104241,213,4.4,4173104233,56,Center,4173104239,212,12.1,,,,,,,,,,dtglxu78mwbkvog0jnusmdc5x,P. Rommens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530454005,429,61,1,1,35,b79uipsy57y1jqpy07h4i5ovk,1,59.1,68.8,2023-04-08T16:48:20.177Z,2023-04-08T17:47:54Z,4173365701,56,Center,,,,,,,,,,,,,,,,,,,,,,7nfr8xuo637qma7ovxx4r9fmy,J. Idzes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405961,24,1,1,1,37,b79uipsy57y1jqpy07h4i5ovk,0,58,55.2,2023-04-08T16:48:22.368Z,2023-04-08T17:47:57Z,4173104307,56,Center,4173104317,1,,4173104311,141,41.8,4173104315,213,6.0,4173104313,212,37.1,4173104303,155,,4173104309,140,92.3,,,,90vny1388bdhx8103lp9njac4,J. Amofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530405977,22,52,1,1,38,6hsriqr3ybvyg94w2k19oal50,1,7.4,56.3,2023-04-08T16:48:23.915Z,2023-04-08T23:41:43Z,4174375489,377,,,,,,,,,,,,,,,,,,,,,,,84yhv0iilunn0vllz1r5fe7l5,K. Scherpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530406031,23,80,1,1,44,6hsriqr3ybvyg94w2k19oal50,0,12.9,52.7,2023-04-08T16:48:29.251Z,2023-04-08T16:48:29Z,,,,,,,,,,,,,,,,,,,,,,,,,84yhv0iilunn0vllz1r5fe7l5,K. Scherpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530406155,24,1,1,1,48,6hsriqr3ybvyg94w2k19oal50,1,22.3,46.1,2023-04-08T16:48:33.852Z,2023-04-08T17:45:41Z,4173105463,213,0.6,4173105459,141,93.6,4173105453,155,,4173105465,1,,4173105455,56,Left,4173105461,212,55.3,4173105457,140,65.0,,,,84yhv0iilunn0vllz1r5fe7l5,K. Scherpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530406185,25,1,1,1,53,6hsriqr3ybvyg94w2k19oal50,1,62.9,92.3,2023-04-08T16:48:38.467Z,2023-04-08T16:48:40Z,4173105623,56,Left,4173105629,212,6.1,4173105627,141,84.1,4173105631,213,5.1,4173105625,140,65.2,,,,,,,,,,dvof4p3jx1gi6i9uelbmudl62,K. Kozłowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530406269,26,1,1,1,54,6hsriqr3ybvyg94w2k19oal50,1,69.5,83.6,2023-04-08T16:48:40.140Z,2023-04-08T16:48:46Z,4173106091,140,90.5,4173106087,56,Left,4173106097,212,22.1,4173106095,141,81.4,4173106101,213,6.2,,,,,,,,,,4idru0svqcqjpi03b4jhqyd3p,M. Bero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530406277,27,50,1,2,1,6hsriqr3ybvyg94w2k19oal50,1,94.8,97,2023-04-08T16:48:46.499Z,2023-04-08T16:48:51Z,4173106363,233,25,4173106135,286,,4173106133,56,Left,,,,,,,,,,,,,,,,b2uznyb9b8fxsy57450mbmwru,M. Sankoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530406311,25,7,1,2,1,b79uipsy57y1jqpy07h4i5ovk,0,5.2,3,2023-04-08T16:48:46.500Z,2023-04-08T23:42:22Z,4173106331,56,Back,4173106333,285,,4173106351,233,27,4174377915,383,,,,,,,,,,,,,,7nfr8xuo637qma7ovxx4r9fmy,J. Idzes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530452731,415,50,1,2,1,6hsriqr3ybvyg94w2k19oal50,1,96.7,96.2,2023-04-08T16:48:47.176Z,2023-04-08T23:42:39Z,4173358287,56,Left,4173358667,233,428,4173358289,286,,,,,,,,,,,,,,,,,b2uznyb9b8fxsy57450mbmwru,M. Sankoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530452791,428,7,1,2,2,b79uipsy57y1jqpy07h4i5ovk,0,3.3,3.8,2023-04-08T16:48:47.177Z,2023-04-08T23:42:39Z,4173358643,233,415,4173358637,56,Back,4173358639,285,,4174378765,383,,,,,,,,,,,,,,7nfr8xuo637qma7ovxx4r9fmy,J. Idzes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530406321,26,45,1,2,5,b79uipsy57y1jqpy07h4i5ovk,0,12.4,8.4,2023-04-08T16:48:51.087Z,2023-04-08T16:48:53Z,4173106391,56,Back,4173106565,233,28,4173106393,285,,,,,,,,,,,,,,,,,7nfr8xuo637qma7ovxx4r9fmy,J. Idzes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530406329,28,3,1,2,5,6hsriqr3ybvyg94w2k19oal50,1,87.6,91.6,2023-04-08T16:48:51.087Z,2023-04-08T23:42:51Z,4173106429,286,,4173106427,56,Left,4174379915,464,,4173106527,233,26,,,,,,,,,,,,,b2uznyb9b8fxsy57450mbmwru,M. Sankoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530406373,29,1,1,2,6,6hsriqr3ybvyg94w2k19oal50,1,84.9,88.9,2023-04-08T16:48:51.475Z,2023-04-08T16:48:55Z,4173106677,212,10.3,4173106671,56,Left,4173106675,141,96.3,4173106673,140,76.3,4173106679,213,2.6,,,,,,,,,,b2uznyb9b8fxsy57450mbmwru,M. Sankoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
