id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,assist,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,keyPass,qualifier/13/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2518687689,15,1,1,0,36,6hsriqr3ybvyg94w2k19oal50,1,33.6,72,2023-03-11T20:01:19.407Z,2023-03-14T02:39:28Z,4097131995,178,,4090199343,56,Back,4090199349,212,9.7,4090199347,141,60.3,4090199345,140,38.9,4090199351,213,5.3,,,,,,,4ecptuxoyx485mmhrubuscgyd,S. Tronstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687711,16,1,1,0,37,6hsriqr3ybvyg94w2k19oal50,1,38.9,60.3,2023-03-11T20:01:20.393Z,2023-03-14T02:39:36Z,4090199479,141,70.8,4090199477,140,6.9,4090199481,212,34.4,4090199485,1,,4090199483,213,2.9,4097132105,178,,4090199475,56,Back,,,,98fjpfhrww2qdifsi8viybaol,M. van Ginkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687735,17,1,1,0,41,6hsriqr3ybvyg94w2k19oal50,1,6.9,70.8,2023-03-11T20:01:23.774Z,2023-03-14T02:39:49Z,4090199603,141,34.6,4090199607,213,4.6,4090199599,56,Back,4097132231,178,,4090199605,212,24.7,4090199601,140,4.5,,,,,,,d8cxurdt9g5gezqlfwae7ooru,M. Meulensteen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687767,18,1,1,0,44,6hsriqr3ybvyg94w2k19oal50,0,7.8,33.9,2023-03-11T20:01:27.566Z,2023-03-14T02:39:58Z,4090199757,140,55.0,4090199759,141,51.5,4090199753,155,,4090199761,212,51.0,4090199765,1,,4097132273,178,,4090199755,56,Center,4090199763,213,0.2,84yhv0iilunn0vllz1r5fe7l5,K. Scherpen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687779,7,44,1,0,48,89w5c6pw7vn0dxypi61tt0g4k,1,44.8,45.8,2023-03-11T20:01:30.755Z,2023-03-14T12:04:43Z,4090199821,56,Back,4090199837,233,19,4090199823,285,,,,,,,,,,,,,,,,,5gs7jd1eigk4jisxbr9a1yvp,B. Vriends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687771,19,44,1,0,48,6hsriqr3ybvyg94w2k19oal50,0,55.2,54.2,2023-03-11T20:01:30.756Z,2023-03-14T02:40:06Z,4090199785,56,Center,4090199865,233,7,4090199787,286,,,,,,,,,,,,,,,,,b2uznyb9b8fxsy57450mbmwru,M. Sankoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687783,8,1,1,0,48,89w5c6pw7vn0dxypi61tt0g4k,0,44.7,43.1,2023-03-11T20:01:30.804Z,2023-03-14T12:04:44Z,4090199855,213,0.3,4090199845,3,,4090199851,141,48.2,4097132359,388,,4090199853,212,10.3,4090199849,140,53.9,4090199847,56,Center,,,,5gs7jd1eigk4jisxbr9a1yvp,B. Vriends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687825,21,1,1,0,49,6hsriqr3ybvyg94w2k19oal50,1,45.2,45.8,2023-03-11T20:01:32.212Z,2023-03-14T02:40:24Z,4090200079,141,58.5,4090200073,140,48.9,4090200083,212,9.5,4097132435,178,,4090200087,213,1.1,4090200069,56,Back,4090200067,3,,,,,98fjpfhrww2qdifsi8viybaol,M. van Ginkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687819,20,43,1,0,50,6hsriqr3ybvyg94w2k19oal50,1,0,0,2023-03-11T20:01:32.732Z,2023-03-12T11:43:00Z,4090200049,233,9,4090200025,56,Back,4090200027,285,0,4092145525,144,44,,,,,,,,,,,,,98fjpfhrww2qdifsi8viybaol,M. van Ginkel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518687801,9,43,1,0,50,89w5c6pw7vn0dxypi61tt0g4k,1,0,0,2023-03-11T20:01:32.733Z,2023-03-12T11:43:02Z,4092145655,144,44,4090199949,286,0,4090199947,56,Center,,,,,,,,,,,,,,,,8n9t52eeli3s39r8ujjhjt7je,J. Kitolano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
