id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/16/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/17/value
2481361709,14,49,1,0,21,ears40cp6opsgvhsy0dgyszpd,1,68,76.7,2022-11-04T19:03:42.232Z,2022-11-05T09:04:47Z,,,,,,,,,,,,,,,,,,,,,,,,,4utb2o5c0e57kf0iwdavpzg15,S. van der Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361645,10,43,1,0,21,ears40cp6opsgvhsy0dgyszpd,1,0,0,2022-11-04T19:03:42.330Z,2022-11-05T02:44:44Z,3893568351,213,0.8,3893568343,56,Center,3893568349,212,0.6,3893568341,3,0,3893568347,141,64.1,3894216523,144,1,3893568345,140,63.5,,,,8o13oyr0lqkr5sw7j9ekdan6x,M. Hoedemakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361665,12,1,1,0,22,ears40cp6opsgvhsy0dgyszpd,1,66.2,76.3,2022-11-04T19:03:42.786Z,2022-11-05T09:04:54Z,3894605411,178,,3893568439,213,4.0,3893568433,140,65.1,3893568435,141,74.2,3893568437,212,1.8,3893568431,56,Center,,,,,,,4utb2o5c0e57kf0iwdavpzg15,S. van der Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361701,13,1,1,0,22,ears40cp6opsgvhsy0dgyszpd,1,66.2,74.6,2022-11-04T19:03:43.191Z,2022-11-05T09:05:23Z,3893568607,140,70.4,3893568613,213,1.2,3894605837,178,,3893568605,56,Left,3893568609,141,90.9,3893568611,212,11.9,,,,,,,8o13oyr0lqkr5sw7j9ekdan6x,M. Hoedemakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361731,15,1,1,0,24,ears40cp6opsgvhsy0dgyszpd,1,70.9,95,2022-11-04T19:03:45.047Z,2022-11-05T09:05:27Z,3894605927,178,,3893568761,141,90.9,3893568759,140,89.8,3893568765,213,6.1,3893568757,56,Left,3893568763,212,20.0,,,,,,,3u2783a9ukglf8yg3dere8wve,A. Bangura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361753,16,1,1,0,27,ears40cp6opsgvhsy0dgyszpd,0,90,90.9,2022-11-04T19:03:48.338Z,2022-11-05T09:05:30Z,3894606047,178,,3893568847,2,,3893568853,140,95.5,3893568859,213,5.0,3894216841,72,,3893568855,141,59.4,3893568851,56,Center,3894216839,224,,4utb2o5c0e57kf0iwdavpzg15,S. van der Water,3893568857,212,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361825,7,12,1,0,28,8iawijq7s9s6d85mjz8wdslki,1,4.4,46.3,2022-11-04T19:03:49.354Z,2022-11-05T09:05:34Z,3894606161,178,,3893569283,141,17.9,3893569279,56,Back,3893569287,213,4.7,3893569281,140,5.0,3893569285,212,19.3,,,,,,,913pg8qqcjp99h5fjybbenob9,P. Sandler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361811,17,1,1,0,30,ears40cp6opsgvhsy0dgyszpd,0,93.4,80.5,2022-11-04T19:03:51.008Z,2022-11-05T09:05:38Z,3893569169,56,Center,3894216911,223,,3893569173,141,34.2,3894216913,20,,3893569167,155,,3893569171,140,92.9,3893569177,213,4.7,3894606279,178,,4utb2o5c0e57kf0iwdavpzg15,S. van der Water,3893569165,2,,3893569175,212,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361837,8,12,1,0,33,8iawijq7s9s6d85mjz8wdslki,1,7.3,65.6,2022-11-04T19:03:54.131Z,2022-11-05T09:05:42Z,3893569351,15,,3893569323,140,8.1,3893569329,213,1.5,3893569321,56,Back,3894606359,388,,3893569327,212,9.1,3893569325,141,78.9,,,,enimk3ibb10vk3f8vrmmhq7oq,S. El Karouani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361881,18,1,1,0,36,ears40cp6opsgvhsy0dgyszpd,1,91.3,11.6,2022-11-04T19:03:57.473Z,2022-11-05T09:05:45Z,3893569561,213,2.7,3893569559,212,14.8,3893569553,56,Center,3893569557,141,21.8,3894606403,178,,3893569555,140,78.9,,,,,,,ae7ij4u0xy9iru6qvdw2i9fu2,M. Breij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481361903,19,1,1,0,38,ears40cp6opsgvhsy0dgyszpd,1,78.9,21.8,2022-11-04T19:03:59.159Z,2022-11-05T09:05:47Z,3893569675,140,87.3,3894216995,20,,3894216993,224,,3893569673,56,Center,3893569681,213,0.9,3893569677,141,37.0,3894606455,178,,3893569669,2,,tv8e6nxc7jl8wbzf6ojd6dw5,D. Schmidt,3893569679,212,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
