id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/12/value,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value,qualifier/19/value
2455233489,8,1,1,0,27,89w5c6pw7vn0dxypi61tt0g4k,1,33.4,90.1,2022-09-03T18:00:53.925Z,2022-09-05T04:00:48Z,3754878151,140,23.2,3754878157,213,3.5,3754878155,212,11.4,3760092973,178,,3754878149,56,Back,3754878153,141,84.2,,,,,,,5el82g04yvl9ai8ws8pxbvaad,M. Pinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233585,9,1,1,0,30,89w5c6pw7vn0dxypi61tt0g4k,1,20.5,79.4,2022-09-03T18:00:56.674Z,2022-09-05T04:00:55Z,3754878705,212,20.1,3760093087,178,,3754878707,213,4.7,3754878701,140,19.8,3754878703,141,49.8,3754878699,56,Back,,,,,,,ubuh5wgnl0o5bn3wirdmectm,M. Eerdhuijzen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233603,10,1,1,0,36,89w5c6pw7vn0dxypi61tt0g4k,1,30.8,31.3,2022-09-03T18:01:02.742Z,2022-09-05T04:01:01Z,3760093163,178,,3754878793,212,13.6,3754878797,213,4.5,3754878787,140,28.3,3754878789,141,11.7,3754878785,56,Back,,,,,,,5gs7jd1eigk4jisxbr9a1yvp,B. Vriends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233649,11,1,1,0,38,89w5c6pw7vn0dxypi61tt0g4k,1,28.3,11.7,2022-09-03T18:01:04.439Z,2022-09-05T04:01:05Z,3754878989,213,5.9,3754878985,141,5.3,3754878981,56,Back,3754878987,212,11.6,3754878983,140,38.5,3760093231,178,,,,,,,,f57vs3qmmob743hdk2dxf56cq,S. Sambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233661,12,1,1,0,39,89w5c6pw7vn0dxypi61tt0g4k,1,38.5,5.3,2022-09-03T18:01:05.635Z,2022-09-05T04:01:12Z,3754879035,56,Back,3754879039,141,19.4,3760093371,178,,3754879045,213,1.1,3754879041,212,10.8,3754879037,140,43.2,,,,,,,dficbkp6sp4kw7xihaxneozpx,Y. Namli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233689,13,1,1,0,39,89w5c6pw7vn0dxypi61tt0g4k,1,43.2,19.4,2022-09-03T18:01:06.323Z,2022-09-05T04:01:16Z,3760093449,178,,3754879133,212,19.2,3754879129,140,61.1,3754879131,141,13.5,3754879135,213,6.1,3754879127,56,Right,,,,,,,f57vs3qmmob743hdk2dxf56cq,S. Sambo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233695,14,61,1,0,40,89w5c6pw7vn0dxypi61tt0g4k,0,61.1,13.5,2022-09-03T18:01:07.049Z,2022-09-05T04:01:20Z,3754879155,56,Right,3760093529,178,,,,,,,,,,,,,,,,,,,,723av2redj2ej6livx0g81wwl,A. Verschueren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233681,12,49,1,0,42,6g9qrm72224jrk6tkxxxi8a9n,1,33.2,86.3,2022-09-03T18:01:08.592Z,2022-09-05T04:02:23Z,,,,,,,,,,,,,,,,,,,,,,,,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233775,13,1,1,0,42,6g9qrm72224jrk6tkxxxi8a9n,1,33.2,86.3,2022-09-03T18:01:08.630Z,2022-09-05T04:02:30Z,3754879527,140,14.5,3754879529,141,52.7,3754879531,212,30.1,3754879525,56,Back,3760094533,178,,3754879533,213,4.0,,,,,,,e3akocgpppdty3ayxty1gf6xh,D. Mirani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233787,14,1,1,0,47,6g9qrm72224jrk6tkxxxi8a9n,1,14.1,52.4,2022-09-03T18:01:14.177Z,2022-09-05T04:02:38Z,3754879585,213,6.3,3754879581,141,52.1,3754879579,140,26.5,3754879583,212,13.0,3754879577,56,Back,3760094645,178,,,,,,,,7dg8woqlx67ch0ji3ujhgb52i,F. Stanković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455233829,15,1,1,0,48,6g9qrm72224jrk6tkxxxi8a9n,0,26.5,52.1,2022-09-03T18:01:15.219Z,2022-09-05T04:02:42Z,3754879851,212,18.8,3754879845,56,Back,3760094707,178,,3754879849,141,26.8,3754879847,140,33.7,3754879853,213,5.1,,,,,,,dbkr1w2xlwnyssid1tv0jlujt,B. Benamar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
