id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/10/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2495118989,886,67,1,0,27,af91jdcs6x0bqkmdb78rokod2,1,25.5,2.6,2023-01-04T17:31:40.129Z,2023-01-05T03:42:31Z,3966073443,233,1090,,,,,,,,,,,,,,,,,,,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495118987,1090,67,1,0,27,bqbbqm98ud8obe45ds9ohgyrd,0,74.5,97.4,2023-01-04T17:31:40.130Z,2023-01-05T02:02:36Z,3966073447,233,886,,,,,,,,,,,,,,,,,,,,,,555z9bynvux7oruirg67r8i51,F. Kostić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042427,5,12,1,0,27,af91jdcs6x0bqkmdb78rokod2,1,23.3,2,2023-01-04T17:31:40.153Z,2023-01-05T03:42:31Z,3965654741,213,5.9,3966058525,178,,3965654733,56,Back,3965654737,141,0.0,3965654735,140,28.4,3965654747,167,,3965654739,212,5.8,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042429,6,5,1,0,27,af91jdcs6x0bqkmdb78rokod2,0,33.2,-1.4,2023-01-04T17:31:40.758Z,2023-01-05T01:20:13Z,3965654743,56,Back,3965654921,233,15,3965654745,347,,,,,,,,,,,,,,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042457,15,5,1,0,27,bqbbqm98ud8obe45ds9ohgyrd,1,66.8,101.4,2023-01-04T17:31:40.758Z,2023-01-05T01:20:13Z,3965654915,347,,3965654917,233,6,3965654913,56,Left,,,,,,,,,,,,,,,,555z9bynvux7oruirg67r8i51,F. Kostić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042459,16,1,1,0,45,bqbbqm98ud8obe45ds9ohgyrd,0,60.1,100,2023-01-04T17:31:58.003Z,2023-01-05T01:20:20Z,3965654931,141,95.7,3965654927,56,Left,3965654935,213,6.1,3965654925,107,,3965654933,212,17.5,3965654929,140,76.4,,,,,,,555z9bynvux7oruirg67r8i51,F. Kostić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495119073,895,43,1,0,46,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-01-04T17:31:59.333Z,2023-01-05T03:48:10Z,3966093499,144,67,3966073629,233,1102,,,,,,,,,,,,,,,,,,,5sxy1z2pz5bhlp767lyjte76d,A. Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495119069,1102,43,1,0,46,bqbbqm98ud8obe45ds9ohgyrd,1,0,0,2023-01-04T17:31:59.334Z,2023-01-05T03:48:10Z,3966073637,233,895,3966093507,144,67,,,,,,,,,,,,,,,,,,,bjob8tftnxojnytcj7juo0ga2,F. Miretti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042463,7,8,1,0,46,af91jdcs6x0bqkmdb78rokod2,1,14.2,5.2,2023-01-04T17:31:59.366Z,2023-01-05T03:42:32Z,3966010283,385,,3966058613,178,,3965654939,56,Back,,,,,,,,,,,,,,,,5sxy1z2pz5bhlp767lyjte76d,A. Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042467,8,5,1,0,48,af91jdcs6x0bqkmdb78rokod2,0,24.4,-0.9,2023-01-04T17:32:01.350Z,2023-01-05T01:20:31Z,3965654953,56,Back,3965655007,233,17,3965654955,347,,,,,,,,,,,,,,,,,5sxy1z2pz5bhlp767lyjte76d,A. Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042481,17,5,1,0,48,bqbbqm98ud8obe45ds9ohgyrd,1,75.6,100.9,2023-01-04T17:32:01.350Z,2023-01-05T01:20:31Z,3965654995,56,Left,3965655003,233,8,3965654997,347,,,,,,,,,,,,,,,,,555z9bynvux7oruirg67r8i51,F. Kostić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042507,18,1,1,0,51,bqbbqm98ud8obe45ds9ohgyrd,1,80.8,100,2023-01-04T17:32:04.466Z,2023-01-05T01:20:40Z,3965655131,212,9.8,3965655123,107,,3965655127,140,85.8,3965655125,56,Left,3965655133,213,5.3,3965655129,141,89.2,,,,,,,555z9bynvux7oruirg67r8i51,F. Kostić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495119223,909,83,1,0,54,af91jdcs6x0bqkmdb78rokod2,1,26.6,5.3,2023-01-04T17:32:07.091Z,2023-01-05T02:04:57Z,3966073951,399,493115,,,,,,,,,,,,,,,,,,,,,,5sxy1z2pz5bhlp767lyjte76d,A. Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042509,19,1,1,0,57,bqbbqm98ud8obe45ds9ohgyrd,0,67.3,92.9,2023-01-04T17:32:10.219Z,2023-01-05T01:20:50Z,3966058729,178,,3965655137,56,Center,3965655145,213,5.1,3965655141,141,54.2,3965655139,140,78.5,3965655143,212,28.8,,,,,,,bjob8tftnxojnytcj7juo0ga2,F. Miretti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042513,9,61,1,0,58,af91jdcs6x0bqkmdb78rokod2,1,22.9,47.9,2023-01-04T17:32:11.408Z,2023-01-05T01:20:59Z,3965655159,56,Back,3966058833,178,,,,,,,,,,,,,,,,,,,,a7gi41760sk45wbkpbps3njdh,M. Castagnetti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495042519,10,49,1,1,0,af91jdcs6x0bqkmdb78rokod2,1,11.7,48.1,2023-01-04T17:32:13.048Z,2023-01-05T01:21:07Z,,,,,,,,,,,,,,,,,,,,,,,,,3jruai7zu28e8f0ooj4t16l05,L. Lochoshvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
