id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,keyPass,qualifier/16/value,qualifier/11/value,assist
2451713459,8,61,1,2,20,bqbbqm98ud8obe45ds9ohgyrd,1,46.1,12.1,2022-08-27T16:33:26.250Z,2022-08-27T23:48:17Z,3737913825,178,,3736062765,56,Back,3736063459,189,,,,,,,,,,,,,,,,,9pe3yqjsmcjtxdx7bdne3d4ut,M. De Sciglio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713481,9,49,1,2,22,bqbbqm98ud8obe45ds9ohgyrd,1,53.7,17.3,2022-08-27T16:33:28.089Z,2022-08-27T23:48:09Z,,,,,,,,,,,,,,,,,,,,,,,,,pconfrmsdy9aikioqz9s9lg5,J. Cuadrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713527,10,1,1,2,24,bqbbqm98ud8obe45ds9ohgyrd,1,54,19.2,2022-08-27T16:33:29.795Z,2022-08-27T23:48:14Z,3736063173,213,1.6,3736063169,141,37.4,3736063167,140,53.8,3736063165,56,Center,3736063171,212,12.4,3737913637,178,,,,,,,,pconfrmsdy9aikioqz9s9lg5,J. Cuadrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713547,11,1,1,2,25,bqbbqm98ud8obe45ds9ohgyrd,0,54.1,35.6,2022-08-27T16:33:31.602Z,2022-08-27T23:48:29Z,3736063255,141,9.0,3737914789,178,,3736063261,1,,3736063253,140,79.3,3736063257,212,32.1,3736063259,213,5.7,3736063249,155,,3736063251,56,Right,ahz2npxe4geixkaz25f2pc82d,M. Locatelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713565,13,1,1,2,27,2tk2l9sgktwc9jhzqdd4mpdtb,1,18.8,87.2,2022-08-27T16:33:33.445Z,2022-08-27T23:48:31Z,3736063401,213,5.4,3736063391,3,,3737914933,388,,3736063399,212,13.2,3736063397,141,71.7,3736063395,140,26.3,3736063393,56,Back,,,,ab4kuqa33849h6z77ksuqhdk9,Ibañez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713569,14,49,1,2,29,2tk2l9sgktwc9jhzqdd4mpdtb,1,26.2,71.9,2022-08-27T16:33:35.589Z,2022-08-27T23:48:37Z,,,,,,,,,,,,,,,,,,,,,,,,,9ka7y81b5kst146mhq7mom5ed,L. Spinazzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713611,15,1,1,2,29,2tk2l9sgktwc9jhzqdd4mpdtb,0,26.2,71.7,2022-08-27T16:33:35.607Z,2022-08-27T23:48:41Z,3736063661,56,Center,3736063659,157,,3736063671,1,,3737915575,178,,3736063667,212,31.7,3736063669,213,5.9,3736063663,140,54.3,3736063665,141,54.5,9ka7y81b5kst146mhq7mom5ed,L. Spinazzola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713647,12,44,1,2,32,bqbbqm98ud8obe45ds9ohgyrd,1,46.2,43.6,2022-08-27T16:33:37.873Z,2022-08-28T02:15:28Z,3736063903,56,Back,3736063905,285,,3736063923,233,16,,,,,,,,,,,,,,,,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713619,16,44,1,2,32,2tk2l9sgktwc9jhzqdd4mpdtb,0,53.8,56.4,2022-08-27T16:33:37.874Z,2022-08-27T23:48:46Z,3736063725,286,,3736063953,233,12,3736063721,56,Center,,,,,,,,,,,,,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713661,13,1,1,2,32,bqbbqm98ud8obe45ds9ohgyrd,1,46.7,41.8,2022-08-27T16:33:37.989Z,2022-08-28T02:15:28Z,3737916321,388,,3736063983,140,54.4,3736063977,3,,3736063979,56,Center,3736063987,141,37.7,3736063991,212,8.6,3736063995,213,6.0,,,,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713687,14,1,1,2,34,bqbbqm98ud8obe45ds9ohgyrd,1,54.6,37.7,2022-08-27T16:33:39.751Z,2022-08-27T23:48:56Z,3736064137,213,1.5,3737916949,388,,3736064135,212,8.1,3736064133,141,49.5,3736064131,140,55.4,3736064129,56,Center,3736064127,3,,,,,2nddcty9qris2mmeldon0ogd1,A. Rabiot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451713695,15,49,1,2,35,bqbbqm98ud8obe45ds9ohgyrd,1,55.6,49.5,2022-08-27T16:33:40.775Z,2022-08-27T23:49:01Z,,,,,,,,,,,,,,,,,,,,,,,,,bjob8tftnxojnytcj7juo0ga2,F. Miretti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
