id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,keyPass,qualifier/14/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2475642429,17,1,1,1,2,67z1gqyiuzpmmb15q5fy7ntc4,1,39.6,0,2022-10-22T16:01:09.450Z,2022-10-22T21:21:56Z,3863336205,1,,3863336197,140,47.8,3863336203,213,1.2,3863336199,141,34.5,3863336195,56,Back,3863336193,107,,3863336201,212,26.3,3863343305,189,,1b8uwkohkevu6ltjex0liklpl,V. Antov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642435,18,61,1,1,4,67z1gqyiuzpmmb15q5fy7ntc4,0,47.8,34.5,2022-10-22T16:01:11.417Z,2022-10-22T21:22:26Z,3863336223,56,Back,3864705377,178,,3864706477,21,,,,,,,,,,,,,,,,,6ck9f1ppvl65nui0x71q80jx1,G. Caprari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475643527,38,61,1,1,5,9dntj5dioj5ex52yrgwzxrq9l,1,51.7,54.6,2022-10-22T16:01:12.600Z,2022-10-22T21:22:52Z,3863341919,56,Center,3864706243,178,,,,,,,,,,,,,,,,,,,,b0me6l44boibnwpbtasxoy02x,S. Dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475644147,34,50,1,1,6,67z1gqyiuzpmmb15q5fy7ntc4,1,48,37.4,2022-10-22T16:01:13.187Z,2022-10-22T21:23:46Z,3863345135,56,Back,3863345371,233,39,3863345137,286,,,,,,,,,,,,,,,,,6ck9f1ppvl65nui0x71q80jx1,G. Caprari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475643607,39,7,1,1,6,9dntj5dioj5ex52yrgwzxrq9l,1,52,62.6,2022-10-22T16:01:13.313Z,2022-10-22T21:23:38Z,3863345367,233,34,3863342411,56,Center,3864707219,178,,3863342415,285,,3864198813,384,,,,,,,,,,,b0me6l44boibnwpbtasxoy02x,S. Dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642421,18,49,1,1,6,9dntj5dioj5ex52yrgwzxrq9l,1,50.1,64.8,2022-10-22T16:01:13.572Z,2022-10-22T21:23:31Z,,,,,,,,,,,,,,,,,,,,,,,,,ch5rw8dgb6wh99wyhd8o3t1pl,T. Pobega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642455,19,1,1,1,6,9dntj5dioj5ex52yrgwzxrq9l,1,50.1,64.8,2022-10-22T16:01:13.636Z,2022-10-22T21:23:25Z,3864708195,178,,3863336339,212,14.2,3863336337,141,56.6,3863336333,56,Back,3863336335,140,37.7,3863336341,213,3.5,,,,,,,ch5rw8dgb6wh99wyhd8o3t1pl,T. Pobega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642483,20,1,1,1,8,9dntj5dioj5ex52yrgwzxrq9l,1,37.7,56.6,2022-10-22T16:01:15.481Z,2022-10-22T21:23:13Z,3863336451,141,50.6,3863336455,213,3.7,3864708311,178,,3863336453,212,8.3,3863336447,56,Back,3863336449,140,30.8,,,,,,,cknjube5flk1r5ppqthj82c5,I. Bennacer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642557,21,1,1,1,10,9dntj5dioj5ex52yrgwzxrq9l,1,30.8,50.6,2022-10-22T16:01:17.608Z,2022-10-22T21:24:00Z,3863336837,141,80.1,3864710253,178,,3863336839,212,20.1,3863336833,56,Back,3863336835,140,31.0,3863336841,213,1.6,,,,,,,ehztjmhg6fsddm1fqb00547o5,S. Kjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642571,22,1,1,1,13,9dntj5dioj5ex52yrgwzxrq9l,1,30.8,78.8,2022-10-22T16:01:20.555Z,2022-10-22T21:24:05Z,3863336919,56,Back,3863336927,213,4.6,3863336925,212,26.4,3863336923,141,40.1,3864710419,178,,3863336921,140,29.0,,,,,,,3tpmw6tlijytn0ahwztvedkut,T. Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642639,23,1,1,1,19,9dntj5dioj5ex52yrgwzxrq9l,1,34,35,2022-10-22T16:01:26.774Z,2022-10-22T21:24:09Z,3863337291,140,42.3,3863337289,56,Back,3864710497,178,,3863337295,212,13.2,3863337293,141,20.5,3863337297,213,5.4,,,,,,,ehztjmhg6fsddm1fqb00547o5,S. Kjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475642653,24,1,1,1,23,9dntj5dioj5ex52yrgwzxrq9l,1,53,21.1,2022-10-22T16:01:30.387Z,2022-10-22T21:24:14Z,3863337369,213,5.1,3863337363,212,10.7,3863337357,56,Right,3863337359,140,56.6,3864710671,178,,3863337361,141,6.4,,,,,,,b0me6l44boibnwpbtasxoy02x,S. Dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
