id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/10/value,qualifier/13/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value
2455264047,12,1,1,0,16,gi0l1habji5hpgar77dl5jqe,1,77.9,93.5,2022-09-03T18:45:35.756Z,2022-09-04T02:32:23Z,3755043225,213,3.4,3756587987,178,,3755043221,141,91.4,3755043223,212,4.8,3755043217,56,Left,3755043219,140,73.5,,,,,,,4zy4d60v2qmaplm9xbe51y1gp,K. Kvaratskhelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264065,13,1,1,0,17,gi0l1habji5hpgar77dl5jqe,0,73.5,91.4,2022-09-03T18:45:36.483Z,2022-09-04T02:32:26Z,3755043343,213,6.0,3755043341,212,29.7,3755043337,140,100.0,3755043335,56,Left,3756588095,178,,3755043339,141,81.0,,,,,,,ypfascbq81vkjbe57108cpn9,Mário Rui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264079,7,5,1,0,20,btcy9nra9ak4m22ovr2ia6m5v,1,-1,17.4,2022-09-03T18:45:40.170Z,2022-09-04T02:32:29Z,3755043407,346,,3755043405,56,Back,3755043439,233,14,,,,,,,,,,,,,,,,6hlutndh6zstrpi5i0u0mxyvp,D. Cataldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264069,14,5,1,0,20,gi0l1habji5hpgar77dl5jqe,0,101,82.6,2022-09-03T18:45:40.170Z,2022-09-04T02:32:29Z,3755043349,56,Left,3755043351,346,,3755043449,233,7,,,,,,,,,,,,,,,,ypfascbq81vkjbe57108cpn9,Mário Rui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264305,8,1,1,0,41,btcy9nra9ak4m22ovr2ia6m5v,1,4.4,39.2,2022-09-03T18:46:01.233Z,2022-09-04T02:32:59Z,3755044605,237,,3755044595,140,3.1,3755044597,141,49.1,3755044593,56,Back,3755044591,124,,3755044601,213,1.8,3755044599,212,6.9,,,,3l76cgequy3tjhhudqnrejglx,Patric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264359,9,1,1,0,48,btcy9nra9ak4m22ovr2ia6m5v,1,9.2,50,2022-09-03T18:46:07.712Z,2022-09-04T02:33:05Z,3755044869,56,Back,3755044875,212,16.5,3755044877,213,1.4,3755044873,141,74.0,3756588769,178,,3755044871,140,11.3,,,,,,,8n4rruxbnzvjgdomxslnmcno5,I. Provedel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264381,10,1,1,0,51,btcy9nra9ak4m22ovr2ia6m5v,1,14.6,75.6,2022-09-03T18:46:10.518Z,2022-09-04T02:33:08Z,3755044999,212,15.3,3756589855,178,,3755044993,56,Back,3755044997,141,95.9,3755044995,140,20.9,3755045001,213,1.1,,,,,,,7nwh5uoczypmuiigzi8ylsd1,A. Romagnoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455264393,11,1,1,0,53,btcy9nra9ak4m22ovr2ia6m5v,0,22.3,95.9,2022-09-03T18:46:12.453Z,2022-09-04T02:33:11Z,3755045097,212,11.0,3756589961,178,,3755045095,141,94.1,3755045099,213,6.2,3755045091,56,Back,3755045093,140,32.7,,,,,,,a22hb1s02edsj7t38out5r3rp,A. Marušić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455551867,985,67,1,0,54,gi0l1habji5hpgar77dl5jqe,1,67.1,2.6,2022-09-03T18:46:13.477Z,2022-09-04T04:36:53Z,3756652691,233,763,,,,,,,,,,,,,,,,,,,,,,3bhy6x04rbwzk0nh1fm59dmnd,A. Zambo Anguissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455551865,763,67,1,0,54,btcy9nra9ak4m22ovr2ia6m5v,0,32.9,97.4,2022-09-03T18:46:13.478Z,2022-09-04T03:03:32Z,3756652699,233,985,,,,,,,,,,,,,,,,,,,,,,3v6az10hxcowqkewd809cri6t,Luis Alberto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
