id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/14/value,qualifier/15/value,qualifier/17/value,qualifier/18/value
2527477515,13,55,1,1,16,4klvxyeh3xcus4ongu7c00mgc,1,42.5,60.6,2023-04-02T13:02:04.759Z,2023-04-02T21:48:41Z,4157572043,189,,,,,,,,,,,,,,,,,,,,,,,f1ma05bi3t1hfbflylx5d9tyh,E. Ampadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527477829,14,1,1,1,36,4klvxyeh3xcus4ongu7c00mgc,1,35.6,56.4,2023-04-02T13:02:25.408Z,2023-04-02T21:48:47Z,4157568209,140,41.7,4157568215,213,1.3,4157568213,212,23.9,4159766197,178,,4157570921,189,,4157568211,141,90.2,4157568203,5,,4157568207,56,Back,6sejjyqssbr3olctm9nkq2v9x,M. Caldara,4157568205,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527477955,15,1,1,1,39,4klvxyeh3xcus4ongu7c00mgc,1,43.3,90,2023-04-02T13:02:28Z,2023-04-02T21:48:49Z,4159766289,178,,4157568839,212,12.7,4157568841,213,0.4,4157568837,141,97.8,4157568833,56,Left,4157568835,140,54.3,,,,,,,89z0ym1zvwp7rikmd0kvpcq8l,D. Nikolaou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527478037,16,1,1,1,44,4klvxyeh3xcus4ongu7c00mgc,1,42.8,91.7,2023-04-02T13:02:33.084Z,2023-04-02T21:48:54Z,4157569285,213,3.2,4157569277,56,Back,4157569283,212,19.5,4157569279,140,24.2,4157569281,141,90.6,4159766545,178,,,,,,,,8lta4w1nytggiwnaqv4e5cc0l,E. Gyasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527478113,17,1,1,1,47,4klvxyeh3xcus4ongu7c00mgc,1,19.9,83.5,2023-04-02T13:02:35.665Z,2023-04-02T21:48:58Z,4159766639,178,,4157569689,213,4.4,4157569681,56,Back,4157569685,141,55.2,4157569687,212,20.0,4157569683,140,14.6,,,,,,,f1ma05bi3t1hfbflylx5d9tyh,E. Ampadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527478123,18,1,1,1,50,4klvxyeh3xcus4ongu7c00mgc,0,14.1,52.2,2023-04-02T13:02:39.247Z,2023-04-02T21:49:02Z,4157569757,212,28.9,4157569753,141,34.5,4157569745,56,Back,4159766803,178,,4157569761,213,5.9,4157569749,140,39.1,,,,,,,4g0d51pqr4grzoe9cx7do6pxx,B. Drągowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527478151,23,49,1,1,51,49rkyo4do8uwj06geomw0xr4i,1,61.4,65.5,2023-04-02T13:02:40.415Z,2023-04-02T21:49:05Z,,,,,,,,,,,,,,,,,,,,,,,,,7pg1pu4ptby6hi0rp29hv4jxl,L. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527478215,24,1,1,1,54,49rkyo4do8uwj06geomw0xr4i,0,61.4,64.8,2023-04-02T13:02:42.488Z,2023-04-02T21:49:08Z,4157570249,141,16.1,4157570251,212,52.8,4157570253,213,5.6,4157570245,56,Right,4157570255,1,,4157570243,155,,4157570247,140,100.0,4159767105,178,,7pg1pu4ptby6hi0rp29hv4jxl,L. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527478267,19,5,1,1,58,4klvxyeh3xcus4ongu7c00mgc,1,-1,87.8,2023-04-02T13:02:46.789Z,2023-04-02T21:49:13Z,4157570543,233,25,4157570495,56,Back,4157570497,346,,,,,,,,,,,,,,,,,4g0d51pqr4grzoe9cx7do6pxx,B. Drągowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527478223,25,5,1,1,58,49rkyo4do8uwj06geomw0xr4i,0,101,12.2,2023-04-02T13:02:46.789Z,2023-04-02T21:49:13Z,4157570587,233,19,4157570287,346,,4157570285,56,Right,,,,,,,,,,,,,,,,7pg1pu4ptby6hi0rp29hv4jxl,L. Coulibaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
