id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/17/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2472425105,11,1,1,0,58,6tuibxq39fdryu8ou06wcm0q3,0,93.2,16.4,2022-10-15T18:46:01.616Z,2022-10-16T02:00:56Z,3846369339,56,Center,3846369347,213,1.6,3847481925,178,,3846369335,2,,3846369345,212,18.6,3846965943,20,,3846369343,141,43.7,3846965941,224,,4qejyummzkrfllds8ord642qx,D. Frattesi,3846369337,155,3846369341,140,92.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425093,19,12,1,0,59,e75syeuawg3ql8nwpi3vr2btz,1,7.1,53.7,2022-10-15T18:46:02.422Z,2022-10-16T02:01:01Z,3846369215,213,5.6,3846369209,140,26.7,3846369213,212,25.6,3846369211,141,31.3,3846369237,15,,3847482059,388,,3846369207,56,Back,,,,n62gu1fztuvojijr41hyetw5,M. Demiral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425085,10,43,1,1,0,6tuibxq39fdryu8ou06wcm0q3,1,0,0,2022-10-15T18:46:03.859Z,2022-10-15T18:46:08Z,3846369159,56,Right,3846369161,286,0,3846369441,144,7,,,,,,,,,,,,,,,,9tah9hvep4bqppokmuw720qvo,L. D'Andrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425101,20,49,1,1,2,e75syeuawg3ql8nwpi3vr2btz,1,29,27,2022-10-15T18:46:05.397Z,2022-10-16T02:01:06Z,,,,,,,,,,,,,,,,,,,,,,,,,2fsgc0b4mvwpenawmit0q0bmd,M. Pašalić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425123,21,1,1,1,2,e75syeuawg3ql8nwpi3vr2btz,0,28.7,27.1,2022-10-15T18:46:06.061Z,2022-10-16T02:01:10Z,3846369477,213,5.7,3846369479,1,,3846369471,140,57.8,3846369469,56,Right,3846369475,212,36.4,3846369473,141,0.0,3847482211,178,,,,,2fsgc0b4mvwpenawmit0q0bmd,M. Pašalić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425207,12,5,1,1,5,6tuibxq39fdryu8ou06wcm0q3,1,42.3,101.9,2022-10-15T18:46:09.222Z,2022-10-16T02:01:14Z,3846369949,56,Back,3846369959,233,22,3846369951,347,,,,,,,,,,,,,,,,,9tah9hvep4bqppokmuw720qvo,L. D'Andrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425125,22,5,1,1,5,e75syeuawg3ql8nwpi3vr2btz,0,57.7,-1.9,2022-10-15T18:46:09.222Z,2022-10-16T02:01:14Z,3846369483,347,,3846369481,56,Right,3846369991,233,12,,,,,,,,,,,,,,,,2fsgc0b4mvwpenawmit0q0bmd,M. Pašalić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425213,13,1,1,1,11,6tuibxq39fdryu8ou06wcm0q3,1,35.1,100,2022-10-15T18:46:14.424Z,2022-10-16T02:01:20Z,3846370007,141,89.9,3846370003,56,Back,3846370011,213,4.4,3846370005,140,32.8,3846370001,107,,3846370009,212,8.3,,,,,,,4vis4wltntxil2m9z16mi6j8p,Rogério,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425233,14,1,1,1,13,6tuibxq39fdryu8ou06wcm0q3,1,32.1,89.6,2022-10-15T18:46:17.105Z,2022-10-16T02:01:24Z,3847482539,178,,3846370121,213,5.2,3846370119,212,10.1,3846370111,56,Back,3846370113,140,36.9,3846370115,141,76.7,,,,,,,9rzl0j9m9i30a62o1yofzvaad,G. Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425275,15,1,1,1,14,6tuibxq39fdryu8ou06wcm0q3,1,35,70.2,2022-10-15T18:46:18.337Z,2022-10-16T02:01:27Z,3847482603,178,,3846370369,56,Back,3846370375,212,26.3,3846370373,141,58.8,3846370371,140,11.1,3846370377,213,3.4,,,,,,,ef4thhub6bsd2gtmltknkz8b9,M. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425295,16,1,1,1,18,6tuibxq39fdryu8ou06wcm0q3,1,12,56.6,2022-10-15T18:46:22.289Z,2022-10-16T02:01:31Z,3846370477,212,29.5,3847482635,178,,3846370473,140,24.2,3846370475,141,95.7,3846370479,213,1.1,3846370471,56,Back,,,,,,,1r5gn4osgwz2b2b4sefncbhed,A. Consigli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425411,17,1,1,1,20,6tuibxq39fdryu8ou06wcm0q3,1,24.6,95.7,2022-10-15T18:46:24.081Z,2022-10-16T02:01:33Z,3846371175,56,Back,3846371179,141,59.0,3846371183,213,4.3,3846371177,140,13.2,3846371181,212,27.7,3847482693,178,,,,,,,,4vis4wltntxil2m9z16mi6j8p,Rogério,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425461,18,1,1,1,30,6tuibxq39fdryu8ou06wcm0q3,1,14.1,44,2022-10-15T18:46:33.821Z,2022-10-16T02:01:38Z,3847482777,178,,3846371419,140,25.3,3846371421,141,6.2,3846371417,56,Back,3846371423,212,28.3,3846371425,213,5.1,,,,,,,1r5gn4osgwz2b2b4sefncbhed,A. Consigli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472425507,19,1,1,1,35,6tuibxq39fdryu8ou06wcm0q3,0,27,6.2,2022-10-15T18:46:38.698Z,2022-10-16T02:01:41Z,3846371741,212,51.0,3846371721,155,,3846371743,213,0.2,3846371735,141,24.6,3846371731,140,74.1,3846371747,1,,3846371727,56,Center,3847482893,178,,5oge5fhmna0oduqvjisoa1djp,J. Toljan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
