id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2469638595,11,1,1,1,19,4klvxyeh3xcus4ongu7c00mgc,1,32.2,26.7,2022-10-09T13:02:39.169Z,2022-10-09T23:09:29Z,3831517963,56,Back,3831517965,140,7.3,3834134523,178,,3831517969,212,27.8,3831517967,141,40.7,3831517971,213,2.8,,,,,,,f1ma05bi3t1hfbflylx5d9tyh,E. Ampadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638681,12,1,1,1,24,4klvxyeh3xcus4ongu7c00mgc,0,10.1,30.4,2022-10-09T13:02:44.169Z,2022-10-09T23:09:31Z,3831518377,213,5.9,3831518373,141,0.0,3831518379,1,,3831518375,212,55.0,3834134579,178,,3831518359,155,,3831518369,140,58.5,3831518365,56,Right,4g0d51pqr4grzoe9cx7do6pxx,B. Drągowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638685,13,5,1,1,28,4klvxyeh3xcus4ongu7c00mgc,0,57.4,-1,2022-10-09T13:02:48.243Z,2022-10-09T23:09:34Z,3831518395,347,,3831518647,233,24,3831518393,56,Right,,,,,,,,,,,,,,,,4g0d51pqr4grzoe9cx7do6pxx,B. Drągowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638735,24,5,1,1,28,67z1gqyiuzpmmb15q5fy7ntc4,1,42.6,101,2022-10-09T13:02:48.243Z,2022-10-09T23:09:34Z,3831518603,56,Back,3831518605,347,,3831518639,233,13,,,,,,,,,,,,,,,,61phh511ju65h6coren0pbkd1,C. Gytkjær,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638831,25,1,1,1,32,67z1gqyiuzpmmb15q5fy7ntc4,1,43.6,100,2022-10-09T13:02:51.783Z,2022-10-09T23:09:38Z,3831519121,1,,3831519109,56,Back,3831519107,107,,3831519113,141,65.0,3831519111,140,29.4,3831519115,212,28.9,3831519117,213,4.2,,,,4d17grk2qflzake218uz76uei,Carlos Augusto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638863,26,1,1,1,35,67z1gqyiuzpmmb15q5fy7ntc4,1,29.1,63,2022-10-09T13:02:55.232Z,2022-10-09T23:09:43Z,3831519261,140,33.9,3831519259,56,Back,3831519263,141,53.4,3831519265,212,8.2,3831519267,213,5.4,3834134893,178,,,,,,,,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469638959,27,1,1,1,36,67z1gqyiuzpmmb15q5fy7ntc4,1,33.6,53.3,2022-10-09T13:02:56.487Z,2022-10-09T23:09:48Z,3831519687,212,7.5,3831519691,213,2.7,3831519679,140,27.3,3831519675,56,Back,3831519683,141,58.4,3834135061,178,,,,,,,,79e6khfyg3rdauul0yjlixv8q,N. Rovella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469639011,28,1,1,1,40,67z1gqyiuzpmmb15q5fy7ntc4,1,26.7,62,2022-10-09T13:03:00.648Z,2022-10-09T23:09:51Z,3831519945,141,92.4,3831519949,213,1.4,3834135129,178,,3831519941,56,Back,3831519943,140,30.9,3831519947,212,21.1,,,,,,,erdqr6vrr5tlfypbks3og0dlh,Pablo Marí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469639117,29,1,1,1,43,67z1gqyiuzpmmb15q5fy7ntc4,1,31.1,93.6,2022-10-09T13:03:03.528Z,2022-10-09T23:09:53Z,3831520525,213,6.2,3831520521,212,6.9,3831520517,141,93.0,3834135149,178,,3831520513,56,Back,3831520515,140,37.7,,,,,,,av8588qp8e5wz3s7cg1n2qgnp,L. Caldirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469639083,14,45,1,1,44,4klvxyeh3xcus4ongu7c00mgc,0,63.8,7.1,2022-10-09T13:03:04.567Z,2022-10-09T23:10:03Z,3831520351,285,,3831520881,233,30,3831520349,56,Right,,,,,,,,,,,,,,,,awf3x41nsz8m73bhte5wlz6ui,E. Holm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
