id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,keyPass,qualifier/9/value
2533108689,22,1,1,1,20,af91jdcs6x0bqkmdb78rokod2,1,64.2,3.2,2023-04-14T16:31:29.041Z,2023-04-15T01:04:54Z,4187546843,56,Right,4188701635,178,,4187546847,141,6.2,4187546851,213,2.8,4187546845,140,58.7,4187546849,212,6.1,,,,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108725,23,1,1,1,22,af91jdcs6x0bqkmdb78rokod2,1,58.7,6.2,2023-04-14T16:31:30.329Z,2023-04-15T01:04:56Z,4187547051,212,17.2,4187547047,140,74.1,4187547049,141,14.7,4187547045,56,Right,4188701647,178,,4187547053,213,0.3,,,,,,,a8ez7qv4n62b8s45pdo8u07o5,C. Pickel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533326003,748,43,1,1,23,af91jdcs6x0bqkmdb78rokod2,1,0,0,2023-04-14T16:31:31.223Z,2023-04-15T01:23:38Z,4188731855,233,1051,4188732245,144,67,,,,,,,,,,,,,,,,,,,860ysqvvnpfya7bwxbe4g0wk5,P. Galdames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533325997,1051,43,1,1,23,8le3orkfz6iix3jns6g9ojqjg,1,0,0,2023-04-14T16:31:31.224Z,2023-04-15T01:23:38Z,4188732259,144,67,4188731859,233,748,,,,,,,,,,,,,,,,,,,6e9fu9o226zn6jzx02jutvi3u,J. Fazzini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108733,24,1,1,1,23,af91jdcs6x0bqkmdb78rokod2,0,74.1,14.7,2023-04-14T16:31:31.257Z,2023-04-15T01:24:06Z,4187547091,233,10,4187547081,141,12.3,4187547085,213,5.1,4187547095,286,,4187547083,212,1.8,4187547079,140,74.8,4188701701,178,,4187547077,56,Right,860ysqvvnpfya7bwxbe4g0wk5,P. Galdames,4187547089,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108729,10,74,1,1,23,8le3orkfz6iix3jns6g9ojqjg,1,27.6,85.5,2023-04-14T16:31:31.299Z,2023-04-15T01:05:05Z,4187547073,285,,4188701797,178,,4187547135,233,24,4187547071,56,Back,,,,,,,,,,,,,cnk07o3823zl5gd7qr2bdks7p,S. Luperto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108765,11,49,1,1,25,8le3orkfz6iix3jns6g9ojqjg,1,37.8,72.4,2023-04-14T16:31:33.215Z,2023-04-15T01:05:11Z,,,,,,,,,,,,,,,,,,,,,,,,,1lota2za1imhl3oydwa89u5l,F. Bandinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108799,12,1,1,1,25,8le3orkfz6iix3jns6g9ojqjg,1,37.8,72.4,2023-04-14T16:31:33.262Z,2023-04-15T01:05:20Z,4187547391,56,Back,4187547401,213,4.1,4187547397,212,3.7,4187547395,141,68.1,4188702013,178,,4188702015,21,,4187547393,140,35.7,,,,1lota2za1imhl3oydwa89u5l,F. Bandinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108811,13,1,1,1,28,8le3orkfz6iix3jns6g9ojqjg,1,37.6,85.3,2023-04-14T16:31:36.212Z,2023-04-15T01:05:23Z,4188702085,178,,4187547465,56,Back,4187547469,140,37.5,4187547471,141,96.2,4187547475,212,7.4,4187547479,213,1.6,,,,,,,6e9fu9o226zn6jzx02jutvi3u,J. Fazzini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533108885,14,2,1,1,30,8le3orkfz6iix3jns6g9ojqjg,1,37.5,96.2,2023-04-14T16:31:38.445Z,2023-04-15T01:05:29Z,4188702199,178,,4187547761,140,67.8,4187547755,7,mh8eevw5lj4i9c7ue5n9j845,4187547763,141,83.3,4187547759,56,Left,4187547757,1,,,,,,,,8dgh4fzut8khpt32d6dsrljsa,F. Parisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
