id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/20/id,qualifier/20/qualifierId
2458579109,7,1,1,0,15,e75syeuawg3ql8nwpi3vr2btz,1,66.6,19.3,2022-09-11T10:30:36.917Z,2022-09-11T17:00:49Z,3774183255,178,,3772697217,141,18.5,3772697219,212,11.2,3772697221,213,3.2,3772697213,56,Right,3772697215,140,55.9,,,,,,,4euxcqawlks4c56pqj8xvwbf9,R. Malinovskyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579135,8,1,1,0,18,e75syeuawg3ql8nwpi3vr2btz,1,55.9,18.5,2022-09-11T10:30:39.273Z,2022-09-11T17:00:56Z,3772697347,213,2.5,3772697349,1,,3772697339,56,Back,3774183565,178,,3772697345,212,37.4,3772697343,141,49.6,3772697341,140,26.5,,,,e5nv028chtw0955vhnh74ukbu,C. Okoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579185,9,1,1,0,22,e75syeuawg3ql8nwpi3vr2btz,1,25.9,51,2022-09-11T10:30:43.273Z,2022-09-11T17:01:03Z,3772697549,213,2.8,3772697539,140,9.1,3774183991,178,,3772697537,56,Back,3772697545,212,18.5,3772697543,141,59.4,,,,,,,n62gu1fztuvojijr41hyetw5,M. Demiral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579197,10,1,1,0,28,e75syeuawg3ql8nwpi3vr2btz,1,15.7,52.8,2022-09-11T10:30:49.606Z,2022-09-11T17:01:10Z,3772697611,213,1.5,3774184533,178,,3772697607,141,75.8,3772697609,212,15.6,3772697603,56,Back,3772697605,140,16.2,,,,,,,7drgir9lcwfst8vxz07jboe6t,J. Musso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579243,11,1,1,0,30,e75syeuawg3ql8nwpi3vr2btz,1,15.5,76.9,2022-09-11T10:30:51.802Z,2022-09-11T18:52:02Z,3772697825,56,Back,3772697833,213,0.8,3772697831,212,17.6,3774622535,178,,3772697829,141,94.8,3772697827,140,27.6,,,,,,,cm6iy4b06qv9y6ww0hthqlwb9,R. Tolói,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579271,12,1,1,0,33,e75syeuawg3ql8nwpi3vr2btz,0,29.9,95.6,2022-09-11T10:30:55.159Z,2022-09-11T18:52:08Z,3772697955,155,,3772697963,141,27.2,3772697965,212,59.0,3772697961,140,64.5,3772697959,56,Center,3772697957,196,,3772697967,213,5.4,3772697969,1,,9q01y4w4dwpaqf8lmpv9wnmc5,M. de Roon,3774622763,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579281,5,44,1,0,37,af91jdcs6x0bqkmdb78rokod2,1,40.2,68.4,2022-09-11T10:30:58.693Z,2022-09-11T18:54:11Z,3772698005,56,Back,3772698007,285,,3772698009,233,13,,,,,,,,,,,,,,,,9qrewt049r6yq88c715ymau39,S. Meïté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579273,13,44,1,0,37,e75syeuawg3ql8nwpi3vr2btz,0,59.8,31.6,2022-09-11T10:30:58.694Z,2022-09-11T18:52:20Z,3772697977,56,Center,3772697981,286,,3772698037,233,5,,,,,,,,,,,,,,,,2ugzqrpaooto1r24a6kvqf2ll,T. Koopmeiners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579285,6,1,1,0,37,af91jdcs6x0bqkmdb78rokod2,0,44.8,64,2022-09-11T10:30:58.704Z,2022-09-11T18:54:12Z,3774623483,388,,3772698027,213,5.8,3772698023,141,58.4,3772698021,140,51.8,3772698025,212,8.3,3772698017,3,,3772698019,56,Center,,,,9qrewt049r6yq88c715ymau39,S. Meïté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458605285,421,61,1,0,38,e75syeuawg3ql8nwpi3vr2btz,0,45.1,42.7,2022-09-11T10:31:00.063Z,2022-09-11T18:52:33Z,3774623749,178,,3772826457,56,Back,,,,,,,,,,,,,,,,,,,4euxcqawlks4c56pqj8xvwbf9,R. Malinovskyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968079,1044,43,1,0,38,af91jdcs6x0bqkmdb78rokod2,1,0,0,2022-09-11T10:31:00.117Z,2022-09-11T19:30:05Z,3774763171,178,0,3774763385,144,82,,,,,,,,,,,,,,,,,,,a8ez7qv4n62b8s45pdo8u07o5,C. Pickel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968225,1045,67,1,0,40,af91jdcs6x0bqkmdb78rokod2,1,53.2,53.6,2022-09-11T10:31:01.554Z,2022-09-11T20:39:51Z,3774763981,233,1378,,,,,,,,,,,,,,,,,,,,,,a8ez7qv4n62b8s45pdo8u07o5,C. Pickel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968217,1378,67,1,0,40,e75syeuawg3ql8nwpi3vr2btz,0,46.8,46.4,2022-09-11T10:31:01.555Z,2022-09-11T19:30:14Z,3774764001,233,1045,,,,,,,,,,,,,,,,,,,,,,4euxcqawlks4c56pqj8xvwbf9,R. Malinovskyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579305,7,1,1,0,40,af91jdcs6x0bqkmdb78rokod2,0,53.8,54.6,2022-09-11T10:31:01.628Z,2022-09-11T20:39:51Z,3772698127,140,59.4,3772698129,141,100.0,3772698125,56,Left,3774624295,178,,3772698131,212,32.0,3772698133,213,1.4,,,,,,,a8ez7qv4n62b8s45pdo8u07o5,C. Pickel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579309,8,5,1,0,42,af91jdcs6x0bqkmdb78rokod2,0,57.8,100.6,2022-09-11T10:31:04.198Z,2022-09-11T18:52:51Z,3772698143,347,,3772698141,56,Left,3772698507,233,14,,,,,,,,,,,,,,,,a8ez7qv4n62b8s45pdo8u07o5,C. Pickel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579401,14,5,1,0,42,e75syeuawg3ql8nwpi3vr2btz,1,42.2,-0.6,2022-09-11T10:31:04.198Z,2022-09-11T18:52:51Z,3772698477,347,,3772698485,233,8,3772698475,56,Back,,,,,,,,,,,,,,,,4euxcqawlks4c56pqj8xvwbf9,R. Malinovskyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579411,15,1,1,0,51,e75syeuawg3ql8nwpi3vr2btz,0,43.6,0,2022-09-11T10:31:12.459Z,2022-09-11T18:52:57Z,3772698527,213,0.3,3772698529,1,,3772698521,140,65.0,3772698525,212,23.5,3772698523,141,9.5,3772698519,56,Right,3772698517,107,,,,,1oflzbi4gq8wdjlmpa865jj6d,H. Hateboer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579421,9,12,1,0,53,af91jdcs6x0bqkmdb78rokod2,1,30.8,93.2,2022-09-11T10:31:14.318Z,2022-09-11T18:53:05Z,3772698577,212,6.0,3772698579,213,1.6,3774625741,388,,3772698595,15,,3772698575,141,100.0,3772698573,140,30.5,3772698571,56,Back,3772698615,167,,360knvg4k1yywxnb8o1mlyggl,V. Chiricheș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579427,10,5,1,0,53,af91jdcs6x0bqkmdb78rokod2,0,33.8,101.4,2022-09-11T10:31:15.154Z,2022-09-11T18:53:09Z,3772698613,347,,3772698611,56,Back,3772698703,233,16,,,,,,,,,,,,,,,,360knvg4k1yywxnb8o1mlyggl,V. Chiricheș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579441,16,5,1,0,53,e75syeuawg3ql8nwpi3vr2btz,1,66.2,-1.4,2022-09-11T10:31:15.154Z,2022-09-11T18:53:09Z,3772698659,347,,3772698657,56,Right,3772698681,233,10,,,,,,,,,,,,,,,,1oflzbi4gq8wdjlmpa865jj6d,H. Hateboer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579463,17,1,1,0,56,e75syeuawg3ql8nwpi3vr2btz,0,66.9,0,2022-09-11T10:31:17.879Z,2022-09-11T18:53:15Z,3772698773,213,1.1,3772698771,212,13.6,3772698763,107,,3772698765,56,Right,3772698767,140,73.0,3772698769,141,16.6,,,,,,,1oflzbi4gq8wdjlmpa865jj6d,H. Hateboer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968857,1047,67,1,0,57,af91jdcs6x0bqkmdb78rokod2,1,25,86.9,2022-09-11T10:31:19.214Z,2022-09-11T20:39:52Z,3774767361,233,1381,,,,,,,,,,,,,,,,,,,,,,360knvg4k1yywxnb8o1mlyggl,V. Chiricheș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968849,1381,67,1,0,57,e75syeuawg3ql8nwpi3vr2btz,0,75,13.1,2022-09-11T10:31:19.215Z,2022-09-11T19:30:54Z,3774767399,233,1047,,,,,,,,,,,,,,,,,,,,,,ds719g843vjs279iine5otgid,L. Muriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579473,11,8,1,0,57,af91jdcs6x0bqkmdb78rokod2,1,23.6,85.7,2022-09-11T10:31:19.260Z,2022-09-11T20:39:52Z,3774626641,178,,3772698797,56,Back,3773301495,385,,,,,,,,,,,,,,,,,360knvg4k1yywxnb8o1mlyggl,V. Chiricheș,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579545,18,1,1,1,0,e75syeuawg3ql8nwpi3vr2btz,1,67.7,26.6,2022-09-11T10:31:21.989Z,2022-09-11T18:53:32Z,3772699059,141,79.5,3772699057,140,68.0,3772699065,1,,3772699063,213,1.6,3772699061,212,36.0,3772699055,56,Left,3774627179,178,,,,,4euxcqawlks4c56pqj8xvwbf9,R. Malinovskyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579563,19,1,1,1,5,e75syeuawg3ql8nwpi3vr2btz,0,70.6,83.4,2022-09-11T10:31:26.784Z,2022-09-11T18:53:39Z,3772699253,233,12,3772699151,140,95.5,3773302893,223,,3773302895,20,,3772699155,212,37.2,3772699145,2,,3772699153,141,44.5,3772699147,155,,30oup47g0i12cvub12r7kmxd6,B. Soppy,3772699157,213,5.5,3772699159,1,3772699149,56,Center,3774627601,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579585,12,11,1,1,7,af91jdcs6x0bqkmdb78rokod2,1,2.2,57,2022-09-11T10:31:28.668Z,2022-09-11T18:53:42Z,3772699237,56,Back,3774627743,388,,3772699239,88,,3773303353,378,,3772699271,233,19,,,,,,,,,,6wplm29z7qxxmujyc2ml19gix,I. Radu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579671,13,80,1,1,17,af91jdcs6x0bqkmdb78rokod2,0,9.2,47.2,2022-09-11T10:31:38.420Z,2022-09-11T18:53:56Z,3774628445,178,,3772699701,189,,,,,,,,,,,,,,,,,,,,6wplm29z7qxxmujyc2ml19gix,I. Radu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579715,14,1,1,1,22,af91jdcs6x0bqkmdb78rokod2,1,14.4,47,2022-09-11T10:31:44.061Z,2022-09-11T18:54:04Z,3774629043,178,,3772699839,212,12.2,3772699837,141,64.9,3772699833,56,Back,3772699841,213,1.5,3772699835,140,14.7,,,,,,,6wplm29z7qxxmujyc2ml19gix,I. Radu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579793,15,1,1,1,25,af91jdcs6x0bqkmdb78rokod2,1,15.2,63,2022-09-11T10:31:46.381Z,2022-09-11T18:54:10Z,3774629321,178,,3772700129,56,Back,3772700137,213,4.5,3772700131,140,12.2,3772700135,212,13.8,3772700133,141,43.3,,,,,,,3jruai7zu28e8f0ooj4t16l05,L. Lochoshvili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579809,16,1,1,1,32,af91jdcs6x0bqkmdb78rokod2,0,31.4,38.5,2022-09-11T10:31:54.223Z,2022-09-11T18:54:14Z,3774629661,178,,3772700213,155,,3772700215,56,Center,3772700217,140,74.9,3772700219,141,22.1,3772700225,1,,3772700221,212,47.0,3772700223,213,6.0,6wplm29z7qxxmujyc2ml19gix,I. Radu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579827,20,1,1,1,35,e75syeuawg3ql8nwpi3vr2btz,1,26.6,82.4,2022-09-11T10:31:56.917Z,2022-09-11T18:54:20Z,3772700311,213,0.8,3772700307,141,95.0,3772700309,212,11.9,3774629943,388,,3772700303,56,Back,3772700301,3,,3772700305,140,34.4,,,,cm6iy4b06qv9y6ww0hthqlwb9,R. Tolói,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579831,21,49,1,1,37,e75syeuawg3ql8nwpi3vr2btz,1,34.7,94.2,2022-09-11T10:31:58.875Z,2022-09-11T18:54:25Z,,,,,,,,,,,,,,,,,,,,,,,,,30oup47g0i12cvub12r7kmxd6,B. Soppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579835,22,1,1,1,39,e75syeuawg3ql8nwpi3vr2btz,0,33.9,91.7,2022-09-11T10:32:00.520Z,2022-09-11T18:54:31Z,3774630751,178,,3772700339,212,1.2,3772700337,141,90.8,3772700335,140,34.9,3772700341,213,5.8,3772700333,56,Back,3772702359,236,,3772702365,286,,30oup47g0i12cvub12r7kmxd6,B. Soppy,3772702361,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579845,17,74,1,1,39,af91jdcs6x0bqkmdb78rokod2,1,66.8,13.7,2022-09-11T10:32:00.598Z,2022-09-11T18:54:36Z,3772700391,56,Right,3772702385,233,22,3774631109,178,,3772702339,285,,,,,,,,,,,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579879,18,1,1,1,41,af91jdcs6x0bqkmdb78rokod2,0,61,7.9,2022-09-11T10:32:02.600Z,2022-09-11T19:32:56Z,3772700525,140,51.7,3772700523,56,Right,3774775837,389,,3772700531,213,3.7,3772700529,212,11.5,3772700527,141,0.0,,,,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579885,19,5,1,1,42,af91jdcs6x0bqkmdb78rokod2,0,49.4,-1.3,2022-09-11T10:32:03.618Z,2022-09-11T18:55:01Z,3772700765,233,23,3772706187,361,,3772700561,56,Back,3772700563,347,,,,,,,,,,,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579923,23,5,1,1,42,e75syeuawg3ql8nwpi3vr2btz,1,50.6,101.3,2022-09-11T10:32:03.618Z,2022-09-11T18:55:01Z,3772700733,56,Left,3772700755,233,19,3772700735,347,,,,,,,,,,,,,,,,,30oup47g0i12cvub12r7kmxd6,B. Soppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579933,24,1,1,1,45,e75syeuawg3ql8nwpi3vr2btz,1,58.6,100,2022-09-11T10:32:06.982Z,2022-09-11T18:55:06Z,3772700781,141,95.4,3772700785,213,4.7,3772700783,212,4.1,3772700775,107,,3772700779,140,58.4,3772700777,56,Left,,,,,,,8d04q3yp2kouwog0lj0s7ew2x,A. Lookman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579957,25,1,1,1,46,e75syeuawg3ql8nwpi3vr2btz,1,58.4,95.4,2022-09-11T10:32:07.787Z,2022-09-11T18:55:12Z,3772700889,140,62.2,3772700887,56,Left,3772700893,212,4.3,3772700895,213,0.4,3772700891,141,97.8,3774632919,178,,,,,,,,ds719g843vjs279iine5otgid,L. Muriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579961,26,61,1,1,48,e75syeuawg3ql8nwpi3vr2btz,0,62.2,97.8,2022-09-11T10:32:09.671Z,2022-09-11T18:55:20Z,3774633305,178,,3772700911,56,Left,,,,,,,,,,,,,,,,,,,8d04q3yp2kouwog0lj0s7ew2x,A. Lookman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579967,20,49,1,1,50,af91jdcs6x0bqkmdb78rokod2,1,34.9,4.7,2022-09-11T10:32:11.723Z,2022-09-11T18:55:27Z,,,,,,,,,,,,,,,,,,,,,,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458579985,21,50,1,1,52,af91jdcs6x0bqkmdb78rokod2,1,36,3.2,2022-09-11T10:32:13.832Z,2022-09-11T18:55:35Z,3772701151,233,27,3772701041,286,,3772701039,56,Back,,,,,,,,,,,,,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458580007,27,7,1,1,52,e75syeuawg3ql8nwpi3vr2btz,1,64,96.8,2022-09-11T10:32:14.070Z,2022-09-11T18:55:40Z,3773307495,383,,3772701111,285,,3772701135,233,21,3772701109,56,Left,3772701107,167,,3774634269,178,,,,,,,,30oup47g0i12cvub12r7kmxd6,B. Soppy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458580075,22,5,1,1,53,af91jdcs6x0bqkmdb78rokod2,1,37.1,-1.5,2022-09-11T10:32:14.322Z,2022-09-11T18:55:45Z,3772701425,233,28,3772701421,347,,3772701419,56,Back,,,,,,,,,,,,,,,,913rgsi93o890wc2cbuwlbqp5,L. Sernicola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
