id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2458674153,7,1,1,0,16,6tuibxq39fdryu8ou06wcm0q3,1,33.3,6.5,2022-09-11T13:00:58.200Z,2022-09-11T21:33:54Z,3773161985,140,23.9,3773161989,212,14.8,3773161987,141,22.7,3773161991,213,2.3,3775108529,178,,3773161983,56,Back,,,,,,,5oge5fhmna0oduqvjisoa1djp,J. Toljan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674209,8,1,1,0,19,6tuibxq39fdryu8ou06wcm0q3,1,24.2,22.7,2022-09-11T13:01:00.713Z,2022-09-11T21:33:57Z,3773162277,212,24.2,3773162269,140,7.5,3773162267,56,Back,3773162273,141,47.3,3773162279,213,2.4,3775108629,178,,,,,,,,cxxxfvmrslyjyi9wz9m8kwne2,Ruan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674273,9,1,1,0,22,6tuibxq39fdryu8ou06wcm0q3,1,8.4,49.3,2022-09-11T13:01:03.711Z,2022-09-11T21:34:00Z,3773162611,141,92.7,3775108737,178,,3773162607,56,Back,3773162613,212,30.1,3773162615,213,1.4,3773162609,140,14.1,,,,,,,1r5gn4osgwz2b2b4sefncbhed,A. Consigli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674325,10,1,1,0,26,6tuibxq39fdryu8ou06wcm0q3,1,18.8,92.7,2022-09-11T13:01:07.880Z,2022-09-11T21:35:24Z,3773162857,213,6.2,3773162855,212,27.3,3775110961,178,,3773162847,155,,3773162849,56,Back,3773162853,141,87.5,3773162851,140,44.6,,,,4vis4wltntxil2m9z16mi6j8p,Rogério,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674335,11,61,1,0,27,6tuibxq39fdryu8ou06wcm0q3,0,50.9,81.4,2022-09-11T13:01:09.297Z,2022-09-11T21:36:23Z,3773162921,56,Left,3775112591,388,,3775111277,21,,,,,,,,,,,,,,,,,83hpavqn7r5bzcgxvjbcso3px,G. Kiriakopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674351,5,1,1,0,29,dxq76zcvnokq07cszdx0i6kve,1,44.3,27.9,2022-09-11T13:01:11.137Z,2022-09-11T21:36:35Z,3773162977,141,39.4,3773162981,213,0.7,3773162975,140,53.6,3775112797,389,,3773162973,56,Center,3773162979,212,12.5,,,,,,,4h1jj93i0v1pfemnjydnoc0dl,N. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674355,6,49,1,0,31,dxq76zcvnokq07cszdx0i6kve,1,52.3,40,2022-09-11T13:01:12.928Z,2022-09-11T21:36:44Z,,,,,,,,,,,,,,,,,,,,,,,,,18jovwk0ysx6ajb8y75179j9x,Walace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674361,7,1,1,0,31,dxq76zcvnokq07cszdx0i6kve,1,51.2,39.8,2022-09-11T13:01:12.977Z,2022-09-11T21:36:48Z,3775113169,178,,3773163041,213,0.2,3773163039,212,15.7,3773163033,56,Center,3773163035,140,65.9,3773163037,141,43.7,,,,,,,18jovwk0ysx6ajb8y75179j9x,Walace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459038577,1123,67,1,0,32,dxq76zcvnokq07cszdx0i6kve,1,61.7,46.3,2022-09-11T13:01:13.564Z,2022-09-11T23:51:03Z,3775162391,233,707,,,,,,,,,,,,,,,,,,,,,,cjm9hrspcnmjhqttuiz5fkgr9,Deulofeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459038573,707,67,1,0,32,6tuibxq39fdryu8ou06wcm0q3,0,38.3,53.7,2022-09-11T13:01:13.565Z,2022-09-11T22:07:19Z,3775162421,233,1123,,,,,,,,,,,,,,,,,,,,,,cxxxfvmrslyjyi9wz9m8kwne2,Ruan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674365,8,1,1,0,32,dxq76zcvnokq07cszdx0i6kve,0,65.9,43.7,2022-09-11T13:01:13.613Z,2022-09-11T23:51:03Z,3773163057,212,5.2,3773163055,141,37.7,3773163053,140,68.9,3773163051,56,Center,3773163059,213,5.4,3775113397,178,,,,,,,,cjm9hrspcnmjhqttuiz5fkgr9,Deulofeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459038645,710,67,1,0,33,6tuibxq39fdryu8ou06wcm0q3,1,32.7,59.3,2022-09-11T13:01:14.950Z,2022-09-11T23:51:03Z,3775162811,233,1125,,,,,,,,,,,,,,,,,,,,,,9rzl0j9m9i30a62o1yofzvaad,G. Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459038639,1125,67,1,0,33,dxq76zcvnokq07cszdx0i6kve,0,67.3,40.7,2022-09-11T13:01:14.951Z,2022-09-11T22:07:32Z,3775162819,233,710,,,,,,,,,,,,,,,,,,,,,,5152de1kfmrihdzbdotpeo8ut,I. Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674405,12,1,1,0,33,6tuibxq39fdryu8ou06wcm0q3,1,31.6,63.4,2022-09-11T13:01:14.969Z,2022-09-11T23:51:04Z,3773163279,56,Center,3773163285,212,21.7,3775113513,178,,3773163289,213,6.1,3773163281,140,52.0,3773163283,141,58.5,,,,,,,9rzl0j9m9i30a62o1yofzvaad,G. Ferrari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674411,13,49,1,0,34,6tuibxq39fdryu8ou06wcm0q3,1,52,58.5,2022-09-11T13:01:16.469Z,2022-09-11T21:37:10Z,,,,,,,,,,,,,,,,,,,,,,,,,83hpavqn7r5bzcgxvjbcso3px,G. Kiriakopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674475,14,1,1,0,36,6tuibxq39fdryu8ou06wcm0q3,1,52,53.9,2022-09-11T13:01:18.213Z,2022-09-11T21:37:16Z,3773163629,212,13.1,3775113881,178,,3773163623,56,Center,3773163625,140,56.2,3773163631,213,5.1,3773163627,141,35.8,,,,,,,83hpavqn7r5bzcgxvjbcso3px,G. Kiriakopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674471,9,45,1,0,38,dxq76zcvnokq07cszdx0i6kve,0,40.4,69.8,2022-09-11T13:01:20.081Z,2022-09-11T21:37:25Z,3773163801,233,15,3773163619,56,Back,3773163621,285,,,,,,,,,,,,,,,,,c33x61zuxixolkkalsigc3q0a,D. Udogie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674495,15,3,1,0,38,6tuibxq39fdryu8ou06wcm0q3,1,59.6,30.2,2022-09-11T13:01:20.081Z,2022-09-11T21:37:25Z,3773163771,233,9,3775114029,178,,3773163747,56,Center,3773899557,465,,3773163749,286,,,,,,,,,,,4qejyummzkrfllds8ord642qx,D. Frattesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674513,16,1,1,0,40,6tuibxq39fdryu8ou06wcm0q3,0,61.8,32.7,2022-09-11T13:01:22.038Z,2022-09-11T21:37:28Z,3773163845,56,Center,3775114093,178,,3773163847,140,77.1,3773163853,213,0.7,3773163849,141,53.4,3773163851,212,21.4,,,,,,,4qejyummzkrfllds8ord642qx,D. Frattesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674601,10,12,1,0,41,dxq76zcvnokq07cszdx0i6kve,1,22.6,39.7,2022-09-11T13:01:23.202Z,2022-09-11T21:37:34Z,3773164259,56,Back,3773164265,212,10.3,3773164263,141,42.4,3775114249,178,,3773164269,213,0.2,3773164261,140,32.3,,,,,,,dkx1rfzizskaplpex70i3q0o9,Rodrigo Becão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674587,17,1,1,0,46,6tuibxq39fdryu8ou06wcm0q3,0,65.6,62.3,2022-09-11T13:01:27.729Z,2022-09-11T21:37:43Z,3773164205,213,2.4,3773164197,56,Center,3773164201,141,78.5,3773164199,140,53.3,3773164203,212,17.0,3775114513,178,,,,,,,,83hpavqn7r5bzcgxvjbcso3px,G. Kiriakopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674617,11,49,1,0,48,dxq76zcvnokq07cszdx0i6kve,1,44.3,20,2022-09-11T13:01:30.193Z,2022-09-11T21:37:50Z,,,,,,,,,,,,,,,,,,,,,,,,,cjm9hrspcnmjhqttuiz5fkgr9,Deulofeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674715,12,1,1,0,54,dxq76zcvnokq07cszdx0i6kve,1,74.7,22.1,2022-09-11T13:01:36.107Z,2022-09-11T21:38:24Z,3773164879,212,9.8,3773164873,56,Center,3773164881,213,1.4,3773164875,140,76.1,3775115733,178,,3773164877,141,36.3,,,,,,,cjm9hrspcnmjhqttuiz5fkgr9,Deulofeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674801,13,1,1,0,56,dxq76zcvnokq07cszdx0i6kve,1,76.3,32.8,2022-09-11T13:01:38.081Z,2022-09-11T21:38:33Z,3773165317,212,16.4,3775115899,178,,3773165321,213,5.0,3773165309,140,80.4,3773165313,141,9.5,3773165305,56,Right,,,,,,,13o5eskqs8b88yerwltk0tivp,S. Lovrić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674809,14,1,1,1,0,dxq76zcvnokq07cszdx0i6kve,0,80.4,9.5,2022-09-11T13:01:42.525Z,2022-09-11T21:38:38Z,3773165519,233,18,3773165517,236,,3773165523,286,,3775116107,178,,3773165351,212,3.5,3773165349,141,11.4,3773165353,213,0.4,3773165347,140,83.5,cjm9hrspcnmjhqttuiz5fkgr9,Deulofeu,3773165345,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674821,18,74,1,1,1,6tuibxq39fdryu8ou06wcm0q3,1,22.5,81.5,2022-09-11T13:01:42.769Z,2022-09-11T21:38:45Z,3773165427,56,Back,3775116213,178,,3773165479,233,14,3773165429,285,,,,,,,,,,,,,,4vis4wltntxil2m9z16mi6j8p,Rogério,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674837,19,49,1,1,1,6tuibxq39fdryu8ou06wcm0q3,1,17.8,80.8,2022-09-11T13:01:43.238Z,2022-09-11T21:38:53Z,,,,,,,,,,,,,,,,,,,,,,,,,4vis4wltntxil2m9z16mi6j8p,Rogério,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674901,20,1,1,1,1,6tuibxq39fdryu8ou06wcm0q3,0,17.8,80.8,2022-09-11T13:01:43.392Z,2022-09-11T21:38:56Z,3773165873,157,,3773165887,141,63.6,3775116505,178,,3773165905,1,,3773165893,212,50.9,3773165883,140,65.0,3773165877,56,Center,3773165899,213,6.1,4vis4wltntxil2m9z16mi6j8p,Rogério,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674915,15,49,1,1,7,dxq76zcvnokq07cszdx0i6kve,1,36.6,33,2022-09-11T13:01:49.435Z,2022-09-11T21:39:06Z,,,,,,,,,,,,,,,,,,,,,,,,,e2xiayt8k5tv4dw5hjop71fqh,E. Ebosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674937,16,1,1,1,7,dxq76zcvnokq07cszdx0i6kve,1,36.6,33,2022-09-11T13:01:49.508Z,2022-09-11T21:39:10Z,3775116855,178,,3773166043,140,10.1,3773166049,213,3.0,3773166041,56,Back,3773166047,212,28.0,3773166045,141,37.7,,,,,,,e2xiayt8k5tv4dw5hjop71fqh,E. Ebosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674971,17,1,1,1,10,dxq76zcvnokq07cszdx0i6kve,1,10.1,37.7,2022-09-11T13:01:51.689Z,2022-09-11T21:39:13Z,3775116941,178,,3773166233,212,21.8,3773166227,56,Back,3773166231,141,17.0,3773166229,140,26.0,3773166235,213,5.6,,,,,,,93237ztqyi3r4hu3rmgzrgudx,M. Silvestri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458674995,18,1,1,1,13,dxq76zcvnokq07cszdx0i6kve,1,24.3,21.8,2022-09-11T13:01:54.734Z,2022-09-11T21:39:17Z,3773166317,56,Back,3773166323,212,11.3,3775117013,178,,3773166321,141,22.1,3773166319,140,35.1,3773166325,213,0.0,,,,,,,dkx1rfzizskaplpex70i3q0o9,Rodrigo Becão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458675029,19,1,1,1,15,dxq76zcvnokq07cszdx0i6kve,1,36.9,22.8,2022-09-11T13:01:57.197Z,2022-09-11T21:39:53Z,3773166495,213,5.6,3773166487,140,53.8,3775118243,178,,3773166483,56,Right,3773166491,141,2.3,3773166493,212,22.6,,,,,,,8zyg5zuzyr6t0idi5od2ypvbp,T. Arslan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458675057,20,1,1,1,16,dxq76zcvnokq07cszdx0i6kve,1,53.8,2.3,2022-09-11T13:01:58.366Z,2022-09-11T21:39:58Z,3773166685,212,14.9,3773166679,56,Back,3773166687,213,3.0,3773166681,140,39.7,3773166683,141,5.0,3775118383,178,,,,,,,,b881arnahhahg0iaix4mx266t,R. Pereyra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458675135,21,1,1,1,19,dxq76zcvnokq07cszdx0i6kve,1,40.1,8.2,2022-09-11T13:02:01.239Z,2022-09-11T21:40:04Z,3773167089,213,1.8,3773167075,56,Back,3773167083,141,59.1,3775118485,178,,3773167091,1,,3773167079,140,31.9,3773167087,212,35.7,,,,4h1jj93i0v1pfemnjydnoc0dl,N. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458675285,22,1,1,1,25,dxq76zcvnokq07cszdx0i6kve,1,28.9,62.9,2022-09-11T13:02:07.225Z,2022-09-11T21:40:08Z,3773167807,140,31.6,3773167813,213,4.8,3773167805,56,Back,3775118573,178,,3773167811,212,24.1,3773167809,141,27.7,,,,,,,e2xiayt8k5tv4dw5hjop71fqh,E. Ebosse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458675349,23,1,1,1,30,dxq76zcvnokq07cszdx0i6kve,1,32.7,23.3,2022-09-11T13:02:12.406Z,2022-09-11T21:40:13Z,3775118631,178,,3773168127,212,11.4,3773168125,141,6.5,3773168119,56,Back,3773168123,140,32.7,3773168129,213,4.7,,,,,,,dkx1rfzizskaplpex70i3q0o9,Rodrigo Becão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458675389,24,1,1,1,34,dxq76zcvnokq07cszdx0i6kve,1,32.9,9.4,2022-09-11T13:02:16.488Z,2022-09-11T21:40:18Z,3775118809,178,,3773168295,141,28.3,3773168297,212,13.1,3773168299,213,1.4,3773168291,56,Back,3773168293,140,35.2,,,,,,,4h1jj93i0v1pfemnjydnoc0dl,N. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458675437,25,1,1,1,37,dxq76zcvnokq07cszdx0i6kve,1,35.3,33.7,2022-09-11T13:02:19.188Z,2022-09-11T21:40:22Z,3773168537,141,41.9,3773168535,140,38.5,3775118895,178,,3773168533,56,Back,3773168541,213,1.0,3773168539,212,6.5,,,,,,,18jovwk0ysx6ajb8y75179j9x,Walace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458675553,26,1,1,1,39,dxq76zcvnokq07cszdx0i6kve,1,39.4,32.5,2022-09-11T13:02:21.501Z,2022-09-11T21:40:29Z,3773169129,212,13.4,3773169123,56,Back,3773169133,213,4.5,3773169125,140,36.4,3773169127,141,13.4,3775119093,178,,,,,,,,8zyg5zuzyr6t0idi5od2ypvbp,T. Arslan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458675595,27,1,1,1,46,dxq76zcvnokq07cszdx0i6kve,1,44,27.9,2022-09-11T13:02:28.154Z,2022-09-11T21:40:33Z,3773169367,212,9.8,3773169365,141,36.4,3773169363,140,36.5,3775119209,178,,3773169369,213,2.5,3773169361,56,Back,,,,,,,dkx1rfzizskaplpex70i3q0o9,Rodrigo Becão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458675651,28,1,1,1,49,dxq76zcvnokq07cszdx0i6kve,1,38.9,36,2022-09-11T13:02:30.690Z,2022-09-11T21:40:37Z,3773169611,140,42.8,3775119399,178,,3773169613,141,4.6,3773169609,56,Back,3773169615,212,21.7,3773169617,213,4.9,,,,,,,18jovwk0ysx6ajb8y75179j9x,Walace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458675771,29,1,1,1,51,dxq76zcvnokq07cszdx0i6kve,1,42.8,6.4,2022-09-11T13:02:33.210Z,2022-09-11T21:40:41Z,3773170259,56,Back,3773170265,212,19.8,3773170267,213,2.2,3775119467,178,,3773170261,140,31.0,3773170263,141,29.2,,,,,,,b881arnahhahg0iaix4mx266t,R. Pereyra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458675819,30,1,1,1,57,dxq76zcvnokq07cszdx0i6kve,1,32.9,47.2,2022-09-11T13:02:38.616Z,2022-09-11T21:40:44Z,3773170541,213,0.5,3773170539,212,28.2,3773170533,56,Center,3773170535,140,56.3,3775119569,178,,3773170537,141,67.6,,,,,,,4h1jj93i0v1pfemnjydnoc0dl,N. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458675843,31,1,1,1,58,dxq76zcvnokq07cszdx0i6kve,1,56.3,67.6,2022-09-11T13:02:39.541Z,2022-09-11T21:40:49Z,3773170653,141,95.3,3773170649,56,Back,3773170651,140,42.5,3775119707,178,,3773170657,213,2.2,3773170655,212,23.8,,,,,,,cjm9hrspcnmjhqttuiz5fkgr9,Deulofeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
