id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2472276889,14,1,1,0,22,7gnly6999wao1xarwct4p8fe9,0,53.9,6.8,2022-10-15T16:01:53.497Z,2022-10-16T00:13:27Z,3845570477,213,0.1,3845570475,212,49.8,3845570481,1,,3845570473,141,15.3,3845570471,140,100.0,3847231949,178,,3845570467,157,,3845570469,56,Right,6ol411t0mogw6m83heiqd0m39,K. Linetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276951,10,5,1,0,25,bqbbqm98ud8obe45ds9ohgyrd,1,-1.4,86.6,2022-10-15T16:01:56.566Z,2022-10-16T00:13:33Z,3845570839,233,15,3845570785,56,Back,3845570787,346,,,,,,,,,,,,,,,,,2raf0uw5y2kajde0v60l4g1qt,Alex Sandro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472276895,15,5,1,0,25,7gnly6999wao1xarwct4p8fe9,0,101.4,13.4,2022-10-15T16:01:56.566Z,2022-10-16T00:13:33Z,3845570493,346,,3845570491,56,Right,3845570895,233,10,,,,,,,,,,,,,,,,6ol411t0mogw6m83heiqd0m39,K. Linetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277257,11,1,1,0,44,bqbbqm98ud8obe45ds9ohgyrd,1,4.7,57.5,2022-10-15T16:02:15.238Z,2022-10-16T00:13:37Z,3845574407,189,,3845572389,124,,3845572403,237,,3845572397,212,6.9,3845572391,56,Back,3845572393,140,3.9,3845572399,213,4.6,3845572395,141,47.5,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277299,12,1,1,0,49,bqbbqm98ud8obe45ds9ohgyrd,0,7.3,46.6,2022-10-15T16:02:19.903Z,2022-10-16T00:13:43Z,3845572599,155,,3847234301,178,,3845572611,1,,3845572607,212,52.3,3845572605,141,48.8,3845572609,213,0.0,3845572603,140,57.1,3845572601,56,Center,6ofu6yc2qwp5ii9cerdq1tk9h,W. Szczęsny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277331,16,1,1,0,52,7gnly6999wao1xarwct4p8fe9,1,40.6,49.9,2022-10-15T16:02:22.669Z,2022-10-16T00:13:50Z,3847234645,388,,3845572783,3,,3845572789,140,56.0,3845572785,56,Center,3845572799,212,16.4,3845572793,141,54.2,3845572803,213,0.2,,,,2j09251upkf2aid3lfyyos0dl,P. Schuurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277341,17,1,1,0,53,7gnly6999wao1xarwct4p8fe9,0,55.6,54.2,2022-10-15T16:02:24.556Z,2022-10-16T00:13:58Z,3845572867,213,0.3,3845572851,168,,3845572865,212,11.3,3845572847,3,,3845572859,140,65.9,3845572855,56,Center,3845572863,141,59.0,3847235001,178,,6ol411t0mogw6m83heiqd0m39,K. Linetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277389,13,1,1,0,55,bqbbqm98ud8obe45ds9ohgyrd,0,34.4,45.5,2022-10-15T16:02:26.155Z,2022-10-16T00:14:02Z,3845573133,213,5.5,3845573131,212,31.2,3845573127,140,54.7,3847235287,178,,3845573129,141,11.9,3845573125,56,Right,3845573123,155,,,,,d196vatyvq6ycn1q7d477d2i1,Bremer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472277431,18,1,1,0,58,7gnly6999wao1xarwct4p8fe9,0,44.8,83.6,2022-10-15T16:02:28.957Z,2022-10-16T00:14:07Z,3845573279,141,86.3,3845573285,213,0.2,3845573271,3,,3845573273,56,Left,3845573281,212,10.5,3845573277,140,54.6,3847235461,388,,,,,866f0f7taqhae91o3cjnnx0ph,V. Lazaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472597127,880,67,1,0,59,bqbbqm98ud8obe45ds9ohgyrd,1,44.5,16.7,2022-10-15T16:02:30.184Z,2022-10-16T01:28:06Z,3847340303,233,1015,,,,,,,,,,,,,,,,,,,,,,pconfrmsdy9aikioqz9s9lg5,J. Cuadrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
