id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2500967939,5,1,1,0,8,ej5er0oyngdw138yuumwqbyqt,1,35.8,74.8,2023-01-27T17:31:38.260Z,2023-01-27T23:38:21Z,3996816237,140,47.2,3996816243,213,6.2,3996816241,212,12.0,3996816235,56,Back,3997500165,178,,3996816239,141,73.5,,,,,,,5lvdnoyknuoyr6kdruposgctl,J. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500967965,6,1,1,0,8,ej5er0oyngdw138yuumwqbyqt,1,47.2,73.5,2023-01-27T17:31:38.812Z,2023-01-27T23:38:27Z,3996816377,212,9.4,3996816373,140,42.0,3996816375,141,62.3,3996816371,56,Back,3996816379,213,4.1,3997500185,178,,,,,,,,56bidwsegakrtx3z1qbbpnc6i,J. Zirkzee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500967973,7,1,1,0,9,ej5er0oyngdw138yuumwqbyqt,0,42,62.3,2023-01-27T17:31:39.309Z,2023-01-27T23:38:36Z,3997500239,178,,3996816427,141,87.5,3996816423,56,Left,3996816425,140,54.4,3996816421,155,,3996816429,212,21.5,3996816431,213,0.9,,,,bdb6j168crcrwje9k0titxv55,L. Ferguson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500967953,7,49,1,0,11,4klvxyeh3xcus4ongu7c00mgc,1,46.4,16.5,2023-01-27T17:31:40.864Z,2023-01-27T23:38:48Z,,,,,,,,,,,,,,,,,,,,,,,,,awf3x41nsz8m73bhte5wlz6ui,E. Holm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500967959,8,1,1,0,11,4klvxyeh3xcus4ongu7c00mgc,0,46.4,16.5,2023-01-27T17:31:40.901Z,2023-01-27T23:38:53Z,3996816343,140,73.4,3996816347,212,35.4,3997500311,178,,3996816351,1,,3996816349,213,0.6,3996816341,56,Center,3996816339,157,,3996816345,141,47.6,awf3x41nsz8m73bhte5wlz6ui,E. Holm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501043553,1011,1,1,0,12,ej5er0oyngdw138yuumwqbyqt,1,27.1,56.8,2023-01-27T17:31:42.603Z,2023-01-27T23:39:03Z,3997201583,56,Back,3997201587,141,53.9,3997201581,3,,3997201589,212,15.9,3997201585,140,12.1,3997201591,213,3.3,3997500333,178,,,,,4gmki0xpn2e9o9p7wnm0k8p1x,A. Soumaoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500967983,8,52,1,0,15,ej5er0oyngdw138yuumwqbyqt,1,12.8,56.4,2023-01-27T17:31:44.908Z,2023-01-27T23:39:11Z,3997201631,377,,3997500367,178,,,,,,,,,,,,,,,,,,,,4hrmzpx1nt5ze55fpby71mcb9,Ł. Skorupski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968011,9,1,1,0,17,ej5er0oyngdw138yuumwqbyqt,1,12.8,56.4,2023-01-27T17:31:47.234Z,2023-01-27T23:39:18Z,3996816665,212,9.5,3996816661,140,15.0,3996816667,213,1.3,3996816663,141,69.9,3996816657,56,Back,3996816653,123,,3997500399,178,,,,,4hrmzpx1nt5ze55fpby71mcb9,Ł. Skorupski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968017,10,1,1,0,22,ej5er0oyngdw138yuumwqbyqt,1,22.2,69.3,2023-01-27T17:31:52.075Z,2023-01-27T23:39:22Z,3997500409,178,,3996816703,213,4.5,3996816697,140,18.9,3996816701,212,15.0,3996816695,56,Back,3996816699,141,47.9,,,,,,,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968037,11,1,1,0,24,ej5er0oyngdw138yuumwqbyqt,1,18.9,47.9,2023-01-27T17:31:54.158Z,2023-01-27T23:39:27Z,3996816827,141,65.2,3996816823,56,Back,3996816825,140,15.5,3996816829,212,12.3,3996816831,213,1.9,3997500469,178,,,,,,,,4gmki0xpn2e9o9p7wnm0k8p1x,A. Soumaoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501142333,1403,83,1,0,26,4klvxyeh3xcus4ongu7c00mgc,1,84.8,23.4,2023-01-27T17:31:56.008Z,2023-01-28T05:16:33Z,3997725207,399,217532,,,,,,,,,,,,,,,,,,,,,,72sbeqsrvv64vwiec51r9g1k9,K. Agudelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968045,12,61,1,0,26,ej5er0oyngdw138yuumwqbyqt,0,15,78.4,2023-01-27T17:31:56.068Z,2023-01-28T05:16:17Z,3997500621,178,,3996816851,56,Back,,,,,,,,,,,,,,,,,,,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968049,9,49,1,0,26,4klvxyeh3xcus4ongu7c00mgc,1,87.6,7.6,2023-01-27T17:31:56.082Z,2023-01-27T23:40:24Z,,,,,,,,,,,,,,,,,,,,,,,,,72sbeqsrvv64vwiec51r9g1k9,K. Agudelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968071,10,1,1,0,27,4klvxyeh3xcus4ongu7c00mgc,1,87.6,7.6,2023-01-27T17:31:57.428Z,2023-01-27T23:40:31Z,3997501035,178,,3996816975,213,2.5,3996816967,56,Right,3996816971,141,17.7,3996816973,212,12.2,3996816969,140,78.0,,,,,,,72sbeqsrvv64vwiec51r9g1k9,K. Agudelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968073,11,3,1,0,28,4klvxyeh3xcus4ongu7c00mgc,0,78,17.7,2023-01-27T17:31:58.701Z,2023-01-27T23:40:55Z,3996816983,286,,3997501189,178,,3996816981,56,Right,3996817375,211,,3997204743,465,,,,,,,,,,,awf3x41nsz8m73bhte5wlz6ui,E. Holm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968091,13,49,1,0,29,ej5er0oyngdw138yuumwqbyqt,1,26.1,76.9,2023-01-27T17:31:59.666Z,2023-01-28T05:16:43Z,,,,,,,,,,,,,,,,,,,,,,,,,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968105,14,1,1,0,30,ej5er0oyngdw138yuumwqbyqt,1,26.1,76.9,2023-01-27T17:32:00.730Z,2023-01-27T23:41:19Z,3996817149,213,1.3,3996817141,56,Back,3996817145,141,89.6,3996817143,140,28.3,3996817147,212,8.9,3997501363,178,,,,,,,,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968113,15,1,1,0,32,ej5er0oyngdw138yuumwqbyqt,0,28.9,91.2,2023-01-27T17:32:02.181Z,2023-01-27T23:41:31Z,3996817187,212,2.4,3996817183,140,30.9,3997501391,178,,3996817185,141,89.6,3996817181,56,Back,3996817189,213,5.8,,,,,,,7ohgxs03szerp6mwiiv58ryay,A. Cambiaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968135,16,4,1,0,32,ej5er0oyngdw138yuumwqbyqt,1,29.4,94.2,2023-01-27T17:32:02.658Z,2023-01-27T23:41:42Z,3996817293,152,,3996817291,56,Back,3996817305,233,12,3996817295,285,,3996817289,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968123,12,4,1,0,32,4klvxyeh3xcus4ongu7c00mgc,0,70.6,5.8,2023-01-27T17:32:02.659Z,2023-01-27T23:41:41Z,3996817247,286,,3996817327,233,16,3996817243,56,Right,3997501491,178,,3996817245,152,,3996817241,10,,,,,,,,2s9ko6yxyi95jybzguru8g3bp,K. Amian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968185,17,1,1,0,44,ej5er0oyngdw138yuumwqbyqt,1,33.6,89,2023-01-27T17:32:14.834Z,2023-01-27T23:41:48Z,3996817567,152,,3996817575,212,15.9,3996817571,140,25.2,3997501541,178,,3996817565,5,,3996817577,213,4.1,3996817569,56,Back,3996817573,141,69.6,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968193,18,1,1,0,50,ej5er0oyngdw138yuumwqbyqt,1,24.4,67.6,2023-01-27T17:32:19.891Z,2023-01-27T23:41:55Z,3996817609,56,Back,3997501629,178,,3996817617,213,1.4,3996817613,141,87.4,3996817615,212,13.6,3996817611,140,26.2,,,,,,,4gmki0xpn2e9o9p7wnm0k8p1x,A. Soumaoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968211,19,1,1,0,51,ej5er0oyngdw138yuumwqbyqt,1,25.1,88.4,2023-01-27T17:32:21.712Z,2023-01-27T23:42:03Z,3996817709,56,Back,3996817717,213,6.0,3997501699,178,,3996817713,141,84.7,3996817715,212,9.8,3996817711,140,34.1,,,,,,,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968231,20,1,1,0,56,ej5er0oyngdw138yuumwqbyqt,1,20.9,95.4,2023-01-27T17:32:26.586Z,2023-01-27T23:42:10Z,3996817789,141,88.2,3997501721,178,,3996817785,56,Back,3996817791,212,8.4,3996817787,140,14.4,3996817793,213,3.8,,,,,,,6eqqtmbg35rg2stk10ic7q8k5,N. Moro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500989821,542,61,1,0,57,ej5er0oyngdw138yuumwqbyqt,1,12.7,89.6,2023-01-27T17:32:26.960Z,2023-01-27T23:42:29Z,3997501829,178,,3996932007,56,Back,,,,,,,,,,,,,,,,,,,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968249,21,1,1,0,59,ej5er0oyngdw138yuumwqbyqt,1,6.9,59.7,2023-01-27T17:32:29.362Z,2023-01-27T23:42:36Z,3996817901,212,42.9,3996817905,1,,3996817903,213,0.1,3997501881,178,,3996817899,141,68.2,3996817895,56,Back,3996817893,157,,3996817897,140,47.4,4hrmzpx1nt5ze55fpby71mcb9,Ł. Skorupski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968255,22,1,1,1,5,ej5er0oyngdw138yuumwqbyqt,1,47.4,68.2,2023-01-27T17:32:35.381Z,2023-01-27T23:42:49Z,3997501947,178,,3996817925,141,62.1,3996817921,56,Back,3996817929,213,4.1,3996817927,212,5.1,3996817923,140,44.6,,,,,,,56bidwsegakrtx3z1qbbpnc6i,J. Zirkzee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968351,23,1,1,1,6,ej5er0oyngdw138yuumwqbyqt,1,44,62,2023-01-27T17:32:36.430Z,2023-01-27T23:42:58Z,3996818383,141,43.6,3996818379,56,Back,3996818387,213,3.8,3997502045,178,,3996818381,140,29.9,3996818385,212,19.4,,,,,,,5lvdnoyknuoyr6kdruposgctl,J. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968359,13,27,1,1,11,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-01-27T17:32:40.876Z,2023-01-27T23:43:25Z,3996818421,41,Injury,3996818429,233,24,3996818423,53,f1ma05bi3t1hfbflylx5d9tyh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968355,24,27,1,1,11,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-01-27T17:32:40.876Z,2023-01-27T23:43:25Z,3996818425,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968723,14,28,1,2,24,4klvxyeh3xcus4ongu7c00mgc,1,0,0,2023-01-27T17:33:54.750Z,2023-01-27T23:43:36Z,3996820231,55,13,3996820323,233,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968735,25,28,1,2,24,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-01-27T17:33:54.750Z,2023-01-27T23:43:35Z,3996820275,55,24,3996820303,233,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968809,26,68,1,2,28,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-01-27T17:33:58.580Z,2023-01-27T23:43:45Z,3997208987,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968807,15,68,1,2,31,4klvxyeh3xcus4ongu7c00mgc,0,0,0,2023-01-27T17:34:01.744Z,2023-01-27T23:43:50Z,3996820691,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968833,28,1,1,2,33,ej5er0oyngdw138yuumwqbyqt,1,39.2,34,2023-01-27T17:34:03.252Z,2023-01-27T23:43:59Z,3996820767,141,40.6,3997502635,178,,3996820771,213,0.3,3996820763,56,Center,3996820765,140,55.8,3996820769,212,18.0,,,,,,,4gmki0xpn2e9o9p7wnm0k8p1x,A. Soumaoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968825,27,43,1,2,33,ej5er0oyngdw138yuumwqbyqt,1,0,0,2023-01-27T17:34:03.279Z,2023-01-27T18:34:20Z,3996933287,144,1,3996820737,212,14.6,3996820733,140,34.1,3996820735,141,33.4,3996820731,56,Back,3996820739,213,4.7,,,,,,,3l0mj1zzhytxvm9tryvqv8kix,J. Lucumí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500990117,543,1,1,2,34,ej5er0oyngdw138yuumwqbyqt,0,57.8,40.6,2023-01-27T17:34:04.095Z,2023-01-27T23:44:15Z,3996933559,212,6.3,3996933555,140,53.3,3997502683,178,,3996933553,56,Center,3996933557,141,46.8,3996933561,213,2.4,,,,,,,56bidwsegakrtx3z1qbbpnc6i,J. Zirkzee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968829,16,3,1,2,35,4klvxyeh3xcus4ongu7c00mgc,1,47.4,51.1,2023-01-27T17:34:05.374Z,2023-01-27T23:44:32Z,3997210575,465,,3996820749,286,,3996820747,56,Back,3996820817,233,29,3997502721,178,,,,,,,,,,,72sbeqsrvv64vwiec51r9g1k9,K. Agudelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968843,29,45,1,2,35,ej5er0oyngdw138yuumwqbyqt,0,52.6,48.9,2023-01-27T17:34:05.374Z,2023-01-27T23:44:33Z,3996820811,285,,3997486645,233,16,3996820809,56,Center,,,,,,,,,,,,,,,,5lvdnoyknuoyr6kdruposgctl,J. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968835,17,49,1,2,36,4klvxyeh3xcus4ongu7c00mgc,1,59.4,44.9,2023-01-27T17:34:06.374Z,2023-01-27T23:44:39Z,,,,,,,,,,,,,,,,,,,,,,,,,72sbeqsrvv64vwiec51r9g1k9,K. Agudelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968865,18,1,1,2,38,4klvxyeh3xcus4ongu7c00mgc,1,63.5,33.4,2023-01-27T17:34:08.752Z,2023-01-27T23:44:49Z,3996820933,212,13.5,3996820927,56,Center,3997502879,178,,3996820929,140,74.4,3996820931,141,22.8,3996820935,213,5.7,,,,,,,72sbeqsrvv64vwiec51r9g1k9,K. Agudelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968869,19,3,1,2,41,4klvxyeh3xcus4ongu7c00mgc,0,76.5,30.1,2023-01-27T17:34:11.761Z,2023-01-27T23:44:59Z,3996821153,233,30,3996820959,56,Center,3997213861,465,,3996820961,286,,3997502919,178,,,,,,,,,,,f1ma05bi3t1hfbflylx5d9tyh,E. Ampadu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968899,30,7,1,2,42,ej5er0oyngdw138yuumwqbyqt,1,23.5,69.9,2023-01-27T17:34:11.870Z,2023-01-27T23:45:05Z,3996821115,56,Back,3997214091,385,,3997502983,178,,3996821117,285,,3996821131,233,19,,,,,,,,,,5lvdnoyknuoyr6kdruposgctl,J. Schouten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968901,31,49,1,2,42,ej5er0oyngdw138yuumwqbyqt,1,31.6,75.4,2023-01-27T17:34:12.492Z,2023-01-27T23:45:15Z,,,,,,,,,,,,,,,,,,,,,,,,,6eqqtmbg35rg2stk10ic7q8k5,N. Moro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968913,32,1,1,2,43,ej5er0oyngdw138yuumwqbyqt,1,31.6,75.4,2023-01-27T17:34:13.500Z,2023-01-27T23:45:28Z,3996821199,212,14.3,3996821195,140,38.5,3997503177,178,,3996821193,56,Back,3996821197,141,93.6,3996821201,213,1.0,,,,,,,6eqqtmbg35rg2stk10ic7q8k5,N. Moro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500968915,33,1,1,2,46,ej5er0oyngdw138yuumwqbyqt,1,38.5,93.6,2023-01-27T17:34:16.682Z,2023-01-27T23:45:35Z,3996821207,140,34.3,3996821209,141,83.3,3996821205,56,Back,3996821213,213,4.2,3997503241,178,,3996821211,212,8.3,,,,,,,8wh3u8b2hz7rcygnfng8khh3p,R. Soriano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
