id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,assist,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2480165079,958,83,1,0,9,ap6blbxhq9elm62vw6tutzlwg,1,27.9,3.4,2022-10-31T17:30:45.804Z,2022-11-01T00:33:58Z,3887363287,399,173879,,,,,,,,,,,,,,,,,,,,,,68etig279gs3btjb7fv6rvfth,M. Faraoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080307,7,1,1,0,10,2tk2l9sgktwc9jhzqdd4mpdtb,0,56.2,97.1,2022-10-31T17:30:46.995Z,2022-10-31T22:52:39Z,3886896605,141,100.0,3886896603,140,47.1,3886896611,213,2.8,3886896607,212,10.0,3886896601,56,Back,3887319323,178,,,,,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080391,5,5,1,0,16,ap6blbxhq9elm62vw6tutzlwg,1,51.2,-1.4,2022-10-31T17:30:53.426Z,2022-10-31T22:52:41Z,3886897061,347,,3886897075,233,8,3886897059,56,Right,,,,,,,,,,,,,,,,68etig279gs3btjb7fv6rvfth,M. Faraoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080309,8,5,1,0,16,2tk2l9sgktwc9jhzqdd4mpdtb,0,48.8,101.4,2022-10-31T17:30:53.426Z,2022-10-31T22:52:41Z,3886896621,347,,3886897081,233,5,3886896619,56,Back,,,,,,,,,,,,,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080409,6,1,1,0,30,ap6blbxhq9elm62vw6tutzlwg,1,54.5,0,2022-10-31T17:31:07.634Z,2022-10-31T22:52:46Z,3886897175,140,64.6,3886897187,213,1.0,3886897167,107,,3886897183,212,18.4,3886897179,141,20.2,3886897171,56,Right,,,,,,,68etig279gs3btjb7fv6rvfth,M. Faraoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080415,7,1,1,0,33,ap6blbxhq9elm62vw6tutzlwg,0,67.1,28.3,2022-10-31T17:31:10.175Z,2022-10-31T22:52:58Z,3886897205,155,,3886897211,141,61.2,3886897207,56,Center,3886897209,140,69.7,3886897215,213,1.4,3887319539,178,,3886897213,212,22.5,,,,4mab6p97p5t3w0fipzp22nxsl,T. Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080423,9,61,1,0,35,2tk2l9sgktwc9jhzqdd4mpdtb,0,30.6,39.2,2022-10-31T17:31:11.745Z,2022-10-31T23:25:32Z,3886897251,56,Back,3887319597,178,,,,,,,,,,,,,,,,,,,,8lgsqmwavspz4fv7t11rb6j9,R. Karsdorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480161791,795,43,1,0,35,ap6blbxhq9elm62vw6tutzlwg,1,0,0,2022-10-31T17:31:11.765Z,2022-11-01T00:04:57Z,3887349589,178,0,3887349597,144,82,,,,,,,,,,,,,,,,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080447,8,1,1,0,36,ap6blbxhq9elm62vw6tutzlwg,1,66.1,69.5,2022-10-31T17:31:12.932Z,2022-10-31T23:23:26Z,3886897363,56,Center,3886897365,140,69.4,3886897367,141,63.5,3886897369,212,5.4,3887319683,178,,3886897371,213,5.4,,,,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080469,9,1,1,0,39,ap6blbxhq9elm62vw6tutzlwg,1,69.4,68.3,2022-10-31T17:31:16.166Z,2022-10-31T23:26:43Z,3886897479,213,1.5,3886897471,56,Left,3887319733,178,,3886897475,141,80.7,3886897473,140,69.6,3886897477,212,8.4,,,,,,,9sjt5rv156hr2llfu241r6cph,A. Tamèze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080473,10,1,1,0,42,ap6blbxhq9elm62vw6tutzlwg,0,74.2,85.1,2022-10-31T17:31:18.893Z,2022-10-31T23:26:54Z,3887319793,178,,3886897485,140,83.0,3886897483,56,Left,3886897487,141,86.9,3886897491,213,0.1,3886897489,212,9.3,,,,,,,9l2tdbf7p325xez7wz7wzxzh1,Miguel Veloso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080471,10,49,1,0,43,2tk2l9sgktwc9jhzqdd4mpdtb,1,16.7,6.1,2022-10-31T17:31:20.080Z,2022-10-31T22:54:58Z,,,,,,,,,,,,,,,,,,,,,,,,,8lgsqmwavspz4fv7t11rb6j9,R. Karsdorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080501,11,1,1,0,43,2tk2l9sgktwc9jhzqdd4mpdtb,1,16.7,5.9,2022-10-31T17:31:20.570Z,2022-10-31T22:54:34Z,3886897617,140,23.1,3886897615,56,Back,3886897623,213,1.0,3886897621,212,12.7,3887319871,178,,3886897619,141,21.8,,,,,,,8lgsqmwavspz4fv7t11rb6j9,R. Karsdorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080507,12,1,1,0,46,2tk2l9sgktwc9jhzqdd4mpdtb,1,25.5,24.4,2022-10-31T17:31:22.951Z,2022-10-31T23:22:25Z,3886897665,212,7.2,3886897663,141,30.7,3886897667,213,0.6,3887319951,178,,3886897661,140,31.0,3886897659,56,Back,,,,,,,1ftejgsl4hho40cceqne1hcyd,B. Cristante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080521,13,1,1,0,47,2tk2l9sgktwc9jhzqdd4mpdtb,1,31,30.7,2022-10-31T17:31:23.695Z,2022-10-31T22:55:07Z,3887320179,178,,3886897751,56,Back,3886897759,213,3.5,3886897757,212,15.6,3886897753,140,16.9,3886897755,141,23.4,,,,,,,z0nxnl93yjtz8mty3qi5542x,M. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080529,14,1,1,0,49,2tk2l9sgktwc9jhzqdd4mpdtb,1,18.9,23.9,2022-10-31T17:31:26.218Z,2022-10-31T22:57:51Z,3887320897,178,,3886897799,141,4.0,3886897801,212,14.7,3886897803,213,5.1,3886897795,56,Back,3886897797,140,24.4,,,,,,,6fttn5mk6n1lstqt0dl5xzn4l,G. Mancini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080535,15,1,1,0,52,2tk2l9sgktwc9jhzqdd4mpdtb,1,31.7,6.4,2022-10-31T17:31:28.931Z,2022-10-31T22:58:37Z,3886897833,141,21.8,3886897835,212,22.3,3886897829,56,Center,3886897837,213,0.5,3887321183,178,,3886897831,140,50.4,,,,,,,8lgsqmwavspz4fv7t11rb6j9,R. Karsdorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080563,16,1,1,0,53,2tk2l9sgktwc9jhzqdd4mpdtb,1,50.5,21.8,2022-10-31T17:31:30.083Z,2022-10-31T22:58:46Z,3886898019,140,42.5,3886898021,141,19.4,3886898025,213,3.3,3887321227,178,,3886898023,212,8.6,3886898017,56,Back,,,,,,,363nsa82dww242zeo09wpcslx,T. Abraham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080583,17,1,1,0,57,2tk2l9sgktwc9jhzqdd4mpdtb,0,61,49.7,2022-10-31T17:31:34.674Z,2022-10-31T22:58:58Z,3886898109,1,,3886898101,140,97.1,3887321247,178,,3886898103,141,70.3,3886898105,212,40.4,3886898099,56,Center,3886898107,213,0.4,,,,eu4xivu8i6yla9fcnuncx1ucp,N. Zaniolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080587,11,49,1,1,1,ap6blbxhq9elm62vw6tutzlwg,1,3,29.9,2022-10-31T17:31:38.585Z,2022-10-31T22:59:07Z,,,,,,,,,,,,,,,,,,,,,,,,,c7fky0h6gi7wmibnv2tzf6mz9,L. Montipò,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080627,12,1,1,1,4,ap6blbxhq9elm62vw6tutzlwg,1,4.7,40.3,2022-10-31T17:31:41.467Z,2022-10-31T22:59:35Z,3886898349,56,Back,3886898351,140,12.0,3886898357,213,1.2,3886898355,212,23.2,3887321331,178,,3886898353,141,72.5,,,,,,,c7fky0h6gi7wmibnv2tzf6mz9,L. Montipò,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080645,13,1,1,1,8,ap6blbxhq9elm62vw6tutzlwg,1,13.5,79.7,2022-10-31T17:31:44.728Z,2022-10-31T23:00:58Z,3886898431,56,Back,3887321339,178,,3886898439,213,1.0,3886898437,212,11.0,3886898433,140,19.1,3886898435,141,93.3,,,,,,,9mldc318nq0tli73wjh6ueket,F. Ceccherini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080671,14,1,1,1,10,ap6blbxhq9elm62vw6tutzlwg,1,19.7,90.6,2022-10-31T17:31:46.966Z,2022-10-31T23:00:43Z,3886898569,140,46.2,3886898571,141,77.0,3886898573,212,29.3,3886898567,56,Back,3887321351,178,,3886898575,213,6.0,3886898565,155,,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080675,15,61,1,1,12,ap6blbxhq9elm62vw6tutzlwg,1,46.2,77,2022-10-31T17:31:49.325Z,2022-10-31T23:01:31Z,3887321861,21,,3887321363,178,,3886898595,56,Back,,,,,,,,,,,,,,,,4mab6p97p5t3w0fipzp22nxsl,T. Henry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080729,16,1,1,1,16,ap6blbxhq9elm62vw6tutzlwg,1,54.2,71.3,2022-10-31T17:31:52.999Z,2022-10-31T23:01:19Z,3886898871,213,5.5,3886898869,212,26.0,3886898861,155,,3887321401,178,,3886898863,56,Center,3886898865,140,72.3,3886898867,141,45.2,,,,9sjt5rv156hr2llfu241r6cph,A. Tamèze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080733,17,1,1,1,23,ap6blbxhq9elm62vw6tutzlwg,0,75,27.7,2022-10-31T17:31:59.697Z,2022-10-31T23:01:47Z,3886898895,212,27.1,3886898893,141,66.3,3886898889,56,Center,3886898897,213,1.3,3887321959,178,,3886898891,140,81.6,,,,,,,448dubo3a0ty03v6ajxpw2k2c,Y. Kallon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080735,18,1,1,1,24,2tk2l9sgktwc9jhzqdd4mpdtb,1,16.3,33.9,2022-10-31T17:32:00.940Z,2022-10-31T23:01:53Z,3886898907,213,1.3,3886898903,141,42.7,3886898905,212,6.1,3886898899,56,Back,3886898901,140,17.6,3887321989,178,,,,,,,,8lgsqmwavspz4fv7t11rb6j9,R. Karsdorp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080737,19,49,1,1,25,2tk2l9sgktwc9jhzqdd4mpdtb,1,17.7,41.8,2022-10-31T17:32:02.362Z,2022-10-31T23:02:01Z,,,,,,,,,,,,,,,,,,,,,,,,,1ftejgsl4hho40cceqne1hcyd,B. Cristante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080765,20,1,1,1,25,2tk2l9sgktwc9jhzqdd4mpdtb,1,18,39.5,2022-10-31T17:32:02.408Z,2022-10-31T23:02:20Z,3886899063,141,27.0,3886899065,212,13.8,3887322039,178,,3886899067,213,5.6,3886899061,140,28.4,3886899059,56,Back,,,,,,,1ftejgsl4hho40cceqne1hcyd,B. Cristante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080787,21,1,1,1,28,2tk2l9sgktwc9jhzqdd4mpdtb,0,26,29.8,2022-10-31T17:32:05.326Z,2022-10-31T23:02:30Z,3886899177,56,Back,3886899185,213,1.4,3886899183,212,50.1,3886899175,196,,3886899187,1,,3886899173,155,,3886899181,141,100.0,3886899179,140,35.7,eu4xivu8i6yla9fcnuncx1ucp,N. Zaniolo,3887322079,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080881,18,5,1,1,34,ap6blbxhq9elm62vw6tutzlwg,1,63.9,-1.6,2022-10-31T17:32:11.427Z,2022-10-31T23:02:33Z,3886899729,347,,3886899745,233,22,3886899727,56,Right,,,,,,,,,,,,,,,,68etig279gs3btjb7fv6rvfth,M. Faraoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080791,22,5,1,1,34,2tk2l9sgktwc9jhzqdd4mpdtb,0,36.1,101.6,2022-10-31T17:32:11.427Z,2022-10-31T23:02:33Z,3886899203,56,Back,3886899205,347,,3886899767,233,18,,,,,,,,,,,,,,,,eu4xivu8i6yla9fcnuncx1ucp,N. Zaniolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080913,19,1,1,1,46,ap6blbxhq9elm62vw6tutzlwg,1,63.1,0,2022-10-31T17:32:23.081Z,2022-10-31T23:02:42Z,3886899905,1,,3886899903,213,0.2,3886899897,140,88.3,3886899893,107,,3886899895,56,Right,3886899901,212,26.8,3886899899,141,4.6,,,,68etig279gs3btjb7fv6rvfth,M. Faraoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080915,20,1,1,1,51,ap6blbxhq9elm62vw6tutzlwg,0,83.8,2.3,2022-10-31T17:32:28.177Z,2022-10-31T23:03:03Z,3887322777,178,,3886899911,140,86.8,3886899941,233,23,3886899913,141,2.8,3886899939,236,,3886899915,212,3.2,3886899945,286,,3886899909,56,Right,448dubo3a0ty03v6ajxpw2k2c,Y. Kallon,3886899917,213,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080911,23,74,1,1,51,2tk2l9sgktwc9jhzqdd4mpdtb,1,14.6,96.8,2022-10-31T17:32:28.382Z,2022-10-31T23:03:08Z,3887322833,178,,3886899891,285,,3886899889,56,Back,3886899949,233,20,,,,,,,,,,,,,7o9bkf7no8wz167ingslfimdx,C. Smalling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480081013,21,5,1,1,56,ap6blbxhq9elm62vw6tutzlwg,1,83.3,-2,2022-10-31T17:32:33.009Z,2022-10-31T23:03:10Z,3886900461,347,,3886900475,233,24,3886900459,56,Right,,,,,,,,,,,,,,,,448dubo3a0ty03v6ajxpw2k2c,Y. Kallon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480080917,24,5,1,1,56,2tk2l9sgktwc9jhzqdd4mpdtb,0,16.7,102,2022-10-31T17:32:33.009Z,2022-10-31T23:03:11Z,3886899919,56,Back,3886900483,233,21,3886899921,347,,,,,,,,,,,,,,,,,7o9bkf7no8wz167ingslfimdx,C. Smalling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480081031,22,1,1,2,10,ap6blbxhq9elm62vw6tutzlwg,0,85.3,0,2022-10-31T17:32:46.843Z,2022-10-31T23:03:16Z,3886900567,107,,3886900575,212,21.5,3886900573,141,27.4,3886900577,213,1.2,3886900579,1,,3886900569,56,Center,3886900571,140,93.0,,,,68etig279gs3btjb7fv6rvfth,M. Faraoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480081567,45,12,1,2,12,2tk2l9sgktwc9jhzqdd4mpdtb,1,6.1,64.2,2022-10-31T17:32:48.740Z,2022-10-31T23:03:21Z,3886903411,56,Back,3886903419,213,1.3,3886903417,212,15.5,3886903413,140,10.7,3886906775,15,,3887322971,388,,3886903415,141,85.9,,,,ab4kuqa33849h6z77ksuqhdk9,Ibañez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480082183,68,1,1,2,13,2tk2l9sgktwc9jhzqdd4mpdtb,0,10.3,85.4,2022-10-31T17:32:50.220Z,2022-10-31T23:03:33Z,3886906893,140,25.5,3886906889,157,,3886906895,141,87.1,3886906897,212,16.0,3887323113,388,,3886906901,1,,3886906899,213,0.1,3886906891,56,Back,du4ciqofpkn3nei5q3huwlnje,N. Zalewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480081057,23,1,1,2,15,ap6blbxhq9elm62vw6tutzlwg,1,70.4,15.2,2022-10-31T17:32:51.822Z,2022-10-31T23:03:46Z,3886900733,212,6.6,3886900735,213,5.9,3887323231,178,,3886900729,140,76.2,3886900725,3,,3886900731,141,11.5,3886900727,56,Right,,,,3tuxipzf6pqvga0a12422gatx,P. Dawidowicz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480167307,960,67,1,2,16,ap6blbxhq9elm62vw6tutzlwg,1,76.6,13,2022-10-31T17:32:52.919Z,2022-11-01T01:19:21Z,3887373065,233,1875,,,,,,,,,,,,,,,,,,,,,,68etig279gs3btjb7fv6rvfth,M. Faraoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480167305,1875,67,1,2,16,2tk2l9sgktwc9jhzqdd4mpdtb,0,23.4,87,2022-10-31T17:32:52.920Z,2022-11-01T01:18:41Z,3887373069,233,960,,,,,,,,,,,,,,,,,,,,,,z0nxnl93yjtz8mty3qi5542x,M. Camara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480081065,24,1,1,2,16,ap6blbxhq9elm62vw6tutzlwg,1,76.2,11.5,2022-10-31T17:32:52.956Z,2022-11-01T01:19:21Z,3886900779,56,Right,3887323317,178,,3886900781,140,69.8,3886900785,212,6.8,3886900783,141,10.4,3886900787,213,3.3,,,,,,,68etig279gs3btjb7fv6rvfth,M. Faraoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
