id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,keyPass,qualifier/10/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2529767873,15,1,1,0,39,49rkyo4do8uwj06geomw0xr4i,1,65.8,4.7,2023-04-07T15:01:32.636Z,2023-04-07T22:38:10Z,4169757405,56,Right,4171164105,178,,4169757411,212,12.7,4169757407,140,53.8,4169757413,213,3.0,4169757409,141,7.1,,,,,,,blo3zmhar2mujyp9z7kjnsut,D. Bronn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767909,16,1,1,0,42,49rkyo4do8uwj06geomw0xr4i,1,53.8,7.1,2023-04-07T15:01:34.887Z,2023-04-07T22:38:15Z,4169757629,212,24.0,4169757627,141,35.2,4169757623,56,Back,4169757631,213,2.2,4169757625,140,40.0,4171164143,178,,,,,,,,4u281v53ges3kimtgac0tidm2,F. Daniliuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767931,17,1,1,0,45,49rkyo4do8uwj06geomw0xr4i,1,39.9,35,2023-04-07T15:01:38.352Z,2023-04-07T22:38:19Z,4171164229,178,,4169757751,213,1.5,4169757735,56,Back,4169757739,140,42.2,4169757747,212,22.0,4169757743,141,67.2,,,,,,,2mloh2yrhs60s1uwrfycc2i8l,N. Gyömbér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768073,7,43,1,0,47,3vo5mpj7catp66nrwwqiuhuup,1,0,0,2023-04-07T15:01:40.687Z,2023-04-07T15:08:48Z,4169758551,213,0,4169758545,140,45.5,4169795051,144,1,4169758541,3,0,4169758549,212,0,4169758543,56,Back,4169758547,141,56.0,,,,1xscywgyfqisqexmpfvbf9g45,H. Mkhitaryan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767947,18,1,1,0,48,49rkyo4do8uwj06geomw0xr4i,1,42.2,68,2023-04-07T15:01:41.319Z,2023-04-07T22:38:23Z,4169757801,56,Back,4171164303,178,,4169757809,213,1.5,4169757807,212,18.7,4169757803,140,43.5,4169757805,141,95.4,,,,,,,3coml6cxqa86px9up8yy3oz1m,L. Pirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529767971,19,1,1,0,51,49rkyo4do8uwj06geomw0xr4i,1,43.2,95.6,2023-04-07T15:01:44.654Z,2023-04-07T22:38:27Z,4169757937,141,74.7,4169757933,56,Back,4169757939,212,18.1,4169757941,213,4.0,4171164377,178,,4169757935,140,32.6,,,,,,,b0e6d3zgwzbzysmt9b2ycvf56,D. Bradarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768025,20,1,1,0,54,49rkyo4do8uwj06geomw0xr4i,1,30.6,74.7,2023-04-07T15:01:46.934Z,2023-04-07T22:38:31Z,4169758287,213,4.2,4169758283,141,56.7,4171164435,178,,4169758281,140,24.1,4169758285,212,14.0,4169758279,56,Back,,,,,,,3coml6cxqa86px9up8yy3oz1m,L. Pirola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768067,21,1,1,1,1,49rkyo4do8uwj06geomw0xr4i,1,23.5,44.5,2023-04-07T15:01:54.285Z,2023-04-07T22:38:34Z,4169758501,56,Back,4171164549,178,,4169758509,213,4.8,4169758503,140,24.9,4169758507,212,15.3,4169758505,141,22.1,,,,,,,2mloh2yrhs60s1uwrfycc2i8l,N. Gyömbér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529768081,22,1,1,1,4,49rkyo4do8uwj06geomw0xr4i,0,24.9,20.9,2023-04-07T15:01:56.982Z,2023-04-07T22:38:38Z,4169758577,213,5.2,4169758573,141,5.0,4171164605,178,,4169758569,56,Back,4169758571,140,30.1,4169758575,212,12.1,,,,,,,4u281v53ges3kimtgac0tidm2,F. Daniliuc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530028199,1001,67,1,1,5,3vo5mpj7catp66nrwwqiuhuup,1,69,94.7,2023-04-07T15:01:58.318Z,2023-04-08T01:29:38Z,4171181003,233,925,,,,,,,,,,,,,,,,,,,,,,9qow77e16pvlb3860yjpydryt,R. Gosens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
