id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,keyPass,qualifier/10/value,qualifier/14/value,qualifier/17/value,qualifier/11/value,qualifier/12/value,qualifier/15/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2500344985,8,1,1,0,30,9dntj5dioj5ex52yrgwzxrq9l,1,26.2,49,2023-01-24T19:47:30.230Z,2023-01-25T02:28:06Z,3993557853,140,8.8,3994048643,178,,3993557857,212,18.3,3993557855,141,46.8,3993557851,56,Back,3993557859,213,3.2,,,,,,,b0me6l44boibnwpbtasxoy02x,S. Dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345023,9,1,1,0,31,9dntj5dioj5ex52yrgwzxrq9l,1,8.8,46.8,2023-01-24T19:47:32.018Z,2023-01-25T02:28:09Z,3993558029,213,0.3,3993558019,157,,3993558021,56,Back,3993558025,141,64.0,3994048655,178,,3993558027,212,41.7,3993558031,1,,3993558023,140,46.9,7kph61hobc93t2c2tl8l5j105,C. Tătărușanu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345081,10,1,1,0,34,9dntj5dioj5ex52yrgwzxrq9l,1,46.9,64,2023-01-24T19:47:34.664Z,2023-01-25T02:28:13Z,3993558249,56,Center,3994048685,388,,3993558259,212,20.8,3993558245,3,,3993558263,213,5.2,3993558253,140,55.9,3993558257,141,36.7,,,,11o903vztwpnmvgrinn208qnd,Rafael Leão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345087,11,61,1,0,37,9dntj5dioj5ex52yrgwzxrq9l,1,55.9,36.7,2023-01-24T19:47:37.158Z,2023-01-25T02:28:38Z,3993558281,56,Center,3994048925,178,,,,,,,,,,,,,,,,,,,,5awkzgwwh48prwgvxwewuc5hx,O. Giroud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345103,12,3,1,0,38,9dntj5dioj5ex52yrgwzxrq9l,0,55.5,36.6,2023-01-24T19:47:38.245Z,2023-01-25T02:28:55Z,3993558357,56,Center,3993978945,464,,3993558383,233,14,3993558359,286,,3994049013,178,,,,,,,,,,,3jln1gzc0859ymphvq83i0mp5,Brahim Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345101,14,7,1,0,38,btcy9nra9ak4m22ovr2ia6m5v,0,44.5,63.4,2023-01-24T19:47:38.283Z,2023-01-25T02:28:59Z,3993978963,385,,3993558375,233,12,3993558353,285,,3993558351,56,Back,3994049035,178,,,,,,,,,,,1x10v3yh4e3f1p2ndhtxcck4p,N. Casale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345117,13,61,1,0,40,9dntj5dioj5ex52yrgwzxrq9l,1,39.7,43.3,2023-01-24T19:47:40.134Z,2023-01-25T02:29:43Z,3994049067,178,,3993558431,56,Back,,,,,,,,,,,,,,,,,,,cknjube5flk1r5ppqthj82c5,I. Bennacer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345145,14,1,1,0,41,9dntj5dioj5ex52yrgwzxrq9l,1,33.4,43.9,2023-01-24T19:47:41.851Z,2023-01-25T02:29:49Z,3993558541,212,7.3,3994049315,178,,3993558539,141,54.3,3993558543,213,1.3,3993558535,140,35.1,3993558531,56,Back,,,,,,,b33rlpjo3kx4477alx82si5wq,P. Kalulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345161,15,1,1,0,42,9dntj5dioj5ex52yrgwzxrq9l,1,35.1,54.5,2023-01-24T19:47:42.548Z,2023-01-25T02:29:54Z,3994049363,178,,3993558655,56,Back,3993558661,212,11.3,3993558659,141,39.9,3993558663,213,5.2,3993558657,140,40.3,,,,,,,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345229,16,1,1,0,45,9dntj5dioj5ex52yrgwzxrq9l,1,41.1,38.2,2023-01-24T19:47:46.037Z,2023-01-25T02:29:57Z,3993559007,141,6.8,3993559003,56,Right,3993559011,213,5.4,3994049381,178,,3993559009,212,27.7,3993559005,140,57.9,,,,,,,cknjube5flk1r5ppqthj82c5,I. Bennacer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345291,17,1,1,0,50,9dntj5dioj5ex52yrgwzxrq9l,1,66.8,4.4,2023-01-24T19:47:50.708Z,2023-01-25T02:30:02Z,3993559321,213,6.1,3994049421,178,,3993559319,212,5.8,3993559311,56,Right,3993559315,140,72.3,3993559317,141,3.1,,,,,,,17au7v1ocl4zab872g59821yi,Junior Messias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345339,18,1,1,0,55,9dntj5dioj5ex52yrgwzxrq9l,1,65.2,4.8,2023-01-24T19:47:55.384Z,2023-01-25T02:30:06Z,3993559549,141,4.0,3993559551,212,9.8,3994049455,178,,3993559545,56,Right,3993559547,140,55.9,3993559553,213,3.2,,,,,,,3jln1gzc0859ymphvq83i0mp5,Brahim Díaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345395,19,1,1,0,57,9dntj5dioj5ex52yrgwzxrq9l,1,53.4,6.6,2023-01-24T19:47:57.720Z,2023-01-25T02:30:10Z,3993559813,141,27.4,3993559817,212,15.0,3993559811,140,58.1,3993559809,56,Center,3994049489,178,,3993559819,213,1.2,,,,,,,e2vtm1318mm61db2wtj4m5p79,D. Calabria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345409,20,1,1,1,0,9dntj5dioj5ex52yrgwzxrq9l,1,56.1,30.9,2023-01-24T19:48:00.281Z,2023-01-25T02:30:16Z,3993559893,140,45.0,3993559897,212,28.5,3993559895,141,69.1,3993559891,56,Back,3993559899,213,2.0,3994049535,178,,,,,,,,cknjube5flk1r5ppqthj82c5,I. Bennacer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345427,21,1,1,1,3,9dntj5dioj5ex52yrgwzxrq9l,1,45.3,69.3,2023-01-24T19:48:03.651Z,2023-01-25T02:30:19Z,3994049563,178,,3993559973,141,94.9,3993559977,213,0.9,3993559975,212,23.0,3993559971,140,59.6,3993559969,56,Left,,,,,,,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345433,22,1,1,1,5,9dntj5dioj5ex52yrgwzxrq9l,0,59.6,95.4,2023-01-24T19:48:05.136Z,2023-01-25T02:30:24Z,3993560109,286,,3994049615,178,,3993560009,212,1.8,3993560011,213,5.7,3993560003,56,Left,3993560103,236,,3993560005,140,61.0,3993560001,168,,b0me6l44boibnwpbtasxoy02x,S. Dest,3993560105,233,15,3993560007,141,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345447,15,74,1,1,5,btcy9nra9ak4m22ovr2ia6m5v,1,36.1,3.7,2023-01-24T19:48:05.322Z,2023-01-25T02:30:29Z,3994049677,178,,3993560135,233,22,3993560077,285,,3993560075,56,Back,,,,,,,,,,,,,a22hb1s02edsj7t38out5r3rp,A. Marušić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345463,16,5,1,1,7,btcy9nra9ak4m22ovr2ia6m5v,0,39.3,-1.4,2023-01-24T19:48:07.259Z,2023-01-25T02:30:32Z,3993560177,56,Back,3993560253,233,23,3993560179,347,,,,,,,,,,,,,,,,,a22hb1s02edsj7t38out5r3rp,A. Marušić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345467,23,5,1,1,7,9dntj5dioj5ex52yrgwzxrq9l,1,60.7,101.4,2023-01-24T19:48:07.259Z,2023-01-25T02:30:32Z,3993560219,233,16,3993560209,56,Left,3993560211,347,,,,,,,,,,,,,,,,,b0me6l44boibnwpbtasxoy02x,S. Dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345565,24,1,1,1,12,9dntj5dioj5ex52yrgwzxrq9l,1,59,100,2023-01-24T19:48:12.701Z,2023-01-25T02:30:37Z,3993560719,212,22.2,3993560721,213,3.5,3993979395,1,,3993560711,107,,3993560715,140,38.9,3993560717,141,91.1,3993560713,56,Back,,,,b0me6l44boibnwpbtasxoy02x,S. Dest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345589,25,1,1,1,16,9dntj5dioj5ex52yrgwzxrq9l,1,23.7,82.4,2023-01-24T19:48:16.262Z,2023-01-25T02:30:42Z,3993560815,141,66.7,3993560811,56,Back,3993560819,213,3.9,3994049761,178,,3993560813,140,13.3,3993560817,212,15.3,,,,,,,3sezchmdtivxl4kusvgc6j7x1,F. Tomori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345627,26,2,1,1,22,9dntj5dioj5ex52yrgwzxrq9l,1,13.2,64.3,2023-01-24T19:48:22.637Z,2023-01-25T02:30:46Z,3993560977,141,97.6,3993560983,1,,3993560975,140,64.7,3993560973,56,Left,3994049777,178,,3993561207,7,11o903vztwpnmvgrinn208qnd,,,,,,,7kph61hobc93t2c2tl8l5j105,C. Tătărușanu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345633,17,55,1,1,22,btcy9nra9ak4m22ovr2ia6m5v,1,35.4,4.9,2023-01-24T19:48:22.638Z,2023-01-25T02:30:47Z,3993741343,189,,,,,,,,,,,,,,,,,,,,,,,a22hb1s02edsj7t38out5r3rp,A. Marušić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345629,27,43,1,1,27,9dntj5dioj5ex52yrgwzxrq9l,1,0,0,2023-01-24T19:48:27.887Z,2023-01-24T19:48:32Z,3993561177,144,61,3993560991,56,Left,,,,,,,,,,,,,,,,,,,11o903vztwpnmvgrinn208qnd,Rafael Leão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345711,18,1,1,1,29,btcy9nra9ak4m22ovr2ia6m5v,1,41,14.1,2023-01-24T19:48:29.519Z,2023-01-27T04:55:56Z,3993561363,141,24.2,3994049979,178,,3993741627,189,,3993561359,56,Back,3993561367,213,2.0,3993561357,241,,3993561365,212,7.5,3993561361,140,38.2,dkifo6kxxxsv1hr0rzk1q8afp,S. Milinković-Savić,3993561355,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345727,19,1,1,1,32,btcy9nra9ak4m22ovr2ia6m5v,1,37.9,24.4,2023-01-24T19:48:32.551Z,2023-01-27T04:55:58Z,3993561469,56,Back,3994050009,178,,3993561475,212,15.5,3993561471,140,31.6,3993561477,213,2.0,3993561473,141,45.0,,,,,,,6hlutndh6zstrpi5i0u0mxyvp,D. Cataldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500345735,20,1,1,1,35,btcy9nra9ak4m22ovr2ia6m5v,1,27.7,52.8,2023-01-24T19:48:35.346Z,2023-01-25T02:35:55Z,3994051535,178,,3993561507,140,28.8,3993561513,213,4.8,3993561509,141,33.0,3993561511,212,13.5,3993561505,56,Back,,,,,,,7nwh5uoczypmuiigzi8ylsd1,A. Romagnoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
