id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/14/value,qualifier/20/value,qualifier/19/value
2452550471,6,4,1,0,57,49rkyo4do8uwj06geomw0xr4i,0,31.1,95.1,2022-08-28T16:31:31.222Z,2022-08-29T01:09:44Z,3740565565,13,,3742287931,178,,3740565645,233,11,3740565573,285,,3740565571,265,,3740565567,56,Back,3740565569,152,,,,,2mloh2yrhs60s1uwrfycc2i8l,N. Gyömbér,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452550953,12,1,1,1,32,4plikfte18rv8v4l89z803d4y,0,71.2,2.1,2022-08-28T16:32:05.784Z,2022-08-29T01:09:49Z,3741693239,20,,3740568217,213,1.0,3740568213,141,38.6,3740568201,152,,3740568197,155,,3741693237,224,,3740568207,56,Center,3740568193,5,,3yl0m3n14kek9pwkp7catyh9l,A. Sabiri,3740568215,212,30.4,3740568189,2,3742288135,178,3740568211,140,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452550971,8,12,1,1,33,49rkyo4do8uwj06geomw0xr4i,1,12.9,65.2,2022-08-28T16:32:06.961Z,2022-08-29T01:09:58Z,3740568309,213,6.1,3740568307,212,24.6,3742288421,178,,3740568303,140,36.1,3740568313,15,,3740568301,56,Back,3740568305,141,59.7,,,,etryzuxz65dmn5ewmocse66l1,P. Mazzocchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452551029,13,1,1,1,36,4plikfte18rv8v4l89z803d4y,1,60,43,2022-08-28T16:32:10.168Z,2022-08-29T01:10:03Z,3740568645,56,Left,3740568655,1,,3740568653,213,1.6,3740568651,212,32.1,3742288597,178,,3740568647,140,57.8,3740568649,141,90.1,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452551057,14,1,1,1,40,4plikfte18rv8v4l89z803d4y,1,57.8,90.1,2022-08-28T16:32:14.233Z,2022-08-29T01:10:09Z,3742288707,178,,3740568789,141,96.4,3740568787,140,61.8,3740568793,213,0.8,3740568791,212,6.0,3740568785,56,Left,,,,,,,14vhrqvqomi57x5mtsawm44b9,T. Augello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452551083,15,1,1,1,41,4plikfte18rv8v4l89z803d4y,0,61.8,96.4,2022-08-28T16:32:15.099Z,2022-08-29T01:10:14Z,3740568945,140,68.2,3742288787,178,,3741695781,168,,3740568943,56,Left,3740568951,213,5.5,3740568947,141,87.2,3740568949,212,9.2,,,,c87f30rukjnu7v3f3iqxpkxqt,F. Đuričić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452551111,9,49,1,1,43,49rkyo4do8uwj06geomw0xr4i,1,29.6,11.6,2022-08-28T16:32:17.220Z,2022-08-29T01:10:20Z,,,,,,,,,,,,,,,,,,,,,,,,,blo3zmhar2mujyp9z7kjnsut,D. Bronn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452551149,10,1,1,1,43,49rkyo4do8uwj06geomw0xr4i,1,29.1,11.6,2022-08-28T16:32:17.286Z,2022-08-29T01:10:24Z,3742289117,178,,3740569237,212,13.3,3740569239,213,0.3,3740569235,141,17.4,3740569233,140,41.2,3740569231,56,Back,,,,,,,blo3zmhar2mujyp9z7kjnsut,D. Bronn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452551183,11,1,1,1,45,49rkyo4do8uwj06geomw0xr4i,1,43.8,18.6,2022-08-28T16:32:18.956Z,2022-08-29T01:10:31Z,3740569437,212,15.5,3740569439,213,5.6,3740569427,56,Right,3740569431,140,55.6,3742289319,178,,3740569435,141,5.0,,,,,,,q281ehu1acmc9v96sv9g8bmx,G. Maggiore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452551305,12,1,1,1,49,49rkyo4do8uwj06geomw0xr4i,0,57.5,6.7,2022-08-28T16:32:23.485Z,2022-08-29T01:10:37Z,3740570099,1,,3740570097,213,0.6,3741698157,4,,3740570089,56,Center,3740570095,212,38.5,3742289481,178,,3740570093,141,37.0,3740570091,140,88.5,c9shobonlrg7guoyb3iwnwdsl,A. Candreva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452878421,1031,67,1,1,52,4plikfte18rv8v4l89z803d4y,1,12.1,65.4,2022-08-28T16:32:26.112Z,2022-08-29T05:41:47Z,3742375447,233,910,,,,,,,,,,,,,,,,,,,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452878417,910,67,1,1,52,49rkyo4do8uwj06geomw0xr4i,0,87.9,34.6,2022-08-28T16:32:26.113Z,2022-08-29T01:55:45Z,3742375451,233,1031,,,,,,,,,,,,,,,,,,,,,,3mqhkh4iz4kesvmqui3hupgmi,B. Dia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452551253,16,8,1,1,52,4plikfte18rv8v4l89z803d4y,1,12.1,65.9,2022-08-28T16:32:26.198Z,2022-08-29T05:41:47Z,3741700703,14,,3741700435,383,,3742289881,178,,3740569815,56,Back,,,,,,,,,,,,,2q0bx5wsc6b68vpps79hosnah,F. Depaoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
