id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,assist
2521124465,10,1,1,0,38,8le3orkfz6iix3jns6g9ojqjg,1,41.7,0,2023-03-17T19:45:49.503Z,2023-03-18T04:01:37Z,4103125933,141,6.1,4103125941,1,,4103125937,212,23.8,4103125923,107,,4103125927,56,Back,4103125931,140,19.6,4103125939,213,2.9,,,,f0o0jfa9hp54otpnwe09d591,T. Ebuehi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124535,11,1,1,0,41,8le3orkfz6iix3jns6g9ojqjg,1,17.9,7,2023-03-17T19:45:52.552Z,2023-03-18T04:01:41Z,4103126237,140,3.7,4103126241,212,25.1,4103126235,56,Back,4103126243,213,2.2,4103126239,141,36.7,4103822757,178,,,,,,,,95r0jtkw03vjohzwc8os8ielm,K. De Winter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124609,12,1,1,0,45,8le3orkfz6iix3jns6g9ojqjg,0,3.4,38.5,2023-03-17T19:45:56.830Z,2023-03-18T04:01:44Z,4103126643,212,56.3,4103126647,1,,4103822785,178,,4103126645,213,0.4,4103126639,140,52.8,4103126637,56,Center,4103126641,141,70.6,4103126635,155,,9jx56wcoj1htd69i749wfwkx5,S. Perisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124649,11,49,1,0,48,e75syeuawg3ql8nwpi3vr2btz,1,47.1,29,2023-03-17T19:46:00.363Z,2023-03-18T04:01:48Z,,,,,,,,,,,,,,,,,,,,,,,,,cm6iy4b06qv9y6ww0hthqlwb9,R. Tolói,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124693,12,1,1,0,48,e75syeuawg3ql8nwpi3vr2btz,1,47.1,29,2023-03-17T19:46:00.391Z,2023-03-18T04:01:52Z,4103127047,140,62.0,4103127043,56,Right,4103127061,213,5.5,4103127051,141,6.3,4103127057,212,22.0,4103822875,178,,,,,,,,cm6iy4b06qv9y6ww0hthqlwb9,R. Tolói,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124747,13,1,1,0,52,e75syeuawg3ql8nwpi3vr2btz,1,66.1,6.1,2023-03-17T19:46:04.283Z,2023-03-18T04:01:55Z,4103127351,140,74.4,4103127355,212,11.7,4103822917,178,,4103127353,141,17.6,4103127357,213,0.7,4103127349,56,Right,,,,,,,a69r2pf2w8da4dl0zl4k5vil1,D. Zappacosta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124773,14,1,1,0,54,e75syeuawg3ql8nwpi3vr2btz,1,74.4,17.6,2023-03-17T19:46:05.738Z,2023-03-18T04:02:00Z,4103127467,56,Right,4103127481,141,11.1,4103822971,178,,4103127469,140,88.3,4103127485,213,6.0,4103127483,212,15.2,,,,,,,ds719g843vjs279iine5otgid,L. Muriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124817,15,1,1,0,56,e75syeuawg3ql8nwpi3vr2btz,1,91,13,2023-03-17T19:46:08.025Z,2023-03-18T04:02:07Z,4103127721,213,1.4,4103128957,210,13,4103823049,178,,4103127709,2,,4103599037,20,,4103599035,224,,4103128961,154,,4103127719,212,20.8,a69r2pf2w8da4dl0zl4k5vil1,D. Zappacosta,4103127717,141,1,43.1,4103127713,56,Center,4103127715,140,94.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124845,16,13,1,0,57,e75syeuawg3ql8nwpi3vr2btz,1,90.6,46,2023-03-17T19:46:09.364Z,2023-03-18T04:02:08Z,4103127851,17,,4103128999,230,98.9,4103128981,74,,4103128995,214,,4103129001,231,48.6,4103128993,103,84.7,4103128017,20,,4103128997,328,,2fsgc0b4mvwpenawmit0q0bmd,M. Pašalić,4103128991,102,,50.1,4103127853,56,Center,4103823083,178,,4103128983,29,4103128987,55,15,4103128985,154,4103127849,22,,,,,,,,,,,,,,,,,
2521124839,13,5,1,0,58,8le3orkfz6iix3jns6g9ojqjg,1,-1.2,48.3,2023-03-17T19:46:10.461Z,2023-03-18T04:02:12Z,4103127923,233,17,4103127819,56,Back,4103127821,346,,,,,,,,,,,,,,,,,9jx56wcoj1htd69i749wfwkx5,S. Perisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521124847,17,5,1,0,58,e75syeuawg3ql8nwpi3vr2btz,0,101.2,51.7,2023-03-17T19:46:10.461Z,2023-03-18T04:02:12Z,4103127975,233,13,4103127861,56,Center,4103127863,346,,,,,,,,,,,,,,,,,2fsgc0b4mvwpenawmit0q0bmd,M. Pašalić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521125137,14,1,1,1,15,8le3orkfz6iix3jns6g9ojqjg,1,3.5,45.1,2023-03-17T19:46:27.137Z,2023-03-18T04:02:15Z,4103129451,56,Back,4103129459,213,1.5,4103130193,189,,4103129457,212,11.2,4103129453,140,4.7,4103129455,141,61.5,4103129463,237,,4103129449,124,,9jx56wcoj1htd69i749wfwkx5,S. Perisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521125179,15,1,1,1,16,8le3orkfz6iix3jns6g9ojqjg,1,4.7,61.5,2023-03-17T19:46:28.452Z,2023-03-18T04:02:19Z,4103129677,141,47.5,4103129673,140,3.7,4103129683,213,4.6,4103129669,56,Back,4103129681,212,9.6,4103823209,178,,,,,,,,cnk07o3823zl5gd7qr2bdks7p,S. Luperto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521125255,16,4,1,1,19,8le3orkfz6iix3jns6g9ojqjg,1,4.9,47.4,2023-03-17T19:46:30.681Z,2023-03-18T04:02:25Z,4103130071,56,Back,4103130075,265,,4103130077,285,,4103130073,152,,4103130503,233,18,4103130069,13,,,,,,,,9jx56wcoj1htd69i749wfwkx5,S. Perisan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521125333,18,4,1,1,19,e75syeuawg3ql8nwpi3vr2btz,0,95.1,52.6,2023-03-17T19:46:30.682Z,2023-03-18T04:02:24Z,4103130443,13,,4103130557,233,16,4103130447,152,,4103130445,56,Center,4103130451,286,,4103130449,265,,4103823301,178,,,,,ds719g843vjs279iine5otgid,L. Muriel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
