id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2520201847,4,5,1,0,9,80jtkz2echk6yyyb9e2595cxr,1,-0.9,38.8,2023-03-14T19:45:24.790Z,2023-03-16T05:56:17Z,4098240129,56,Back,4098240131,346,,4098241949,233,6,,,,,,,,,,,,,,,,dlfoufhh8dc14s10vnbjrfvmd,J. Morrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520201883,6,5,1,0,9,5qwskbjpa17fvmtuu5qijy7cz,0,100.9,61.2,2023-03-14T19:45:24.790Z,2023-03-16T05:56:16Z,4098241953,233,4,4098240293,56,Center,4098240295,346,,,,,,,,,,,,,,,,,7uhajc3suc68vemamuc3dyvp,S. Whalley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202021,5,1,1,0,30,80jtkz2echk6yyyb9e2595cxr,1,4.4,60.8,2023-03-14T19:45:46.421Z,2023-03-16T05:56:24Z,4098241017,56,Back,4098241019,140,4.3,4098241023,212,8.2,4098241025,213,4.7,4098241021,141,48.7,4098241029,237,,4098241015,124,,,,,9kacd96xriqrc23e0a8vzov3e,R. Towler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202041,6,1,1,0,35,80jtkz2echk6yyyb9e2595cxr,0,12.1,42.8,2023-03-14T19:45:51.104Z,2023-03-16T05:56:28Z,4098241137,141,4.0,4100378885,178,,4098241145,213,5.6,4098241141,212,43.9,4098241135,140,45.5,4098241133,56,Back,4098241131,155,,4098241147,1,,21hyrpedxxu2ilkspxq4uril1,M. Macey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202055,7,1,1,0,38,5qwskbjpa17fvmtuu5qijy7cz,1,56,92.6,2023-03-14T19:45:53.988Z,2023-03-16T05:56:35Z,4098241221,212,18.6,4098241223,213,6.2,4098241219,141,89.7,4098241213,56,Left,4100378945,388,,4098241209,3,,4098241217,140,73.6,,,,dzitwscdk6ogkf6bstbrik53p,S. McConville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202059,8,49,1,0,39,5qwskbjpa17fvmtuu5qijy7cz,1,73.6,89.7,2023-03-14T19:45:54.737Z,2023-03-16T05:57:01Z,,,,,,,,,,,,,,,,,,,,,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202089,9,1,1,0,39,5qwskbjpa17fvmtuu5qijy7cz,1,73.6,89.7,2023-03-14T19:45:55.517Z,2023-03-16T05:57:16Z,4098241351,213,5.4,4098241347,141,83.9,4100379265,178,,4098241343,56,Left,4098241345,140,76.7,4098241349,212,5.1,,,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202097,10,1,1,0,41,5qwskbjpa17fvmtuu5qijy7cz,1,76.7,83.9,2023-03-14T19:45:57.366Z,2023-03-16T05:57:19Z,4098241397,212,12.4,4100379377,178,,4098241399,213,3.1,4098241393,140,64.9,4098241395,141,84.8,4098241391,56,Left,,,,,,,f4ef7in4fxoylsy29anhgqep5,A. Pressley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202103,11,1,1,0,42,5qwskbjpa17fvmtuu5qijy7cz,1,64.9,84.8,2023-03-14T19:45:58.468Z,2023-03-16T05:57:23Z,4098241419,141,89.9,4098241423,213,0.3,4098241421,212,12.1,4098241415,56,Left,4100379401,178,,4098241417,140,75.9,,,,,,,ex0gkrnzj98vrwpk9tpcfw91x,S. Conneely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202121,12,1,1,0,43,5qwskbjpa17fvmtuu5qijy7cz,0,75.9,89.9,2023-03-14T19:45:59.544Z,2023-03-16T05:57:30Z,4098241491,56,Left,4098241495,141,83.9,4098241493,140,93.3,4098241499,213,6.1,4098241497,212,18.7,4100379459,178,,,,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202109,7,49,1,0,45,80jtkz2echk6yyyb9e2595cxr,1,7.8,15.3,2023-03-14T19:46:01.130Z,2023-03-16T05:57:41Z,,,,,,,,,,,,,,,,,,,,,,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202153,8,1,1,0,47,80jtkz2echk6yyyb9e2595cxr,0,6,5,2023-03-14T19:46:03.708Z,2023-03-16T05:57:54Z,4098241671,213,5.8,4098241725,286,,4098241721,233,13,4098241669,212,3.3,4098241665,140,8.8,4098241663,56,Back,4098241719,236,,4098241667,141,2.9,cn988bjn09tb806b05wgp7ys5,S. Raggett,,4100379721,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202163,13,74,1,0,47,5qwskbjpa17fvmtuu5qijy7cz,1,91.9,94.4,2023-03-14T19:46:03.715Z,2023-03-16T05:57:59Z,4098241727,233,8,4098241707,285,,4100379765,178,,4098241705,56,Left,,,,,,,,,,,,,f4ef7in4fxoylsy29anhgqep5,A. Pressley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202159,9,5,1,0,48,80jtkz2echk6yyyb9e2595cxr,1,-0.8,7.4,2023-03-14T19:46:04.592Z,2023-03-16T05:58:03Z,4098241687,346,,4098241685,56,Back,4098241771,233,14,,,,,,,,,,,,,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202175,14,5,1,0,48,5qwskbjpa17fvmtuu5qijy7cz,0,100.8,92.6,2023-03-14T19:46:04.592Z,2023-03-16T05:58:02Z,4098241753,56,Left,4098241755,346,,4098241779,233,9,,,,,,,,,,,,,,,,f4ef7in4fxoylsy29anhgqep5,A. Pressley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202411,10,1,1,1,11,80jtkz2echk6yyyb9e2595cxr,0,4.1,48.7,2023-03-14T19:46:27.478Z,2023-03-16T05:58:08Z,4098242945,56,Center,4098242943,124,,4098242949,141,62.1,4098242947,140,66.7,4098242955,1,,4098242953,213,0.1,4098242951,212,66.4,4098242959,74,,21hyrpedxxu2ilkspxq4uril1,M. Macey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202433,15,44,1,1,15,5qwskbjpa17fvmtuu5qijy7cz,1,34.2,33.7,2023-03-14T19:46:30.722Z,2023-03-16T19:58:12Z,4098243013,56,Back,4098243015,285,,4098243035,233,11,,,,,,,,,,,,,,,,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202425,11,44,1,1,15,80jtkz2echk6yyyb9e2595cxr,0,65.8,66.3,2023-03-14T19:46:30.723Z,2023-03-16T05:58:17Z,4098242985,56,Center,4098242987,286,,4098243041,233,15,,,,,,,,,,,,,,,,41cihaqh4lxje5nx17g0rbgt1,J. Pigott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202445,16,1,1,1,15,5qwskbjpa17fvmtuu5qijy7cz,1,35,29.5,2023-03-14T19:46:30.817Z,2023-03-16T19:58:12Z,4098243059,56,Back,4098243067,213,1.0,4098243061,140,37.7,4100380105,388,,4098243065,212,5.4,4098243063,141,36.3,4098243057,3,,,,,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202491,18,1,1,1,17,5qwskbjpa17fvmtuu5qijy7cz,1,37.7,36.3,2023-03-14T19:46:32.896Z,2023-03-16T05:58:32Z,4098243267,212,20.9,4100380225,388,,4098243271,213,4.7,4098243259,140,36.8,4098243255,56,Back,4098243263,141,5.6,4098243251,3,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202449,17,43,1,1,18,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-03-14T19:46:34.571Z,2023-03-15T14:34:56Z,4099441493,144,49,,,,,,,,,,,,,,,,,,,,,,8i4qnoil4877e0wpwx3fj5b10,T. Leigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520433219,746,49,1,1,20,5qwskbjpa17fvmtuu5qijy7cz,1,38,11.3,2023-03-14T19:46:35.998Z,2023-03-16T05:58:42Z,,,,,,,,,,,,,,,,,,,,,,,,,2asjeedy6igcuixqktdmk5k2x,M. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202553,19,1,1,1,20,5qwskbjpa17fvmtuu5qijy7cz,0,37.3,3.8,2023-03-14T19:46:36.078Z,2023-03-16T05:58:46Z,4099535969,1,,4098243599,140,66.6,4100380341,178,,4098243597,56,Right,4098243603,212,31.0,4098243605,213,6.2,4099535967,157,,4098243601,141,0.0,2asjeedy6igcuixqktdmk5k2x,M. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202735,12,5,1,1,21,80jtkz2echk6yyyb9e2595cxr,1,35.5,102,2023-03-14T19:46:37.540Z,2023-03-16T05:59:07Z,4098244491,347,,4098244489,56,Back,4098244509,233,20,,,,,,,,,,,,,,,,6d9maq3oecwobp2t2220vf4r9,C. Bishop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202557,20,5,1,1,21,5qwskbjpa17fvmtuu5qijy7cz,0,64.5,-2,2023-03-14T19:46:37.540Z,2023-03-16T05:59:07Z,4098243629,347,,4098244525,233,12,4098243627,56,Right,,,,,,,,,,,,,,,,2asjeedy6igcuixqktdmk5k2x,M. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202781,13,1,1,1,46,80jtkz2echk6yyyb9e2595cxr,0,35.6,100,2023-03-14T19:47:01.728Z,2023-03-16T05:59:22Z,4098244693,212,35.1,4098244695,213,6.2,4098244691,141,95.3,4098244689,140,68.7,4098244685,107,,4098244697,1,,4098244687,56,Left,,,,541yhibvfn0fv2izdfudm7651,C. Ogilvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202815,21,1,1,1,49,5qwskbjpa17fvmtuu5qijy7cz,1,25.6,8.9,2023-03-14T19:47:04.847Z,2023-03-16T06:00:04Z,4098244857,212,7.5,4100380567,178,,4098244851,56,Back,4098244855,141,8.0,4098244853,140,32.7,4098244859,213,6.2,,,,,,,4eyngv286u5zbtppuih1g67s9,M. Sangare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202819,22,49,1,1,50,5qwskbjpa17fvmtuu5qijy7cz,1,32.7,8,2023-03-14T19:47:06.144Z,2023-03-16T06:00:12Z,,,,,,,,,,,,,,,,,,,,,,,,,74x5iaolqfr7r3on2uuriooyy,D. Tharme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202827,23,1,1,1,50,5qwskbjpa17fvmtuu5qijy7cz,1,32.7,8,2023-03-14T19:47:06.220Z,2023-03-16T06:00:17Z,4100380919,178,,4098244917,212,8.1,4098244919,213,2.1,4098244915,141,18.6,4098244913,140,29.1,4098244911,56,Back,,,,,,,74x5iaolqfr7r3on2uuriooyy,D. Tharme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202867,24,1,1,1,52,5qwskbjpa17fvmtuu5qijy7cz,1,29.1,18.6,2023-03-14T19:47:07.757Z,2023-03-16T06:00:23Z,4098245123,212,13.5,4098245119,141,37.0,4098245113,56,Back,4100380977,178,,4098245127,213,1.9,4098245117,140,24.4,,,,,,,ex0gkrnzj98vrwpk9tpcfw91x,S. Conneely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202915,25,1,1,1,54,5qwskbjpa17fvmtuu5qijy7cz,1,24.4,37,2023-03-14T19:47:10.159Z,2023-03-16T06:00:27Z,4100381005,178,,4098245351,141,43.3,4098245355,213,2.8,4098245347,56,Back,4098245353,212,13.6,4098245349,140,12.1,,,,,,,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202949,26,1,1,1,55,5qwskbjpa17fvmtuu5qijy7cz,0,12.1,43.3,2023-03-14T19:47:11.677Z,2023-03-16T06:00:34Z,4098245527,141,52.8,4098245523,56,Center,4098245531,213,0.1,4098245525,140,55.0,4098245533,1,,4098245759,157,,4100381067,178,,4098245529,212,45.5,3wew9tjsjrsoyioiuzd7ve356,L. Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202929,14,44,1,1,58,80jtkz2echk6yyyb9e2595cxr,1,44.2,48.7,2023-03-14T19:47:14.094Z,2023-03-16T19:58:13Z,4098245431,56,Back,4098245623,233,27,4098245433,285,,,,,,,,,,,,,,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202957,27,44,1,1,58,5qwskbjpa17fvmtuu5qijy7cz,0,55.8,51.3,2023-03-14T19:47:14.095Z,2023-03-16T06:00:44Z,4098245635,233,14,4098245565,286,,4098245563,56,Center,,,,,,,,,,,,,,,,f4ef7in4fxoylsy29anhgqep5,A. Pressley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202939,15,1,1,1,58,80jtkz2echk6yyyb9e2595cxr,1,43.4,50.1,2023-03-14T19:47:14.146Z,2023-03-16T19:58:13Z,4098245493,3,,4098245495,56,Center,4098245503,212,28.1,4098245505,213,5.7,4098245497,140,65.5,4098245501,141,26.7,4100381185,388,,,,,cn988bjn09tb806b05wgp7ys5,S. Raggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202943,16,49,1,2,1,80jtkz2echk6yyyb9e2595cxr,1,65.5,25.2,2023-03-14T19:47:17.376Z,2023-03-16T06:00:58Z,,,,,,,,,,,,,,,,,,,,,,,,,a70y8ayeh05hzo5yc8gotsbh0,P. Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520202979,17,61,1,2,3,80jtkz2echk6yyyb9e2595cxr,0,77.3,14.7,2023-03-14T19:47:19.197Z,2023-03-16T06:01:04Z,4100381341,178,,4098245701,56,Right,,,,,,,,,,,,,,,,,,,a70y8ayeh05hzo5yc8gotsbh0,P. Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520203013,28,49,1,2,5,5qwskbjpa17fvmtuu5qijy7cz,1,29,93.5,2023-03-14T19:47:21.463Z,2023-03-16T06:01:11Z,,,,,,,,,,,,,,,,,,,,,,,,,dzitwscdk6ogkf6bstbrik53p,S. McConville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520203045,29,4,1,2,8,5qwskbjpa17fvmtuu5qijy7cz,1,32.8,96.6,2023-03-14T19:47:24.448Z,2023-03-16T06:01:19Z,4098246161,233,18,4098246087,13,,4098246095,285,,4098246093,152,,4098246089,295,,4098246091,56,Back,,,,,,,dzitwscdk6ogkf6bstbrik53p,S. McConville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520203053,18,4,1,2,8,80jtkz2echk6yyyb9e2595cxr,0,67.2,3.4,2023-03-14T19:47:24.449Z,2023-03-16T06:01:18Z,4100381451,178,,4098246181,286,,4098246177,233,29,4098246109,13,,4098246115,152,,4098246113,56,Right,4098246111,295,,,,,a70y8ayeh05hzo5yc8gotsbh0,P. Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520203433,30,1,1,2,40,5qwskbjpa17fvmtuu5qijy7cz,1,37.5,94.5,2023-03-14T19:47:55.984Z,2023-03-16T06:01:25Z,4098248049,152,,4100381475,178,,4098248043,5,,4098248045,155,,4098248059,213,5.5,4098248051,56,Center,4098248053,140,74.3,4098248055,141,33.4,dzitwscdk6ogkf6bstbrik53p,S. McConville,,4098248057,212,56.7,4098248061,1,4098248047,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520203457,31,1,1,2,43,5qwskbjpa17fvmtuu5qijy7cz,0,74.3,33.4,2023-03-14T19:47:59.176Z,2023-03-16T06:01:34Z,4098248199,140,86.0,4100381553,388,,4098248195,168,,4098248193,3,,4098248203,212,13.2,4098248205,213,5.9,4098248197,56,Center,4098248201,141,26.2,a2g77lv071rnz76ujh30364tl,H. Rodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520203467,19,49,1,2,46,80jtkz2echk6yyyb9e2595cxr,1,12.5,73.2,2023-03-14T19:48:02.089Z,2023-03-16T06:01:40Z,,,,,,,,,,,,,,,,,,,,,,,,,541yhibvfn0fv2izdfudm7651,C. Ogilvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520203513,20,1,1,2,46,80jtkz2echk6yyyb9e2595cxr,1,12.5,73.2,2023-03-14T19:48:02.094Z,2023-03-16T06:01:46Z,4098248507,141,68.5,4100381679,178,,4098248503,56,Back,4098248505,140,22.9,4098248511,213,6.0,4098248509,212,11.4,,,,,,,541yhibvfn0fv2izdfudm7651,C. Ogilvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520203567,21,1,1,2,51,80jtkz2echk6yyyb9e2595cxr,1,28,74.5,2023-03-14T19:48:06.952Z,2023-03-16T06:01:58Z,4098248827,212,19.1,4100381761,178,,4098248825,141,96.5,4098248823,140,39.3,4098248821,56,Back,4098248829,213,0.9,,,,,,,dlfoufhh8dc14s10vnbjrfvmd,J. Morrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520203585,22,1,1,2,56,80jtkz2echk6yyyb9e2595cxr,0,70.3,90.9,2023-03-14T19:48:12.441Z,2023-03-16T06:02:09Z,4098248895,2,,4098248907,213,5.4,4099449705,224,,4100381879,178,,4098248899,56,Center,4098248897,155,,4098248903,141,52.4,4098248905,212,32.9,2iy84h1v8wt8l6prv701uohk9,R. Hackett-Fairchild,,4098248901,140,89.3,4099449707,72,4098248909,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
