id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,keyPass,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2545031163,9,1,1,1,39,8rfydplrc9ki0sirqi0drcybk,0,3.4,50.7,2023-05-07T11:03:40.646Z,2023-05-10T05:18:56Z,4257953661,56,Center,4257953663,140,71.3,4257953671,1,,4257958817,237,,4257953669,213,6.1,4257958813,124,,4257953665,141,26.8,4257953667,212,73.1,4e1c6yk50fl8hnwv6u1132j85,J. Lynch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031161,12,44,1,1,42,8b523ujgl21tbc01me65q0aoh,1,26.2,77.6,2023-05-07T11:03:44.447Z,2023-05-10T06:22:05Z,4257953875,233,10,4257953649,56,Back,4257953653,285,,,,,,,,,,,,,,,,,1244ja0ma2r0071i7d45t6yfp,C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031193,10,44,1,1,42,8rfydplrc9ki0sirqi0drcybk,0,73.8,22.4,2023-05-07T11:03:44.448Z,2023-05-10T05:19:01Z,4257953851,56,Center,4257953853,286,,4257953885,233,12,,,,,,,,,,,,,,,,3je74tc5emuou6ckwdbscsbu,Carlos Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031165,13,1,1,1,42,8b523ujgl21tbc01me65q0aoh,0,36,78.7,2023-05-07T11:03:44.491Z,2023-05-10T06:22:05Z,4257953689,213,0.0,4257953685,141,79.6,4257953679,3,,4257953687,212,27.0,4257953681,56,Left,4257953683,140,61.7,4265687995,388,,,,,1244ja0ma2r0071i7d45t6yfp,C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031213,11,1,1,1,44,8rfydplrc9ki0sirqi0drcybk,0,40.9,21.3,2023-05-07T11:03:45.803Z,2023-05-10T05:19:12Z,4257953955,56,Back,4265688091,21,,4265688089,178,,4262211393,141,11.0,4262211391,140,41.5,4262211397,213,4.8,4262211395,212,7.0,,,,6tqiy5a5cfpfm90j8r5udl8bu,B. Sarpong-Wiredu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031229,14,1,1,1,48,8b523ujgl21tbc01me65q0aoh,1,74.1,94.2,2023-05-07T11:03:50.121Z,2023-05-10T05:19:17Z,4257954035,140,72.7,4265688127,178,,4257954039,212,4.9,4257954037,141,87.4,4257954033,56,Left,4257954041,213,4.4,,,,,,,7fpcipp26a9fqes841ad7lh3p,N. Broadhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031277,15,1,1,1,49,8b523ujgl21tbc01me65q0aoh,0,76.5,91.3,2023-05-07T11:03:50.993Z,2023-05-10T05:19:20Z,4257954331,141,87.4,4257954333,212,25.8,4257954329,140,100.0,4257954327,56,Left,4265688153,178,,4257954335,213,6.2,,,,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031285,12,5,1,1,53,8rfydplrc9ki0sirqi0drcybk,1,-0.4,14.9,2023-05-07T11:03:54.666Z,2023-05-10T05:19:22Z,4257954369,346,,4257954367,56,Back,4257954389,233,16,,,,,,,,,,,,,,,,emuuuhvah1jtq2fqs9ybfovvu,H. Holgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031283,16,5,1,1,53,8b523ujgl21tbc01me65q0aoh,0,100.4,85.1,2023-05-07T11:03:54.666Z,2023-05-10T05:19:22Z,4257954417,233,12,4257954365,346,,4257954363,56,Left,,,,,,,,,,,,,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031775,13,1,1,2,13,8rfydplrc9ki0sirqi0drcybk,1,2.5,46.4,2023-05-07T11:04:14.889Z,2023-05-10T05:19:26Z,4257956957,213,5.8,4257956949,56,Right,4257956955,212,68.5,4257956947,124,,4257956959,1,,4257956963,74,,4257956953,141,3.2,4257956951,140,61.4,4e1c6yk50fl8hnwv6u1132j85,J. Lynch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031793,14,1,1,2,16,8rfydplrc9ki0sirqi0drcybk,0,61.4,3.2,2023-05-07T11:04:18.614Z,2023-05-10T05:19:31Z,4257957051,213,5.9,4257957043,56,Right,4262214367,168,,4257957047,141,0.0,4257957049,212,9.1,4257957039,3,,4265688255,388,,4257957045,140,69.4,5q6s3r5ychv1d3r1tch4sot05,S. Rooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031821,15,5,1,2,18,8rfydplrc9ki0sirqi0drcybk,0,66.8,-1.8,2023-05-07T11:04:19.653Z,2023-05-10T05:19:34Z,4257957777,233,18,4257957143,347,,4257957139,56,Right,,,,,,,,,,,,,,,,5q6s3r5ychv1d3r1tch4sot05,S. Rooney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031937,18,5,1,2,18,8b523ujgl21tbc01me65q0aoh,1,33.2,101.8,2023-05-07T11:04:19.653Z,2023-05-10T05:19:33Z,4257957769,233,15,4257957753,56,Back,4257957759,347,,,,,,,,,,,,,,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031977,19,1,1,2,25,8b523ujgl21tbc01me65q0aoh,0,36,100,2023-05-07T11:04:27.086Z,2023-05-10T05:19:36Z,4257957993,140,70.4,4257958001,1,,4257957991,56,Left,4257957989,107,,4257957995,141,92.9,4257957999,213,6.1,4257957997,212,36.5,,,,a9352zsh3xr7rcxs0jmho7o8a,L. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545031979,16,8,1,2,27,8rfydplrc9ki0sirqi0drcybk,1,36.3,10.6,2023-05-07T11:04:29.054Z,2023-05-10T05:19:50Z,4262214589,385,,4257958005,15,,4257958003,56,Back,4265688455,178,,,,,,,,,,,,,,emuuuhvah1jtq2fqs9ybfovvu,H. Holgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545032011,17,49,1,2,28,8rfydplrc9ki0sirqi0drcybk,1,41.6,25,2023-05-07T11:04:29.963Z,2023-05-10T05:19:52Z,,,,,,,,,,,,,,,,,,,,,,,,,f1rmwe24zg4697bqpc3z0y40l,J. Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545032037,18,1,1,2,28,8rfydplrc9ki0sirqi0drcybk,1,41.6,25,2023-05-07T11:04:30.005Z,2023-05-10T05:19:55Z,4257958353,213,3.2,4257958351,212,19.4,4257958345,56,Back,4257958349,141,22.4,4265688497,178,,4257958347,140,23.2,,,,,,,f1rmwe24zg4697bqpc3z0y40l,J. Vela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545032045,19,1,1,2,30,8rfydplrc9ki0sirqi0drcybk,0,23.2,22.4,2023-05-07T11:04:31.667Z,2023-05-10T05:19:58Z,4257958409,1,,4257958405,212,39.9,4265688521,178,,4257958407,213,5.9,4257958403,141,0.0,4257958401,140,57.9,4257958399,56,Right,4257958397,157,,6tqiy5a5cfpfm90j8r5udl8bu,B. Sarpong-Wiredu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545032047,20,5,1,2,32,8rfydplrc9ki0sirqi0drcybk,0,57.3,-1.8,2023-05-07T11:04:34.088Z,2023-05-10T05:20:10Z,4257958415,56,Right,4257958897,233,20,4257958417,347,,,,,,,,,,,,,,,,,6tqiy5a5cfpfm90j8r5udl8bu,B. Sarpong-Wiredu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545032117,20,5,1,2,32,8b523ujgl21tbc01me65q0aoh,1,42.7,101.8,2023-05-07T11:04:34.088Z,2023-05-10T05:20:10Z,4257958789,56,Back,4257958791,347,,4257958857,233,20,,,,,,,,,,,,,,,,1uyg5c61jzqickqaegb07yk15,G. Hirst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545032269,21,1,1,2,46,8b523ujgl21tbc01me65q0aoh,1,45.9,100,2023-05-07T11:04:48.186Z,2023-05-10T05:20:14Z,4257959785,212,34.3,4257959777,107,,4257959789,1,,4257959787,213,4.8,4257959779,56,Back,4257959783,141,50.5,4257959781,140,48.4,,,,a9352zsh3xr7rcxs0jmho7o8a,L. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545032299,22,1,1,2,51,8b523ujgl21tbc01me65q0aoh,1,53.1,31.2,2023-05-07T11:04:53.015Z,2023-05-10T05:20:17Z,4265688719,178,,4257959979,140,64.7,4257959985,213,5.3,4257959977,56,Right,4257959981,141,3.8,4257959983,212,22.3,,,,,,,6bejhzrjgg7dz6cp6s45rah91,J. Donacien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545032373,23,1,1,2,54,8b523ujgl21tbc01me65q0aoh,1,68.2,4.4,2023-05-07T11:04:55.646Z,2023-05-10T05:20:23Z,4257960401,56,Right,4257960403,140,77.4,4265688791,178,,4257960413,213,0.5,4257960409,212,11.1,4257960405,141,12.5,,,,,,,6v9kb953ugi8odu4tdly7v3yt,W. Burns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546487973,849,83,1,2,56,8rfydplrc9ki0sirqi0drcybk,1,18.6,90.5,2023-05-07T11:04:58.046Z,2023-05-10T05:54:37Z,4265710311,399,154936,,,,,,,,,,,,,,,,,,,,,,e8whj7tdfmuk66shr30htmhud,J. Marriott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
