id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/18/value
2537055895,12,6,1,0,22,8rfydplrc9ki0sirqi0drcybk,1,94.2,13.6,2023-04-22T14:00:39.092Z,2023-04-25T11:15:45Z,4208449467,75,,4208449491,233,8,4208449465,56,Right,,,,,,,,,,,,,,,,74p53a79q1tlis3a3gladqor9,J. Stockley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056295,13,1,1,0,46,8rfydplrc9ki0sirqi0drcybk,1,99.5,0.5,2023-04-22T14:01:02.952Z,2023-04-25T14:03:10Z,4208451925,210,15,4208451211,56,Center,4208451205,6,,4208451203,2,,4219209949,178,,4217804497,20,,4208451219,213,1.8,4208451217,212,31.5,3tlocewlh3mb53wd0hk8nucbt,P. Patterson,4208451209,224,,1,4208451207,155,4208451927,154,4208451213,140,93.1,4208451215,141,45.7,,,,,,,,,,,,,,,,,,,,,,,
2537056297,14,44,1,0,47,8rfydplrc9ki0sirqi0drcybk,1,91,44.2,2023-04-22T14:01:04.523Z,2023-04-25T14:03:10Z,4208451313,233,9,4208451227,56,Center,4208451229,286,,,,,,,,,,,,,,,,,e8whj7tdfmuk66shr30htmhud,J. Marriott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056311,9,44,1,0,47,8w89tsles26jm12aoelwvlttt,0,9,55.8,2023-04-22T14:01:04.524Z,2023-04-25T11:15:52Z,4208451317,233,14,4208451273,285,,4208451271,56,Back,,,,,,,,,,,,,,,,2hhatd33vvokrbemn4echivhl,W. O'Hora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056303,15,15,1,0,47,8rfydplrc9ki0sirqi0drcybk,1,89.7,46.2,2023-04-22T14:01:04.561Z,2023-04-25T14:03:10Z,4208451253,17,,4208451255,56,Center,4219210099,388,,4208451967,78,,4208451969,29,,4208451961,25,,4208451521,15,,4208452035,233,10,e8whj7tdfmuk66shr30htmhud,J. Marriott,4208451983,147,48.9,,4208451973,55,4208451971,154,4208451981,146,99.7,4208451525,328,,13,4208451977,102,50.9,4208451979,103,11.4,,,,,,,,,,,,,,,,
2537056349,10,10,1,0,48,8w89tsles26jm12aoelwvlttt,1,2.1,51.6,2023-04-22T14:01:05.259Z,2023-04-25T11:15:58Z,4208451849,233,15,4208451817,177,,4217805633,180,,4208451427,182,,4217805635,376,,4208451429,56,Back,,,,,,,32sqctjujedqsab4xwy1pwlbd,J. Cumming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056353,11,52,1,0,48,8w89tsles26jm12aoelwvlttt,1,2.1,51.6,2023-04-22T14:01:05.374Z,2023-04-25T11:16:02Z,4219210223,178,,4217805849,376,,,,,,,,,,,,,,,,,,,,32sqctjujedqsab4xwy1pwlbd,J. Cumming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056501,12,1,1,0,58,8w89tsles26jm12aoelwvlttt,1,6.4,48.8,2023-04-22T14:01:15.346Z,2023-04-25T11:16:04Z,4208452097,1,,4208452089,140,20.3,4208452087,56,Back,4219210263,178,,4208452091,141,90.8,4208452085,123,,4208452093,212,32.1,4208452095,213,1.1,32sqctjujedqsab4xwy1pwlbd,J. Cumming,4208452121,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056587,13,1,1,1,1,8w89tsles26jm12aoelwvlttt,1,24.9,90.2,2023-04-22T14:01:18.543Z,2023-04-25T11:16:07Z,4208452461,140,28.4,4208452463,141,74.8,4208452459,56,Back,4208452471,213,5.0,4208452467,212,11.1,4219210307,178,,,,,,,,5obqs1ezswoc3ns0c9k4qai8l,D. Lewington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537056651,14,1,1,1,3,8w89tsles26jm12aoelwvlttt,1,28.4,74.8,2023-04-22T14:01:20.221Z,2023-04-25T11:16:09Z,4208452801,212,17.0,4208452797,140,12.7,4208452803,213,3.4,4208452799,141,68.5,4219210341,178,,4208452795,56,Back,,,,,,,8uch2zjj8vxmfi2l544j5ipxx,J. McEachran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
