id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/15/value,assist
2494451527,12,5,1,0,46,fvr504m6gaxsfmtx4fwm7iq1,0,100.8,57.6,2023-01-01T15:04:47.341Z,2023-01-03T05:43:07Z,3962517595,346,,3962517593,56,Center,3962517663,233,7,,,,,,,,,,,,,,,,cqcwoymcrgf7wdi6091zplecp,D. N'Lundulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494451811,8,1,1,1,4,5pfqedkme2kabtqhkln35pf3l,1,4.1,40.6,2023-01-01T15:05:04.749Z,2023-01-03T05:43:15Z,3962519115,56,Back,3962519117,140,10.1,3962519121,212,8.9,3962519113,124,,3962519123,213,5.5,3962519119,141,31.3,3962519131,237,,,,,byo7r7emgxz5oiauh2z75vpp1,J. Belshaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494451835,9,1,1,1,8,5pfqedkme2kabtqhkln35pf3l,0,16.8,13.7,2023-01-01T15:05:09.245Z,2023-01-03T05:43:23Z,3962519271,140,64.7,3962519267,155,,3964290121,178,,3962519279,1,,3962519273,141,8.8,3962519269,56,Right,3962519275,212,50.4,3962519277,213,6.2,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494451863,13,44,1,1,12,fvr504m6gaxsfmtx4fwm7iq1,1,26.2,85.1,2023-01-01T15:05:12.449Z,2023-01-03T08:41:05Z,3962519457,56,Back,3962519459,285,,3962539617,233,67,,,,,,,,,,,,,,,,ab7t8dk9884hrwa88o41wq8dl,L. Freestone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494455499,67,44,1,1,12,5pfqedkme2kabtqhkln35pf3l,0,73.8,14.9,2023-01-01T15:05:12.450Z,2023-01-03T05:44:47Z,3962539633,233,13,3962539299,56,Right,3962539301,286,,,,,,,,,,,,,,,,,5pafzbbuucga9ut20l6ckj7u2,J. Coburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494451887,14,1,1,1,12,fvr504m6gaxsfmtx4fwm7iq1,1,19.7,83,2023-01-01T15:05:12.555Z,2023-01-03T08:41:05Z,3962519581,141,74.5,3962519579,140,35.3,3962519583,212,17.4,3962519587,213,5.9,3962519577,56,Back,3964290259,388,,3962519575,3,,,,,ab7t8dk9884hrwa88o41wq8dl,L. Freestone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494602585,677,49,1,1,13,fvr504m6gaxsfmtx4fwm7iq1,1,42.4,81.8,2023-01-01T15:05:13.594Z,2023-01-03T07:12:26Z,,,,,,,,,,,,,,,,,,,,,,,,,61allnul4qlvl9s6wf0nehped,L. Sercombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494451923,15,1,1,1,14,fvr504m6gaxsfmtx4fwm7iq1,1,35.3,74.5,2023-01-01T15:05:14.710Z,2023-01-03T05:45:08Z,3962519765,212,12.7,3962519767,213,2.2,3962519763,141,89.3,3962519759,56,Back,3964291081,178,,3962519761,140,27.9,,,,,,,61allnul4qlvl9s6wf0nehped,L. Sercombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494451941,16,1,1,1,16,fvr504m6gaxsfmtx4fwm7iq1,0,27.9,89.3,2023-01-01T15:05:16.435Z,2023-01-03T05:45:14Z,3964291121,178,,3962519869,212,50.9,3962519873,1,,3962519861,56,Left,3962519867,141,87.4,3962519871,213,6.3,3962519865,140,76.4,3962519857,155,,eslpks0nl5y4vnn6xi13iuqqx,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494451949,10,49,1,1,18,5pfqedkme2kabtqhkln35pf3l,1,40.2,8.3,2023-01-01T15:05:18.779Z,2023-01-03T05:45:23Z,,,,,,,,,,,,,,,,,,,,,,,,,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
