id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/9/value,qualifier/14/value,qualifier/12/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2445277423,17,5,1,0,59,841zp0njrq63yv4fvw6lgf60q,1,7.9,-1.5,2022-08-13T14:02:30.289Z,2022-08-15T18:17:28Z,3701917963,347,,3701918127,233,9,3701917959,56,Back,,,,,,,,,,,,,,,,16x7shxmsfll6pytg8b8v0dbe,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445277939,18,1,1,1,15,841zp0njrq63yv4fvw6lgf60q,0,10.5,0,2022-08-13T14:02:45.942Z,2022-08-15T18:17:33Z,3701920511,212,22.8,3701920509,141,4.4,3701920515,1,,3701920505,56,Back,3701920513,213,0.2,3701920503,107,,3701920507,140,31.9,,,,16x7shxmsfll6pytg8b8v0dbe,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445278137,10,1,1,1,16,759fhii7hsnldanli06j5jmf6,0,63.4,97.5,2022-08-13T14:02:47.486Z,2022-08-15T18:17:40Z,3701921351,3,,3701921361,213,0.3,3701921359,212,8.3,3701921355,140,70.9,3701921357,141,100.0,3701921353,56,Left,3709910479,388,,,,,5j7ekg9k304y36twun3me2w2d,S. O'Donnell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445278153,11,5,1,1,18,759fhii7hsnldanli06j5jmf6,0,74.2,101.4,2022-08-13T14:02:49.115Z,2022-08-15T18:17:46Z,3701921425,56,Left,3701921429,347,,3701921735,233,19,,,,,,,,,,,,,,,,5j7ekg9k304y36twun3me2w2d,S. O'Donnell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445278177,19,5,1,1,18,841zp0njrq63yv4fvw6lgf60q,1,25.8,-1.4,2022-08-13T14:02:49.115Z,2022-08-15T18:17:46Z,3701921573,56,Back,3701921575,347,,3701921649,233,11,,,,,,,,,,,,,,,,16x7shxmsfll6pytg8b8v0dbe,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445278275,20,1,1,1,24,841zp0njrq63yv4fvw6lgf60q,1,23.3,0,2022-08-13T14:02:55.190Z,2022-08-15T18:17:53Z,3701922075,56,Back,3701922077,140,24.4,3701922081,212,13.8,3701922073,107,,3701922083,213,1.5,3701922079,141,18.8,,,,,,,16x7shxmsfll6pytg8b8v0dbe,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445278371,21,1,1,1,25,841zp0njrq63yv4fvw6lgf60q,1,23.9,16.8,2022-08-13T14:02:55.974Z,2022-08-15T18:17:56Z,3701922535,140,22.3,3701922533,56,Back,3701922537,141,3.1,3701922541,213,4.5,3709911161,178,,3701922539,212,9.5,3701922577,189,,,,,6ne71gfjoez9m0tk8qozd8e3u,L. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445278441,22,1,1,1,27,841zp0njrq63yv4fvw6lgf60q,1,22.3,3.1,2022-08-13T14:02:58.189Z,2022-08-15T18:17:59Z,3701922945,212,9.4,3701922935,56,Back,3701923007,189,,3701922943,141,10.9,3701922949,213,0.6,3701922939,140,29.7,3709911341,178,,,,,16x7shxmsfll6pytg8b8v0dbe,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445278637,23,1,1,1,29,841zp0njrq63yv4fvw6lgf60q,0,32,6.4,2022-08-13T14:03:00.184Z,2022-08-15T18:18:05Z,3701923969,155,,3701923981,213,1.1,3701923973,56,Left,3701923977,141,100.0,3701923975,140,66.0,3709911641,178,,3701923979,212,73.9,3701923971,196,,6ne71gfjoez9m0tk8qozd8e3u,L. Clarkson,3701923983,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445278707,12,5,1,1,34,759fhii7hsnldanli06j5jmf6,1,34,-1.6,2022-08-13T14:03:04.882Z,2022-08-15T18:18:07Z,3701924493,233,24,3701924311,56,Back,3701924313,347,,,,,,,,,,,,,,,,,blmo7wrka5yrcckuu9owlwx5h,P. McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445278651,24,5,1,1,34,841zp0njrq63yv4fvw6lgf60q,0,66,101.6,2022-08-13T14:03:04.882Z,2022-08-15T18:18:08Z,3701924065,347,,3701924575,233,12,3701924063,56,Left,,,,,,,,,,,,,,,,6ne71gfjoez9m0tk8qozd8e3u,L. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445279161,13,1,1,1,47,759fhii7hsnldanli06j5jmf6,1,31.9,0,2022-08-13T14:03:17.675Z,2022-08-15T18:18:12Z,3701926521,212,11.8,3701926519,141,15.2,3701926523,213,1.7,3701926515,56,Back,3701926517,140,30.5,3701926513,107,,,,,,,,blmo7wrka5yrcckuu9owlwx5h,P. McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445279247,14,1,1,1,49,759fhii7hsnldanli06j5jmf6,1,29.9,13.2,2022-08-13T14:03:20.235Z,2022-08-15T18:18:23Z,3709912715,178,,3701926919,140,29.4,3701926929,212,7.4,3701926933,213,4.6,3701926915,56,Back,3701926923,141,2.3,,,,,,,5z0g3l4s56p11t3wgrpjhko9h,S. Goss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445279419,15,1,1,1,50,759fhii7hsnldanli06j5jmf6,1,29.2,3.4,2022-08-13T14:03:21.221Z,2022-08-15T18:18:28Z,3701927821,141,5.5,3709913067,178,,3701927819,140,36.5,3701927823,212,7.8,3701927815,155,,3701927817,56,Back,3701927825,213,0.2,,,,blmo7wrka5yrcckuu9owlwx5h,P. McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445279517,16,1,1,1,52,759fhii7hsnldanli06j5jmf6,1,37.3,4.4,2022-08-13T14:03:23.061Z,2022-08-15T18:18:39Z,3701928301,56,Back,3701928309,141,4.4,3701928319,213,0.0,3701928305,140,46.3,3701928315,212,9.4,3701928299,3,,3709913769,388,,,,,dkk86y8pa3svtz43c0m55qn6x,C. Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446774933,1117,83,1,1,53,841zp0njrq63yv4fvw6lgf60q,1,54.5,95.7,2022-08-13T14:03:24.304Z,2022-08-15T18:55:33Z,3710003303,399,87348,,,,,,,,,,,,,,,,,,,,,,6o62deaqwdcrllc91hz09cct1,R. McCrorie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446774609,811,43,1,1,53,759fhii7hsnldanli06j5jmf6,1,0,0,2022-08-13T14:03:24.375Z,2022-08-15T18:55:37Z,3710003395,144,82,3710001445,178,0,,,,,,,,,,,,,,,,,,,aiacgvdwjvt1te2ndnbk95lg5,K. van Veen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
