id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/12/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId
2497216843,20,10,1,0,55,c9ky1957qli8v2lylfga7io8b,1,2.5,48.8,2023-01-14T15:03:40.490Z,2023-01-15T07:07:32Z,3977055675,182,,3978208935,181,,3978208941,378,,3977056663,233,7,3977056535,177,,3977055677,56,Back,,,,,,,bu7u0edo60hpre8wkhgw79gwl,D. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497216883,21,52,1,0,55,c9ky1957qli8v2lylfga7io8b,1,3.6,48.8,2023-01-14T15:03:40.872Z,2023-01-15T07:07:36Z,3979026679,178,,3978209167,378,,,,,,,,,,,,,,,,,,,,bu7u0edo60hpre8wkhgw79gwl,D. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497217527,22,1,1,1,15,c9ky1957qli8v2lylfga7io8b,0,15.5,40.6,2023-01-14T15:04:00.153Z,2023-01-15T07:07:39Z,3977059443,1,,3977059437,212,42.7,3977059433,140,56.0,3977059429,199,,3977059431,56,Center,3977059439,213,0.1,3977059435,141,46.0,,,,bu7u0edo60hpre8wkhgw79gwl,D. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497218305,16,44,1,1,18,4qdzzur2cuuridyb0jso8mksi,1,44,53.5,2023-01-14T15:04:03.793Z,2023-01-15T08:22:32Z,3977063781,285,,3977063853,233,23,3977063779,56,Back,,,,,,,,,,,,,,,,epwyjoowg7wfojxxldoum9yhh,A. Djoum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497217537,23,44,1,1,18,c9ky1957qli8v2lylfga7io8b,0,56,46.5,2023-01-14T15:04:03.794Z,2023-01-15T07:07:44Z,3977059459,56,Center,3977059461,286,,3977063889,233,16,,,,,,,,,,,,,,,,87dk4hxfl302jn9iu3vr9pckp,R. Porteous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497217589,8,1,1,1,18,4qdzzur2cuuridyb0jso8mksi,0,43.4,51,2023-01-14T15:04:03.915Z,2023-01-15T08:22:32Z,3977059781,56,Back,3977059789,213,1.0,3977059785,141,61.4,3979026955,388,,3977059787,212,8.4,3977059779,3,,3977059783,140,47.8,,,,epwyjoowg7wfojxxldoum9yhh,A. Djoum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497217655,24,61,1,1,18,c9ky1957qli8v2lylfga7io8b,1,55.3,41.2,2023-01-14T15:04:03.936Z,2023-01-15T07:07:54Z,3979027067,21,,3979027069,388,,3977060131,56,Center,,,,,,,,,,,,,,,,89df7o58mynvgjs0xlq4zh71l,K. Magennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497218729,27,1,1,1,20,c9ky1957qli8v2lylfga7io8b,0,45.8,30.3,2023-01-14T15:04:05.546Z,2023-01-15T07:08:01Z,3977066097,140,60.6,3977066103,213,6.2,3977066101,212,15.6,3977066095,56,Center,3977066099,141,28.6,3979027183,178,,,,,,,,cugnsf9b6g823srxuux5jnofe,J. Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497217715,10,49,1,1,22,4qdzzur2cuuridyb0jso8mksi,1,36.1,73.5,2023-01-14T15:04:07.089Z,2023-01-15T07:08:05Z,,,,,,,,,,,,,,,,,,,,,,,,,629dgygro5n41ce8ulov5wwl,S. McMann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497217767,11,1,1,1,22,4qdzzur2cuuridyb0jso8mksi,1,36.6,74.2,2023-01-14T15:04:07.184Z,2023-01-15T07:08:11Z,3977060753,213,0.9,3977060747,140,45.6,3977060745,56,Back,3977060749,141,90.8,3979027271,178,,3977060751,212,14.7,,,,,,,629dgygro5n41ce8ulov5wwl,S. McMann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497217713,9,43,1,1,23,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-01-14T15:04:08.528Z,2023-01-14T15:04:53Z,3977060465,213,2.8,3977060463,212,12.2,3977060459,140,34.8,3977060457,56,Back,3977067393,144,1,3977060461,141,72.9,,,,,,,en7kanawhbmhl0736htwdnt9l,G. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497217919,12,1,1,1,24,4qdzzur2cuuridyb0jso8mksi,1,48.1,91.5,2023-01-14T15:04:09.030Z,2023-01-15T07:08:14Z,3977061607,213,0.1,3977061603,141,93.6,3977061599,56,Left,3979027309,178,,3977061601,140,68.4,3977061605,212,21.4,,,,,,,319dgvwkm8di2r8oovefbxck5,A. Behich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497218061,13,1,1,1,31,4qdzzur2cuuridyb0jso8mksi,1,90.6,85.1,2023-01-14T15:04:16.263Z,2023-01-15T07:08:17Z,3977062375,141,23.3,3978229091,224,,3979027341,178,,3978229093,72,,3977062369,155,,3977062371,56,Center,3977062379,213,4.7,3977062381,1,,en7kanawhbmhl0736htwdnt9l,G. Middleton,,3977062377,212,3977062373,140,89.7,3977062365,2,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,
2497218067,14,50,1,1,34,4qdzzur2cuuridyb0jso8mksi,1,92.5,27.6,2023-01-14T15:04:19.114Z,2023-01-15T07:08:28Z,3977062417,286,,3977062413,56,Center,3977062567,233,25,,,,,,,,,,,,,,,,1q4eo8ovtzffi9nz1kms98161,K. Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497218093,25,7,1,1,35,c9ky1957qli8v2lylfga7io8b,1,7.5,72.4,2023-01-14T15:04:20.158Z,2023-01-15T07:08:32Z,3977062541,233,14,3977062515,285,,3978250407,385,,3977062511,167,,3979027573,178,,3977062513,56,Back,,,,,,,dnnv0ts8b4ov8id729wyoeuax,É. Youan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497218159,15,6,1,1,36,4qdzzur2cuuridyb0jso8mksi,1,97.2,28.1,2023-01-14T15:04:21.195Z,2023-01-15T07:08:34Z,3977062901,75,,3977062989,233,26,3977062897,56,Center,,,,,,,,,,,,,,,,1q4eo8ovtzffi9nz1kms98161,K. Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497218117,26,6,1,1,36,c9ky1957qli8v2lylfga7io8b,0,2.8,71.9,2023-01-14T15:04:21.195Z,2023-01-15T07:08:35Z,3977062657,56,Back,3977063035,233,15,3977062659,73,,,,,,,,,,,,,,,,,dnnv0ts8b4ov8id729wyoeuax,É. Youan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497219057,17,1,1,2,9,4qdzzur2cuuridyb0jso8mksi,0,99.6,0.4,2023-01-14T15:04:54.133Z,2023-01-15T07:08:39Z,3977067903,212,32.5,3977067907,1,,3977067895,56,Center,3977067901,141,47.8,3978253947,72,,3977067891,155,,3979027691,178,,3977067899,140,95.3,en7kanawhbmhl0736htwdnt9l,G. Middleton,,3977067887,6,3977067883,2,,3977067905,213,1.7,3977067893,223,,,,,,,,,,,,,,,,,,,,,,,,,
2497219073,28,61,1,2,10,c9ky1957qli8v2lylfga7io8b,1,2.9,47.5,2023-01-14T15:04:55.607Z,2023-01-15T07:08:52Z,3977067967,56,Back,3979027843,178,,,,,,,,,,,,,,,,,,,,87dk4hxfl302jn9iu3vr9pckp,R. Porteous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497219091,18,61,1,2,10,4qdzzur2cuuridyb0jso8mksi,1,91.5,50.4,2023-01-14T15:04:55.933Z,2023-01-15T07:08:59Z,3977068069,56,Center,3979027913,178,,3979027911,21,,,,,,,,,,,,,,,,,epwyjoowg7wfojxxldoum9yhh,A. Djoum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497220179,29,12,1,2,11,c9ky1957qli8v2lylfga7io8b,1,7.4,43,2023-01-14T15:04:56.761Z,2023-01-15T07:09:03Z,3977073901,140,28.0,3979027975,178,,3977073905,212,21.6,3977073899,56,Back,3977073903,141,43.0,3977073907,213,0,,,,,,,afowz5wysshf6f5mj5iz1t5h,J. Newell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497219253,19,1,1,2,14,4qdzzur2cuuridyb0jso8mksi,1,67,67.9,2023-01-14T15:04:59.438Z,2023-01-15T07:09:07Z,3977068977,212,16.0,3977068973,140,59.2,3977068969,3,,3979028069,388,,3977068979,213,2.1,3977068975,141,88.1,3977068971,56,Left,,,,a5fpw5f7bvu01i8drfir8ugut,L. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497219417,20,1,1,2,19,4qdzzur2cuuridyb0jso8mksi,1,53.9,92.6,2023-01-14T15:05:04.691Z,2023-01-15T07:09:11Z,3977069987,213,3.7,3977069979,56,Back,3977069983,141,73.5,3979028141,178,,3977069981,140,34.3,3977069985,212,24.3,,,,,,,319dgvwkm8di2r8oovefbxck5,A. Behich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497219671,21,1,1,2,25,4qdzzur2cuuridyb0jso8mksi,1,34,69,2023-01-14T15:05:10.319Z,2023-01-15T07:09:12Z,3977071049,141,46.4,3977071047,140,20.7,3977071045,56,Back,3977071051,212,20.8,3979028163,178,,3977071055,213,4.0,,,,,,,1q4eo8ovtzffi9nz1kms98161,K. Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497219729,22,1,1,2,31,4qdzzur2cuuridyb0jso8mksi,1,22.9,45.4,2023-01-14T15:05:16.725Z,2023-01-15T07:09:14Z,3979028221,178,,3977071391,212,18.3,3977071385,56,Back,3977071389,141,71.7,3977071393,213,1.3,3977071387,140,26.8,,,,,,,btdn91fhcdkiq2u93gqw32n6d,M. Birighitti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497219955,23,1,1,2,39,4qdzzur2cuuridyb0jso8mksi,1,41.1,77.5,2023-01-14T15:05:24.301Z,2023-01-15T07:09:16Z,3977072671,140,30.6,3977072675,212,16.2,3977072673,141,60.0,3979028247,178,,3977072669,56,Back,3977072677,213,4.0,,,,,,,629dgygro5n41ce8ulov5wwl,S. McMann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
