id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2470738501,708,67,1,0,25,87coxipr6ls77tnlba3eselx0,0,61.1,10.7,2022-10-08T14:02:25.691Z,2022-10-11T20:36:59Z,3837441045,233,874,,,,,,,,,,,,,,,,,,,,,,d2dqd11a9koizwjaq93n4npt6,K. Olaigbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468827523,9,8,1,0,25,besu5lkqmra07drq1czpr0tk4,1,39.9,89,2022-10-08T14:02:25.710Z,2022-10-11T21:18:04Z,3836833051,384,,3837355145,178,,3827161563,56,Back,,,,,,,,,,,,,,,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468827531,10,5,1,0,26,besu5lkqmra07drq1czpr0tk4,0,53.8,101.5,2022-10-08T14:02:26.834Z,2022-10-11T20:11:55Z,3827161597,56,Left,3827161601,347,,3827162043,233,10,,,,,,,,,,,,,,,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468827587,10,5,1,0,26,87coxipr6ls77tnlba3eselx0,1,46.2,-1.5,2022-10-08T14:02:26.834Z,2022-10-11T20:11:55Z,3827161991,233,10,3827161889,347,,3827161885,56,Back,,,,,,,,,,,,,,,,cgonvdrm0gwjzrsz5fho4cwr9,K. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468827993,11,1,1,0,36,87coxipr6ls77tnlba3eselx0,1,53.2,0,2022-10-08T14:02:37.034Z,2022-10-11T20:11:57Z,3827163841,107,,3827163847,141,10.7,3827163853,1,,3827163845,140,75.1,3827163851,213,0.3,3827163843,56,Right,3827163849,212,24.4,,,,cgonvdrm0gwjzrsz5fho4cwr9,K. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468828007,12,44,1,0,37,87coxipr6ls77tnlba3eselx0,1,71.8,14.8,2022-10-08T14:02:38.128Z,2022-10-11T21:18:04Z,3827163917,56,Right,3827164125,233,11,3827163921,286,,,,,,,,,,,,,,,,,d2dqd11a9koizwjaq93n4npt6,K. Olaigbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468828021,11,44,1,0,37,besu5lkqmra07drq1czpr0tk4,0,28.2,85.2,2022-10-08T14:02:38.129Z,2022-10-11T20:12:03Z,3827163979,285,,3827164253,233,12,3827163975,56,Back,,,,,,,,,,,,,,,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468828031,13,1,1,0,37,87coxipr6ls77tnlba3eselx0,0,75.1,10.7,2022-10-08T14:02:38.159Z,2022-10-11T21:18:05Z,3827164025,56,Right,3827164041,213,0.7,3827164037,212,6.4,3827164031,140,79.8,3827164021,168,,3837356137,388,,3827164035,141,16.7,3827164017,3,,d2dqd11a9koizwjaq93n4npt6,K. Olaigbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468828349,12,1,1,0,38,besu5lkqmra07drq1czpr0tk4,1,27.2,70.8,2022-10-08T14:02:39.134Z,2022-10-11T20:12:15Z,3827165511,140,61.7,3827165517,213,0.1,3827165507,157,,3827165515,212,36.4,3837356685,178,,3827165509,56,Center,3827165513,141,76.0,3827165519,1,,ddnwckj55fg870otjg9w9xyad,S. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468828363,13,4,1,0,41,besu5lkqmra07drq1czpr0tk4,1,61.8,78.7,2022-10-08T14:02:41.668Z,2022-10-11T20:12:21Z,3827165579,13,,3827165583,56,Center,3827167205,233,14,3827165585,152,,3827165581,295,,3827165587,286,,,,,,,,djyjh9vs99rm6pfm2ofhwfd91,K. Guthrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468828605,14,4,1,0,41,87coxipr6ls77tnlba3eselx0,0,38.2,21.3,2022-10-08T14:02:41.669Z,2022-10-11T20:12:21Z,3827166653,285,,3827166647,56,Back,3827166641,13,,3827166923,233,13,3827166643,295,,3837357053,178,,3827166649,152,,,,,3ka60g1o4fct4t2dc7394sr8p,A. Iacovitti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
