id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value
2465542589,23,1,1,2,47,besu5lkqmra07drq1czpr0tk4,0,35.9,75.1,2022-10-01T14:03:50.458Z,2022-10-01T19:09:55Z,3809609103,3,,3809609107,140,46.1,3809609105,56,Back,3809609111,212,14.3,3809609115,213,5.6,3809609109,141,61.1,3811822515,388,,,,,9ykuo0c905u48vd44wxgb6jth,A. Obileye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465542641,21,1,1,2,50,muo4d1nfi1vgyvz5n07tjmoo,0,51.8,39.8,2022-10-01T14:03:52.851Z,2022-10-01T19:10:07Z,3811823585,388,,3809609383,140,63.2,3809609387,212,12.9,3809609389,213,5.9,3809609381,56,Center,3809609379,3,,3809609385,141,32.8,,,,3g3cjokfq1lnmycnv4t2gjaol,M. O'Hara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465542791,24,1,1,2,51,besu5lkqmra07drq1czpr0tk4,0,36.9,63,2022-10-01T14:03:53.982Z,2022-10-01T19:10:21Z,3809610189,141,44.0,3809610193,212,54.4,3809610197,213,6.0,3809610199,1,,3809610183,56,Center,3811824769,178,,3809610181,157,,3809610185,140,87.2,cwdqe0rv5dcshhfhke86j9z2t,J. Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465543031,22,52,1,3,1,muo4d1nfi1vgyvz5n07tjmoo,1,15.2,54.3,2022-10-01T14:04:04.111Z,2022-10-01T19:10:45Z,3811826589,178,,3811081691,376,,,,,,,,,,,,,,,,,,,,b3rry494s23b8elnqn3b5s5x,T. Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465543141,23,1,1,3,1,muo4d1nfi1vgyvz5n07tjmoo,1,15.2,54.3,2022-10-01T14:04:04.567Z,2022-10-01T19:10:51Z,3809612011,123,,3809612015,140,26.6,3811827115,178,,3809612021,213,1.1,3809612017,141,89.9,3809612013,56,Back,3809612079,287,,3809612019,212,27.0,b3rry494s23b8elnqn3b5s5x,T. Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465543503,24,1,1,3,7,muo4d1nfi1vgyvz5n07tjmoo,1,31.8,93.3,2022-10-01T14:04:09.952Z,2022-10-01T19:10:55Z,3809613951,1,,3809613933,140,74.0,3809613941,212,59.0,3811827491,178,,3809613929,155,,3809613947,213,5.6,3809613931,56,Center,3809613935,141,36.0,ewlrnu90xe2127a1erxlz29qt,C. Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465543593,25,1,1,3,12,muo4d1nfi1vgyvz5n07tjmoo,1,75.3,32.8,2022-10-01T14:04:14.931Z,2022-10-01T19:11:22Z,3811829485,178,,3809614469,212,9.5,3809614465,140,73.4,3809614471,213,4.5,3809614467,141,19.1,3809614463,56,Right,,,,,,,3n02ng7medocg9rmg70pw2j1l,J. Ayunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465543711,26,1,1,3,14,muo4d1nfi1vgyvz5n07tjmoo,1,73.4,19.1,2022-10-01T14:04:17.341Z,2022-10-01T19:11:32Z,3809615087,141,24.3,3809615083,140,72.5,3809615081,56,Center,3809615097,213,1.8,3809615093,212,3.7,3811830253,178,,,,,,,,elt8lu5do3h4jcl9ujgaqlm1h,M. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466231217,757,83,1,3,16,besu5lkqmra07drq1czpr0tk4,1,29.7,74.7,2022-10-01T14:04:19.356Z,2022-10-02T04:45:24Z,3813359437,399,223193,,,,,,,,,,,,,,,,,,,,,,cwdqe0rv5dcshhfhke86j9z2t,J. Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465543797,27,1,1,3,17,muo4d1nfi1vgyvz5n07tjmoo,1,72.3,24.3,2022-10-01T14:04:20.377Z,2022-10-01T19:11:50Z,3809615575,212,8.5,3809615565,56,Center,3809615567,140,64.3,3809615579,213,3.3,3809615569,141,22.8,3811831523,178,,,,,,,,3n02ng7medocg9rmg70pw2j1l,J. Ayunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465543885,28,1,1,3,18,muo4d1nfi1vgyvz5n07tjmoo,1,64.3,22.8,2022-10-01T14:04:21.212Z,2022-10-01T19:11:59Z,3811832293,178,,3809616013,212,17.6,3809616007,56,Right,3809616011,141,2.2,3809616015,213,5.4,3809616009,140,74.4,,,,,,,cz9jf3ozld7o0hns2xmn54b56,E. Erhahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465543987,29,1,1,3,21,muo4d1nfi1vgyvz5n07tjmoo,0,74.4,2.2,2022-10-01T14:04:23.583Z,2022-10-01T19:12:17Z,3811085497,20,,3809616593,140,91.0,3809616591,56,Center,3811085495,224,,3809616605,1,,3809616589,155,,3809616597,212,33.6,3809616595,141,44.5,elt8lu5do3h4jcl9ujgaqlm1h,M. Fraser,3809616587,2,,3811833649,178,3809616601,213,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
