id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/12/value,qualifier/11/value,qualifier/10/value,qualifier/16/value,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId
2440911085,16,49,1,2,31,759fhii7hsnldanli06j5jmf6,1,31.1,83.8,2022-07-31T14:03:39.476Z,2022-08-01T03:49:59Z,,,,,,,,,,,,,,,,,,,,,,,,,201zg5m6q6zjj43w8jlf5cgrt,S. Johansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441247071,1276,67,1,2,31,759fhii7hsnldanli06j5jmf6,1,29.6,85.8,2022-07-31T14:03:39.499Z,2022-08-01T07:22:04Z,3680530349,233,1339,,,,,,,,,,,,,,,,,,,,,,201zg5m6q6zjj43w8jlf5cgrt,S. Johansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441247067,1339,67,1,2,31,muo4d1nfi1vgyvz5n07tjmoo,0,70.4,14.2,2022-07-31T14:03:39.500Z,2022-08-01T06:16:16Z,3680530367,233,1276,,,,,,,,,,,,,,,,,,,,,,6lwrvaxo8k9t72aibrsf6cdex,K. Baccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911103,17,1,1,2,31,759fhii7hsnldanli06j5jmf6,0,31.1,83.8,2022-07-31T14:03:39.507Z,2022-08-01T07:22:04Z,3678684977,141,63.4,3678684979,212,41.8,3680458555,178,,3678684975,140,68.7,3678684983,1,,3678684981,213,5.9,3678684971,157,,3678684973,56,Center,201zg5m6q6zjj43w8jlf5cgrt,S. Johansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911105,17,49,1,2,35,muo4d1nfi1vgyvz5n07tjmoo,1,28.3,44.6,2022-07-31T14:03:43.321Z,2022-08-01T03:50:26Z,,,,,,,,,,,,,,,,,,,,,,,,,ewlrnu90xe2127a1erxlz29qt,C. Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911137,18,1,1,2,35,muo4d1nfi1vgyvz5n07tjmoo,1,27.6,41.3,2022-07-31T14:03:43.345Z,2022-08-01T03:50:23Z,3678685165,213,3.1,3678685159,140,2.0,3678685157,56,Back,3680458715,178,,3678685163,212,26.9,3678685161,141,41.9,,,,,,,ewlrnu90xe2127a1erxlz29qt,C. Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911177,19,1,1,2,37,muo4d1nfi1vgyvz5n07tjmoo,0,2,41.9,2022-07-31T14:03:45.795Z,2022-08-01T03:50:32Z,3678685287,213,6.3,3678685289,1,,3680458799,178,,3678685279,56,Center,3678685281,140,62.3,3678685283,141,41.0,3678685277,157,,3678685285,212,63.3,b3rry494s23b8elnqn3b5s5x,T. Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911183,18,1,1,2,41,759fhii7hsnldanli06j5jmf6,0,41.7,63.9,2022-07-31T14:03:50.118Z,2022-08-01T03:50:41Z,3678685325,56,Center,3678685329,141,41.6,3678685327,140,61.0,3678685323,3,,3678685331,212,25.3,3678685333,213,5.6,3680458919,178,,,,,201zg5m6q6zjj43w8jlf5cgrt,S. Johansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911227,20,1,1,2,45,muo4d1nfi1vgyvz5n07tjmoo,1,44.7,49.1,2022-07-31T14:03:53.655Z,2022-08-01T03:50:48Z,3680458977,178,,3678685537,213,4.2,3678685521,56,Back,3678685529,141,23.7,3678685533,212,19.3,3678685527,140,36.5,,,,,,,8fsd4fp4wx5o8oqmwdf9ppl91,S. Tanser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911281,21,1,1,2,48,muo4d1nfi1vgyvz5n07tjmoo,0,37.3,17.7,2022-07-31T14:03:57.178Z,2022-08-01T03:50:59Z,3678685785,212,38.6,3678685777,155,,3678685779,56,Right,3678685789,1,,3678685787,213,6.0,3678685783,141,3.1,3680459121,178,,3678685781,140,72.8,9n6jx9s4eip7mgken67i9oyc5,D. Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911265,19,44,1,2,51,759fhii7hsnldanli06j5jmf6,1,27,91.8,2022-07-31T14:04:00.124Z,2022-08-01T07:22:04Z,3678685699,56,Back,3678685701,285,,3678685799,233,22,,,,,,,,,,,,,,,,8qv2da4sxpuw4h44jm4dz2j85,R. Lamie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911283,22,44,1,2,51,muo4d1nfi1vgyvz5n07tjmoo,0,73,8.2,2022-07-31T14:04:00.125Z,2022-08-01T03:51:11Z,3678685819,233,19,3678685795,286,,3678685793,56,Right,,,,,,,,,,,,,,,,3n02ng7medocg9rmg70pw2j1l,J. Ayunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911275,20,12,1,2,51,759fhii7hsnldanli06j5jmf6,1,26.9,86.6,2022-07-31T14:04:00.142Z,2022-08-01T07:22:05Z,3678685753,141,100.0,3679776051,167,,3678685751,140,33.7,3679776047,15,,3680459289,178,,3678685749,56,Back,3678685755,212,12.1,3678685757,213,0.9,8qv2da4sxpuw4h44jm4dz2j85,R. Lamie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911277,21,5,1,2,53,759fhii7hsnldanli06j5jmf6,0,33,101.2,2022-07-31T14:04:01.606Z,2022-08-01T03:51:23Z,3678685983,233,23,3678685761,56,Back,3678685763,347,,,,,,,,,,,,,,,,,8qv2da4sxpuw4h44jm4dz2j85,R. Lamie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
