id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist
2492040231,14,44,1,1,16,841zp0njrq63yv4fvw6lgf60q,1,60.2,71.2,2022-12-17T12:33:09.825Z,2022-12-17T18:51:06Z,3949729673,233,19,3949729669,56,Center,3949729671,286,,,,,,,,,,,,,,,,,8cpd4je0ku8wjumqeh3ruv10p,B. Miovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040227,19,44,1,1,16,dvnjvad3p09dugr79gktlrtll,0,39.8,28.8,2022-12-17T12:33:09.826Z,2022-12-17T17:43:46Z,3949729651,285,,3949729649,56,Back,3949729679,233,14,,,,,,,,,,,,,,,,cksi669gcnskpytzh70a43it,C. Starfelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040233,15,1,1,1,16,841zp0njrq63yv4fvw6lgf60q,0,60,73.3,2022-12-17T12:33:09.878Z,2022-12-17T18:51:07Z,3949729691,212,5.8,3949729683,168,,3949729681,3,,3949729693,213,0,3949729687,140,65.5,3949729689,141,73.3,3949729685,56,Center,3950451073,388,,8cpd4je0ku8wjumqeh3ruv10p,B. Miovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040235,20,49,1,1,18,dvnjvad3p09dugr79gktlrtll,1,37.4,26.5,2022-12-17T12:33:11.675Z,2022-12-17T17:43:53Z,,,,,,,,,,,,,,,,,,,,,,,,,c4dvhy1z0op9iwj9aqdgzh0q1,C. Carter-Vickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040241,21,1,1,1,18,dvnjvad3p09dugr79gktlrtll,0,37.4,26.5,2022-12-17T12:33:11.698Z,2022-12-17T17:43:58Z,3949729717,212,31.4,3949729719,213,0.0,3949729721,1,,3949729713,140,67.3,3949729715,141,28.8,3949729709,157,,3949729711,56,Center,3950451305,178,,c4dvhy1z0op9iwj9aqdgzh0q1,C. Carter-Vickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040245,16,1,1,1,20,841zp0njrq63yv4fvw6lgf60q,0,35.2,60.6,2022-12-17T12:33:14.134Z,2022-12-17T17:44:07Z,3949729725,3,,3949729731,141,44.2,3949729735,213,5.8,3949729733,212,23.7,3949729729,140,55.1,3950451493,388,,3949729727,56,Center,,,,53y4n4h9zi3d1l1f9jb9ytxhx,A. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040253,22,1,1,1,22,dvnjvad3p09dugr79gktlrtll,1,47.9,61.1,2022-12-17T12:33:16.273Z,2022-12-17T17:44:22Z,3950451861,178,,3949729765,213,1.9,3949729761,141,83.6,3949729763,212,16.3,3949729759,140,42.6,3949729757,56,Back,,,,,,,ed81nbya8j93qvelqdk79ustm,R. Hatate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040259,23,1,1,1,27,dvnjvad3p09dugr79gktlrtll,1,61.2,91.4,2022-12-17T12:33:21.197Z,2022-12-17T17:44:27Z,3949729795,212,12.0,3949729789,140,62.3,3949729797,213,4.8,3949729793,141,73.9,3950451921,178,,3949729785,56,Center,,,,,,,9fd3uggpu2opd1cuiwskjbhm1,G. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040265,24,1,1,1,29,dvnjvad3p09dugr79gktlrtll,1,62.3,73.9,2022-12-17T12:33:23.186Z,2022-12-17T17:44:31Z,3949729815,140,58.5,3950451999,178,,3949729821,213,4.3,3949729819,212,9.2,3949729813,56,Center,3949729817,141,61.7,,,,,,,ed81nbya8j93qvelqdk79ustm,R. Hatate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040275,25,1,1,1,31,dvnjvad3p09dugr79gktlrtll,1,57.8,57.9,2022-12-17T12:33:25.192Z,2022-12-17T17:44:36Z,3949729865,141,34.5,3949729861,56,Center,3950452095,178,,3949729869,213,4.5,3949729863,140,55.0,3949729867,212,16.2,,,,,,,cx59kxpqiabi3c5vl9mxvlyhh,C. McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
