id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/value,assist,qualifier/17/value
2493780351,14,1,1,1,50,66bsnl0zjb7l5akwo00h0y5me,1,44.1,9.8,2022-12-28T21:18:00.498Z,2022-12-30T13:36:06Z,3958986289,212,15.9,3960566095,178,,3958986287,141,1.3,3958986285,140,58.2,3958986283,56,Right,3958986291,213,5.9,,,,,,,3enoici51osego5k1w41fuaqd,Fábio Cardoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780361,15,1,1,1,52,66bsnl0zjb7l5akwo00h0y5me,1,56.8,2.5,2022-12-28T21:18:02.756Z,2022-12-30T13:36:12Z,3958986375,141,8.0,3958986379,213,2.8,3958986377,212,11.4,3958986373,140,46.5,3958986371,56,Back,3960566201,178,,,,,,,,dowh6oc93ggduous7ligguqne,João Mário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780375,16,1,1,1,54,66bsnl0zjb7l5akwo00h0y5me,1,46.5,8,2022-12-28T21:18:04.353Z,2022-12-30T13:36:16Z,3958986475,56,Back,3958986483,213,2.2,3958986477,140,39.1,3958986479,141,23.8,3960566261,178,,3958986481,212,13.3,,,,,,,3enoici51osego5k1w41fuaqd,Fábio Cardoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780397,17,1,1,1,57,66bsnl0zjb7l5akwo00h0y5me,1,42.5,26.6,2022-12-28T21:18:06.915Z,2022-12-30T13:36:21Z,3958986623,56,Back,3958986625,140,37.2,3960566331,178,,3958986631,213,1.8,3958986627,141,56.7,3958986629,212,21.2,,,,,,,5966ij9cde66bhi1g39kxia51,M. Grujić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780427,18,1,1,1,59,66bsnl0zjb7l5akwo00h0y5me,0,38.3,59.6,2022-12-28T21:18:09.651Z,2022-12-30T13:36:25Z,3958986789,155,,3958986797,212,43.3,3958986799,213,0.4,3960566349,178,,3958986791,56,Left,3958986801,1,,3958986793,140,77.0,3958986795,141,81.6,37usxvspofewb3djlg67lp1hx,Iván Marcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780467,14,8,1,2,2,dich5v7sw466smbqap0d9rbyj,1,22.3,18.4,2022-12-28T21:18:12.136Z,2022-12-30T13:36:34Z,3959370317,385,,3960566445,388,,3958987019,56,Back,3958987051,15,,,,,,,,,,,,,,bdgqvvkpadpthmlm40wa6dcyx,B. Milovanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780493,15,6,1,2,5,dich5v7sw466smbqap0d9rbyj,0,22.2,16.6,2022-12-28T21:18:14.859Z,2022-12-30T13:36:38Z,3958987161,73,,3958987199,233,19,3958987157,56,Back,,,,,,,,,,,,,,,,bdgqvvkpadpthmlm40wa6dcyx,B. Milovanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780471,19,6,1,2,5,66bsnl0zjb7l5akwo00h0y5me,1,77.8,83.4,2022-12-28T21:18:14.859Z,2022-12-30T13:36:39Z,3958987189,233,15,3958987031,73,,3958987029,56,Left,,,,,,,,,,,,,,,,37usxvspofewb3djlg67lp1hx,Iván Marcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493780647,20,1,1,2,26,66bsnl0zjb7l5akwo00h0y5me,1,99.5,99.5,2022-12-28T21:18:36.386Z,2022-12-30T13:36:47Z,3959370393,20,,3958987959,212,41.4,3958987939,155,,3960566723,178,,3958987951,140,96.5,3958987969,1,,3958987963,213,4.6,3958987947,56,Center,8y0e1y90ih393h7zv7srfot79,Otávio,,3958987937,6,,3958987935,2,3958987943,223,3958987955,141,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493787717,207,44,1,2,28,66bsnl0zjb7l5akwo00h0y5me,1,95.2,41.8,2022-12-28T21:18:38.086Z,2022-12-30T17:56:54Z,3959027211,56,Center,3959027213,286,,3959027215,233,19,,,,,,,,,,,,,,,,37usxvspofewb3djlg67lp1hx,Iván Marcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
