id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2499212223,8,1,1,0,49,491xixnlsp75o7cr3w2gc1o0z,1,32.9,5.2,2023-01-21T15:30:14.991Z,2023-01-24T05:05:30Z,3991938957,189,,3987603887,213,2.2,3987603875,5,,3987603881,140,23.9,3987603877,152,,3992685505,178,,3987603883,141,26.1,3987603885,212,17.1,3zndvhinobvclra6m0y47drrp,J. Delgado,3987603879,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499212259,9,1,1,0,51,491xixnlsp75o7cr3w2gc1o0z,1,23.9,26.1,2023-01-21T15:30:16.836Z,2023-01-24T05:05:36Z,3987604091,56,Back,3992685537,178,,3987604109,212,22.2,3987604113,213,1.5,3987604097,140,25.6,3987604101,141,58.7,,,,,,,fwnnz9wriid0xznpbpdy82s4,Nuno Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499212267,10,1,1,0,54,491xixnlsp75o7cr3w2gc1o0z,1,25.6,58.7,2023-01-21T15:30:19.662Z,2023-01-24T05:05:40Z,3992685561,178,,3987604177,141,31.5,3987604185,213,5.0,3987604181,212,19.1,3987604173,56,Back,3987604175,140,30.2,,,,,,,19mq6gsvnfvnzugpbfwniqj1l,Maracás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499212319,11,1,1,0,56,491xixnlsp75o7cr3w2gc1o0z,1,33.6,24.9,2023-01-21T15:30:21.966Z,2023-01-24T05:07:22Z,3987604519,141,3.4,3987604517,140,41.8,3987604521,212,17.0,3992685647,178,,3987604523,213,5.2,3987604515,56,Back,,,,,,,fwnnz9wriid0xznpbpdy82s4,Nuno Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499212413,12,1,1,0,58,491xixnlsp75o7cr3w2gc1o0z,1,40.5,9.1,2023-01-21T15:30:24.350Z,2023-01-24T05:05:57Z,3987605089,56,Back,3987605091,140,32.2,3987605097,213,2.3,3992685717,178,,3987605095,212,12.4,3987605093,141,22.1,,,,,,,3zndvhinobvclra6m0y47drrp,J. Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499212461,13,1,1,1,3,491xixnlsp75o7cr3w2gc1o0z,1,35,18.3,2023-01-21T15:30:29.207Z,2023-01-24T05:07:36Z,3987605363,56,Back,3987605373,212,10.4,3987605375,213,5.2,3987605371,141,4.9,3987605367,140,39.7,3992686553,178,,,,,,,,fwnnz9wriid0xznpbpdy82s4,Nuno Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499212569,14,1,1,1,6,491xixnlsp75o7cr3w2gc1o0z,1,39.5,3.8,2023-01-21T15:30:31.751Z,2023-01-24T05:07:46Z,3987605925,56,Back,3987605927,140,24.3,3987605931,212,17.3,3987605933,213,2.7,3987605929,141,13.8,3992686643,178,,,,,,,,3zndvhinobvclra6m0y47drrp,J. Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499212703,15,1,1,1,11,491xixnlsp75o7cr3w2gc1o0z,1,35.4,13.7,2023-01-21T15:30:36.990Z,2023-01-24T05:07:57Z,3987606665,56,Back,3987606673,141,37.1,3987606679,213,2.4,3987606677,212,24.9,3992686729,178,,3987606669,140,17.2,,,,,,,fwnnz9wriid0xznpbpdy82s4,Nuno Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499212761,16,1,1,1,14,491xixnlsp75o7cr3w2gc1o0z,1,15.7,44.2,2023-01-21T15:30:40.206Z,2023-01-24T05:08:02Z,3987606941,141,75.4,3987606939,140,25.7,3992686775,178,,3987606937,56,Back,3987606945,213,1.1,3987606943,212,23.7,,,,,,,1k5y6mool4qz2xtg6mp892vh1,Marafona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499212925,17,1,1,1,19,491xixnlsp75o7cr3w2gc1o0z,1,23,73.2,2023-01-21T15:30:44.772Z,2023-01-24T05:08:09Z,3992686815,178,,3987607879,140,9.1,3987607877,56,Back,3987607883,212,20.6,3987607885,213,3.9,3987607881,141,51.8,,,,,,,19mq6gsvnfvnzugpbfwniqj1l,Maracás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
