id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,assist,qualifier/19/id,qualifier/19/qualifierId
2515357407,14,74,1,0,31,7catg5lpivcmpf4xhggh6d8rk,1,74.7,66.7,2023-03-04T18:00:29.856Z,2023-03-07T08:50:48Z,4079907233,178,,4072525113,56,Center,4072525115,285,,4072525243,233,9,,,,,,,,,,,,,2m5jzeksbet8ltn3shk2exox6,Youssef Chermiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357461,10,5,1,0,34,co1i764h6b02husae71w6scs8,1,24.7,-1,2023-03-04T18:00:32.737Z,2023-03-07T08:50:53Z,4072525411,347,,4072525409,56,Back,4072525605,233,15,,,,,,,,,,,,,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357487,15,5,1,0,34,7catg5lpivcmpf4xhggh6d8rk,0,75.3,101,2023-03-04T18:00:32.737Z,2023-03-07T08:50:53Z,4072525551,56,Left,4072525553,347,,4072525651,233,10,,,,,,,,,,,,,,,,2m5jzeksbet8ltn3shk2exox6,Youssef Chermiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357739,11,1,1,0,51,co1i764h6b02husae71w6scs8,1,30.2,0,2023-03-04T18:00:49.158Z,2023-03-07T08:50:57Z,4072526701,140,39.4,4072526703,141,5.6,4072526697,107,,4072526707,213,0.5,4072526705,212,10.8,4072526699,56,Back,,,,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357749,12,1,1,0,52,co1i764h6b02husae71w6scs8,0,39.4,5.6,2023-03-04T18:00:50.352Z,2023-03-07T08:51:05Z,4079907549,178,,4072526747,213,1.2,4072701959,168,,4072526741,140,41.8,4072526739,56,Back,4072526743,141,15.5,4072526745,212,7.2,,,,db6kkpr65v0zlrlx1cr5almcq,Z. Ouattara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357775,17,1,1,0,53,7catg5lpivcmpf4xhggh6d8rk,1,54,82.9,2023-03-04T18:00:51.628Z,2023-03-07T08:51:14Z,4072526891,141,85.0,4079907735,178,,4072526893,212,7.8,4072526887,56,Left,4072526895,213,0.2,4072526889,140,61.3,,,,,,,d9i8y5vlymc2yggwxrax8wcbu,H. Morita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357779,18,49,1,0,54,7catg5lpivcmpf4xhggh6d8rk,1,61.3,85,2023-03-04T18:00:52.233Z,2023-03-07T08:51:18Z,,,,,,,,,,,,,,,,,,,,,,,,,eee0bq4dkdn91l81e8cf1zxpm,Pote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357795,19,3,1,0,54,7catg5lpivcmpf4xhggh6d8rk,0,59.7,92.7,2023-03-04T18:00:53.003Z,2023-03-07T08:51:25Z,4079907917,178,,4072527087,233,13,4078727395,464,,4072527001,286,,4072526999,56,Left,,,,,,,,,,eee0bq4dkdn91l81e8cf1zxpm,Pote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357797,13,7,1,0,54,co1i764h6b02husae71w6scs8,1,40.3,7.3,2023-03-04T18:00:53.089Z,2023-03-07T08:51:28Z,4072527003,56,Back,4072527071,233,19,4078727411,384,,4072527005,285,,4079908027,178,,,,,,,,,,,db6kkpr65v0zlrlx1cr5almcq,Z. Ouattara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515357825,14,49,1,0,56,co1i764h6b02husae71w6scs8,1,43.2,25.1,2023-03-04T18:00:54.605Z,2023-03-07T08:51:36Z,,,,,,,,,,,,,,,,,,,,,,,,,82fjdh9q4378gd1g9l1bimrx1,Welinton Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
