id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/14/value,qualifier/17/value,qualifier/15/value
2469739613,17,1,1,0,47,3b4nxgvmwzstmoq6borytkwx1,1,4.9,53.6,2022-10-09T14:33:14.131Z,2022-10-12T03:58:31Z,3832048369,213,5.1,3832048365,141,21.3,3832048353,56,Back,3832048361,140,13.5,3832048367,212,23.7,3837696195,178,,,,,,,,ekjpc2tvdk5jtiamtufdqkr85,Rafael Bracali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739643,18,1,1,0,49,3b4nxgvmwzstmoq6borytkwx1,1,13.5,22.2,2022-10-09T14:33:16.761Z,2022-10-12T03:58:34Z,3832048523,212,16.4,3832048521,141,42.4,3832048519,140,5.0,3837696217,178,,3832048525,213,2.1,3832048517,56,Back,,,,,,,3weuuu2vlyod9x7gnk2v9r1ed,V. Sasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739703,19,1,1,0,53,3b4nxgvmwzstmoq6borytkwx1,1,5,42.4,2022-10-09T14:33:19.952Z,2022-10-12T03:58:38Z,3832048881,212,22.2,3832048877,140,11.5,3832048883,213,1.3,3837696255,178,,3832048879,141,73.5,3832048875,56,Back,,,,,,,ekjpc2tvdk5jtiamtufdqkr85,Rafael Bracali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739789,20,1,1,0,55,3b4nxgvmwzstmoq6borytkwx1,1,11.9,75.6,2022-10-09T14:33:22.575Z,2022-10-12T03:58:44Z,3832049289,140,20.2,3832049295,213,0.9,3837696283,178,,3832049291,141,92.1,3832049287,56,Back,3832049293,212,14.2,,,,,,,7aak50ydu8nrfxd9qndeygnpw,S. Onyemaechi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470788677,948,43,1,1,1,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2022-10-09T14:33:28.417Z,2022-10-12T04:26:23Z,3837713751,144,82,3837713739,178,0,,,,,,,,,,,,,,,,,,,eyllkbdemtx2seh48r9l3czbp,G. Makouta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739841,21,1,1,1,2,3b4nxgvmwzstmoq6borytkwx1,1,27,55.7,2022-10-09T14:33:29.329Z,2022-10-12T03:59:01Z,3832049637,56,Back,3832049641,141,17.7,3837696351,178,,3832049639,140,33.9,3832049645,213,5.0,3832049643,212,26.8,,,,,,,eyllkbdemtx2seh48r9l3czbp,G. Makouta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469739901,22,1,1,1,5,3b4nxgvmwzstmoq6borytkwx1,1,33.9,18,2022-10-09T14:33:32.210Z,2022-10-12T03:59:03Z,3832049937,213,1.9,3832049929,141,44.2,3832049925,56,Back,3832049927,140,28.5,3837696395,178,,3832049933,212,18.7,,,,,,,3weuuu2vlyod9x7gnk2v9r1ed,V. Sasso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469740011,23,1,1,1,8,3b4nxgvmwzstmoq6borytkwx1,1,29,56,2022-10-09T14:33:35.144Z,2022-10-12T03:59:08Z,3832050473,212,21.5,3837696475,178,,3832050475,213,0.6,3832050467,56,Back,3832050471,141,74.2,3832050469,140,45.8,,,,,,,c406oul95r3jvmbebcge5oz4l,R. Abascal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469740037,24,1,1,1,13,3b4nxgvmwzstmoq6borytkwx1,1,64.7,69.1,2022-10-09T14:33:40.388Z,2022-10-12T03:59:20Z,3832050627,56,Left,3832050635,213,1.0,3837696549,178,,3832050631,141,92.6,3832050629,140,74.8,3832050633,212,19.2,,,,,,,rm1d0hp2iwsne1hbfgq0oa21,Y. Njie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469740057,25,1,1,1,15,3b4nxgvmwzstmoq6borytkwx1,0,74.8,92.6,2022-10-09T14:33:42.755Z,2022-10-12T03:59:23Z,3837696569,178,,3832050753,141,84.1,3832050749,56,Left,3832050755,212,6.1,3832050757,213,4.4,3832050751,140,73.0,,,,,,,4ax49niuix9tiqdv05y3vbdn9,Ricardo Mangas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
