id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value,assist,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2502661605,15,1,1,0,51,bwt8yfk8rkcwiwyr0mopd7wqd,1,21.3,50.7,2023-01-31T19:01:59.997Z,2023-02-02T09:43:00Z,4005647991,141,66.5,4005647995,213,1.4,4007771649,178,,4005647993,212,11.0,4005647989,140,23.4,4005647987,56,Back,,,,,,,30bhky4x90yqfyzhsawfz6pcl,S. Kritsyuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661623,16,1,1,0,53,bwt8yfk8rkcwiwyr0mopd7wqd,1,23.8,65.1,2023-01-31T19:02:01.420Z,2023-02-02T09:43:05Z,4005648063,212,12.8,4007771825,178,,4005648059,140,17.3,4005648057,56,Back,4005648065,213,4.2,4005648061,141,49.1,,,,,,,as0t8xi6k6nl4l06g23u3jcru,Tomás Araújo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661631,17,1,1,0,59,bwt8yfk8rkcwiwyr0mopd7wqd,1,21.7,39.5,2023-01-31T19:02:07.272Z,2023-02-02T09:43:09Z,4005648101,56,Back,4005648105,141,48.2,4005648099,155,,4005648109,213,0.2,4005648107,212,26.6,4005648103,140,46.4,4007771925,178,,,,,30bhky4x90yqfyzhsawfz6pcl,S. Kritsyuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661633,18,44,1,1,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,46.6,51.6,2023-01-31T19:02:08.996Z,2023-02-02T11:03:15Z,4005648115,56,Back,4005648117,285,,4005648165,233,7,,,,,,,,,,,,,,,,rzxtat0t3okt8tikf5mvdxm2,K. Fujimoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661643,7,44,1,1,0,491xixnlsp75o7cr3w2gc1o0z,0,53.4,48.4,2023-01-31T19:02:08.997Z,2023-02-02T09:43:13Z,4005648171,233,18,4005648147,56,Center,4005648149,286,,,,,,,,,,,,,,,,,8dyozmfhm4x9hwqqpa6hcri6t,Rui Pires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661639,19,1,1,1,0,bwt8yfk8rkcwiwyr0mopd7wqd,0,46.4,48.2,2023-01-31T19:02:09.037Z,2023-02-02T11:03:15Z,4005648141,213,0.1,4005648133,56,Center,4007772109,388,,4005648139,212,22.3,4005648137,141,52.7,4005648129,3,,4005648135,140,67.4,4005648131,168,,rzxtat0t3okt8tikf5mvdxm2,K. Fujimoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661655,8,1,1,1,2,491xixnlsp75o7cr3w2gc1o0z,1,29,42.2,2023-01-31T19:02:11.044Z,2023-02-02T09:43:20Z,4005648195,213,1.6,4005648191,141,62.0,4007772173,178,,4005648185,3,,4005648187,56,Back,4005648189,140,28.1,4005648193,212,13.5,,,,fwnnz9wriid0xznpbpdy82s4,Nuno Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661657,9,49,1,1,5,491xixnlsp75o7cr3w2gc1o0z,1,28.5,60.8,2023-01-31T19:02:13.251Z,2023-02-02T09:43:28Z,,,,,,,,,,,,,,,,,,,,,,,,,19mq6gsvnfvnzugpbfwniqj1l,Maracás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661673,10,1,1,1,5,491xixnlsp75o7cr3w2gc1o0z,1,28.3,60.9,2023-01-31T19:02:13.288Z,2023-02-02T09:43:31Z,4005648253,213,3.5,4007772379,178,,4005648245,56,Back,4005648251,212,23.6,4005648247,140,7.6,4005648249,141,47.5,,,,,,,19mq6gsvnfvnzugpbfwniqj1l,Maracás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661695,11,1,1,1,11,491xixnlsp75o7cr3w2gc1o0z,1,7.9,49.6,2023-01-31T19:02:19.658Z,2023-02-02T09:43:35Z,4005648355,213,1.3,4005648351,141,78.1,4005648349,140,12.5,4007772453,178,,4005648347,56,Back,4005648353,212,20.0,,,,,,,1k5y6mool4qz2xtg6mp892vh1,Marafona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661707,12,1,1,1,14,491xixnlsp75o7cr3w2gc1o0z,1,12.8,76.7,2023-01-31T19:02:22.749Z,2023-02-02T09:43:38Z,4005648389,140,2.7,4005648393,212,16.9,4005648387,56,Back,4007772521,178,,4005648395,213,4.0,4005648391,141,57.3,,,,,,,19mq6gsvnfvnzugpbfwniqj1l,Maracás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661713,13,1,1,1,17,491xixnlsp75o7cr3w2gc1o0z,1,2.8,51.9,2023-01-31T19:02:25.670Z,2023-02-02T09:43:43Z,4005648411,141,25.9,4005648415,213,5.0,4005648409,140,8.1,4005648407,56,Back,4007772613,178,,4005648413,212,18.5,,,,,,,1k5y6mool4qz2xtg6mp892vh1,Marafona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661725,14,1,1,1,21,491xixnlsp75o7cr3w2gc1o0z,1,8.1,17.1,2023-01-31T19:02:29.616Z,2023-02-02T09:43:49Z,4005648445,213,2.0,4005648441,141,34.8,4007772777,178,,4005648437,56,Back,4005648439,140,2.7,4005648443,212,13.3,,,,,,,fwnnz9wriid0xznpbpdy82s4,Nuno Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661729,15,1,1,1,24,491xixnlsp75o7cr3w2gc1o0z,0,1.9,37.1,2023-01-31T19:02:32.305Z,2023-02-02T09:43:54Z,4005648463,1,,4005648455,140,19.5,4005648451,155,,4007772887,178,,4005648457,141,75.9,4005648459,212,32.2,4005648461,213,1.0,4005648453,56,Back,1k5y6mool4qz2xtg6mp892vh1,Marafona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661727,20,8,1,1,25,bwt8yfk8rkcwiwyr0mopd7wqd,1,78,15.8,2023-01-31T19:02:33.998Z,2023-02-02T09:44:00Z,4005648449,56,Right,4007773061,178,,4006533493,385,,,,,,,,,,,,,,,,,ebaganzllbxfacvobgmsu1045,Murilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661771,16,5,1,1,27,491xixnlsp75o7cr3w2gc1o0z,1,24.4,100.8,2023-01-31T19:02:35.892Z,2023-02-02T09:44:20Z,4005648601,347,,4005648603,233,21,4005648599,56,Back,,,,,,,,,,,,,,,,1k5y6mool4qz2xtg6mp892vh1,Marafona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661733,21,5,1,1,27,bwt8yfk8rkcwiwyr0mopd7wqd,0,75.6,-0.8,2023-01-31T19:02:35.892Z,2023-02-02T09:44:20Z,4005648611,233,16,4005648469,56,Right,4005648471,347,,,,,,,,,,,,,,,,,ebaganzllbxfacvobgmsu1045,Murilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
