id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/9/value,qualifier/12/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2456037077,11,1,1,0,40,co1i764h6b02husae71w6scs8,0,73.4,67.6,2022-09-04T19:32:51.386Z,2022-09-07T09:40:39Z,3759179935,140,74.1,3759179941,213,0.9,3763750647,178,,3759179933,56,Center,3759179937,141,69.1,3759179939,212,1.3,,,,,,,1c0ymbcylpp4ty7n34inspffu,Luquinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037065,11,8,1,0,41,5c0sf1eaipcxvdw9o22of2jdp,1,25.3,36.1,2022-09-04T19:32:52.097Z,2022-09-07T09:40:21Z,3762605943,384,,3763751509,178,,3759179857,56,Back,,,,,,,,,,,,,,,,1u9sn1cu0pq16mina2q6d6dwp,S. Colombatto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037105,12,1,1,0,42,5c0sf1eaipcxvdw9o22of2jdp,0,22.7,38.2,2022-09-04T19:32:53.021Z,2022-09-07T09:41:01Z,3759180133,213,1.0,3759180127,140,48.0,3759180131,212,50.9,3759180123,157,,3759180129,141,100.0,3759180125,56,Back,3759180135,1,,3763752887,178,,1zteujk5u3rpr028priato4bt,Riccieli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037175,12,5,1,0,47,co1i764h6b02husae71w6scs8,1,51.4,-1.8,2022-09-04T19:32:58.602Z,2022-09-07T09:41:05Z,3759180457,56,Right,3759180469,233,13,3759180459,347,,,,,,,,,,,,,,,,,1c0ymbcylpp4ty7n34inspffu,Luquinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037107,13,5,1,0,47,5c0sf1eaipcxvdw9o22of2jdp,0,48.6,101.8,2022-09-04T19:32:58.602Z,2022-09-07T09:41:05Z,3759180137,56,Back,3759180139,347,,3759180499,233,12,,,,,,,,,,,,,,,,1zteujk5u3rpr028priato4bt,Riccieli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037219,13,1,1,0,51,co1i764h6b02husae71w6scs8,1,46.3,0,2022-09-04T19:33:01.834Z,2022-09-07T09:41:10Z,3759180705,140,51.7,3759180701,107,,3759180703,56,Right,3759180711,213,0.9,3759180707,141,9.7,3759180709,212,9.7,,,,,,,6gmfcfqd1o54zyepd9587nlqt,F. Moufi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037255,14,1,1,0,53,co1i764h6b02husae71w6scs8,1,46.5,12.5,2022-09-04T19:33:04.099Z,2022-09-07T09:41:14Z,3763753163,178,,3759180897,56,Back,3759180899,140,29.4,3759180905,213,2.8,3759180903,212,19.3,3759180901,141,22.8,,,,,,,1c0ymbcylpp4ty7n34inspffu,Luquinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037289,15,1,1,0,56,co1i764h6b02husae71w6scs8,1,29.4,22.8,2022-09-04T19:33:07.083Z,2022-09-07T09:41:22Z,3763753325,178,,3759181105,56,Back,3759181111,212,30.9,3759181113,213,1.6,3759181109,141,68.2,3759181107,140,28.7,,,,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037345,16,1,1,0,59,co1i764h6b02husae71w6scs8,1,28.7,63.3,2022-09-04T19:33:10.579Z,2022-09-07T09:41:26Z,3763753379,178,,3759181419,140,25.5,3759181417,56,Back,3759181425,213,4.6,3759181423,212,24.9,3759181421,141,27.0,,,,,,,cgtz4fa0mz9poi4ju8bjtbwiy,Filipe Relvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037401,17,1,1,1,3,co1i764h6b02husae71w6scs8,1,26.2,27,2022-09-04T19:33:14.604Z,2022-09-07T09:41:33Z,3759181721,213,1.6,3759181719,212,24.2,3759181717,141,62.6,3759181715,140,26.4,3763753553,178,,3759181713,56,Back,,,,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037443,18,1,1,1,7,co1i764h6b02husae71w6scs8,0,28.3,72.4,2022-09-04T19:33:18.096Z,2022-09-07T09:41:37Z,3759181945,1,,3759181939,141,86.2,3759181937,140,78.0,3759181941,212,53.0,3759181943,213,0.2,3763753633,178,,3759181933,155,,3759181935,56,Left,cgtz4fa0mz9poi4ju8bjtbwiy,Filipe Relvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037459,14,1,1,1,10,5c0sf1eaipcxvdw9o22of2jdp,0,22.4,8.8,2022-09-04T19:33:21.336Z,2022-09-07T09:41:41Z,3759182041,141,0.0,3759182043,212,13.9,3759182045,213,5.7,3759182039,140,33.6,3759182037,56,Back,3759182035,3,,3763753703,388,,,,,1zteujk5u3rpr028priato4bt,Riccieli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037465,15,5,1,1,18,5c0sf1eaipcxvdw9o22of2jdp,0,30,-1.6,2022-09-04T19:33:28.782Z,2022-09-07T09:41:55Z,3759182077,347,,3759182075,56,Back,3759182769,233,19,,,,,,,,,,,,,,,,1zteujk5u3rpr028priato4bt,Riccieli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037571,19,5,1,1,18,co1i764h6b02husae71w6scs8,1,70,101.6,2022-09-04T19:33:28.782Z,2022-09-07T09:41:55Z,3759182711,233,15,3759182703,56,Left,3759182705,347,,,,,,,,,,,,,,,,,cgtz4fa0mz9poi4ju8bjtbwiy,Filipe Relvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037611,20,1,1,1,21,co1i764h6b02husae71w6scs8,1,73.6,100,2022-09-04T19:33:31.917Z,2022-09-07T09:42:01Z,3759182939,107,,3759182945,141,91.2,3759182953,1,,3759182943,140,46.8,3759182941,56,Back,3759182949,213,3.4,3759182947,212,28.9,,,,f29gq7ixyjd9m22yhmb7c7oq1,M. Seck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037685,21,1,1,1,25,co1i764h6b02husae71w6scs8,1,46.2,88,2022-09-04T19:33:35.742Z,2022-09-07T09:42:06Z,3759183373,141,57.0,3759183371,140,34.9,3759183367,56,Back,3759183375,212,24.2,3763754101,178,,3759183377,213,4.2,,,,,,,cgtz4fa0mz9poi4ju8bjtbwiy,Filipe Relvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037719,22,1,1,1,30,co1i764h6b02husae71w6scs8,1,35.3,47,2022-09-04T19:33:40.688Z,2022-09-07T09:42:17Z,3759183523,212,19.6,3759183521,141,18.3,3759183519,140,36.4,3763754265,178,,3759183517,56,Back,3759183525,213,4.8,,,,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037775,23,1,1,1,31,co1i764h6b02husae71w6scs8,1,36.4,18.3,2022-09-04T19:33:42.391Z,2022-09-07T09:42:20Z,3759183791,140,15.7,3759183793,141,51.8,3759183797,213,2.3,3759183789,56,Back,3759183795,212,31.5,3763754315,178,,,,,,,,9lwpckbeu2ymqlmq6288bdjvt,Henrique Jocú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037843,24,1,1,1,37,co1i764h6b02husae71w6scs8,1,18.4,51.9,2022-09-04T19:33:48.171Z,2022-09-07T09:42:23Z,3759184117,212,55.2,3759184119,213,0.5,3759184109,155,,3759184121,1,,3759184113,140,64.8,3763754359,178,,3759184111,56,Left,3759184115,141,90.2,cpf5wp34pu80qzvcwakjhh905,K. Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037855,25,44,1,1,40,co1i764h6b02husae71w6scs8,1,65.3,90.1,2022-09-04T19:33:51.422Z,2022-09-07T10:36:10Z,3759184205,233,16,3759184181,56,Left,3759184183,286,,,,,,,,,,,,,,,,,f29gq7ixyjd9m22yhmb7c7oq1,M. Seck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
