id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2461308747,16,1,1,0,47,66bsnl0zjb7l5akwo00h0y5me,0,22.9,34.9,2022-09-17T17:01:53.855Z,2022-09-20T07:11:57Z,3787172193,56,Center,3787172195,140,51.1,3787172197,141,46.7,3787441355,1,,3787441353,157,,3787172199,212,30.7,3794401445,178,,3787172201,213,0.3,5m1fht9uevn186asz8awhxjah,Rodrigo Conceição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308771,7,1,1,0,50,22mo7qbsnyi8wtucpvhgvhw2q,0,46,59.4,2022-09-17T17:01:56.709Z,2022-09-20T07:12:09Z,3787172343,56,Center,3787172345,140,60.8,3787172349,212,15.7,3787172347,141,63.0,3794401677,178,,3787172351,213,0.2,3787172341,3,,,,,dzq4gg917idfq1rhng1coi5uc,Bernardo Vital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308829,17,1,1,0,52,66bsnl0zjb7l5akwo00h0y5me,1,35,37.3,2022-09-17T17:01:57.897Z,2022-09-20T07:12:15Z,3787172671,56,Back,3787442027,155,,3787172673,140,41.3,3787172675,141,10.8,3787172679,213,5.1,3794401799,178,,3787172677,212,19.2,,,,el6dn7kq3815p2zd4rppzzw7p,M. Uribe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308867,18,1,1,0,55,66bsnl0zjb7l5akwo00h0y5me,1,43.7,6.2,2022-09-17T17:02:01.007Z,2022-09-20T07:12:54Z,3787172865,56,Back,3787172863,3,,3787172869,141,9.9,3787172873,213,2.9,3787172867,140,34.5,3794402483,388,,3787172871,212,10.0,,,,4j6h9mgau5uaxlm589qlc6rjd,André Franco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308869,19,4,1,0,56,66bsnl0zjb7l5akwo00h0y5me,1,31.8,9.1,2022-09-17T17:02:02.081Z,2022-09-20T07:13:01Z,3787172879,56,Back,3787172881,152,,3787172877,13,,3787172883,265,,3787172937,233,8,3787172885,285,,,,,,,,5m1fht9uevn186asz8awhxjah,Rodrigo Conceição,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308875,8,4,1,0,56,22mo7qbsnyi8wtucpvhgvhw2q,0,68.2,90.9,2022-09-17T17:02:02.082Z,2022-09-20T07:13:00Z,3787172945,286,,3794402593,178,,3787172941,233,19,3787172919,265,,3787172917,152,,3787172913,13,,3787172915,56,Left,,,,dqpofsnyszazhkp0t7gtlfi3u,Rodrigo Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309187,20,1,1,1,7,66bsnl0zjb7l5akwo00h0y5me,1,26,12,2022-09-17T17:02:13.392Z,2022-09-20T07:13:03Z,3787174505,213,1.8,3787174503,212,9.7,3787194775,189,,3794402649,178,,3787174499,140,24.1,3787174501,141,25.9,3787174497,56,Back,3787174495,152,,5m1fht9uevn186asz8awhxjah,Rodrigo Conceição,3787174493,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309223,21,1,1,1,17,66bsnl0zjb7l5akwo00h0y5me,0,36.5,24.4,2022-09-17T17:02:23.679Z,2022-09-20T07:13:10Z,3787174723,212,33.2,3787174713,56,Center,3787174719,141,28.5,3787174727,213,0.1,3787174717,140,68.0,3794402753,178,,3787174709,155,,3787174731,1,,3enoici51osego5k1w41fuaqd,Fábio Cardoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309289,9,1,1,1,20,22mo7qbsnyi8wtucpvhgvhw2q,0,24.2,70.3,2022-09-17T17:02:25.951Z,2022-09-20T07:15:27Z,3787175069,212,14.3,3794405095,388,,3787175065,141,59.4,3787175059,140,35.8,3787175071,213,5.7,3787175049,3,,3787175055,56,Back,,,,dzq4gg917idfq1rhng1coi5uc,Bernardo Vital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461309285,22,44,1,1,21,66bsnl0zjb7l5akwo00h0y5me,1,64.2,42.3,2022-09-17T17:02:27.667Z,2022-09-20T09:50:45Z,3787175041,56,Center,3787175043,286,,3787175131,233,10,,,,,,,,,,,,,,,,cpmfjroqtibaahb1dr66pl2i1,S. Eustáquio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
