id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/11/value,qualifier/15/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2458968455,3,8,1,0,16,26t6lvlpql4w5wu1ih73qpy36,1,56,94.5,2022-09-11T19:30:27.518Z,2022-09-13T11:52:45Z,3777369189,178,,3774765215,56,Left,3775733433,383,,,,,,,,,,,,,,,,,c8s3kzk7jpdpp5ctzqkzh9vit,Nuno Sequeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968475,4,49,1,0,17,26t6lvlpql4w5wu1ih73qpy36,1,56,94.5,2022-09-11T19:30:28.941Z,2022-09-13T11:53:08Z,,,,,,,,,,,,,,,,,,,,,,,,,c8s3kzk7jpdpp5ctzqkzh9vit,Nuno Sequeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968523,5,1,1,0,17,26t6lvlpql4w5wu1ih73qpy36,1,56,94.5,2022-09-11T19:30:29.018Z,2022-09-13T11:53:14Z,3777369893,178,,3774765569,141,96.3,3774765567,140,62.3,3774765573,213,0.2,3774765571,212,6.7,3774765565,56,Left,,,,,,,c8s3kzk7jpdpp5ctzqkzh9vit,Nuno Sequeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459715775,998,67,1,0,18,26t6lvlpql4w5wu1ih73qpy36,1,63.2,96.3,2022-09-11T19:30:30.233Z,2022-09-14T05:49:05Z,3778728651,233,981,,,,,,,,,,,,,,,,,,,,,,5l9ilx0kwbny81lykqksoz9w5,Ricardo Horta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459715767,981,67,1,0,18,cgvbluoerzbzcr7aaxge3wkcv,0,36.8,3.7,2022-09-11T19:30:30.234Z,2022-09-14T03:37:07Z,3778728659,233,998,,,,,,,,,,,,,,,,,,,,,,degqtleco9n5tlt0yz3q5t9ii,Costinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459715783,999,43,1,0,18,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2022-09-11T19:30:30.234Z,2022-09-14T05:44:48Z,3778778611,144,82,3778728677,178,0,,,,,,,,,,,,,,,,,,,5l9ilx0kwbny81lykqksoz9w5,Ricardo Horta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968529,6,1,1,0,19,26t6lvlpql4w5wu1ih73qpy36,0,62.5,96.5,2022-09-11T19:30:30.303Z,2022-09-13T11:53:49Z,3774765603,140,64.2,3774765817,286,,3774765607,212,1.8,3774765609,213,0,3777370935,178,,3774765813,233,9,3774765601,56,Left,3774765605,141,96.5,5l9ilx0kwbny81lykqksoz9w5,Ricardo Horta,3774765811,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968563,9,74,1,0,19,cgvbluoerzbzcr7aaxge3wkcv,1,26.7,3.7,2022-09-11T19:30:30.322Z,2022-09-13T11:54:04Z,3774765771,56,Back,3774765773,285,,3777371225,178,,3774765855,233,6,,,,,,,,,,,,,degqtleco9n5tlt0yz3q5t9ii,Costinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968611,7,5,1,0,20,26t6lvlpql4w5wu1ih73qpy36,1,70.2,101.8,2022-09-11T19:30:31.756Z,2022-09-13T11:54:23Z,3774766071,56,Left,3774766103,233,10,3774766073,347,,,,,,,,,,,,,,,,,5l9ilx0kwbny81lykqksoz9w5,Ricardo Horta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968581,10,5,1,0,20,cgvbluoerzbzcr7aaxge3wkcv,0,29.8,-1.8,2022-09-11T19:30:31.756Z,2022-09-13T11:54:23Z,3774766137,233,7,3774765887,347,,3774765885,56,Back,,,,,,,,,,,,,,,,degqtleco9n5tlt0yz3q5t9ii,Costinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968657,8,1,1,0,27,26t6lvlpql4w5wu1ih73qpy36,1,64.8,100,2022-09-11T19:30:38.487Z,2022-09-13T11:54:39Z,3774766357,1,,3774766345,107,,3774766355,213,3.3,3774766353,212,25.8,3774766351,141,94.5,3774766349,140,40.7,3774766347,56,Back,,,,c8s3kzk7jpdpp5ctzqkzh9vit,Nuno Sequeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968737,9,1,1,0,31,26t6lvlpql4w5wu1ih73qpy36,1,35.8,71.7,2022-09-11T19:30:42.872Z,2022-09-13T11:54:46Z,3774766773,56,Back,3774766775,140,36.6,3777372053,178,,3774766777,141,34.0,3774766779,212,25.6,3774766781,213,4.7,,,,,,,1l93qv71yu7ohs9ida8cx2zqi,Bruno Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968781,10,1,1,0,33,26t6lvlpql4w5wu1ih73qpy36,1,36.6,34,2022-09-11T19:30:44.349Z,2022-09-13T11:54:52Z,3774767013,141,41.6,3774767011,140,19.4,3774767017,213,2.9,3774767015,212,18.8,3774767009,56,Back,3777372183,178,,,,,,,,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968811,11,1,1,0,37,26t6lvlpql4w5wu1ih73qpy36,0,19.4,41.6,2022-09-11T19:30:49.070Z,2022-09-13T11:55:02Z,3774767171,213,6.2,3774767173,1,,3774767165,140,63.3,3774767163,56,Center,3774767161,157,,3777372421,178,,3774767167,141,35.8,3774767169,212,46.3,5nlzolv5bg03eiopba58rs251,Matheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968825,11,44,1,0,40,cgvbluoerzbzcr7aaxge3wkcv,1,35.4,64,2022-09-11T19:30:51.663Z,2022-09-14T05:44:15Z,3774767221,285,,3774767367,233,12,3774767219,56,Back,,,,,,,,,,,,,,,,75znincjirp1z8bcw9nhztxat,Aderllan Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968847,12,44,1,0,40,26t6lvlpql4w5wu1ih73qpy36,0,64.6,36,2022-09-11T19:30:51.664Z,2022-09-13T11:55:13Z,3774767293,56,Center,3774767297,286,,3774767765,233,11,,,,,,,,,,,,,,,,cnriqwh17pqgz7p2gt74uar6c,Vítinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968867,12,1,1,0,40,cgvbluoerzbzcr7aaxge3wkcv,1,31.1,63,2022-09-11T19:30:51.743Z,2022-09-14T05:44:15Z,3774767425,141,75.6,3777372771,388,,3774767421,56,Back,3774767419,3,,3774767423,140,39.5,3774767427,212,12.3,3774767429,213,0.8,,,,75znincjirp1z8bcw9nhztxat,Aderllan Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968899,13,1,1,0,42,cgvbluoerzbzcr7aaxge3wkcv,1,39.6,76.4,2022-09-11T19:30:54.187Z,2022-09-13T11:55:28Z,3774767659,3,,3774767667,212,10.8,3774767669,213,2.3,3774767661,56,Back,3774767663,140,32.8,3774767665,141,88.4,3777372999,388,,,,,e6ztipndwfp33c6j7yebsyx91,Guga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968903,14,49,1,0,44,cgvbluoerzbzcr7aaxge3wkcv,1,32.8,88.1,2022-09-11T19:30:55.477Z,2022-09-13T11:55:38Z,,,,,,,,,,,,,,,,,,,,,,,,,dy434rgboexxvq6tgr8gwef9x,Pedro Amaral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968923,15,1,1,0,45,cgvbluoerzbzcr7aaxge3wkcv,1,32.8,88.1,2022-09-11T19:30:56.352Z,2022-09-13T11:55:42Z,3774767807,140,31.8,3777373317,178,,3774767813,213,4.6,3774767811,212,12.8,3774767809,141,69.4,3774767805,56,Back,,,,,,,dy434rgboexxvq6tgr8gwef9x,Pedro Amaral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968947,16,1,1,0,46,cgvbluoerzbzcr7aaxge3wkcv,1,31.7,70.2,2022-09-11T19:30:57.885Z,2022-09-13T11:56:01Z,3774767989,213,2.8,3774767987,212,13.3,3777373747,178,,3774767983,140,19.9,3774767979,56,Back,3774767985,141,77.3,,,,,,,4agmh5fbf826bjrxtg3mw5at,A. Oudrhiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968985,17,1,1,0,49,cgvbluoerzbzcr7aaxge3wkcv,1,20,77.3,2022-09-11T19:31:00.533Z,2022-09-13T11:56:19Z,3774768245,140,8.5,3774768243,56,Back,3774768251,213,4.1,3774768247,141,50.7,3774768249,212,21.7,3777374191,178,,,,,,,,36bi849x9anyfayunuudgcdbe,Miguel Nóbrega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969039,18,1,1,0,53,cgvbluoerzbzcr7aaxge3wkcv,1,8.3,50.6,2022-09-11T19:31:05.204Z,2022-09-13T11:56:26Z,3777374285,178,,3774768561,56,Back,3774768563,140,19.6,3774768565,141,74.4,3774768569,213,0.9,3774768567,212,20.1,,,,,,,ckog922pr9vqy2ry4m7o5ag2d,Jhonatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969125,19,1,1,0,59,cgvbluoerzbzcr7aaxge3wkcv,1,18.8,71.8,2022-09-11T19:31:10.450Z,2022-09-13T11:56:39Z,3774769069,213,4.0,3774769067,212,19.2,3777374519,178,,3774769065,141,51.2,3774769061,56,Back,3774769063,140,6.3,,,,,,,36bi849x9anyfayunuudgcdbe,Miguel Nóbrega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969167,20,1,1,1,7,cgvbluoerzbzcr7aaxge3wkcv,1,8.7,51,2022-09-11T19:31:18.353Z,2022-09-13T11:56:46Z,3774769315,56,Back,3774769321,212,21.3,3777374609,178,,3774769323,213,1.3,3774769317,140,14.2,3774769319,141,81.1,,,,,,,ckog922pr9vqy2ry4m7o5ag2d,Jhonatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969201,21,1,1,1,10,cgvbluoerzbzcr7aaxge3wkcv,0,28.5,81.5,2022-09-11T19:31:21.719Z,2022-09-13T11:56:58Z,3774769497,140,59.0,3774769499,141,79.9,3774769501,212,32.0,3774769503,213,6.2,3774769505,1,,3774769495,56,Left,3774769493,155,,3777374835,178,,36bi849x9anyfayunuudgcdbe,Miguel Nóbrega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969227,13,1,1,1,12,26t6lvlpql4w5wu1ih73qpy36,0,28.8,10,2022-09-11T19:31:24.241Z,2022-09-13T11:57:10Z,3774769655,56,Back,3774769651,3,,3777375071,178,,3774769673,213,6.2,3774769663,141,9.5,3774769659,140,35.1,3774769667,212,6.6,,,,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969263,14,61,1,1,14,26t6lvlpql4w5wu1ih73qpy36,0,37,13.9,2022-09-11T19:31:25.269Z,2022-09-13T11:57:22Z,3777375237,178,,3774769871,56,Back,,,,,,,,,,,,,,,,,,,8gkc9l566rjg7nifxwsq5vdud,Ali Musrati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969245,22,43,1,1,15,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-09-11T19:31:26.708Z,2022-09-11T20:16:52Z,3774919809,144,50,3774769771,286,0,3774769769,56,Left,3774769921,233,14,,,,,,,,,,,,,e6ztipndwfp33c6j7yebsyx91,Guga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969269,15,5,1,1,15,26t6lvlpql4w5wu1ih73qpy36,0,34.2,-0.7,2022-09-11T19:31:26.938Z,2022-09-13T11:57:30Z,3774769899,56,Back,3774769901,347,,3774789099,233,23,,,,,,,,,,,,,,,,8gkc9l566rjg7nifxwsq5vdud,Ali Musrati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969267,23,5,1,1,15,cgvbluoerzbzcr7aaxge3wkcv,1,65.8,100.7,2022-09-11T19:31:26.938Z,2022-09-13T11:57:30Z,3774769887,56,Left,3774769889,347,,3774769917,233,15,,,,,,,,,,,,,,,,e6ztipndwfp33c6j7yebsyx91,Guga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969425,24,1,1,1,24,cgvbluoerzbzcr7aaxge3wkcv,1,63.2,100,2022-09-11T19:31:35.460Z,2022-09-13T11:57:38Z,3774770697,140,86.1,3774770705,1,,3774770703,213,6.0,3774770701,212,25.0,3774770699,141,90.8,3774770693,107,,3774770695,56,Left,,,,dy434rgboexxvq6tgr8gwef9x,Pedro Amaral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969421,16,45,1,1,27,26t6lvlpql4w5wu1ih73qpy36,0,13.3,8,2022-09-11T19:31:38.256Z,2022-09-13T11:58:04Z,3774770685,285,,3774770683,56,Back,3774770815,233,25,,,,,,,,,,,,,,,,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969443,25,3,1,1,27,cgvbluoerzbzcr7aaxge3wkcv,1,86.7,92,2022-09-11T19:31:38.256Z,2022-09-13T11:58:03Z,3774770807,233,16,3775735651,465,,3774770785,286,,3777376163,178,,3774770783,56,Left,,,,,,,,,,433k61rvy0ay7lcsyxd918r8p,A. Yakubu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969453,26,1,1,1,29,cgvbluoerzbzcr7aaxge3wkcv,0,97.3,88.6,2022-09-11T19:31:40.636Z,2022-09-13T11:58:16Z,3774770827,2,,3774770831,56,Center,3775735755,225,,3774770835,141,73.0,3775735759,72,,3774770839,213,4.5,3774770837,212,10.9,3775735757,386,,433k61rvy0ay7lcsyxd918r8p,A. Yakubu,3774770833,140,95.1,3777376419,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969463,17,12,1,1,29,26t6lvlpql4w5wu1ih73qpy36,1,8.8,25.1,2022-09-11T19:31:40.930Z,2022-09-13T11:58:35Z,3774770885,56,Back,3774770911,167,,3777376745,178,,3774770889,141,16.9,3774770893,213,3.6,3774770891,212,12.0,3774770887,140,0.0,,,,dq41kziilg4jki9erxel9d3ze,Fabiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969467,18,6,1,1,30,26t6lvlpql4w5wu1ih73qpy36,0,1.8,22,2022-09-11T19:31:41.356Z,2022-09-13T11:58:43Z,3774770977,233,27,3774770901,73,,3774770897,56,Back,,,,,,,,,,,,,,,,dq41kziilg4jki9erxel9d3ze,Fabiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969475,27,6,1,1,30,cgvbluoerzbzcr7aaxge3wkcv,1,98.2,78,2022-09-11T19:31:41.356Z,2022-09-13T11:58:43Z,3774770955,233,18,3774770927,56,Center,3774770929,73,,,,,,,,,,,,,,,,,433k61rvy0ay7lcsyxd918r8p,A. Yakubu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969837,28,1,1,1,59,cgvbluoerzbzcr7aaxge3wkcv,0,99.5,99.5,2022-09-11T19:32:10.622Z,2022-09-13T11:58:54Z,3774772893,141,66.3,3774772889,140,97.4,3774772897,212,22.7,3774772879,6,,3774772883,224,,3774772877,2,,3777377065,178,,3774772885,56,Center,dy434rgboexxvq6tgr8gwef9x,Pedro Amaral,3774772881,155,,3775735997,72,3774772901,213,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969887,19,12,1,2,0,26t6lvlpql4w5wu1ih73qpy36,1,3.4,34.1,2022-09-11T19:32:11.616Z,2022-09-13T11:59:08Z,3774773225,141,12.7,3774773227,212,15.2,3774773221,56,Back,3774773223,140,7.6,3774773229,213,5.0,3777377349,178,,,,,,,,5l9ilx0kwbny81lykqksoz9w5,Ricardo Horta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969881,29,1,1,2,3,cgvbluoerzbzcr7aaxge3wkcv,0,87.3,91.8,2022-09-11T19:32:15.103Z,2022-09-13T11:59:19Z,3774773181,141,63.1,3775736397,224,,3775736399,72,,3774773171,2,,3774773175,56,Center,3777377543,178,,3774773179,140,90.4,3774773183,212,19.8,dy434rgboexxvq6tgr8gwef9x,Pedro Amaral,3774773173,155,,3774773187,213,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969909,20,12,1,2,5,26t6lvlpql4w5wu1ih73qpy36,1,6.8,46,2022-09-11T19:32:16.293Z,2022-09-13T11:59:28Z,3774773329,141,83.0,3774773331,212,31.9,3774773333,213,0.9,3774773327,140,25.5,3774773337,15,,3777377715,388,,3774773325,56,Back,,,,cnriqwh17pqgz7p2gt74uar6c,Vítinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969943,30,1,1,2,9,cgvbluoerzbzcr7aaxge3wkcv,1,72.5,13.5,2022-09-11T19:32:20.502Z,2022-09-13T11:59:46Z,3774773535,56,Right,3777377957,178,,3774773539,141,4.1,3774773541,212,21.4,3774773543,213,6.0,3774773537,140,92.0,,,,,,,1u12u8adgqxh2aaobf9xdo91x,Joca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969965,31,1,1,2,13,cgvbluoerzbzcr7aaxge3wkcv,0,92.4,4.4,2022-09-11T19:32:24.748Z,2022-09-13T12:00:33Z,3777378931,178,,3774773665,141,31.2,3774773663,140,93.4,3774773661,56,Center,3775736725,20,,3775736723,224,,3774773657,2,,3774773667,212,18.3,36bi849x9anyfayunuudgcdbe,Miguel Nóbrega,3774773669,213,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458969979,21,12,1,2,14,26t6lvlpql4w5wu1ih73qpy36,1,6.7,60.8,2022-09-11T19:32:25.830Z,2022-09-13T12:00:50Z,3774773757,140,25.1,3774773759,141,100.0,3774773755,56,Back,3774773841,167,,3774773795,15,,3777379273,178,,3774773761,212,33.6,3774773763,213,1.0,8gkc9l566rjg7nifxwsq5vdud,Ali Musrati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
