id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,assist,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,keyPass,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/11/value,qualifier/15/value,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2513087435,7,61,1,0,7,66bsnl0zjb7l5akwo00h0y5me,0,77.7,76.1,2023-02-26T20:33:17.675Z,2023-03-01T04:34:15Z,4064565947,178,,4064565945,21,,4060568185,56,Center,,,,,,,,,,,,,,,,f3zl8ymo5ttze20sffzk044q1,D. Namaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087439,4,44,1,0,8,bwt8yfk8rkcwiwyr0mopd7wqd,1,22.2,25,2023-02-26T20:33:18.490Z,2023-03-01T05:28:38Z,4060568209,285,,4060568207,56,Back,4060568333,233,8,,,,,,,,,,,,,,,,6nrvjozwk5or2v7dxkqbf9j9x,G. Aburjania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087449,8,44,1,0,8,66bsnl0zjb7l5akwo00h0y5me,0,77.8,75,2023-02-26T20:33:18.491Z,2023-03-01T04:34:19Z,4060568281,286,,4060568341,233,4,4060568279,56,Center,,,,,,,,,,,,,,,,f3zl8ymo5ttze20sffzk044q1,D. Namaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087441,5,1,1,0,8,bwt8yfk8rkcwiwyr0mopd7wqd,0,22.1,26,2023-02-26T20:33:18.528Z,2023-03-01T07:48:16Z,4060568233,3,,4064678117,388,,4060568237,140,29.1,4060568235,56,Back,4060568245,212,7.9,4060568241,141,30.4,4060568249,213,0.4,,,,6nrvjozwk5or2v7dxkqbf9j9x,G. Aburjania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087515,9,2,1,0,10,66bsnl0zjb7l5akwo00h0y5me,1,76.8,68.8,2023-02-26T20:33:20.956Z,2023-03-01T04:34:35Z,4060568735,56,Center,4060568739,141,62.6,4060568737,140,89.0,4064566015,178,,4062555801,8,,4060568733,7,97vuoqg0x9nx56dmd9u5e12hh,,,,,,,8y0e1y90ih393h7zv7srfot79,Otávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087531,6,55,1,0,10,bwt8yfk8rkcwiwyr0mopd7wqd,1,19.4,42.7,2023-02-26T20:33:20.957Z,2023-03-01T04:34:35Z,,,,,,,,,,,,,,,,,,,,,,,,,1ldbn0jnfzcvj7edwlq1z4q8l,Rúben Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087737,7,1,1,0,46,bwt8yfk8rkcwiwyr0mopd7wqd,1,18.2,39.5,2023-02-26T20:33:56.706Z,2023-03-01T04:34:36Z,4064566025,178,,4060570171,140,55.7,4060570181,1,,4060571063,189,,4060570163,5,,4060570177,213,5.7,4060570175,212,45.9,4060570169,56,Right,664x98r3mbynnh19u1cx984q,Andrew,4060570167,241,4060570165,155,4060570173,141,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087743,8,1,1,0,49,bwt8yfk8rkcwiwyr0mopd7wqd,1,55.7,4.7,2023-02-26T20:33:59.607Z,2023-03-01T04:34:45Z,4060570223,141,48.2,4060570229,1,,4060570221,140,55.9,4060570227,213,1.6,4060570225,212,29.6,4064566067,178,,4060570217,157,,4060570219,56,Center,ebaganzllbxfacvobgmsu1045,Murilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087751,9,44,1,0,51,bwt8yfk8rkcwiwyr0mopd7wqd,1,57.3,47.2,2023-02-26T20:34:02.036Z,2023-03-01T05:28:38Z,4060570267,286,,4060570265,56,Center,4060570297,233,10,,,,,,,,,,,,,,,,8qxoj7nyhu2prjl3bjfqi2ui1,J. Boselli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087749,10,44,1,0,51,66bsnl0zjb7l5akwo00h0y5me,0,42.7,52.8,2023-02-26T20:34:02.037Z,2023-03-01T04:34:49Z,4060570257,56,Back,4060570259,285,,4060570355,233,9,,,,,,,,,,,,,,,,a6r2hqalh9ydoy2a8uv9rztux,Pepê Aquino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087759,10,1,1,0,52,bwt8yfk8rkcwiwyr0mopd7wqd,0,55.9,48.2,2023-02-26T20:34:02.158Z,2023-03-01T05:28:39Z,4064566111,388,,4060570317,56,Center,4060570319,140,66.3,4060570315,3,,4060570321,141,38.9,4060570325,213,5.8,4060570323,212,12.6,,,,8qxoj7nyhu2prjl3bjfqi2ui1,J. Boselli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087775,11,1,1,0,53,66bsnl0zjb7l5akwo00h0y5me,1,33.9,56,2023-02-26T20:34:03.623Z,2023-03-01T04:35:06Z,4060570443,212,10.0,4064566141,389,,4060570435,3,,4060570437,56,Back,4060570439,140,34.3,4060570441,141,41.3,4060570445,213,4.8,,,,37usxvspofewb3djlg67lp1hx,Iván Marcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087779,12,49,1,0,54,66bsnl0zjb7l5akwo00h0y5me,1,34.5,41.3,2023-02-26T20:34:04.804Z,2023-03-01T04:35:09Z,,,,,,,,,,,,,,,,,,,,,,,,,dowh6oc93ggduous7ligguqne,João Mário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087801,13,1,1,0,54,66bsnl0zjb7l5akwo00h0y5me,1,34.5,41.3,2023-02-26T20:34:04.905Z,2023-03-01T04:35:23Z,4064566225,178,,4060570571,212,30.7,4060570573,213,0.7,4060570565,56,Center,4060570569,141,69.2,4062557959,155,,4060570567,140,57.5,,,,dowh6oc93ggduous7ligguqne,João Mário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087809,14,44,1,0,57,66bsnl0zjb7l5akwo00h0y5me,1,60.9,69.4,2023-02-26T20:34:07.499Z,2023-03-01T05:28:39Z,4060570615,56,Center,4060570619,233,11,4060570617,286,,,,,,,,,,,,,,,,,97vuoqg0x9nx56dmd9u5e12hh,M. Taremi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087807,11,44,1,0,57,bwt8yfk8rkcwiwyr0mopd7wqd,0,39.1,30.6,2023-02-26T20:34:07.500Z,2023-03-01T04:35:30Z,4060570679,233,14,4060570605,285,,4060570603,56,Back,,,,,,,,,,,,,,,,5drwrn9zmqeyo7h5zhy28mb8q,Zé Carlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087821,15,1,1,0,57,66bsnl0zjb7l5akwo00h0y5me,0,57.5,69.2,2023-02-26T20:34:07.594Z,2023-03-01T05:28:40Z,4064566247,388,,4060570705,56,Center,4060570711,212,3.1,4060570709,141,66.2,4060570707,140,59.7,4060570703,3,,4060570713,213,5.6,,,,97vuoqg0x9nx56dmd9u5e12hh,M. Taremi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087819,12,61,1,0,57,bwt8yfk8rkcwiwyr0mopd7wqd,1,35.7,30.5,2023-02-26T20:34:07.660Z,2023-03-01T04:35:39Z,4064566279,388,,4064566277,21,,4060570701,56,Back,,,,,,,,,,,,,,,,5drwrn9zmqeyo7h5zhy28mb8q,Zé Carlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087857,16,27,1,1,2,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2023-02-26T20:34:12.494Z,2023-03-01T04:35:42Z,4060570965,53,37usxvspofewb3djlg67lp1hx,4060570961,41,Injury,4060655025,233,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513103583,285,27,1,1,2,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-02-26T20:34:12.494Z,2023-03-01T04:35:41Z,4060655039,233,16,4060702621,41,Injury,4060702623,53,1zf9egrh7cjofd7td62oc5tk9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088045,17,28,1,1,27,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2023-02-26T20:34:37.344Z,2023-03-01T04:35:44Z,4060655407,233,286,4060572007,55,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513103587,286,28,1,1,27,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-02-26T20:34:37.344Z,2023-03-01T04:35:44Z,4060654793,55,285,4060655415,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088117,18,68,1,1,37,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2023-02-26T20:34:47.553Z,2023-03-01T04:35:46Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088121,13,68,1,1,38,bwt8yfk8rkcwiwyr0mopd7wqd,0,0,0,2023-02-26T20:34:48.422Z,2023-03-01T04:35:48Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088157,19,1,1,1,40,66bsnl0zjb7l5akwo00h0y5me,1,45.3,48.6,2023-02-26T20:34:50.888Z,2023-03-01T04:35:56Z,4060572687,140,43.3,4060572689,141,82.0,4060572691,212,22.8,4060572685,56,Back,4060572693,213,1.7,4064566359,178,,,,,,,,el6dn7kq3815p2zd4rppzzw7p,M. Uribe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088169,20,1,1,1,43,66bsnl0zjb7l5akwo00h0y5me,1,42.6,81.1,2023-02-26T20:34:53.984Z,2023-03-01T04:35:59Z,4060572803,141,64.2,4060572799,56,Back,4060572805,212,15.7,4060572807,213,4.0,4060572801,140,32.4,4064566371,178,,,,,,,,cpmfjroqtibaahb1dr66pl2i1,S. Eustáquio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088207,21,1,1,1,46,66bsnl0zjb7l5akwo00h0y5me,0,32.2,59.6,2023-02-26T20:34:56.824Z,2023-03-01T04:36:02Z,4064566383,178,,4060573005,140,62.3,4060573007,141,0.0,4060573001,155,,4060573009,212,52.1,4060573011,213,5.4,4062558655,196,,4060573003,56,Right,37usxvspofewb3djlg67lp1hx,Iván Marcano,4060573013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088299,14,5,1,1,50,bwt8yfk8rkcwiwyr0mopd7wqd,1,36.2,101.6,2023-02-26T20:35:00.508Z,2023-03-01T04:36:05Z,4060573583,233,23,4060573559,56,Back,4060573561,347,,,,,,,,,,,,,,,,,asoisrxtnm0zynx35ueum4v6d,Adrián Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088213,23,5,1,1,50,66bsnl0zjb7l5akwo00h0y5me,0,63.8,-1.6,2023-02-26T20:35:00.508Z,2023-03-01T04:36:05Z,4060573043,56,Right,4060573045,347,,4060573589,233,14,,,,,,,,,,,,,,,,dowh6oc93ggduous7ligguqne,João Mário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088211,22,43,1,1,51,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2023-02-26T20:35:01.312Z,2023-02-27T22:22:37Z,4060573033,56,Right,4062558669,144,61,,,,,,,,,,,,,,,,,,,dowh6oc93ggduous7ligguqne,João Mário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088313,15,1,1,2,3,bwt8yfk8rkcwiwyr0mopd7wqd,0,43.3,100,2023-02-26T20:35:13.333Z,2023-03-01T04:36:09Z,4060573683,212,22.1,4060573689,1,,4060573681,141,91.5,4060573687,213,6.0,4060573675,107,,4060573677,56,Left,4060573679,140,63.4,,,,asoisrxtnm0zynx35ueum4v6d,Adrián Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088341,24,1,1,2,5,66bsnl0zjb7l5akwo00h0y5me,1,37.5,12.5,2023-02-26T20:35:15.119Z,2023-03-01T04:36:14Z,4060573833,56,Back,4064566421,178,,4060573841,213,5.9,4060573837,141,7.0,4060573831,3,,4060573839,212,9.2,4060573835,140,45.5,,,,el6dn7kq3815p2zd4rppzzw7p,M. Uribe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088349,25,49,1,2,6,66bsnl0zjb7l5akwo00h0y5me,1,45.2,6.6,2023-02-26T20:35:16.616Z,2023-03-01T04:36:20Z,,,,,,,,,,,,,,,,,,,,,,,,,a6r2hqalh9ydoy2a8uv9rztux,Pepê Aquino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088359,26,61,1,2,7,66bsnl0zjb7l5akwo00h0y5me,0,42.9,5,2023-02-26T20:35:17.385Z,2023-03-01T04:36:24Z,4064566485,178,,4060573923,56,Back,,,,,,,,,,,,,,,,,,,a6r2hqalh9ydoy2a8uv9rztux,Pepê Aquino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088423,17,5,1,2,7,bwt8yfk8rkcwiwyr0mopd7wqd,1,60,100.8,2023-02-26T20:35:17.721Z,2023-03-01T04:36:29Z,4060574335,56,Left,4060574339,347,,4060574343,233,27,,,,,,,,,,,,,,,,asoisrxtnm0zynx35ueum4v6d,Adrián Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088385,27,5,1,2,7,66bsnl0zjb7l5akwo00h0y5me,0,40,-0.8,2023-02-26T20:35:17.721Z,2023-03-01T04:36:29Z,4060574355,233,17,4060574115,347,,4060574113,56,Back,,,,,,,,,,,,,,,,a6r2hqalh9ydoy2a8uv9rztux,Pepê Aquino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088353,16,43,1,2,8,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-02-26T20:35:18.162Z,2023-02-26T20:35:22Z,4060573905,285,0,4060573903,56,Left,4060574191,144,74,4060573977,233,26,,,,,,,,,,,,,asoisrxtnm0zynx35ueum4v6d,Adrián Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088443,18,1,1,2,16,bwt8yfk8rkcwiwyr0mopd7wqd,1,59.6,100,2023-02-26T20:35:26.750Z,2023-03-01T04:36:35Z,4060574483,141,89.1,4060574489,1,,4060574481,140,36.6,4060574487,213,3.5,4060574485,212,25.5,4060574477,107,,4060574479,56,Back,,,,asoisrxtnm0zynx35ueum4v6d,Adrián Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088481,19,1,1,2,20,bwt8yfk8rkcwiwyr0mopd7wqd,1,36.4,87.6,2023-02-26T20:35:30.574Z,2023-03-01T04:36:42Z,4060574721,213,3.9,4060574715,212,31.2,4060574711,141,55.4,4060574709,140,15.2,4060574707,56,Back,4064566593,178,,,,,,,,1ldbn0jnfzcvj7edwlq1z4q8l,Rúben Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088499,20,1,1,2,24,bwt8yfk8rkcwiwyr0mopd7wqd,1,17.8,51.9,2023-02-26T20:35:34.210Z,2023-03-01T04:36:45Z,4060574801,212,17.5,4060574803,213,4.6,4060574795,56,Back,4060574799,141,26.3,4060574797,140,16.2,4064566611,178,,,,,,,,664x98r3mbynnh19u1cx984q,Andrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088519,21,1,1,2,26,bwt8yfk8rkcwiwyr0mopd7wqd,1,16.5,25.9,2023-02-26T20:35:36.588Z,2023-03-01T04:36:50Z,4064566637,178,,4060574913,141,3.4,4060574915,212,17.6,4060574909,56,Back,4060574917,213,5.2,4060574911,140,24.7,,,,,,,as0t8xi6k6nl4l06g23u3jcru,Tomás Araújo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088545,22,1,1,2,28,bwt8yfk8rkcwiwyr0mopd7wqd,0,25.9,4.1,2023-02-26T20:35:38.662Z,2023-03-01T04:36:53Z,4060575035,213,0.0,4060575027,56,Right,4060575029,140,64.6,4060575037,1,,4060575025,155,,4060575031,141,5.5,4064566653,178,,4060575033,212,40.6,5drwrn9zmqeyo7h5zhy28mb8q,Zé Carlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088565,28,1,1,2,30,66bsnl0zjb7l5akwo00h0y5me,1,35.1,87,2023-02-26T20:35:41.029Z,2023-03-01T04:36:59Z,4060575167,213,5.5,4060575159,141,75.6,4060575157,140,42.1,4060575155,56,Back,4064566689,388,,4060575163,212,10.7,4060575153,3,,,,,37usxvspofewb3djlg67lp1hx,Iván Marcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088573,29,49,1,2,31,66bsnl0zjb7l5akwo00h0y5me,1,42.1,75.4,2023-02-26T20:35:41.756Z,2023-03-01T04:37:03Z,,,,,,,,,,,,,,,,,,,,,,,,,el6dn7kq3815p2zd4rppzzw7p,M. Uribe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513088587,30,1,1,2,32,66bsnl0zjb7l5akwo00h0y5me,1,42.1,75.4,2023-02-26T20:35:43.018Z,2023-03-01T04:37:05Z,4060575243,213,6.1,4064566731,178,,4060575241,212,13.3,4060575239,141,71.4,4060575237,140,54.5,4060575235,56,Center,,,,,,,el6dn7kq3815p2zd4rppzzw7p,M. Uribe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
