id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,assist,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2457599235,12,4,1,0,49,4jelr92fsge73q39is6qvhxb3,0,80.3,84.2,2022-09-09T19:01:05.277Z,2022-09-10T05:58:53Z,3768343949,178,,3767476695,233,9,3767476619,56,Left,3767476625,286,,3767477063,294,,3767476617,13,,3767476621,152,,,,,1jffh172t15s6ws7nou0fc251,Sergi Guardiola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457599427,10,1,1,1,11,7h7eg7q7dbwvzww78h9d5eh0h,1,9.1,37.5,2022-09-09T19:01:27.327Z,2022-09-10T05:59:29Z,3767477645,155,,3767477647,152,,3767477643,5,,3767477649,56,Center,3767477653,141,21.7,3767477651,140,66.4,3767477659,1,,3768344333,178,,4wbwcfbeokv5j4nuudbxgaw2d,Juan Carlos,3767477657,213,6.1,3767477655,212,,,61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457599431,11,43,1,1,16,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2022-09-09T19:01:32.475Z,2022-09-09T19:03:05Z,3767477677,3,0,3767477687,141,14.3,3767481717,144,1,3767477693,213,5.6,3767477681,56,Right,3767477683,140,70.6,3767477679,168,0,3767477689,212,7.9,27hwtukeqxh91ch1f3qr1it49,V. Castellanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457674071,785,1,1,1,18,7h7eg7q7dbwvzww78h9d5eh0h,0,66.9,22.5,2022-09-09T19:01:34.742Z,2022-09-10T06:00:16Z,3767885467,56,Right,3767885465,168,,3767885473,212,12.1,3767885471,141,14.7,3767885469,140,77.3,3767885463,3,,3768345427,388,,3767885475,213,5.8,27hwtukeqxh91ch1f3qr1it49,V. Castellanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457599411,13,49,1,1,20,4jelr92fsge73q39is6qvhxb3,1,27.5,82.3,2022-09-09T19:01:36.572Z,2022-09-10T06:00:27Z,,,,,,,,,,,,,,,,,,,,,,,,,7v5zw48zp3pxd39q1i2qmul79,L. Olaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457599425,14,1,1,1,20,4jelr92fsge73q39is6qvhxb3,1,27.5,82.3,2022-09-09T19:01:36.620Z,2022-09-10T06:00:49Z,3767477623,56,Back,3768346143,178,,3767477629,141,72.6,3767477627,140,31.9,3767477633,213,5.3,3767477631,212,8.1,,,,,,,7v5zw48zp3pxd39q1i2qmul79,L. Olaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457599453,15,1,1,1,21,4jelr92fsge73q39is6qvhxb3,1,31.9,72.6,2022-09-09T19:01:38.156Z,2022-09-10T06:00:57Z,3767477839,141,93.9,3768346301,178,,3767477841,212,15.8,3767477843,213,2.0,3767477837,140,25.9,3767477835,56,Back,,,,,,,9f83clp1v95kvlxdb376tgbth,Javier Sánchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457599485,16,1,1,1,24,4jelr92fsge73q39is6qvhxb3,1,25.9,93.9,2022-09-09T19:01:40.212Z,2022-09-10T06:01:02Z,3768346399,178,,3767478021,155,,3767478023,56,Back,3767478029,212,18.1,3767478031,213,6.2,3767478027,141,90.8,3767478025,140,43.0,,,,7v5zw48zp3pxd39q1i2qmul79,L. Olaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457599491,17,4,1,1,26,4jelr92fsge73q39is6qvhxb3,1,43.4,87.4,2022-09-09T19:01:42.393Z,2022-09-10T06:03:35Z,3767478059,56,Back,3767478065,286,,3767480845,233,12,3767478061,152,,3767478057,13,,3767478501,294,,,,,,,,1jffh172t15s6ws7nou0fc251,Sergi Guardiola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457599575,12,4,1,1,26,7h7eg7q7dbwvzww78h9d5eh0h,0,56.6,12.6,2022-09-09T19:01:42.394Z,2022-09-10T06:03:35Z,3767478487,56,Right,3767478485,294,,3768349249,178,,3767478491,285,,3767478483,13,,3767480869,233,17,3767478489,152,,,,,8ikm0hxyz2qaonz3qmynu0xqt,B. Espinosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
