id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value
2506311465,5,49,1,0,12,ah8dala7suqqkj04n2l8xz4zd,1,8.7,44.2,2023-02-11T15:16:51.263Z,2023-02-11T23:26:11Z,,,,,,,,,,,,,,,,,,,,,,,,,s96k2x2cts0vo6y6aaeui5zp,Rui Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506311663,6,1,1,0,15,ah8dala7suqqkj04n2l8xz4zd,1,9,43.7,2023-02-11T15:16:54.616Z,2023-02-11T23:26:17Z,4026996871,178,,4024803219,212,13.9,4024803221,213,1.2,4024803213,56,Back,4024803215,140,13.4,4024803217,141,63.0,,,,,,,s96k2x2cts0vo6y6aaeui5zp,Rui Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506311765,7,1,1,0,19,ah8dala7suqqkj04n2l8xz4zd,1,12.8,62.6,2023-02-11T15:16:57.810Z,2023-02-11T23:26:21Z,4024803727,140,6.3,4026997019,178,,4024803737,213,4.2,4024803731,141,44.6,4024803723,56,Back,4024803735,212,14.0,,,,,,,4hhuyat3grozmgba4f55zyajt,Edgar González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506311885,8,1,1,0,22,ah8dala7suqqkj04n2l8xz4zd,1,8.1,43.2,2023-02-11T15:17:00.889Z,2023-02-11T23:26:26Z,4024804237,56,Back,4024804249,212,36.5,4024804257,1,,4024804245,141,2.5,4024804241,140,30.7,4024804235,155,,4024804253,213,5.4,4026997177,178,,s96k2x2cts0vo6y6aaeui5zp,Rui Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506312077,9,1,1,0,24,ah8dala7suqqkj04n2l8xz4zd,1,30.7,2.5,2023-02-11T15:17:03.046Z,2023-02-11T23:26:37Z,4024805253,140,38.7,4024805255,141,11.4,4024805247,3,,4026997523,388,,4024805251,56,Back,4024805259,213,0.6,4024805257,212,10.4,,,,euy1s0xo19019kegzcpp1gez9,Y. Sabaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506312111,10,50,1,0,27,ah8dala7suqqkj04n2l8xz4zd,1,32.9,6.9,2023-02-11T15:17:05.889Z,2023-02-11T23:28:09Z,4025041547,233,69,4024805445,56,Back,4025041327,285,,,,,,,,,,,,,,,,,75079gtd2efpviyo605ozsd79,Sergio Canales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506328035,69,7,1,0,27,cobffe32r7g4skka9m19qib63,0,67.1,93.1,2023-02-11T15:17:06.481Z,2023-02-11T23:28:17Z,4025041469,233,10,4025922461,384,,4027000559,178,,4024890867,56,Left,4025041473,286,,,,,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506356485,190,1,1,0,28,ah8dala7suqqkj04n2l8xz4zd,1,37.1,6.1,2023-02-11T15:17:06.692Z,2023-02-11T23:28:26Z,4025042803,56,Back,4025042805,140,33.8,4025042811,213,2.4,4025042809,212,4.6,4025042807,141,10.6,4027000911,178,,,,,,,,75079gtd2efpviyo605ozsd79,Sergio Canales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506312133,11,1,1,0,29,ah8dala7suqqkj04n2l8xz4zd,0,28.3,13.2,2023-02-11T15:17:07.711Z,2023-02-11T23:28:35Z,4024805587,212,3.0,4027001143,178,,4024893717,236,,4024893723,286,,4024893719,233,8,4024805585,141,9.9,4024805581,140,30.2,4024805577,56,Back,73efpm314q2paeacsvp4e8q8l,G. Rodríguez,4024805591,213,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506312211,8,74,1,0,29,cobffe32r7g4skka9m19qib63,1,68.5,88.2,2023-02-11T15:17:07.733Z,2023-02-11T23:29:05Z,4024805899,56,Left,4024893615,285,,4024893739,233,11,4027001889,178,,,,,,,,,,,,,,8zlr9xkh9dkt1pbw3w91uazmd,Portillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506312181,7,43,1,0,29,cobffe32r7g4skka9m19qib63,1,0,0,2023-02-11T15:17:08.045Z,2023-02-11T15:37:18Z,4025041617,144,61,4024892893,56,Left,,,,,,,,,,,,,,,,,,,63yktdky9m0aus8ebkaqzdhhx,Adri Embarba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506526821,843,43,1,0,30,cobffe32r7g4skka9m19qib63,1,0,0,2023-02-11T15:17:09.115Z,2023-02-11T17:42:10Z,4025926507,286,0,4025926505,56,Center,4025926731,144,50,,,,,,,,,,,,,,,,6kpscy08tl4fkie4w4hl49n11,Melero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506526831,844,49,1,0,31,cobffe32r7g4skka9m19qib63,1,63,73.8,2023-02-11T15:17:09.689Z,2023-02-11T23:29:24Z,,,,,,,,,,,,,,,,,,,,,,,,,6kpscy08tl4fkie4w4hl49n11,Melero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506312373,9,1,1,0,31,cobffe32r7g4skka9m19qib63,1,66.3,67.8,2023-02-11T15:17:09.719Z,2023-02-11T23:29:21Z,4027002417,178,,4024806647,141,39.5,4024806651,213,4.8,4024806643,56,Center,4024806645,140,67.7,4024806649,212,19.3,,,,,,,6kpscy08tl4fkie4w4hl49n11,Melero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506312461,10,1,1,0,35,cobffe32r7g4skka9m19qib63,1,68.2,35.1,2023-02-11T15:17:13.710Z,2023-02-11T23:29:28Z,4024807135,56,Right,4024807155,213,5.6,4024807139,140,85.6,4024807149,212,24.0,4024807143,141,12.2,4027002697,178,,,,,,,,63yktdky9m0aus8ebkaqzdhhx,Adri Embarba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506312591,11,1,1,0,36,cobffe32r7g4skka9m19qib63,0,86.5,14.4,2023-02-11T15:17:15.631Z,2023-02-11T23:29:34Z,4024808219,345,,4024807797,56,Left,4025928085,20,,4025928083,224,,4024807789,2,,4024807807,1,,4024807801,141,83.3,4024807803,212,49.3,6mz6fzrfndfv7zpm38a6msmw9,Alejandro Pozo,4024807805,213,1.3,4027002881,178,4024807793,155,4024807799,140,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506312605,12,5,1,0,40,cobffe32r7g4skka9m19qib63,0,101.2,85,2023-02-11T15:17:18.783Z,2023-02-11T23:29:44Z,4024807881,56,Left,4024808153,233,12,4024807883,346,,,,,,,,,,,,,,,,,6mz6fzrfndfv7zpm38a6msmw9,Alejandro Pozo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506312643,12,5,1,0,40,ah8dala7suqqkj04n2l8xz4zd,1,-1.2,15,2023-02-11T15:17:18.783Z,2023-02-11T23:29:44Z,4024808039,346,,4024808107,233,12,4024808037,56,Back,,,,,,,,,,,,,,,,yhfujfdzpt7tymqdmt7i0mzu,Abner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506313305,13,1,1,0,51,ah8dala7suqqkj04n2l8xz4zd,1,4,45.4,2023-02-11T15:17:29.837Z,2023-02-11T23:29:45Z,4024811587,141,3.8,4024811597,237,,4024812825,189,,4024811585,140,18.7,4024811583,56,Back,4024811581,124,,4024811593,1,,4024811589,212,32.2,s96k2x2cts0vo6y6aaeui5zp,Rui Silva,4024811591,213,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506313369,14,1,1,0,54,ah8dala7suqqkj04n2l8xz4zd,1,27.6,2.9,2023-02-11T15:17:32.965Z,2023-02-11T23:29:46Z,4024811891,140,13.8,4024811889,56,Back,4024811895,212,20.7,4024811893,141,24.6,4025929431,189,,4027003441,178,,4024811897,213,2.3,,,,euy1s0xo19019kegzcpp1gez9,Y. Sabaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506313399,15,1,1,0,56,ah8dala7suqqkj04n2l8xz4zd,0,12.2,18.2,2023-02-11T15:17:35.523Z,2023-02-11T23:29:53Z,4024812069,213,6.1,4027003675,178,,4024812061,56,Back,4024812063,140,14.5,4024812065,141,17.6,4024812067,212,2.4,,,,,,,7rfcycybym05sbe0j1g6yhfx1,G. Pezzella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506379887,277,61,1,0,56,cobffe32r7g4skka9m19qib63,1,85.7,84.8,2023-02-11T15:17:35.605Z,2023-02-11T23:30:11Z,4027004315,178,,4025163665,56,Left,,,,,,,,,,,,,,,,,,,d1d3v27d4r6vme6n2w5umaacp,L. Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506527733,845,3,1,1,1,cobffe32r7g4skka9m19qib63,0,91.6,86.2,2023-02-11T15:17:39.721Z,2023-02-12T05:23:47Z,4025931107,286,,4025931105,56,Left,4027004927,178,,4025931109,465,,4025931111,467,euy1s0xo19019kegzcpp1gez9,,,,,,,,,,8zlr9xkh9dkt1pbw3w91uazmd,Portillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506313521,13,49,1,1,1,cobffe32r7g4skka9m19qib63,1,89,90.3,2023-02-11T15:17:40.237Z,2023-02-12T05:23:58Z,,,,,,,,,,,,,,,,,,,,,,,,,8zlr9xkh9dkt1pbw3w91uazmd,Portillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506313771,14,1,1,1,2,cobffe32r7g4skka9m19qib63,1,95.3,88.6,2023-02-11T15:17:40.693Z,2023-02-12T05:24:05Z,4024813905,56,Left,4024813909,141,95.0,4024813913,213,2.6,4024813911,212,8.6,4024813907,140,88.2,4027005483,178,,,,,,,,8zlr9xkh9dkt1pbw3w91uazmd,Portillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506313817,15,1,1,1,5,cobffe32r7g4skka9m19qib63,1,84.3,85.3,2023-02-11T15:17:44.455Z,2023-02-11T23:30:45Z,4024814127,212,21.4,4027005799,178,,4024814121,56,Center,4024814123,140,67.2,4024814125,141,68.2,4024814129,213,3.7,,,,,,,d1d3v27d4r6vme6n2w5umaacp,L. Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506313901,16,1,1,1,8,cobffe32r7g4skka9m19qib63,1,65.4,68.1,2023-02-11T15:17:47.505Z,2023-02-11T23:30:50Z,4027006041,178,,4024814557,141,53.3,4024814559,212,15.9,4024814555,140,53.7,4024814553,56,Center,4024814561,213,3.8,,,,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506313947,17,1,1,1,10,cobffe32r7g4skka9m19qib63,1,53.7,53.3,2023-02-11T15:17:48.705Z,2023-02-11T23:30:56Z,4027006213,178,,4024814849,213,1.2,4024814845,141,87.7,4024814843,140,61.7,4024814841,56,Left,4024814847,212,24.9,,,,,,,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506313967,18,1,1,1,11,cobffe32r7g4skka9m19qib63,0,61.5,87.7,2023-02-11T15:17:50.329Z,2023-02-11T23:31:03Z,4024814917,213,0.4,4027006395,178,,4024814907,140,65.5,4024814915,212,4.6,4024814911,141,90.5,4024814905,56,Left,,,,,,,1trnf7miqmcgr67c4808t4yj9,S. Babić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506313959,16,8,1,1,12,ah8dala7suqqkj04n2l8xz4zd,1,33.9,9.4,2023-02-11T15:17:50.706Z,2023-02-11T23:31:18Z,4027007019,178,,4024814875,56,Back,4025934221,383,,4027007017,21,,,,,,,,,,,,,,75079gtd2efpviyo605ozsd79,Sergio Canales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506314053,17,5,1,1,13,ah8dala7suqqkj04n2l8xz4zd,0,34.2,-1.8,2023-02-11T15:17:52.356Z,2023-02-11T23:31:25Z,4024815383,347,,4024815381,56,Back,4024816547,233,19,,,,,,,,,,,,,,,,75079gtd2efpviyo605ozsd79,Sergio Canales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506314215,19,5,1,1,13,cobffe32r7g4skka9m19qib63,1,65.8,101.8,2023-02-11T15:17:52.356Z,2023-02-11T23:31:25Z,4024816485,233,17,4024816211,56,Left,4024816213,347,,,,,,,,,,,,,,,,,1trnf7miqmcgr67c4808t4yj9,S. Babić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506314755,20,1,1,1,29,cobffe32r7g4skka9m19qib63,1,64.9,100,2023-02-11T15:18:08.197Z,2023-02-11T23:31:37Z,4024819021,140,61.9,4024819023,141,90.9,4024819019,56,Left,4024819025,212,8.0,4024819027,213,4.3,4024819017,107,,,,,,,,azzdqp6lcd4g9d4jy55pz0549,Sergio Akieme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506314779,21,1,1,1,30,cobffe32r7g4skka9m19qib63,0,62.5,90.5,2023-02-11T15:18:08.948Z,2023-02-11T23:31:43Z,4024819113,56,Left,4025258683,213,5.5,4025259257,233,18,4025259261,286,,4025258679,212,3.5,4025259255,236,,4027008087,178,,4025258675,141,86.8,6kpscy08tl4fkie4w4hl49n11,Melero,4025258671,140,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506314835,18,74,1,1,30,ah8dala7suqqkj04n2l8xz4zd,1,33.6,11.2,2023-02-11T15:18:09.130Z,2023-02-11T23:31:48Z,4027008263,178,,4025259275,233,21,4024819435,285,,4024819433,56,Back,,,,,,,,,,,,,73efpm314q2paeacsvp4e8q8l,G. Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506314859,19,49,1,1,31,ah8dala7suqqkj04n2l8xz4zd,1,38.7,10.3,2023-02-11T15:18:10.331Z,2023-02-11T23:31:57Z,,,,,,,,,,,,,,,,,,,,,,,,,d12m2oz1lomkc1qxmpht38lat,Borja Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506314899,20,1,1,1,31,ah8dala7suqqkj04n2l8xz4zd,1,38.7,10.3,2023-02-11T15:18:10.417Z,2023-02-11T23:32:02Z,4024819721,141,6.0,4024819731,213,3.9,4024819715,140,35.5,4024819709,56,Back,4027008637,178,,4024819727,212,4.5,,,,,,,d12m2oz1lomkc1qxmpht38lat,Borja Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506314953,21,1,1,1,32,ah8dala7suqqkj04n2l8xz4zd,1,38.7,6.4,2023-02-11T15:18:11.208Z,2023-02-11T23:32:10Z,4024820019,141,14.1,4024820023,212,5.4,4024820015,56,Back,4024820027,213,1.3,4027008981,178,,4024820017,140,40.0,,,,,,,9jxofpmrfh2lil77f9xj22kiy,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506315003,22,1,1,1,35,ah8dala7suqqkj04n2l8xz4zd,1,50.1,19.2,2023-02-11T15:18:14.188Z,2023-02-11T23:32:15Z,4027009177,178,,4024820317,212,20.1,4024820319,213,5.7,4024820313,140,66.1,4024820315,141,3.1,4024820309,56,Right,,,,,,,73efpm314q2paeacsvp4e8q8l,G. Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506315041,23,1,1,1,36,ah8dala7suqqkj04n2l8xz4zd,1,66.1,3.1,2023-02-11T15:18:15.532Z,2023-02-11T23:32:21Z,4024820565,56,Right,4024820583,213,2.9,4024820573,141,5.3,4024820567,140,58.8,4024820579,212,7.8,4027009343,178,,,,,,,,d12m2oz1lomkc1qxmpht38lat,Borja Iglesias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506315095,24,1,1,1,38,ah8dala7suqqkj04n2l8xz4zd,1,58.8,5.3,2023-02-11T15:18:17.198Z,2023-02-11T23:32:26Z,4024820859,212,2.8,4027009513,178,,4024820861,213,4.0,4024820853,56,Right,4024820855,140,57.1,4024820857,141,2.2,,,,,,,9jxofpmrfh2lil77f9xj22kiy,Rodri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506315171,25,1,1,1,40,ah8dala7suqqkj04n2l8xz4zd,1,55.9,3,2023-02-11T15:18:19.018Z,2023-02-11T23:32:32Z,4024821307,212,14.9,4024821309,213,2.9,4024821301,56,Back,4027009669,178,,4024821303,140,42.1,4024821305,141,7.8,,,,,,,75079gtd2efpviyo605ozsd79,Sergio Canales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506315267,26,1,1,1,42,ah8dala7suqqkj04n2l8xz4zd,1,41.5,12.2,2023-02-11T15:18:20.798Z,2023-02-11T23:32:36Z,4024821827,140,32.8,4024821837,212,18.4,4024821839,213,2.1,4024821831,141,35.7,4024821823,56,Back,4027009855,178,,,,,,,,euy1s0xo19019kegzcpp1gez9,Y. Sabaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506315411,27,1,1,1,44,ah8dala7suqqkj04n2l8xz4zd,1,32.8,35.7,2023-02-11T15:18:23.049Z,2023-02-11T23:32:41Z,4024822521,213,5.0,4024822505,56,Back,4024822509,140,35.9,4024822513,141,21.1,4027010037,178,,4024822517,212,10.4,,,,,,,7rfcycybym05sbe0j1g6yhfx1,G. Pezzella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
