id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,keyPass,qualifier/13/value,qualifier/16/value
2451772119,13,1,1,1,52,50x1m4u58lffhq6v6ga1hbxmy,1,40.5,38.8,2022-08-27T17:32:52.997Z,2022-08-28T03:31:58Z,3738658189,178,,3736375929,212,8.4,3736375925,140,45.0,3736375927,141,49.0,3736375923,56,Back,3736375931,213,1.0,,,,,,,9dewnn65ylruq567thg7ebqhh,Raíllo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772173,14,1,1,1,54,50x1m4u58lffhq6v6ga1hbxmy,1,45.4,53.4,2022-08-27T17:32:54.512Z,2022-08-28T03:32:01Z,3736376199,56,Back,3736376203,141,69.3,3738658265,178,,3736376209,213,2.6,3736376205,212,20.2,3736376201,140,29.1,,,,,,,9e7b5cm66oxf26fmp33yuppsl,Dani Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772231,15,1,1,1,57,50x1m4u58lffhq6v6ga1hbxmy,1,26,69.4,2022-08-27T17:32:57.574Z,2022-08-28T03:32:04Z,3736376571,56,Back,3736376577,212,29.8,3738658377,178,,3736376579,213,3.9,3736376575,141,39.5,3736376573,140,5.2,,,,,,,3n66mcws9belxbv3pu5uwhfu2,Copete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772269,16,1,1,2,1,50x1m4u58lffhq6v6ga1hbxmy,1,3.8,39.2,2022-08-27T17:33:01.331Z,2022-08-28T03:32:15Z,3736376845,213,5.2,3736376841,141,12.0,3738658693,178,,3736376839,140,13.4,3736376843,212,21.1,3736376837,56,Back,,,,,,,6ekdnbnk56xlxforb5owt3dn9,P. Rajković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772299,17,1,1,2,3,50x1m4u58lffhq6v6ga1hbxmy,1,13.3,7.4,2022-08-27T17:33:03.833Z,2022-08-28T03:32:18Z,3738658829,178,,3736376993,212,22.1,3736376989,140,34.3,3736376991,141,5.2,3736376995,213,6.2,3736376987,56,Back,,,,,,,9t88fceutc2x108ga0qkzkafp,M. Valjent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772313,18,1,1,2,4,50x1m4u58lffhq6v6ga1hbxmy,0,34.8,5.2,2022-08-27T17:33:05.006Z,2022-08-28T03:32:40Z,3736377061,56,Back,3736377067,212,2.9,3736377065,141,8.2,3736377069,213,0.8,3738659595,178,,3736377113,286,,3736377063,140,36.7,3736377107,236,,22dchchxwrsty67ultrs61qz9,Pablo Maffeo,3736377109,233,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772307,17,74,1,2,4,3budh3j9xivsid3ptm8ptpy4k,1,66.5,96.2,2022-08-27T17:33:05.109Z,2022-08-28T03:32:52Z,3736377031,285,,3736377029,56,Left,3736377153,233,18,3738660191,178,,,,,,,,,,,,,,39c5g6782qlrtw55fsre7exnt,Fran García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772389,19,1,1,2,10,50x1m4u58lffhq6v6ga1hbxmy,1,44.1,30.1,2022-08-27T17:33:10.736Z,2022-08-28T03:33:04Z,3736377537,140,40.4,3736377535,56,Back,3736377539,141,39.2,3736377543,213,2.1,3738660693,178,,3736377541,212,7.3,,,,,,,22dchchxwrsty67ultrs61qz9,Pablo Maffeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772419,20,1,1,2,11,50x1m4u58lffhq6v6ga1hbxmy,1,40.6,39.2,2022-08-27T17:33:11.415Z,2022-08-28T03:33:11Z,3736377711,212,11.6,3736377703,56,Back,3736377713,213,0.7,3736377709,141,50.0,3738661013,178,,3736377707,140,49.2,,,,,,,9e7b5cm66oxf26fmp33yuppsl,Dani Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772497,21,1,1,2,12,50x1m4u58lffhq6v6ga1hbxmy,1,48.9,50.7,2022-08-27T17:33:12.642Z,2022-08-28T03:33:15Z,3736378135,141,69.0,3736378139,213,1.8,3736378137,212,12.9,3736378131,140,45.7,3736378127,56,Back,3738661185,178,,,,,,,,8b3igmuipfhfzm39ack89de96,Lee Kang-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772587,22,1,1,2,15,50x1m4u58lffhq6v6ga1hbxmy,0,53.2,71.8,2022-08-27T17:33:16.234Z,2022-08-28T03:33:18Z,3736378595,56,Right,3736378599,141,15.8,3736378597,140,100.0,3736378603,213,5.6,3736378593,155,,3736378601,212,63.5,3738661295,178,,3736378605,1,,3n66mcws9belxbv3pu5uwhfu2,Copete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772561,18,5,1,2,20,3budh3j9xivsid3ptm8ptpy4k,1,-0.8,83.6,2022-08-27T17:33:21.010Z,2022-08-28T03:33:24Z,3736378743,233,23,3736378471,56,Back,3736378473,346,,,,,,,,,,,,,,,,,8oc3lpz3xttrnwxk1fnnv7owl,R. Falcao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451772597,23,5,1,2,20,50x1m4u58lffhq6v6ga1hbxmy,0,100.8,16.4,2022-08-27T17:33:21.010Z,2022-08-28T03:33:24Z,3736378655,346,,3736378653,56,Right,3736378697,233,18,,,,,,,,,,,,,,,,3n66mcws9belxbv3pu5uwhfu2,Copete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451773205,19,1,1,2,48,3budh3j9xivsid3ptm8ptpy4k,0,3.3,47.3,2022-08-27T17:33:48.938Z,2022-08-28T03:33:30Z,3736382059,124,,3736382071,140,61.3,3736382077,213,5.9,3736382075,212,65.9,3736382081,74,,3736382079,1,,3736382069,56,Right,3736382065,155,,5dfvefxvwj8kixbajluw25mtx,S. Dimitrievski,3736382073,141,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451773273,24,1,1,2,51,50x1m4u58lffhq6v6ga1hbxmy,1,31.3,87.7,2022-08-27T17:33:52.239Z,2022-08-28T03:33:33Z,3736382471,140,41.1,3736382463,3,,3736382475,141,68.5,3736382479,212,16.6,3736382481,213,5.4,3738661941,388,,3736382467,56,Back,,,,9dewnn65ylruq567thg7ebqhh,Raíllo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451773291,25,1,1,2,54,50x1m4u58lffhq6v6ga1hbxmy,1,42.5,67.6,2022-08-27T17:33:54.324Z,2022-08-28T03:33:39Z,3736382581,56,Back,3736382587,212,6.6,3736382589,213,0.3,3736382585,141,70.8,3738662255,389,,3736382583,140,48.4,,,,,,,4uuvyzac4sd4ysjpv9eng1d5h,R. Battaglia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452232485,745,43,1,2,55,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-08-27T17:33:55.514Z,2022-08-28T07:35:09Z,3739004275,144,82,3738916785,178,0,,,,,,,,,,,,,,,,,,,9e7b5cm66oxf26fmp33yuppsl,Dani Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451773299,26,49,1,2,55,50x1m4u58lffhq6v6ga1hbxmy,1,48.4,70.8,2022-08-27T17:33:55.516Z,2022-08-28T03:33:45Z,,,,,,,,,,,,,,,,,,,,,,,,,9e7b5cm66oxf26fmp33yuppsl,Dani Rodríguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
