id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/16/value,qualifier/13/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2537090429,15,1,1,1,6,cobffe32r7g4skka9m19qib63,0,29.4,18.9,2023-04-22T14:16:48.591Z,2023-04-23T11:51:13Z,4208626487,56,Center,4213018179,178,,4208626497,212,51.8,4208626491,140,77.0,4208626495,141,39.1,4208626499,213,0.3,4208626503,1,,4208626485,157,,a5x0poaqzssg2yuou57qgyead,Chumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537090397,16,44,1,1,11,3czravw89omgc9o4s0w3l1bg5,1,26,58.1,2023-04-22T14:16:53.390Z,2023-04-23T13:27:36Z,4208626325,285,,4208626323,56,Back,4208626693,233,16,,,,,,,,,,,,,,,,uzzq2p3s1qnb3wv1pee3mcph,Yeray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537090441,16,44,1,1,11,cobffe32r7g4skka9m19qib63,0,74,41.9,2023-04-22T14:16:53.391Z,2023-04-23T11:51:17Z,4208626753,233,16,4208626563,286,,4208626561,56,Center,,,,,,,,,,,,,,,,d1d3v27d4r6vme6n2w5umaacp,L. Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537090483,17,1,1,1,11,3czravw89omgc9o4s0w3l1bg5,1,31.4,55.5,2023-04-22T14:16:53.470Z,2023-04-23T13:27:36Z,4208626803,140,17.1,4208626809,212,17.2,4208626805,141,67.9,4208626799,56,Back,4208626797,3,,4213018615,388,,4208626813,213,2.6,,,,uzzq2p3s1qnb3wv1pee3mcph,Yeray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537090515,18,1,1,1,13,3czravw89omgc9o4s0w3l1bg5,1,15.5,67.2,2023-04-22T14:16:55.381Z,2023-04-23T11:51:25Z,4208627001,212,12.1,4208626995,56,Back,4208626999,141,56.1,4208626997,140,6.5,4208627003,213,3.8,4213019021,388,,4208626993,3,,,,,cd5napttmwk5o9gxw3cbb4ted,Íñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537090529,19,52,1,1,14,3czravw89omgc9o4s0w3l1bg5,1,6.4,56.1,2023-04-22T14:16:56.837Z,2023-04-23T11:51:29Z,4211585637,378,,4213019503,178,,,,,,,,,,,,,,,,,,,,4vlurpsi44g09g159t61u83bp,Unai Simón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537090837,20,1,1,1,18,3czravw89omgc9o4s0w3l1bg5,1,8.3,53.5,2023-04-22T14:17:00.597Z,2023-04-23T11:51:33Z,4208628819,141,66.7,4208628815,56,Back,4213019823,178,,4208628823,213,0.3,4208628817,140,33.1,4208628821,212,27.5,4208628813,123,,,,,4vlurpsi44g09g159t61u83bp,Unai Simón,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537090863,21,1,1,1,20,3czravw89omgc9o4s0w3l1bg5,1,33.1,66.7,2023-04-22T14:17:02.951Z,2023-04-23T11:51:39Z,4208628997,141,77.1,4208629001,213,0.5,4208628991,56,Back,4213020187,178,,4208628999,212,14.5,4208628995,140,45.2,,,,,,,83n1qv6ypl625aolzjeqifv11,Mikel Vesga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537091045,22,1,1,1,22,3czravw89omgc9o4s0w3l1bg5,1,45.2,77.1,2023-04-22T14:17:04.158Z,2023-04-23T11:51:43Z,4208629931,56,Back,4208629945,213,2.8,4208629935,141,84.7,4208629939,212,13.9,4213020403,178,,4208629933,140,32.9,4211586659,156,,,,,dfcbvsb7o18lavmonbp5ucwoa,Oihan Sancet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537091237,23,1,1,1,28,3czravw89omgc9o4s0w3l1bg5,1,35.6,83.3,2023-04-22T14:17:10.565Z,2023-04-23T11:51:46Z,4208631073,140,32.2,4208631075,141,43.6,4208631079,213,4.6,4213020511,178,,4208631077,212,27.2,4208631071,56,Back,,,,,,,cd5napttmwk5o9gxw3cbb4ted,Íñigo Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
