id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,assist,qualifier/18/value
2498075903,7,1,1,0,53,4yg9ttzw0m51048doksv8uq5r,1,13.6,61.1,2023-01-16T20:03:17.422Z,2023-01-17T07:33:13Z,3981638983,212,22.1,3981638981,141,88.1,3981638985,213,1.0,3981638977,56,Back,3981963535,178,,3981638979,140,25.4,3981638975,123,,,,,36bg0k385i4wwarffp6ak1syd,Edgar Badia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075907,8,1,1,0,56,4yg9ttzw0m51048doksv8uq5r,1,27.2,87.7,2023-01-16T20:03:20.421Z,2023-01-17T07:33:16Z,3981639009,213,4.9,3981639005,141,76.4,3981639003,140,28.4,3981639001,56,Back,3981963547,178,,3981639007,212,7.8,,,,,,,7wjmaxqunpd84il1p5w4xwrmd,Clerc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075911,9,1,1,0,57,4yg9ttzw0m51048doksv8uq5r,1,28.4,76.4,2023-01-16T20:03:21.293Z,2023-01-17T07:33:21Z,3981639033,56,Back,3981639035,140,27.0,3981639039,212,7.5,3981963563,178,,3981639041,213,1.8,3981639037,141,87.2,,,,,,,f0a2qk3jzxercn67bben5eled,Gumbau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075915,10,1,1,0,59,4yg9ttzw0m51048doksv8uq5r,1,28.4,87.2,2023-01-16T20:03:22.672Z,2023-01-17T07:33:23Z,3981639073,140,16.5,3981639071,56,Back,3981639075,141,81.8,3981639079,213,3.4,3981963581,178,,3981639077,212,13.0,,,,,,,7wjmaxqunpd84il1p5w4xwrmd,Clerc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075923,11,1,1,1,1,4yg9ttzw0m51048doksv8uq5r,1,18.1,78.7,2023-01-16T20:03:25.302Z,2023-01-17T07:33:28Z,3981639127,140,19.3,3981963603,178,,3981639133,213,4.8,3981639131,212,20.2,3981639125,56,Back,3981639129,141,49.1,,,,,,,b69uny9udp3ab2zccwa0qnrh1,Diego González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075939,12,1,1,1,4,4yg9ttzw0m51048doksv8uq5r,1,19.3,49.1,2023-01-16T20:03:27.721Z,2023-01-17T07:33:31Z,3981639265,56,Back,3981963615,178,,3981639269,141,13.2,3981639267,140,27.0,3981639273,213,5.0,3981639271,212,25.7,,,,,,,2zn2o5lzchz7oattq9pnjr8wl,E. Roco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075949,13,1,1,1,7,4yg9ttzw0m51048doksv8uq5r,1,26.4,13.7,2023-01-16T20:03:31.255Z,2023-01-17T07:33:35Z,3981639329,212,12.6,3981639323,56,Back,3981963629,178,,3981639331,213,1.1,3981639327,141,30.3,3981639325,140,31.8,,,,,,,ewu1skobmxtz4f3z6dbnfm6dx,H. Palacios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075963,14,1,1,1,10,4yg9ttzw0m51048doksv8uq5r,1,31,40.4,2023-01-16T20:03:33.969Z,2023-01-17T07:33:38Z,3981639407,141,69.4,3981639409,212,20.7,3981639411,213,1.9,3981963643,178,,3981639403,56,Back,3981639405,140,25.0,,,,,,,bkvvapojagxvj17nzk3oy8ct1,Omar Mascarell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075971,15,1,1,1,13,4yg9ttzw0m51048doksv8uq5r,1,34,76.3,2023-01-16T20:03:37.279Z,2023-01-17T07:33:42Z,3981639451,140,54.7,3981639453,141,82.2,3981639457,212,22.1,3981639449,56,Left,3981963661,178,,3981639461,213,0.2,,,,,,,b69uny9udp3ab2zccwa0qnrh1,Diego González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498075983,16,1,1,1,14,4yg9ttzw0m51048doksv8uq5r,1,54.2,82.1,2023-01-16T20:03:38.228Z,2023-01-17T07:33:45Z,3981639507,213,1.9,3981639505,212,7.2,3981639501,140,52.3,3981639499,56,Left,3981639503,141,92.3,3981963669,178,,,,,,,,aziqdd6dqjjgr6ifmzve0cz4l,Roger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
