id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2511868425,22,1,1,1,3,50x1m4u58lffhq6v6ga1hbxmy,1,3,47.5,2023-02-25T13:02:08.429Z,2023-02-25T21:02:46Z,4054124749,141,17.3,4054124747,140,10.8,4054124751,212,22.1,4056961397,178,,4054124753,213,5.1,4054124745,56,Back,,,,,,,6ekdnbnk56xlxforb5owt3dn9,P. Rajković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868469,23,1,1,1,6,50x1m4u58lffhq6v6ga1hbxmy,1,10.3,5.9,2023-02-25T13:02:11.581Z,2023-02-25T21:30:17Z,4054124983,213,0.1,4054124975,56,Back,4054124981,212,35.9,4056961607,178,,4054124973,155,,4054124985,1,,4054124977,140,44.4,4054124979,141,10.0,9t88fceutc2x108ga0qkzkafp,M. Valjent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512158449,863,1,1,1,8,50x1m4u58lffhq6v6ga1hbxmy,0,43.4,14.7,2023-02-25T13:02:14.272Z,2023-02-25T21:04:17Z,4055615171,140,42.2,4055615179,213,4.6,4055615177,212,8.3,4055615169,56,Back,4055615173,141,2.6,4056961611,178,,,,,,,,3pwr7lqvo4o08c4nvzqpuue39,V. Muriqi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868483,7,43,1,1,9,c8llrezkm3b3op4afrou6b487,1,0,0,2023-02-25T13:02:14.961Z,2023-02-25T16:26:43Z,4054125029,56,Left,4055612597,144,8,,,,,,,,,,,,,,,,,,,adi6l78sdvet408eho4fi4xk9,Vinicius Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868579,8,49,1,1,10,c8llrezkm3b3op4afrou6b487,1,59.5,95.7,2023-02-25T13:02:16.023Z,2023-02-26T09:04:35Z,,,,,,,,,,,,,,,,,,,,,,,,,3nchjse4ej0qhilo395td7u1h,Brian Oliván,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868595,9,1,1,1,11,c8llrezkm3b3op4afrou6b487,0,61.4,94.6,2023-02-25T13:02:17.022Z,2023-02-25T21:04:10Z,4054125629,213,5.3,4054125627,212,13.0,4056965595,178,,4054125623,140,68.7,4054125619,56,Left,4054125625,141,79.1,,,,,,,3nchjse4ej0qhilo395td7u1h,Brian Oliván,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868621,10,4,1,1,12,c8llrezkm3b3op4afrou6b487,1,71.6,79.2,2023-02-25T13:02:17.605Z,2023-02-25T21:04:02Z,4054125805,265,,4054125811,233,24,4054125799,13,,4054125803,152,,4054125807,286,,4054125801,56,Left,,,,,,,92pz9nafg5h4qeqpiw3011ihh,M. Braithwaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511868605,24,4,1,1,12,50x1m4u58lffhq6v6ga1hbxmy,0,28.4,20.8,2023-02-25T13:02:17.606Z,2023-02-25T21:04:02Z,4054125685,13,,4054125833,233,10,4056965295,178,,4054125693,285,,4054125689,152,,4054125687,56,Back,4054125691,265,,,,,9dewnn65ylruq567thg7ebqhh,Raíllo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511869009,11,1,1,1,53,c8llrezkm3b3op4afrou6b487,0,77.5,85.8,2023-02-25T13:02:58.936Z,2023-02-25T21:03:55Z,4054127835,56,Center,4054127827,2,,4054127829,5,,4055636079,72,,4055636077,224,,4054127841,212,28.9,4056964925,178,,4054127843,213,5.3,3nchjse4ej0qhilo395td7u1h,Brian Oliván,4054127837,140,92.0,4054127831,155,4054127839,141,49.7,4054127833,152,,,,,,,,,,,,,,,,,,,,,,,,,,
2511869047,25,12,1,1,54,50x1m4u58lffhq6v6ga1hbxmy,1,11.1,56.7,2023-02-25T13:03:00.333Z,2023-02-25T21:04:43Z,4056967347,178,,4054128015,56,Back,4054128021,212,22.8,4054128017,140,32.7,4054128023,213,0.1,4054128019,141,59.9,,,,,,,9t88fceutc2x108ga0qkzkafp,M. Valjent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
